"Welcome! This is a list of the sources of instruments used in game music. Message me on Discord or comment if you have any criticism/suggestions, or request access if you want to edit the list.",,,,,,,,
"The sources on this page were gathered by G-Boy/NintendoGurkan, Hexagon12/GDhex12, Mathew Valente/TSSF, SynaMax/Max Petrosky, Elite, Chillius, midiman, ephemeralmu, Benjamin, Xane123, MtH, starerik, Blue Falcon, felineki, baggagelizard, punk7890/punk7890-2, Can of Nothing/0minus0, the editors of DEAD VGM Sound Sources, BlueTronic/Jammin' Sam Miller, peronmls/Miles, bocaj517, Nisto, crissxcr0ss, Python Blue, Enclave123, F0nkyNinja, koolaid, Skull/Adel Almas, Vera, Super Spindash, witapepsi, Ghignarda, Spinny, CM30, nford4947, KeiTaRo, drdevilfx, AceKombat, GBP/GarageBandPoke, the editors of The UNDERTALE Music Sample List, gameonion, rebooter23, thisisausername/recordreader, michael01011/michael020022, the editors of NEWER VGM Sound Sources, dutch menneer, XaikuTheMaverickHunter, Gazpacho/calcobrena, PokemonMusic, OzoneOne, Mr. Miles/dumperghost, DatExpandingFuto, amphobius, Patty Rack/PattehRose, ScrewStache, Jack L, Nico_, Sir Ulrich Von Fappenburger™/Linus Olsson, bun, the editor(s) of Patteh's Spreadsheet of Snuff, !bruh!/toastedfoxx, Nuclear/NUKELEDGE, Pinci, AHammockdream, Remi, Waf (Kurzweil K2500)/Waffles, Nesufire, Collision Chaos Radio, d-soup, Aqua (MIDI), Irikachana, WhiteVII, Xerxes, the editors of Pokémon Sound Sources (Detailed), OrangeExecutions, kabulent, Shushy Bushy, codeman38, daypeecone, Mudstep and Milon. The first six listed are the ones who have added findings to and edited this sheet.",,,,,,,,
"Rules: Please give credit if you repost a finding from this sheet. Add the instruments in the games' chronological order. Write the first or the oldest console that the game was released on only. No SFX. If a sample overlaps between multiple sources, write the source that the composers are confirmed to have, and write the oldest source that the sample appears in if the composers aren't confirmed to own any of them. If a sample overlaps between multiple sources that the composers are confirmed to have, and one isn't more likely than the other, write the oldest one.",,,,,,,,
Sample,No.,Source,Date,Game,Date,Console,Music,Composer(s)
OPEN LOW CONGA,55,Roland R-8,1989,Super Mario World,1990,SNES,(Too many to count),Koji Kondo
Piano 1,45,Kawai K1R,1988,Super Mario World,1990,SNES,"Game Over, Ending",Koji Kondo
Panflute,64,Kawai K1R,1988,Super Mario World,1990,SNES,"Title BGM, Koopaling Castle Clear Demo BGM",Koji Kondo
Brass,80,Kawai K1R,1988,Super Mario World,1990,SNES,"Title BGM, Castle BGM",Koji Kondo
Fretless,M01 06,Korg M1,1988,The Legend of the Mystical Ninja,1991,SNES,Goemon Ondo (Title Demo),Piston Uehara & VAP Ueko
E.Piano 1,M01 11,Korg M1,1988,The Legend of the Mystical Ninja,1991,SNES,La-La Mechanism Island (Mechanism Island BGM),Piston Uehara & VAP Ueko
Drums #1,M01 09,Korg M1,1988,The Legend of the Mystical Ninja,1991,SNES,Goemon Ondo (Title Demo),Piston Uehara & VAP Ueko
Tenor Sax,M01 62,Korg M1,1988,The Legend of the Mystical Ninja,1991,SNES,(Too many to count),Piston Uehara & VAP Ueko
Harmonica,M02 45,Korg M1,1988,The Legend of the Mystical Ninja,1991,SNES,"Konami Prize Contest (Racecourse BGM), Gamer Island (Game Center BGM)",Piston Uehara & VAP Ueko
Busy Talk,M04 20,Korg M1,1988,The Legend of the Mystical Ninja,1991,SNES,(Too many to count),Piston Uehara & VAP Ueko
N/A (Tsuzumi),N/A,N/A (Akai Product),N/A,The Legend of the Mystical Ninja,1991,SNES,"Heiji's House (Police Box BGM), Stake Your Bets, Stake Your Bets (Gambling Hut BGM), Ebi-Chan's Cheeky Time (Show Tent Ebisu-Show BGM), Mensooree (8st.BGM)",Piston Uehara & VAP Ueko
Piano (Partition A) - 1077 G.PF#5 - GRAND PF#5 1,None,Akai Sound Library Volume 2,1990,The Legend of Zelda: A Link to the Past,1991,SNES,Guessing-Game House,Koji Kondo
Voice (Partition G) - 1043 VOICE#1 - MIXED CHOIR1,None,Akai Sound Library Volume 2,1989,The Legend of Zelda: A Link to the Past,1991,SNES,Church,Koji Kondo
Brass Section #1 - Solo Trumpet,None,Roland Sound Library L-CD1,1987,The Legend of Zelda: A Link to the Past,1991,SNES,Death Mountain,Koji Kondo
Big Time - BIG STRINGS,None,Roland Sound Library L-CD1,1987,The Legend of Zelda: A Link to the Past,1991,SNES,"Overworld, Forest, Dark World, Kakariko Village, Dark Dungeon",Koji Kondo
"CYMBAL, CRASH - SMALL, HARD HIT",2-23-03,Sound Ideas Sampler Library,1987,The Legend of Zelda: A Link to the Past,1991,SNES,Overworld,Koji Kondo
"SNARE, WOOD - 14""X6"" - OPEN HIT, LOWER TOP HEAD TENSION, Version #2",2-62-06,Sound Ideas Sampler Library,1987,The Legend of Zelda: A Link to the Past,1991,SNES,Overworld,Koji Kondo
"TIMPANI - C - OPEN HIT, MALLET - Version #2",2-74-02,Sound Ideas Sampler Library,1987,The Legend of Zelda: A Link to the Past,1991,SNES,Death Mountain,Koji Kondo
HARP - SINGLE NOTE,4-05-01,Sound Ideas Sampler Library,1987,The Legend of Zelda: A Link to the Past,1991,SNES,"Title, Select Page",Koji Kondo
"FOOTSTEPS, WATER - FOOTSTEPS: BAREFOOT",6-53-05,Sound Ideas Sampler Library,1987,The Legend of Zelda: A Link to the Past,1991,SNES,"Title, Select Page",Koji Kondo
"WoodBass #1 & Harp #1,2 - Harp 1",None,Roland Sound Library L-CD1,1987,Final Fantasy IV,1991,SNES,Theme of Love,"Nobuo Uematsu, Minoru Akao, Akira Ueda, Kenji Ito"
Presets - Rock Drums - Rude Crash,14,E-MU Proteus/1,1989,Final Fantasy IV,1991,SNES,(Too many to count),Nobuo Uematsu
Trumpet,M01 12,Korg M1,1988,Final Fantasy IV,1991,SNES,Battle 2,"Nobuo Uematsu, Minoru Akao, Akira Ueda, Kenji Ito"
Guitar 2,M01 54,Korg M1,1988,Final Fantasy IV,1991,SNES,"Main Theme, Cry in Sorrow","Nobuo Uematsu, Minoru Akao, Akira Ueda, Kenji Ito"
Dual Bass,036/229,Kurzweil K1200,1989,Final Fantasy IV,1991,SNES,(Too many to count),Nobuo Uematsu
16-kit (Kicks/Snares/Pedal Hihat),108/244,Kurzweil K1200,1989,Final Fantasy IV,1991,SNES,(Too many to count),Nobuo Uematsu
Fast Strings,073/289,Kurzweil K1200,1989,Final Fantasy IV,1991,SNES,(Too many to count),Nobuo Uematsu
Bright Marimba,027/298,Kurzweil K1200,1989,Final Fantasy IV,1991,SNES,Chocobo,Nobuo Uematsu
Woodwind #2 - Oboe 1,None,Roland Sound Library L-CD1,1987,Super Ghouls 'n Ghosts,1991,SNES,Haunted Graveyard,Mari Yamaguchi
Classic Percussions - Timpani pf,None,Roland Sound Library L-CD1,1987,Sonic the Hedgehog,1991,MD/SG,"1up ~ Masa's Demo version ~, Boss ~ Masa's Demo version ~",Masato Nakamura
None,None,Roland TR-626,1987,Sonic the Hedgehog,1991,MD/SG,(Too many to count),Masato Nakamura
Wide Marimba,41,E-MU Proteus/1,1989,SimCity,1991,SNES,Menu,Soyo Oka
Piano (Partition A) - 1077 G.PF#5 - GRAND PF#5 1,None,Akai Sound Library Volume 2,1990,SimCity,1991,SNES,Dr. Wright,Soyo Oka
PipeOrgan,A54,Yamaha TX802,1987,Super Castlevania IV,1991,SNES,Simon Belmont's Theme (Stage 1-2 BGM),"Masanori Adachi, Masanori Oouchi, Akira Souji, Taro Kudo"
Drums #1,M01 09,Korg M1,1988,Super Castlevania IV,1991,SNES,Simon Belmont's Theme (Stage 1-2 BGM),"Masanori Adachi, Masanori Oouchi, Akira Souji, Taro Kudo"
Timpani,113,Roland MT-32,1987,Super Castlevania IV,1991,SNES,Boss Theme (Boss 1 BGM),"Masanori Adachi, Masanori Oouchi, Akira Souji, Taro Kudo"
Bass Marimba,22,Roland D-550,1987,Super Mario Kart,1992,SNES,"Vanilla Lake, Rainbow Road, Peach's Theme, Toad's Theme","Soyo Oka, Taro Bando, Koji Kondo"
REVERB SNARE,18,Roland R-8,1989,Super Mario Kart,1992,SNES,Super Mario Kart,"Soyo Oka, Taro Bando, Koji Kondo"
Piano (Partition A) - 1077 G.PF#5 - GRAND PF#5 1,None,Akai Sound Library Volume 2,1990,Super Mario Kart,1992,SNES,(Too many to count),"Soyo Oka, Taro Bando, Koji Kondo"
Bass/Guitar (Partition F) - 1091 D.GT #2 - GUIT ROCK,None,Akai Sound Library Volume 2,1990,Super Mario Kart,1992,SNES,"Mario Circuit, Ghost Valley, Castle",Soyo Oka & Taro Bando
Synthesizer (Partition I) - 1024 ODD STF - FLT SHOTS,None,Akai Sound Library Volume 2,1988,Super Mario Kart,1992,SNES,"Castle, Yoshi's Theme, Bowser's Theme",Soyo Oka & Taro Bando
Work Station (Partition K) - WS#7 ELECTRC - ELEK BASS 1,None,Akai Sound Library Volume 2,N/A,Super Mario Kart,1992,SNES,"Super Mario Kart, Choose Your Driver, Mario Circuit, Rainbow Road, Toad's Theme, Battle Game",Soyo Oka & Taro Bando
BR:1980,P1-B03,Yamaha TG-77,1989,Super Mario Kart,1992,SNES,"Super Mario Kart, Mario Circuit",Soyo Oka & Taro Bando
SL:Lips,P2-A16,Yamaha TG-77,1989,Super Mario Kart,1992,SNES,"Peach's Theme, Toad's Theme",Soyo Oka & Taro Bando
Guitar 1,M01 04,Korg M1,1988,Super Mario Kart,1992,SNES,Super Mario Kart,Soyo Oka & Taro Bando
STRINGS4 - ORCH5,None,Fairlight CMI IIx,1982,Teenage Mutant Ninja Turtles IV,1992,SNES,(Too many to count),Mutsuhiko Izumi & Kozo Nakamura
N/A (Harp Glissando),N/A,N/A (Akai Product),N/A,Mario Paint,1992,SNES,Falling Star,"Hirokazu Tanaka, Ryoji Yoshitomi, Kazumi Totaka"
Guitar 1,M01 04,Korg M1,1988,Mario Paint,1992,SNES,"Frog Song, Mushroom Song","Hirokazu Tanaka, Ryoji Yoshitomi, Kazumi Totaka"
Vibes,M01 15,Korg M1,1988,Mario Paint,1992,SNES,"Monkeying Around, Fly Swatter Boss","Hirokazu Tanaka, Ryoji Yoshitomi, Kazumi Totaka"
Solo Sax,M01 22,Korg M1,1988,Mario Paint,1992,SNES,Fly Swatter 1,"Hirokazu Tanaka, Ryoji Yoshitomi, Kazumi Totaka"
A.Bass,M01 26,Korg M1,1988,Mario Paint,1992,SNES,Creative Exercise,"Hirokazu Tanaka, Ryoji Yoshitomi, Kazumi Totaka"
MtReedWv,55,Yamaha TG-77,1989,Mario Paint,1992,SNES,Mario Paint,"Hirokazu Tanaka, Ryoji Yoshitomi, Kazumi Totaka"
African Percussion #1 - Sanza 1,None,Roland Sound Library L-CD1,1987,Mario Paint,1992,SNES,Flower Garden,"Hirokazu Tanaka, Ryoji Yoshitomi, Kazumi Totaka"
Harp,M02 17,Korg M1,1988,Romancing SaGa,1992,SNES,Overture ~ Opening Title,Kenji Ito
Legato Strings,12,E-MU Proteus/2 Orchestral,1990,Romancing SaGa,1992,SNES,(Too many to count),Kenji Ito
E.Piano 1,M01 11,Korg M1,1988,The Addams Family,1992,SNES,"Up and Down, In and Out",Jonathan Dunn
Solo Sax,M01 22,Korg M1,1988,The Addams Family,1992,SNES,Exploring the House,Jonathan Dunn
BigCityBrass,3,E-MU Proteus/1,1989,The Addams Family,1992,SNES,Exploring the House,Jonathan Dunn
Thunder Bass,7,E-MU Proteus/1,1989,The Addams Family,1992,SNES,"Up and Down, In and Out",Jonathan Dunn
Wide Marimba,49,E-MU Proteus/1,1989,The Addams Family,1992,SNES,"Up and Down, In and Out",Jonathan Dunn
BASS 1,INT15,Yamaha DX7,1983,The Addams Family,1992,SNES,The Addams Family,Jonathan Dunn
PipeOrgan,A54,Yamaha TX802,1987,The Addams Family,1992,SNES,Wonderfully Gloomy Atmosphere,Jonathan Dunn
N/A (Music Box),None,Roland Sound Library L-CD1,1987,Final Fantasy V,1992,SNES,Music Box,"Nobuo Uematsu, Minoru Akao, Kenji Ito, Yasunori Mitsuda, Yoshihito Maekawa"
N/A (Percussive Organ),N/A,N/A (Kurzweil or Roland Product),N/A,Final Fantasy V,1992,SNES,Clash On the Big Bridge,"Nobuo Uematsu, Minoru Akao, Kenji Ito, Yasunori Mitsuda, Yoshihito Maekawa"
Volume 1 - Brass Bank - Trumpet 1,None,E-MU Emulator III,1989,The Secret of Monkey Island (CD-ROM),1992,PC,"LeChuck's Theme, Stan's Previously Owned Vessels",Michael Z. Land
Volume 1 - 4 Piece Horns 8M - Section Sustain,None,E-MU Emulator III,1989,The Secret of Monkey Island (CD-ROM),1992,PC,Stan's Previously Owned Vessels,Michael Z. Land
Volume 1 - 4 Piece Horns 8M - Long Falls,None,E-MU Emulator III,1989,The Secret of Monkey Island (CD-ROM),1992,PC,Stan's Previously Owned Vessels,Michael Z. Land
Volume 1 - VibesMarimbaPerc - Marimbas,None,E-MU Emulator III,1989,The Secret of Monkey Island (CD-ROM),1992,PC,"The Journey, Monkey Island, LeChuck's Theme",Michael Z. Land
Volume 1 - Flautas Bonita - Basic Flute #1,None,E-MU Emulator III,1989,The Secret of Monkey Island (CD-ROM),1992,PC,Intro,Michael Z. Land
Brass 1,M01 02,Korg M1,1988,The Secret of Monkey Island (CD-ROM),1992,PC,Cue 2,Michael Z. Land
Pan Flute,M01 08,Korg M1,1988,The Secret of Monkey Island (CD-ROM),1992,PC,The Scumm Bar,Michael Z. Land
SynMallet,M01 28,Korg M1,1988,The Secret of Monkey Island (CD-ROM),1992,PC,Intro,Michael Z. Land
Bambu Trem,M01 50,Korg M1,1988,The Secret of Monkey Island (CD-ROM),1992,PC,The Cannibal Village,Michael Z. Land
Recorder,77,Roland MT-32,1987,The Secret of Monkey Island (CD-ROM),1992,PC,The Fettuccini Brothers,Michael Z. Land
N/A (Shakuhachi),N/A,Roland MT-32 or D-50,N/A,The Secret of Monkey Island (CD-ROM),1992,PC,"Intro, The Voodoo Shop, The Cannibal Village",Michael Z. Land
"WoodBass #1 & Harp #1,2 - Harp 1",None,Roland Sound Library L-CD1,1987,Super Adventure Island,1992,SNES,Gently Sun,Yuzo Koshiro
Piano 16',M01 01,Korg M1R,1988,Super Adventure Island,1992,SNES,Hot Reception,Yuzo Koshiro
Pick Bass,M01 16,Korg M1R,1988,Super Adventure Island,1992,SNES,"Follow Wind, Break, Hop Step and Jazzy Beats",Yuzo Koshiro
Solo Sax,M01 22,Korg M1R,1988,Super Adventure Island,1992,SNES,"Break, Hop Step and Jazzy Beats",Yuzo Koshiro
E.Guitar 1,M01 94,Korg M1R,1988,Super Adventure Island,1992,SNES,Follow Wind,Yuzo Koshiro
1:22,None,Lyn Collins - Think (About It),1972,Super Adventure Island,1992,SNES,Hot Step and Jazzy Beats,Yuzo Koshiro
Bass Marimba,22,Roland D-550,1987,Super Mario All-Stars,1993,SNES,"Aboveground (SMB), Aboveground (SMB2), Ending (SMB2), Music Box",Soyo Oka & Koji Kondo
Slap Bass n Brass,73,Roland D-550,1987,Super Mario All-Stars,1993,SNES,"Underground (SMB), Bowser's Theme (SMB), Final Battle, Battling Wart, World 2, Athletic, The Koopalings' Theme, Bowser's Theme (SMB3)",Soyo Oka & Koji Kondo
Acoustic Piano #2 - Honky Tonk 2,None,Roland Sound Library L-CD1,1987,Super Mario All-Stars,1993,SNES,(Too many to count),Soyo Oka & Koji Kondo
Western Strings #1 - Oud 2,None,Roland Sound Library L-CD1,1987,Super Mario All-Stars,1993,SNES,"Invincible, Aboveground (SMB2), World 3, The Hammer Bros' Theme",Soyo Oka & Koji Kondo
Latin Percussion #3 - Steel Drum 1,None,Roland Sound Library L-CD1,1987,Super Mario All-Stars,1993,SNES,"Bonus!, Aboveground (SMB), Aboveground (SMB3)",Soyo Oka & Koji Kondo
Orchestral Percussion #3 - Timpani,None,Roland Sound Library L-CD1,1987,Super Mario All-Stars,1993,SNES,(Too many to count),Soyo Oka & Koji Kondo
IMPACT SNARE,None,Roland R-8,1989,Super Mario All-Stars,1993,SNES,Title (SMB),Soyo Oka & Koji Kondo
OPEN LOW CONGA,None,Roland R-8,1989,Super Mario All-Stars,1993,SNES,Bowser's Theme (SMB),Soyo Oka & Koji Kondo
REVERB SNARE,None,Roland R-8,1989,Super Mario All-Stars,1993,SNES,(Too many to count),Soyo Oka & Koji Kondo
Piano 16',M01 01,Korg M1,1988,Sonic CD (PAL/JP),1993,Sega CD,Metallic Madness,Naofumi Hataya
Solo Sax,M01 22,Korg M1,1988,Sonic CD (PAL/JP),1993,Sega CD,"Stardust Speedway - ""P"" mix",Naofumi Hataya
Alto Sax,M02 02,Korg M1,1988,Sonic CD (PAL/JP),1993,Sega CD,Palmtree Panic,Naofumi Hataya
Stringorch,M02 07,Korg M1,1988,Sonic CD (PAL/JP),1993,Sega CD,"Wacky Workbench ""P"" mix",Masafumi Ogata
Harmonica,M02 22,Korg M1,1988,Sonic CD (PAL/JP),1993,Sega CD,"Wacky Workbench - ""P"" mix, Metallic Madness - ""G"" mix",Naofumi Hataya & Masafumi Ogata
Res-Synth2,M02 46,Korg M1,1988,Sonic CD (PAL/JP),1993,Sega CD,"Tidal Tempest ""B"" mix, Invincible!!",Masafumi Ogata
Hard Flute,M02 72,Korg M1,1988,Sonic CD (PAL/JP),1993,Sega CD,"Wacky Workbench ""P"" mix",Masafumi Ogata
African Sunset,RAM1:21,Korg Wavestation,1990,Sonic CD (PAL/JP),1993,Sega CD,"Tidal Tempest ""P"" mix",Masafumi Ogata
Thick Pick,RAM2:36,Korg Wavestation,1990,Sonic CD (PAL/JP),1993,Sega CD,"Tidal Tempest ""P"" mix",Masafumi Ogata
African Kalimba,RAM3:06,Korg Wavestation,1990,Sonic CD (PAL/JP),1993,Sega CD,"Tidal Tempest ""P"" mix",Masafumi Ogata
Drum Kit,RAM3:07,Korg Wavestation,1990,Sonic CD (PAL/JP),1993,Sega CD,"Tidal Tempest ""P"" mix",Masafumi Ogata
Solo Harp,RAM3:33,Korg Wavestation,1990,Sonic CD (PAL/JP),1993,Sega CD,"Tidal Tempest ""P"" mix",Masafumi Ogata
16' Piano,A01,Korg 01/W,1991,Sonic CD (PAL/JP),1993,Sega CD,Final Fever,Naofumi Hataya
Dance Kit,A29,Korg 01/W,1991,Sonic CD (PAL/JP),1993,Sega CD,Title,Masafumi Ogata
Orch Hit,A59,Korg 01/W,1991,Sonic CD (PAL/JP),1993,Sega CD,"Metallic Madness - ""P"" mix",Naofumi Hataya
Crickets,A79,Korg 01/W,1991,Sonic CD (PAL/JP),1993,Sega CD,"Quartz Quadrant - ""G"" mix",Naofumi Hataya
Flute,A83,Korg 01/W,1991,Sonic CD (PAL/JP),1993,Sega CD,"Palmtree Panic - ""P"" mix",Naofumi Hataya
Soprano Sax,B13,Korg 01/W,1991,Sonic CD (PAL/JP),1993,Sega CD,"Palmtree Panic - ""B"" mix, Quartz Quadrant, Quartz Quadrant - ""G"" mix",Naofumi Hataya
Light Beams,B40,Korg 01/W,1991,Sonic CD (PAL/JP),1993,Sega CD,"Tidal Tempest, Quartz Quadrant - ""P"" mix",Masafumi Ogata & Naofumi Hataya
Musette,B47,Korg 01/W,1991,Sonic CD (PAL/JP),1993,Sega CD,"Quartz Quadrant, Quartz Quadrant - ""G"" mix",Naofumi Hataya
N/A (Organ),N/A,Korg M1 or 01R/W,N/A,Sonic CD (PAL/JP),1993,Sega CD,Stardust Speedway,Naofumi Hataya
Partition B - 1045 BRQ.STR - STRING SECT1,None,Akai Sound Library Volume 2,1989,Sonic CD (PAL/JP),1993,Sega CD,"Quartz Quadrant - ""G"" mix, Final Fever",Naofumi Hataya
0:11/Breakbeat ~ Live,1,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Boss!!,Naofumi Hataya
0:29/Breakbeat ~ Live,2,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Metallic Madness,Naofumi Hataya
0:08/Breakbeat ~ Live,4,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Stardust Speedway - ""G"" mix",Naofumi Hataya
0:25/Breakbeat ~ Live,5,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Stardust Speedway,Naofumi Hataya
0:30/Sci-fi techno FX ~ Print bleep,32,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Collision Chaos, Collision Chaos - ""G"" mix",Masafumi Ogata
0:08/Italo-house Piano ~ G2,37,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Wacky Workbench ""P"" mix",Masafumi Ogata
"0:24/Speech (Male) ~ ""Bassss!""",52,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Collision Chaos ""B"" mix",Masafumi Ogata
"0:14/Speech (Male) ~ ""Hit it!""",53,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Stardust Speedway,Naofumi Hataya
"0:14/Vocal Hit (Male) ~ ""Uhh!""",55,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Collision Chaos - ""B"" mix",Masafumi Ogata
"0:16/Speech (Male) ~ ""Turn it up!""",57,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Stardust Speedway - ""G"" mix",Naofumi Hataya
0:23/Speech FX ~ Female laugh no. 3,60,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Game Over,Masafumi Ogata
"0:14/Speech (Male) ~ ""Work that sucker to death!""",61,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Boss!!,Naofumi Hataya
0:19/Misc. House FX ~ Minor synth chord stab,64,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Wacky Workbench - ""B"" mix",Masafumi Ogata
0:03/Misc house FX ~ Tape-stop FX no. 2,66,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Palmtree Panic - ""B"" mix",Naofumi Hataya
0:10/Misc. House FX ~ Siren start-up FX,66,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Stardust Speedway - ""B"" mix, Stardust Speedway - ""G"" mix",Naofumi Hataya
"0:34/Vocal FX ~ Scratched ""Selectah!""",66,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Boss!!,Naofumi Hataya
