Sample Description,Sample #,Source,Path/Bank,Program,Notes,Demo
Pizzicato Strings,SWAV 15,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 16,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 17,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 18,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 19,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
11. Dungeon,,,,,,
Bassoon,SWAV 0,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Staccato,,
Clarinet,SWAV 1,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 2,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Pizzicato Strings,SWAV 3,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 4,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Clarinet,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Marimba,SWAV 7,Apple - EXS24,Keyboards -> Mallets,Marimba,,
Marimba,SWAV 8,Apple - EXS24,Keyboards -> Mallets,Marimba,,
Marimba,SWAV 9,Apple - EXS24,Keyboards -> Mallets,Marimba,,
String Ensemble,SWAV 10,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 11,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 12,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 13,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 14,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Choir,SWAV 15,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Choir,SWAV 16,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Choir,SWAV 17,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
12. Return of the Warriors,,,,,,
Percussion Hit,SWAV 0,,,,,
Percussion Hit,SWAV 1,,,,,
Percussion Hit,SWAV 2,,,,,
Percussion Hit,SWAV 3,,,,,
Percussion Hit,SWAV 4,,,,,
Ride Cymbal,SWAV 5,,,,,
Cymbal Crash,SWAV 6,,,,,
Snare Roll,SWAV 7,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Decrescendo,SWAV 8,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Hit,SWAV 9,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Hit,SWAV 10,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Trombone Ensemble,SWAV 11,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trombone Ensemble,SWAV 12,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trumpet Ensemble,SWAV 13,,,,,
Trumpet Ensemble,SWAV 14,,,,,
Trumpet Ensemble,SWAV 15,,,,,
Trumpet Ensemble,SWAV 16,,,,,
Tuba,SWAV 17,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba,SWAV 18,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
13. The Road to the Mountain Top,,,,,,
Percussion Hit,SWAV 0,,,,,
Kick,SWAV 1,,,,,
French Horn Ensemble,SWAV 2,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
French Horn Ensemble,SWAV 3,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
French Horn Ensemble,SWAV 4,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
French Horn Staccato,SWAV 5,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
French Horn Staccato,SWAV 6,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
French Horn Staccato,SWAV 7,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Snare Roll,SWAV 8,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Hit,SWAV 9,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Roll,SWAV 10,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
String Spiccato,SWAV 11,UNKNOWN,,,,
String Spiccato,SWAV 12,UNKNOWN,,,,
String Spiccato,SWAV 13,UNKNOWN,,,,
String Spiccato,SWAV 14,UNKNOWN,,,,
String Spiccato,SWAV 15,UNKNOWN,,,,
String Spiccato,SWAV 16,UNKNOWN,,,,
String Ensemble,SWAV 17,UNKNOWN,,,,
String Ensemble,SWAV 18,UNKNOWN,,,,
String Ensemble,SWAV 19,UNKNOWN,,,,
14. Tozas,,,,,,
Accordion,SWAV 0,Apple - EXS24,World -> European,Polka Accordion,,
Accordion,SWAV 1,Apple - EXS24,World -> European,Polka Accordion,,
Accordion,SWAV 2,Apple - EXS24,World -> European,Polka Accordion,,
Accordion,SWAV 3,Apple - EXS24,World -> European,Polka Accordion,,
Metal Clash,SWAV 4,,,,,
Metal Clash,SWAV 5,,,,,
Bass Drum,SWAV 6,DS Soundware - Ultimate Orchestral Percussion,,,,
Cymbal Crash,SWAV 7,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Reed Instrument,SWAV 8,Apple - EXS24,,,,
Reed Instrument,SWAV 9,Apple - EXS24,,,,
Marimba,SWAV 10,Apple - EXS24,,,,
Marimba,SWAV 11,Apple - EXS24,,,,
Marimba,SWAV 12,Apple - EXS24,,,,
Snare Hit,SWAV 13,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Roll,SWAV 14,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Tuba,SWAV 15,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba,SWAV 16,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba,SWAV 17,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba,SWAV 18,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Pan Flute,SWAV 19,,,,,
Pan Flute,SWAV 20,,,,,
Pan Flute,SWAV 21,,,,,
15. Nept Temple,,,,,,
