Instrument,Source,Path/Bank,Preset,Notes,Demo
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Snare Ensemble,EastWest - Symphonic Orchestra,Perc -> Drums,Snare Ens Small,,
Strings (Live),Live Recording ,,,TO DO: List which group,
Strings (Digital),EastWest - Symphonic Orchestra,,,Layered over a live performance,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,Close mic,
Piano,UNKNOWN,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Close Trumpet Ensemble,UNKNOWN,,,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Wind Chime,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
6. The Hanging Edge,,,,,
(Arranged by Mitsuto Suzuki),,,,,
Piano,UNKNOWN,,,,
Strings (Digital),UNKNOWN,,,,
Percussion Loop,Spectrasonics - Stylus RMX,,,,
Piano Pad,UNKNOWN,,,,
Reverse Sweep,UNKNOWN,,,,
Organ Pad,UNKNOWN,,,,
Ambient Sweep,UNKNOWN,,,,
Ambient Pad,UNKNOWN,,,,
Sparkling Pad,UNKNOWN,,,,
Compressed Air sfx,UNKNOWN,,,,
Bass Synth pad,UNKNOWN,,,,
Synth Gliss,UNKNOWN,,,,
String Ensemble (Live),Live Recording,,,,
Jet sfx,UNKNOWN,,,,
7. Those For the Purge,,,,,
(Arranged by Mitsuto Suzuki),,,,,
Piano,,,,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
French Horns Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Synth Pad,Native Instruments - Absynth,,,,
Airy Synth Pad,Native Instruments - Absynth,,,,
Droning Synth,Native Instruments - Absynth,,,,
Percussion Loop,UNKNOWN,,,,
Synth Tom,UNKNOWN,,,,
Beep FX,Native Instruments - FM8,,,,
Synth Riser,Native Instruments - Absynth,,,,
Synth Pad,UNKNOWN,,,,
Finger Cymbal/Triangle Loop,Spectrasonics - Stylus RMX,RMX Grooves -> 52-Alice's Dream,52-Alice's Dream Illusion 2,,
,,,,,
8. The Warpath Home,,,,,
French Horns,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
,,,,,
,,,,,
,,,,,
9. The Pulse Fal'Cie,,,,,
,,,,,
,,,,,
,,,,,
10. Face It Later,,,,,
,,,,,
,,,,,
,,,,,
11. Snow's Theme,,,,,
Electric Guitar,,,,,
Drum Loop,,,,,
Synth Riser,,,,,
Synth Lead,,,,,
,,,,,
12. The Vestige,,,,,
Chorus,Live Recording (Ayane Hamauzu),,,,
Synth Pad Layer,,,,,
Synth Pad,Native Instruments - Absynth,Absynth Legacy -> Synth Pad,Utopia,Very much layered with a much softer pad. Possibly used Mutate (which can be a problem),
Piano,UNKNOWN,,,,
Violin Ensemble,,,,,
Viola Ensemble,,,,,
Cello Ensemble,,,,,
Bass Ensemble,,,,,
Harp,Native Instruments - Kontakt Factory Library,Orchestral -> 1 - VSL Strings,Harp,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
,,,,,
,,,,,
,,,,,
,,,,,
13. Ragnarok,,,,,
Choir,Live Recording (Warsaw Philharmonic Choir),,,,
Organ,Live Recording (Warsaw Philharmonic Orchestra),,,"Excluded from the vinyl LP ""W/F: Music from Final Fantasy XIII""",
14. In The Sky That Night,,,,,
Piano,UNKNOWN,,,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
15. Promised Eternity ,,,,,
,,,,,
,,,,,
,,,,,
16. Eternal Love (Exclusive to the Japanese version),,,,,
(Arranged by Sin),,,,,
Vocals,Live Recording (Sayuri Sugawara),,,,
Vibraphone,,,,,
Claps,,,,,
Synth Pad,,,,,
Sleigh Bell,,,,,
Electric Guitar,,,,,
Electric Piano,,,,,
Synth String Ensemble,,,,,
Cymbal,,,,,
Synth Bass,,,,,
Guitar,,,,,
17. Lake Bresha,,,,,
Solo Violin,Live Recording,,,,
Strings,EastWest - Symphonic Orchestra,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Tuba,EastWest - Symphonic Orchestra,Brass -> Solo Tuba -> 5 Keysw,STU KS Master,,
Wind Chime,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Celesta,EastWest - Symphonic Orchestra,Perc -> Metals,Celesta,,
Crotales,EastWest - Symphonic Orchestra,Perc -> Metals,Crotales,,
Anvils,EastWest - Symphonic Orchestra,Perc -> Metals,All Anvils,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Clarinet,EastWest - Symphonic Orchestra,Woodwinds -> Solo Clarinets -> QLegato,SCL QLeg,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Snare,UNKNOWN,,,,
Col Legno Slam,UNKNOWN,,,,
Piano,UNKNOWN,,,Implied to be a VST based on Hamauzu's liner notes,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
18. The Pulse L'Cie,,,,,
,,,,,
,,,,,
,,,,,
19. Eidolons,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20. Blinded by Light,,,,,
(Arranged by Ryo Yamazaki),,,,,
Electric Guitar,Live Recording (Satoshi Akamatsu),,,As per the OST PLUS credits,
Solo Violin,Live Recording (Hijiri Kuwano),,,As per the OST PLUS credits,
Drums,Live Recording (Tappi Iwase),,,,
Metallic Hit,UNKNOWN,,,This same hit appears in Dirge of Cerberus,
Strings (Digital),EastWest - Symphonic Orchestra,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,More noticable in the Long Version,
Drum Break,Spectrasonics - Stylus RMX,,,,
Shaker,Spectrasonics - Stylus RMX,Classic Stylus -> Shakers,80-Shaker 1,Panned to the left,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Triangle,,
Riser,UNKNOWN,,,Appears around the loop's end (1:13). Plays in full in the long version,
(Long Version only),,,,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Metallic Hit,UNKNOWN,,,,
,,,,,
21. Glory's Fanfare,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
22. Battle Results,,,,,
(Arranged by Mitsuto Suzuki),,,,,
Vocals,Live Recording (Mina Sakai) ,,,,
,,,,,
,,,,,
,,,,,
23. A Brief Respite,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
24. Cavalry Theme,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
25. Escape,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
26. Crash Landing,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
27. Daddy's Got the Blues,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
28. The Vile Peaks,,,,,
(Arranged by Mitsuto Suzuki),,,,,
Vocal Samples,UNKNOWN,,,,
Tabla percussion loop,Spectrasonics - Stylus RMX,,,Definitely needs some work,
Yelling(?),UNKNOWN,,,,
Strings,EastWest - Symphonic Orchestra,,,,
Tremolo strings,EastWest - Symphonic Orchestra,,,"Either an effect is applied, or it's something else",
Col Legno,UNKNOWN,,,,
Synth Sweep,UNKNOWN,,,,
Gregorian Chanting,Sounds Good - New World Order Journey #2,CD 2 -> Track 60 - Vocals -> TS 0:00,Russian Monks 02,,
Synth Staccs,UNKNOWN,,,,
Shakuhachi,Sounds Good - New World Order Journey #2,,,Could also be live,
Synth Bass,UNKNOWN,,,Needs to be checked,
Stacc Synth,UNKNOWN,,,,
Synth Pad,UNKNOWN,,,,
Piano,UNKNOWN,,,,
29. Lightning's Theme,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
30. Sazh's Theme,,,,,
Piano,Native Instruments - Akoustic Piano,Default,ConcertGrand,,
,,,,,
,,,,,
,,,,,
31. March of the Dreadnoughts,,,,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Strings,EastWest - Symphonic Orchestra,,,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,,,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Wind Chime,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Crotales,EastWest - Symphonic Orchestra,Perc -> Metals,Crotales,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Snare Ensemble,EastWest - Symphonic Orchestra,Perc -> Drums,Snare Ens Small,,
Piano,CHECK,,,Check Native Instruments,
Drum Loop,Spectrasonics - Stylus RMX,CHECK,,,
Synth Sweep,UNKNOWN,,,,
32. The Gapra Whitewood,,,,,
Vocals,Live Recording (Mina Sakai),,,,
Synth Bass,UNKNOWN,,,,
Porta Synth Lead,UNKNOWN,,,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Vibraphone,EastWest - Symphonic Orchestra,Perc -> Metals,Vibes,,
Strings,EastWest - Symphonic Orchestra,,,,
Bird-like Lead Synth,Native Instruments - Absynth,Absynth Legacy -> Soundscapes,Avionics,,
Synth Mallet,Native Instruments - Massive,Massive Factory -> Mallet Instruments,Helsinki,,
Synth Mallet Layer,UNKNOWN,,,,
Piano,UNKNOWN,,,,
White Noise,UNKNOWN,,,,
Drum Break,Spectrasonics - Stylus RMX,,,,
Frog sfx,Spectrasonics - Distorted Reality,,,,
Mandolin(?) Loop,Sounds Good - New World Order Journey #2,,,,
Other Enviroment sfx,UNKNOWN,,,,
33. Tension in the Air,,,,,
(Arranged by Junya Nakano),,,,,
,,,,,
,,,,,
,,,,,
,,,,,
34. Forever Fugitives,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
35. The Sunleth Waterscape,,,,,
Vocals,Live Recording (Frances Maya),,,Lyrics changed in the international release,
Piano,UNKNOWN,,,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Sine,UNKNOWN,,,,
Drum Beat,Stylus RMX,RMX Grooves -> 126-Transonica,126-Transonica  Combo,,
Synth Bass,UNKNOWN,,,,
36. Lost Hope,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
37. To Hunt L'Cie,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
38. No Way to Live,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
39. Sustained by Hate,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
40. The Pulse L'Cie ~ Yes there are two tracks with the exact same name (in English at least),,,,,
Piano,UNKNOWN,,,"Check Ivory I, EastWest, and PianoTeq",
Strings,EastWest - Symphonic Orchestra,,,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Solo Trumpet,EastWest - Symphonic Orchestra,Brass -> Solo Trumpet -> 5 Keysw,STP KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Oboe,EastWest - Symphonic Orchestra ,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Crotales,EastWest - Symphonic Orchestra,Perc -> Metals,Crotales,,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Triangle,,
Wind Chime,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Anvils,EastWest - Symphonic Orchestra,Perc -> Metals,All Anvils,,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Gongs,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Solo Violin,EastWest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,,
Snare Ensemble,EastWest - Symphonic Orchestra,Perc -> Drums,Snare Ens Small,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
41. Serah's Theme,,,,,
Vocals ,Live Recording (Frances Maya),,,Both Japanese and English versions,
,,,,,
,,,,,
,,,,,
42. Can't Catch a Break,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
43. PSICOM,,,,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Gongs,,
Snare Ensemble,UNKNOWN,,,,
Bass Ensemble,Live Recording,,,TO DO: Find who performed the instruments,
Cello Ensemble,Live Recording,,,TO DO: Find who performed the instruments,
Strings,Live Recording,,,TO DO: Find who performed the instruments,
Trumpet Ensemble,Live Recording,,,TO DO: Find who performed the instruments,
Trombone Ensemble,Live Recording (See Note),,,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
French Horn Ensemble,Live Recording (See Note),,,,
44. Hope's Theme,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
45. This Is Your Home,,,,,
Acoustic Guitar,Live Recording (Toru Tabei),,,,
46. Atonement,,,,,
French Horn Ensemble,Live Recording,,,,
Flute,Live Recording,,,,
Oboe,Live Recording,,,,
Solo Violin,Live Recording,,,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Violin Ensemble,EastWest - Symphonic Orchestra,,,,
Cello Ensemble,EastWest - Symphonic Orchestra,,,,
Harp,EastWest - Symphonic Orchestra,,,,
,,,,,
,,,,,
47. Vanille's Theme,,,,,
Piano,Native Instruments - Akoustic Piano,Default,ConcertGrand,Disable Release and add Reverb,
48. The Final Stage,,,,,
Flute,Live Recording,,,,
Oboe,EastWest - Symphonic Orchestra ,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Harp,Native Instruments - Kontakt Factory Library,Orchestral -> 1 - VSL Strings,Harp,,
49. The Pompta Sancta,,,,,
French Horn Ensemble,,,,,
French Horn Ensemble Layer,,,,,
Trombone Ensemble,,,,,
Trumpet Ensemble,,,,,
Trumpet Ensemble Layer,,,,,
Cymbals,,,,,
Timpani,,,,,
Snare Drums,,,,,
Metal Clash,,,,,
Crotales,,,,,
Harp,,,,,
Strings,,,,,
Flute,,,,,
Oboe,,,,,
Clarinet,,,,,
50. Nautilus,,,,,
Orchestra,Live Recording (Warsaw Philharmonic Orchestra),,,,
51. Chocobos of Cocoon - Chasing Dreams,,,,,
(Arranged by Ryo Yamazaki),,,,,
Vocals ,Live Recording (Frances Maya),,,Both Japanese and English versions,
Saw Lead,UNKNOWN,,,,
Synth Lead,UNKNOWN,,,,
Bass & Lead Synth,UNKNOWN,,,,
Electric Piano,Native Instruments - Massive,Massive Factory Library -> Piano/Keys,Herby & Bender,Turn off delay,
Square Synth,UNKNOWN,,,,
Synth Bells,UNKNOWN,,,,
Drum Kick,UNKNOWN,,,,
Drum Loop,UNKNOWN,,,,
Synth Bass,UNKNOWN,,,,
Cymbal Crash,UNKNOWN,,,,
Synth Lead ,UNKNOWN,,,,
Synth String,UNKNOWN,,,,
52. Feast of Betrayal ,,,,,
Orchestra,Live Recording (Warsaw Philharmonic Orchestra),,,,
53. Eidolons on Parade ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
54. Test of the L'Cie ,,,,,
(Arranged by Mitsuto Suzuki),,,,,
,,,,,
,,,,,
,,,,,
,,,,,
55. All the World Against Us ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
56. Game Over ,,,,,
(Arranged by Mitsuto Suzuki),,,,,
,,,,,
,,,,,
,,,,,
,,,,,
57. Primarch Dysley ,,,,,
Synth Pad,Native Instruments - Absynth,,,,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Harp,,,,,
Violin Ensemble,Live Performance,,,TO DO: Find Who,
Viola Ensemble,Live Performance,,,,
Cello Ensemble,Live Performance,,,,
French Horn Ensemble,Live Performance,,,,
Oboe,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> SOB 5 Keysw,SOB KS Master,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> SFL 5 Keysw,SFL KS Master,,
Snares,EastWest - Symphonic Orchestra,Perc -> Drums,,,
Toms,CHECK,,,,
58. Fighting Fate ,,,,,
Orchestra,Live Recording (Warsaw Philharmonic Orchestra),,,,
Choir,Live Recording (Warsaw Philharmonic Choir),,,,
59. Separate Paths,,,,,
Strings,EastWest - Symphonic Orchestra,,,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 violins -> 5 Keysw,18V KS Master,,
Oboe,EastWest - Symphonic Orchestra ,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Flute Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Wind Chime,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,G1 (A1 at loop point),
Piano,CHECK,,,,
Choir,CHECK,,,,
Flute,CHECK,,,,
Oboe,CHECK,,,,
60. Setting You Free,,,,,
(Arranged by Mitsuto Suzuki),,,,,
Cabasa(?),,,,,
Percussion Loop,,,,,
Cymbals,,,,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Cymbals,,,,,
Snare,,,,,
Violin Ensemble,,,,,
Viola Ensemble,,,,,
Cello Ensemble,,,,,
Bass Ensemble,,,,,
Synth Pad,Native Instruments - Absynth,,,,
Solo Violin,EastWest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,,
,,,,,
,,,,,
61. Desperate Struggle,,,,,
(Arranged by Junya Nakano),,,,,
French Horn Ensemble,ProjectSam - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Spiccato String,Sonic Implants - Symphonic String Collection,,,,
Sustain Strings,Sonic Implants - Symphonic String Collection,,,,
Timpani,CHECK,,,,
Percussion Loop,Stylus RMX,,,,
Cymbal,CHECK,,,,
Crash Cymbal,CHECK,,,,
Sleigh Bell,CHECK,,,"Logic has this sleigh bell under the preset ""Orchestral Percussion"". [E2]",
Flute,CHECK,,,,
Clarinet,Native Instruments - Kontakt Factory Library,,,,
Toms(?),,,,,
62. Mysteries Abound,,,,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Strings,,,,,
Tubular Bell,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Triangle,,
Synth Bell,,,,,
Choir,,,,,
Piano,,,,,
63. Will to Fight,,,,,
Vocals,Live Recording (Mina Sakai),,,,
Synth Arp,UNKNOWN,,,,
Synth Lead,UNKNOWN,,,,
Synth Bass,UNKNOWN,,,,
Electric Guitar,Live Recording,,,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Solo Violin,Live Recording,,,TO DO: List specifically who did the violin solo,
Solo Cello,Live Recording (Yoko Ara),,,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Strings,EastWest - Symphonic Orchestra,,,,
Percussion Loop,Spectrasonics - Stylus RMX,CHECK,,,
Oboe,EastWest - Symphonic Orchestra ,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Piano,UNKNOWN,,,,
64. Fang's Theme,,,,,
Orchestra,Live Recording (Warsaw Philharmonic Orchestra),,,,
65. Terra Incognita,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
66. The Archylte Steppe,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
67. Chocobos of Pulse,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
68. The Yaschas Massif,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
69. Memories of Happier Days,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
70. Sulyya Springs,,,,,
Vocals,Live Recording (Mina Sakai),,,,
Cello,Live Recording (Yoko Ara),,,,
Violin,Live Recording,,,,
Finger Cymbal,UNKNOWN,,,Likely Stylus RMX,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Synth Pad,Native Instruments - Absynth or FM8,,,,
Drum Loop,Spectrasonics - Stylus RMX,60-Volcano,60-Volcano CO2 Drum,,
