Company/Manufacturer,Product,Path/Bank,Preset,Notes
Live Recording: Cello,Xiaolong Chen,,,
Live Recording: Guitar,Ye Fan,,,
23. Thick Haze,,,,♪ Fan
"BPM: ,  Key: Cm",,,,
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
Live Recording: Vocal,"王皓, 张超俊, 苏美玲, 田佳, Fan",,,
Heavyocity,Damage,02 Percussive Kits -> 02 Ethnic Drums,PERC Ethnic Ens Percussion,
Heavyocity,Damage,,,To be found
24. Godfather,,,,♪ Fan
"BPM: ,  Key: Cm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Guitar,Gon,,,
Live Recording: Vocal,"王皓, 张超俊, 苏美玲, 田佳, Fan",,,
Heavyocity,Damage,02 Percussive Kits -> 02 Ethnic Drums,PERC Ethnic Ens Percussion,
25. Eternal Freeze,,,,♪ Fan
"BPM: ,  Key: Em",,,,
Live Recording: Violin,Yiying Zhang,,,
,,,,
26. Everwinter,,,,♪ Fan
"BPM: ,  Key: Am",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Cello,Xiaolong Chen,,,
27. Frozen March,,,,♪ Fan
"BPM: ,  Key: Dm",,,,
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
Live Recording: Electric Guitar,Gon,,,
Live Recording: Vocal,"王皓, 张超俊, 苏美玲, 田佳, Fan",,,
Heavyocity,Damage,01 Rhythmic Suites -> Loop Menus,LPS Epic Tech Elements 01,G#5
Heavyocity,Damage,02 Percussive Kits -> 02 Ethnic Drums,PERC Ethnic Ens Percussion,
Position Music,Danger Impact - Sound Design Vol. 1,06. Hit Rips,47. Sideways,
u-he,Hive 2,02 Poly Leads,MC Mango,
28. Fate,,,,♪ Fan
"BPM: ,  Key: Gm",,,,
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
u-he,Hive 2,01 Basses,MC Moo B,
u-he,Hive 2,02 Poly Leads,MC Mango,
u-he,Hive 2,04 Keys & Classic,AZ Lullaby,
u-he,Hive 2,Transmitting Spheres -> 02 Keys & Leads,Key Dyno Rhodes,
u-he,Hive 2,ZaBong - Hive Slice 1,ARP Berlin Pluck 1,
?,?,,SnowWind,Seen in project file track names
29. A Trap With No Return,,,,"♪ Gon, Fan"
"BPM: ,  Key: Bm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Guitar,Gon,,,
Live Recording: Vocal,Jonathan Steingard,,,
Native Instruments,Rise & Hit,06 - Into the Void,Disappearing Bells,
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
u-he,Hive 2,01 Basses,HS Sub-30,
30. Wildfire,,,,♪ Gon
"BPM: ,  Key: Bm",,,,
Live Recording: Guitar,Gon,,,
Live Recording: Vocal,Jonathan Steingard,,,
Native Instruments,Rise & Hit,06 - Into the Void,Disappearing Bells,
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,Layered with a different kit
,,,,
,,,,
,,,,
,,,,
Svah Sanishyu,,,,
,,,,
,,,,
,,,,
1. Anthropic Domain,,,,♪ Fan
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Pipa,Wenqing Shi,,,
Live Recording: Guzheng,Jiajia Shi,,,
Live Recording: Paigu,李承颖,,,
Live Recording: Cello,Xiaolong Chen,,,
Live Recording: Vocal,"王皓, 张超俊, 苏美玲, 田佳, Fan",,,
Apple,Sampler,Orchestral -> Percussion,Orchestral Kit,Roto toms
u-he,Repro-5,06 Keys - Brass & Strings,EH Dark Tuba,
2. Lustrous Moonlight,,,,♪ Fan
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Guzheng,Jiajia Shi,,,
Live Recording: Dizi,Jiannan Gu,,,
Live Recording: Erhu,Jiajun Ma,,,
Live Recording: Pipa,Wenqing Shi,,,
u-he,Diva,2 LEAD,HS Space Ocarina,
u-he,Hive 2,03 Mono Leads,ST Slow Attacker,low pass filter
3. Thundering Chariot,,,,"♪ Yj.W, Gon"
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Pipa,Wenqing Shi,,,
Live Recording: Electric Guitar,Gon,,,
Heavyocity,Damage 2,D2 Loop Designer -> 01 All Star Loops (STR),All Star - Manhattan Car Chase,"F3, D4"
ProjectSAM,Symphobia,Brass -> Brass Section -> Effects,Repetitions,
ProjectSAM,Symphobia,World -> World Winds Phrases,Native American Flute Phrases,Note: F2
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
4. Cumulus Formations,,,,♪ Fan
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Pipa,Wenqing Shi,,,
Live Recording: Daruan,Wenqing Shi,,,
Live Recording: Guzheng,Jiajia Shi,,,
Live Recording: Paigu,李承颖,,,
Live Recording: Vocal,"王皓, 张超俊, 苏美玲, 田佳, Fan",,,
u-he,Hive 2,01 Basses,XS Warm 808 Sub,
u-he,Hive 2,01 Basses,HS Breaker Bass,
u-he,Repro-1 ,01 Basses,CK Dogtooth,
5. Ave Astra et Viator,,,,♪ Fan
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Pipa,Wenqing Shi,,,
Live Recording: Daruan,Wenqing Shi,,,
Live Recording: Guzheng,Jiajia Shi,,,
Live Recording: Paigu,李承颖,,,
Live Recording: Erhu,Jiajun Ma,,,
Live Recording: Vocal,Fan,,,
Apple,Drum Machine Designer,Electronic Drum Kit,Bright Bass House,To confirm
Heavyocity,Damage,,,Maybe?
u-he,Hive 2,01 Basses,XS Warm 808 Sub,
6. Warden of Jade,,,,♪ Fan
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Guzheng,Jiajia Shi,,,
Live Recording: Cello,Xiaolong Chen,,,
Apple,Sampler,Orchestral -> Strings,Full Strings+,To confirm
EastWest,Symphonic Orchestra,Perc -> Metals,Orch chimes,
,,,,software vocal (solo female voice)
7. Into the Breach,,,,♪ Yj.W
Live Recording: Orchestra,Art of Loong Orchestra,,,
Heavyocity,Damage 2,D2 Loop Designer -> 02 Organic Cinematic (STR) ,Organic Cinematic - Breakout Full Loops 02 (STR),"A1, A4"
Native Instruments,Spotlight Collection: East Asia,Percussion China,Bangu,
,,,,"pipa/guzheng not live, possibly Ample"
8. Hunter's Intuition,,,,♪ Yj.W
Heavyocity,Damage 2,,,
Vengeance Sound,VPS Avenger,Cinematic 1 -> Arp,AR Seventeen Years,Melody A and Melody B parts played solo across the track
Vengeance Sound,VPS Avenger,Effects Trance -> Sequences,SQ Short Fill 1,
Vengeance Sound,VPS Avenger,Factory -> Synth,SY Haunted Horn,pitch envelope disabled
,,,,
9. Transient Jubilation,,,,♪ Eli.W
Ample Sound,Ample China Qudi,Presets,Default,video
Ample Sound,Ample China Zheng,Presets,Default,
Spectrasonics,Stylus RMX,Classic Stylus -> Tambourines,92-Tambourine,Edited loop
Spectrasonics,Trilian,Bass Instruments,Trilogy Acoustic - Full Range,
Toontrack,Americana EZX,,,
10. Upon the Firmament,,,,♪ Fan
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Guzheng,Jiajia Shi,,,
u-he,Repro-5,06 Keys - Brass & Strings,EH Dark Tuba,
11. Exquisite Ingenuity,,,,♪ Yj.W
Heavyocity,Damage 2,D2 Loop Designer -> 01 All Star Loops (STR),All Star - Manhattan Car Chase (STR),"C3, C4, F4"
,,,,"software orchestra, ample pipa?"
12. Fabulous Foresight,,,,♪ Yj.W
EastWest,Symphonic Orchestra,Perc -> Metals,Orch chimes,
Vengeance Sound,VPS Avenger,Factory -> Sequences,SQ Living Spirits,Arp and Drums disabled
Vengeance Sound,VPS Avenger,Trance One -> Arp,AR Black Lotus,Slightly modified sequence
Vengeance Sound,VPS Avenger,Trance One -> Pads,PD Band Clusters,
Vengeance Sound,VPS Avenger,,,"To be found, plays after Black Lotus"
13. Divine Camaraderie,,,,♪ Gon
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Violin,Yue Zhu,,,
Live Recording: Cello,Xiaolong Chen,,,
14. Blade Abracadabra,,,,♪ Yj.W
Heavyocity,Damage 2,D2 Loop Designer -> 02 Organic Cinematic (STR),Organic Cinematic - Mid Loops (STR),G1
Vengeance Sound,VPS Avenger,The Stand -> Sequences,SEQ - Velvet,Drums muted
,,,,software orchestra
15. Into the Desolate,,,,♪ Yj.W
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Xiao,Jiannan Gu,,,
EastWest,Symphonic Orchestra,Perc -> Metals,,To be found
Heavyocity,Damage 2,D2 Loop Designer -> 01 All Star Loops (STR),All Star - Manhattan Car Chase (STR),"D1, C#3, F#4, A#4"
,,,,
16. Deerstalker,,,,♪ Vinchi
Live Recording: Orchestra,Art of Loong Orchestra,,,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Tambourine_Transitions,KSHMR_Tambourine_Transition_02,
,,,,ample qudi?
17. Skyedge Voyage,,,,♪ Gon
Heavyocity,Damage 2,D2 Ensemble Designer -> 01 All Star Presets,Armageddon 2 (17),
Spectrasonics,Omnisphere,Keyboards,Dream Pianoceleste,
Spectrasonics,Omnisphere,Keyboards,Infinite Celeste,
Spectrasonics,Trilian,Bass Instruments,Chapman Stick Sustain,
u-he,Repro-1,02 Leads,CK The Voice,
u-he,Repro-1,02 Leads,HS Ocarina Yodel,
,,,,software orchestra
18. Severed Harmony,,,,♪ Yj.W
Live Recording: Erhu,Jiajun Ma,,,
Live Recording: Xiao,Hua Wang,,,
Vengeance Sound,VPS Avenger,Cinematic 1 -> Pads,PD Melancholy,
Vengeance Sound,VPS Avenger,Factory -> Pads,PD Exoplanet,
,,,,
19. Terrene Deliverance,,,,♪ Gon
Live Recording: Guzheng,申依静,,,
,,,,
20. Serene Stroll,,,,♪ Fan
Spectrasonics,Keyscape,Acoustic Pianos,LA Custom C7 Grand Piano,
,,,,
21. Evanescent Dreams,,,,♪ Yj.W
Live Recording: Matouqin,Haitao Li,,,
Strezov Sampling,Rhodope 2: Ethnic Bulgarian Choir,-,Rhodope2 SyllaBuilder,
Vengeance Sound,VPS Avenger,Cinematic 1 -> Pads,PD Melancholy,
,,,,ample pipa/zheng?
22. Mokshasatya,,,,♪ Yj.W
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Matouqin,Haitao Li,,,
Strezov Sampling,Rhodope 2: Ethnic Bulgarian Choir,-,Rhodope2 Eh Legato,
,,,,
23. Sanctus Medicus Dharani,,,,♪ Yj.W
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Matouqin,Haitao Li,,,
Best Service,Ethno World Instruments,BOWED INSTRUMENTS -> BOWED PSALTRY,Bowed Psaltery KEY,unsure
Heavyocity,Damage 2,D2 Loop Designer -> 01 All Star Loops (STR),All Star - Industrial Cinematic (STR),F3
Strezov Sampling,Rhodope 2: Ethnic Bulgarian Choir,-,Rhodope2 SyllaBuilder,Sustain Syllable Controls
Vengeance Sound,VPS Avenger,Cinematic 2 -> Drums,DL Heatbeat,"Deep, Perc, Stick, and Sub muted"
,,,,
24. A Brew of Storm,,,,♪ Eli.W
Live Recording: Guzheng,申依静,,,
Heavyocity,Damage 2,,,To be found
Heavyocity,Damage 2,D2 Loop Designer -> 01 All Star Loops (STR),All Star - Manhattan Car Chase (STR),C#3
25. Gleaming Clash,,,,♪ TSAR
Live Recording: Orchestra,Art of Loong Orchestra,,,
Strezov Sampling,Rhodope 2: Ethnic Bulgarian Choir,-,Rhodope2 SyllaBuilder,Staccato Syllable Controls
,,,,ample qudi/dongxiao?
26. Erstwhile Resonance,,,,♪ Wei.C
Live Recording: Matouqin,Haitao Li,,,
,,,,
27. Obscured Pearls,,,,♪ Fan
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
Live Recording: Guzheng,申依静,,,
Live Recording: Guqin,Jingyu Fang,,,
Live Recording: Erhu,Jiajun Ma,,,
EastWest,Symphonic Orchestra,Perc -> CymGong,22 Cymbal,
EastWest,Symphonic Orchestra,Perc -> Metals,Celesta,
EastWest,Symphonic Orchestra,Perc -> Metals,Orch chimes,Reverbed
28. Arteria Inceptionis,,,,♪ Fan
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Erhu,Jiajun Ma,,,
Live Recording: Xiao,Jiannan Gu,,,
29. Pedujara (all 3 phases),,,,♪ Vinchi
Live Recording: Vocal,舞乐蝉歌艺术工作室,,,
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
30. Samudrartha,,,,"♪ Fan, Gon, Vinchi"
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Vocal,"优素, Eli.W",,,
Live Recording: Guqin,Jingyu Fang,,,
,,,,
,,,,
,,,,
,,,,
Astral Theater Vol. 1,,,,
,,,,
,,,,
,,,,
1. Paean of Indulgence,,,,♪ Yj.W
Live Recording: Dizi,Jiannan Gu,,,
Best Service,Ethno World Instruments,WOODWIND AND BRASS,Kena KEY,
Best Service,Ethno World Instruments,WORLD PERCUSSION -> WOOD PERCUSSION,Wooden Bells,
2. Night Bazaar in Full Glow,,,,♪ Yj.W
Live Recording: Dizi,Hua Wang,,,
Vengeance Sound,VPS Avenger,BigTone 1 -> Arp,AR Glibbery When Wet,
Vengeance Sound,VPS Avenger,BigTone 2 -> Arp,AR Occasional Triplet Beauty,unsure
,,,,
3. Whispers of Departure,,,,♪ Yj.W
Live Recording: Dizi,Hua Wang,,,
,,,,
4. Wedding Wine,,,,♪ Yj.W
Live Recording: Vocal,姚徐依,,,
5. Nesting Avians,,,,♪ Yj.W
Native Instruments,Spotlight Collection: East Asia,Percussion Korea,Kkwaenggwari,
,,,,
6. Above The Fray,,,,♪ Fan
Live Recording: Guqin,Jingyu Fang,,,
7. Haunting Hoots,,,,♪ Yj.W
Best Service,Ethno World Instruments,BOWED INSTRUMENTS -> DILRUBA,Dilruba FX,G3
Best Service,Ethno World Instruments,WOODWIND AND BRASS -> VARIOUS FLUTE FX,Various Flute FX,"D3, C3"
,,,,
8. Dancing Fantasms,,,,♪ Jing.W
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
Live Recording: Vocal,姚徐依,,,
Best Service,Ethno World Instruments,WOODWIND AND BRASS -> VARIOUS FLUTE FX,Various Flute FX,"A1, C2, B2, C3, A3, B3"
Heavyocity,Damage 2,D2 Loop Designer -> 01 All Star Loops (STR),All Star - Manhattan Car Chase,G#3
9. Age of Innocence,,,,♪ Yj.W
Live Recording: Violin,Yue Zhu,,,
,,,,software orchestra
10. Age of Opulence,,,,♪ Jing.W
Live Recording: Violin,Yue Zhu,,,
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
Spectrasonics,Omnisphere,Keyboards,Infinite Celeste,
,,,,
11. A Gentleman's Fantasy,,,,"♪ Laetus.L, Fan"
Live Recording: Violin,Rui Liu,,,
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Perc -> CymGong,22 Cymbal,
,,,,
12. In Disbelief,,,,♪ Eli.W
Xfer Records,Serum,Plucked,PL Nothing Special [DRK],
,,,,
13. Aberrant Receptacle,,,,♪ Eli.W
Heavyocity,Damage,02 Percussive Kits -> 05 Damage Kits,PERC Bad A Krunch Kit,
Xfer Records,Serum,,,
,,,,software orchestra
14. Primordial Resplendence,,,,♪ Eli.W
,,,,
,,,,
15. Subterranean Enigma,,,,♪ TSAR 
,,,,software orchestra
,,,,
16. Everwinter's Collection,,,,♪ Yj.W
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: First Violin,Yiying Zhang,,,
Live Recording: Second Violin,张慧,,,
Live Recording: Viola,Yizhu Mao,,,
Live Recording: Cello,Xiaolong Chen,,,
17. Sleepwalking,,,,♪ Eli.W
,,,,
,,,,
18. Neuropulse,,,,♪ Gon
,,,,
,,,,
19. Lurking Dread,,,,♪ Hao
,,,,
,,,,
20. Shadows of Enigma,,,,♪ Gon
Spectrasonics,Stylus RMX,,,"To be found, might be wrong"
,,,,
21. Oneiros of Borehole Planet,,,,♪ Laetus.L
,,,,"every time i browse bell presets, this track comes to mind"
,,,,bane of my existence
22. Cosmic Sacrifice for Love,,,,♪ Laetus.L
Xfer Records,Serum,Bass,BA Organ Bass [FP],
