Type,Brand Name,Product,Source / Proof,Date/ First Recorded Usage,Last Recorded Usage,Additional Notes,,,,,,,,,,,,,,,,,,,
Sample Library,Best Service,XXLarge Extreme,Shimomura,Parasite Eve (1998),,,,,,,,,,,,,,,,,,,,,
Sample Library,Discovery Firm,Alma Flamenco,Uematsu,Final Fantasy IX (2000),,,,,,,,,,,,,,,,,,,,,
Sample Library,e-LAB,X-Static Goldmine 3,Fukui,Einhander (1997),,,,,,,,,,,,,,,,,,,,,
Sample Library,e-LAB,X-Static Goldmine 4,Fukui,Einhander (1997),,,,,,,,,,,,,,,,,,,,,
Sample Library,E-MU Systems,EIIIX Classic Series Vol. 1,-,,,Bundled with the E4XT Ultra,,,,,,,,,,,,,,,,,,,
Sample Library,E-MU Systems,EIIIX Classic Series Vol. 2,-,,,Bundled with the E4XT Ultra,,,,,,,,,,,,,,,,,,,
Sample Library,E-MU Systems,EIIIX Classic Series Vol. 3,-,,,Bundled with the E4XT Ultra,,,,,,,,,,,,,,,,,,,
Sample Library,E-MU Systems,EIIIX Classic Series Vol. 4,-,,,Bundled with the E4XT Ultra,,,,,,,,,,,,,,,,,,,
Sample Library,E-MU Systems,EIIIX Classic Series Vol. 5,-,,,Bundled with the E4XT Ultra,,,,,,,,,,,,,,,,,,,
Sample Library,E-MU Systems,EIIIX Classic Series Vol. 6,-,,,Bundled with the E4XT Ultra,,,,,,,,,,,,,,,,,,,
Sample Library,E-MU Systems,EIIIX Classic Series Vol. 7,-,,,Bundled with the E4XT Ultra,,,,,,,,,,,,,,,,,,,
Sample Library,E-MU Systems,EIIIX Classic Series Vol. 8,-,,,Bundled with the E4XT Ultra,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Guitar and Bass,Shimomura and Mitsuda,Chrono Cross (1999),,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,ProSamples 2 Drum and Bass Percussion,Mitsuda,Chrono Trigger (1995),,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,ProSamples 5 Dance/Industrial,Uematsu,Square's Preview CD (1996),,Bundled with the CD3000XL,,,,,,,,,,,,,,,,,,,
Sample Library,InVision (Northstar),Lightware 1 Stratus Sound Sampler,Mitsuda and Uematsu,Final Fantasy VII (1997),,Bundled with the CD3000XL,,,,,,,,,,,,,,,,,,,
Sample Library,InVision (Northstar),Lightware 4 Symphonic Instruments II,Uematsu,Final Fantasy VII (1997),,,,,,,,,,,,,,,,,,,,,
Sample Library,Miroslav Vitous,Solo Instruments I,Mitsuda,Chrono Cross (1999),,,,,,,,,,,,,,,,,,,,,
Sample Library,Miroslav Vitous,Solo Instruments II,Basically everyone,Xenogears (1998),,,,,,,,,,,,,,,,,,,,,
Sample Library,Miroslav Vitous,String Ensembles,Mitsuda and Uematsu,Chrono Cross (1999),,,,,,,,,,,,,,,,,,,,,
Sample Library,Miroslav Vitous,Classical Percussion & Harp,Mitsuda,Chrono Cross (1999),,,,,,,,,,,,,,,,,,,,,
Sample Library,Roland,L-CD1 for S-550,Uematsu and Shimomura,Final Fantasy IV (1991),,,,,,,,,,,,,,,,,,,,,
Sample Library,Roland,L-CDP-01,Mitsuda,Chrono Trigger (1995),,,,,,,,,,,,,,,,,,,,,
Sample Library,Reflective Arts (OMI),E-MU Library Factory Sounds 1-44,Mitsuda and Uematsu,,,Bundled with the Emulator III,,,,,,,,,,,,,,,,,,,
Sample Library,Reflective Arts (OMI),E-MU Library Factory Sounds 45-88,Mitsuda and Uematsu,,,Bundled with the Emulator III,,,,,,,,,,,,,,,,,,,
Sample Library,Q-Up Arts,Voices of Native America Vol. 1,Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Sounds Good,Bill Laswell's Sample Material,Fukui,Einhander (1997),,,,,,,,,,,,,,,,,,,,,
Sample Library,Sounds Good,Eurotech,Fukui,Einhander (1997),,,,,,,,,,,,,,,,,,,,,
Sample Library,Sounds Good,New World Order Journey #2,Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Supreme Beats,Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Liquid Grooves,Sakimoto and Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Vocal Planet,Sakimoto,Final Fantasy XII (2006),,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Heart of Asia,Shimomura and Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Heart of Africa,Shimomura and Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Hans Zimmer Guitars,Shimomura and Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Symphony of Voices,Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Distorted Reality 1,"Mitsuda, Fukui",Einhander (1997),,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Distorted Reality 2,Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Sample Library,UltimateSoundBank (UVI),Soundscan Vol. 53,Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,Datafile 2,Shimomura,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,That Jungle Flavour,Fukui,Einhander (1997),,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,Vindaloops,Fukui,Einhander (1997),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment owned by Nobuo Uematsu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DAW,Apple,Logic Pro,,,,,,,,,,,,,,,,,,,,,,,
DAW,Opcode,Studio Vision,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Arturia,KeyLab 88 MkII,See livestream,,,,,,,,,,,,,,,,,,,,,,
Hardware,Alesis,D4,Japanese Forum Post,Front Mission: Gun Hazard (1996),Final Fantasy VII (1997),,,,,,,,,,,,,,,,,,,,
Hardware,Casio,CZ-1,Lost email,,,,,,,,,,,,,,,,,,,,,,
Hardware,Casio,CZ-5000,Video,,,,,,,,,,,,,,,,,,,,,,
Hardware,Casio,SK-1,See video.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Clavia,Nord Wave,Live Performance,,,,,,,,,,,,,,,,,,,,,,
Hardware,E-MU,Proteus (1?) (2?),Lost email,Final Fantasy IV (1991),Final Fantasy VI (1994),,,,,,,,,,,,,,,,,,,,
Hardware,Fender,Rhodes 88,YouTube interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Hammond,B3,See image.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Hammond,XK-1,Live Performance,,,,,,,,,,,,,,,,,,,,,,
Hardware,KORG,KRONOS 61,YouTube interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,KORG,X5D,Video (taken down),,,,,,,,,,,,,,,,,,,,,,
Hardware,Kurzweil,K1200,RocketBaby Interview,Final Fantasy IV (1991),Final Fantasy X? (2001),,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SOUND Canvas SC-88,Square Enix,Final Fantasy VII (1997),Blue Dragon (2006),,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SOUND Canvas SC-8820,See image.,Final Fantasy IX (2000),Final Fantasy X (2001),Given to Junya Nakano in 2002,,,,,,,,,,,,,,,,,,,
Hardware,Roland,Sampler (Likely S-550),Lost email,Final Fantasy V (1992),Final Fantasy VI (1992),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Equipment owned by Masashi Hamauzu (Composer for X (and arranger of its remaster), the Lightning Saga, the VII Remake Trilogy, Chocobo's Dungeon, Dirge of Cerberus, and World of FF)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DAW,MOTU,Digital Performer,Original Sound Vision Interview,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,Yamaha,HS5,note Blog Post,,,"Gift from one of his children, formerly their's",,,,,,,,,,,,,,,,,,,
Instrument,Clavia,Nord Modular,Live Performance,,,,,,,,,,,,,,,,,,,,,,
Instrument,Yamaha,Clavinova,Live Performance,,,,,,,,,,,,,,,,,,,,,,
Hardware,Akai,S6000,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,M-Audio,Keystation88 Mk3,note Blog Post,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland ,MKS-7,Mentioned in a Twitter post,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instrumets,FM8,,Sigma Harmonics (2008),,,,,,,,,,,,,,,,,,,,,
VST,Native Instrumets,Massive,,Final Fantasy XIII (2009),,,,,,,,,,,,,,,,,,,,,
VST,Native Instrumets,Kontakt,"SonicWire ""Sessions Keys"" Review",,,,,,,,,,,,,,,,,,,,,,
Sample Library,e-Instruments,Session Keys Grand S,SonicWire Review,,,,,,,,,,,,,,,,,,,,,,
Sample Library,e-Instruments,Session Keys Grand Y,SonicWire Review,,,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Symphonic Orchestra,Original Sound Vision Interview,Musashi Samurai Legend (2005),,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instrumets,Akoustik,,Sigma Harmonics (2008),,Likely earlier (e.g Dirge of Cerberus),,,,,,,,,,,,,,,,,,,
Sample Library,Native Instrumets,Kontakt Factory Library,Owns Kontakt -> Kontakt Factory Library,Final Fantasy XIII (2009),,Likely earlier (i.e roughly around Sigma Harmonics development time),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Equipment owned by Junya Nakano (Composer for X (and arranger of its remaster), arranger of FFVI DS, The After Years, and two tracks for XIII)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DAW,Emagic,Logic Audio Platinum,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
DAW,Come On Music,Recomposer,RocketBaby Interview,Final Fantasy X (2001),Final Fantasy X (2001),,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JV-2080,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SOUND Canvas SC-8820,See image.,,,"Gift from Nobuo Uematsu, formerly his",,,,,,,,,,,,,,,,,,,
Hardware,Roland,SOUND Canvas SC-88pro,RocketBaby Interview,Final Fantasy X (2001),,,,,,,,,,,,,,,,,,,,,
Hardware,E-MU,E4XT Ultra,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment owned by Noriko Matsueda & Takahito Eguchi (Final Fantasy X-2's Composers),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DAW,Digidesign,Pro Tools,RocketBaby Interview,,,Version 5,,,,,,,,,,,,,,,,,,,
DAW,emagic,Logic Audio Platinum,RocketBaby Interview,,,Version 5,,,,,,,,,,,,,,,,,,,
Audio Interface,KORG,1212 I/O,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
PCI I/O Card,emagic,Audiowerk8,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Signal Processor,Sony,DPS-V55,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Signal Processor,KORG,SDD-2000,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Signal Processor,Line 6,POD 2.0,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Signal Processor,Line 6,Bass POD,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Signal Processor,Sherman,Filterbank,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Instrument,Steinway,Grand Piano,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Instrument,Hammond,XB-2,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Digidesign,SampleCell II,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,KORG,01/W,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JP-8000,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,A-90EX,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Ensoniq,ASR,RocketBaby Interview,,,Likely an ASR-88,,,,,,,,,,,,,,,,,,,
Hardware,KORG,TR-Rack,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JV-1080,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JV-2080,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JD-990,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SC-55,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Ensoniq,MR-Rack,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Clavia,Nord Rack 2,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Yamaha,EX5R,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Studio Electronics,MIDImoog,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Software,emagic,EXS24,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Software,Propellerhead Software,ReCycle,RocketBaby Interview,,,Version 2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Equipment owned by Tsutomu Narita (Earthbound Papas keyboard player, arranger for most of Nobuo Uematsu's songs since 2011)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,Fantom X6,Live Performance,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,Fantom X8,Live Performance,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment owned by the JOE DOWN crew (Yuzo Takehashi) (Chocobo series composer from Chocobo Tales to Chocobo to Mahou no Ehon: Majo to Shoujo to Gonin no Yuusha),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
VST,EDIROL,Orchestral,,Culdcept SAGA (2006),,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Percussive Adventures,Credited in Culdcept SAGA's OST,Culdcept SAGA (2006),,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Symphony of Voices,Credited in Culdcept SAGA's OST,Culdcept SAGA (2006),,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Vocal Planet,Credited in Culdcept SAGA's OST,Culdcept SAGA (2006),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Equipment owned by the Basiscape crew (Sakimoto, Iwata, Abe, Chiba, Kamikura, Kaneda) (Ivalice Alliance series composer)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DAW,MOTU,Digital Performer,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
DAW,Sonic Foundry,Sound Forge,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
DAW,SEK'D,Samplitude,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Kawai,K5000S,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Akai,S3000XL,RocketBaby Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SR-JV80-02 Orchestra,,Terra Diver (1996),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SR-JV80-04 Vintage Synths,,Terra Diver (1996),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SR-JV80-05 World,,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,XV-5080,Numerous Sources,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Cinesamples,Cinebrass Core,,Final Fantasy XII: The Zodiac Age (2017),,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Symphonic Orchestra,DTM Magazine Interview,Monster Kingdom: Jewel Summoner (2006),,Mentioned by Keiji Kawamori,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Percussive Adventures,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Miroslav Vitous,Orchestra String Ensemble,,,Final Fantasy Tactics Advance (2003),,,,,,,,,,,,,,,,,,,,
Sample Library,Miroslav Vitous,Woodwind and Brass Ensembles 2.0,,Vagrant Story (2000),Dragon's Crown (2013),,,,,,,,,,,,,,,,,,,,
Sample Library,ProjectSam,SAM Horns,DTM Magazine Interview,Gradius V (2004),,Mentioned by Keiji Kawamori,,,,,,,,,,,,,,,,,,,
Sample Library,ProjectSam,SAM Trombones,DTM Magazine Interview,Gradius V (2004),,Mentioned by Keiji Kawamori,,,,,,,,,,,,,,,,,,,
Sample Library,ProjectSam,SAM Trumpet,DTM Magazine Interview,,,Mentioned by Keiji Kawamori,,,,,,,,,,,,,,,,,,,
Sample Library,Sonic Implants,Symphonic String Collection,DTM Magazine Interview,Gradius V (2004),Zodiac: Orcanon Odyssey (2015),Mentioned by Keiji Kawamori,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Vocal Planet,,Final Fantasy Tactics Advance (2003),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment owned by Masayoshi Soken (XIV and XVI composer),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DAW,Emagic,Logic Audio Platinum,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
DAW,Steinberg,Cubase SX 3rd Edition,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
DAW,Steinberg,Cubase Pro 5,FFXIV Fan Festival Panel,,,,,,,,,,,,,,,,,,,,,,
DAW,Steinberg,Cubase Pro 9.5,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,Frontier Design,Alphapack,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,RME Audio,RME Fireface 800,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Native Instruments,Komplete Kontrol S88 Mk2,See Twitter Post,,,,,,,,,,,,,,,,,,,,,,
Hardware,Korg,TRINITY,Twitter Post and reply,Mario Hoops 3-on-3 (2006),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JV-1080,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Yamaha,EOS B2000,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Hardware,Yamaha,QY300,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Hardware,Yamaha,QY700,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Bundle,Waves,Mercury,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Bundle,Waves,Platnium,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Instrument,Fender,Stratocaster,Livestream,,,FFXIV x Fender collaboration guitar.,,,,,,,,,,,,,,,,,,,
Effect,Native Instruments,Guitar Rig 5,Livestream,,,,,,,,,,,,,,,,,,,,,,
Effect,iZotope,Nectar Elements,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
VST,EastWest,PLAY,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
