Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Hironobu Yahata Sample Sheet,,Samples used in games that Hironobu Yahata worked on (originally only Mario Party DS) (WIP),,Created by stin,,
Wii-Series Games Sound Sources,,A detailed breakdown of all the sounds used in Wii-Series Games (originally only Wii Play),,Created by stin,,
Pseudoregalia Sound Sources,,Instruments and (not yet found) samples used in songs from Pseudoregalia (WIP),,Created by ChiptuneBrony,,
Daytona USA Sound Sources,,Many findings across SEGA's Daytona USA Series.,,Created by Tob_ii,,
Masafumi Takada Sample List,,"Sounds used by Masafumi Takada, known for his work on the Danganronpa series.",,Created by MegaStrike,,
Super Smash Bros. Brawl Sound Sources,,A detailed version of the sound sources used in Super Smash Bros. Brawl,,Created by ashy,,
A Hat in Time Sound Sources,,A detailed version of the sound sources used in A Hat in Time,,Created by Salutanis Orkonus,,
GD NEW SOUND SOURCES,,A detailed version of the sound sources used in Geometry Dash,,Created by bambifnftheveryreal,,
GUST Sound Sources,,"Sample Libraries & Instruments used in the various games by Gust (Atelier, Blue Reflection, etc)",,Created by AstraProc and Mirror,,
Fire Emblem Sound Sources,,Sample Libraries and Instruments used in the Fire Emblem series,,Created by AstraProc and CelestialVectorXIV,,
Falcom Sound Sources,,"Sample Libraries and Instruments used in Falcom games (The Legend of Heroes, Ys and Trails)",,Created by CelestialVectorXIV,,
KINGDOM HEARTS Sound Sources,,Sample Libraries and Instruments used in the KINGDOM HEARTS series,,Created by subtrot,,
,,,,,,
Click here to join the VGM & Other Instrument Sources Discord server!,,,,,,
,,,,,,
Other Community Music & Sound Resources / Spreadsheets,,,,,,
every path ever,,List of every single patch/path on various synths/sample libraries,,Created by stin,,
Wanted Sample CDs,,List of sample CDs not accessible on the internet,,Created by GaragebandPoke,,
NEWEST TV & Misc. Sound Sources,,"A fork of the ""NEWER VGM Sound Sources"" sheet's defunct TV & Misc. tab",,Created by VGM Resources; Maintained by crissxcr0ss,,
Sound Portal - Media Music & SFX Sources,,"Sources of sounds and SFX used in Movies, TV, Commercials, Webseries, (flash) browser games etc.",,Created by Dumperghost/Mr. Miles,,
Sample Library Info & Release Dates,,List of sample CDs/packs with release dates,,Created by Dumperghost/Mr. Miles,---> Adapted from a spreadsheet by GaragebandPoke,
Datafile and other CD Sample Origins,,Listing origins of samples in libraries,,Created by Kabulent; Maintained by Garx,,
"SOUNDS Insight Spreadsheet (abandoned, use Sound Portal for film/TV)",,"Sources of Sound Effects used in Video Games, Movies/TV etc.",,Created by IrisRose,,
Patteh's Spreadsheet of Snuff,,[OLD] IrisRose's Video Game/Movies/TV etc. Instrument and Sound Effects Sources,,Created by IrisRose,,
Crypton Sample Libraries,,List of sample libraries sold by the Japanese music distributor Crypton with dates,,Created by SynaMax,,
Komplete Version Comparisons 2.0,,Comparsions of the different versions of Native Instrument's Komplete bundle,,Created by UltimateOutsider; Updated by gNNY,,
Roland SC-8850 to SCVA Differences,,Comparisons between Roland SOUND Canvas SC-8850 and the Roland SC-VA VST plugin,,Created by skx; Maintained by Infomaniac95,,
Altered States - Missing Samples,,Comparisons between Zero-G's Altered States compilation & original releases/rereleases,,Created by Kabulent,,
Soundfont Instrument Sources,,"Instrument sources used for various popular soundfonts. (SGM, THFont, etc)  (WIP)",,Created by lunarbunten,,
gm.dls Instrument Sources Spreadsheet,,"Instrument sources used in gm.dls, Microsoft's General MIDI synthesizer",,Created by michael02022/michael64,,
Kirby's Dream Soundfont Sources,,Instrument sources used in the Kirby's Dream soundfont,,Created by Pinci,,
The Reason Behind Logic,,"List of sources for Apple's DAWs (Logic and Garageband), as well as their Jam Pack add-ons (WIP)",,Created by Vin,,
Korg AI2 Samples Comparison,,Comparisons between the different versions of Korg AI2 synthesizer samples.,,Created by Milon Luxy,,
Every Credit Profile Map,,Document detailing all known VGM composer credits,,Created by Tater-Tot Tunes,,
1985-1992 Synthesizer Release Years,,List of synthesizers and other sampling sources released from 1985 to 1992,,Created by CollisionChaosRadio,,
MOBILE Sound Sources,,"Sources of sounds used on phones (ringtones, alarms, sound banks, startup sounds, etc)",,Created by wackypack; Maintained by ROMphonix team,,
Anime Sound Sources,,Sources of sounds used in various Anime (WIP),,Created by Pascal van den Bos,,
SR-JV80-19 & Ueberschall Comparison Sheet,,"Every Waveform on the Roland SR-JV80-19 card, and their matching Ueberschall Samples (WIP)",,Created by Tob_ii,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Spreadsheet Editor Rules,,,,,,
,,,,,,
1. Only list confirmed sources.,"Entries should be verified beyond reasonable doubt, preferably with a demo. If you must add an incomplete entry, or keep a note of something that hasn't been found yet, create and add it to a ""Stuff to Find"" section below the game. If it is unused, denote it as such.",,,,,
2. List games in order of release date.,"Each game in a section should be ordered by the time it first released in any region unless otherwise stated. Different game versions that have separate soundtracks (for example, a prototype or remaster OST) can have a separate listing made for it if needed.",,,,,
3. Do not reinterpret patch names.,"Write patch/preset names exactly how they are displayed on the product or patch list in question. Do not abbreviate*, expand, reorder, or attempt to clarify the patch name in any way. Use the notes section if you must append any clarifications.",,,,,
4. Keep track names consistent.,"We understand that sometimes soundtrack titles are not especially clear or even occasionally flat out do not exist, but please try to keep every listed instance the same. It can get confusing when one track is given three different names in a single section.*",,,,,
5. List all sounds used.,Every unique sound should have an entry: see the note* for more details.,,,,,
6. List things alphanumerically.,"Straightforward: entries should be listed from 0-9, A-Z in that order, starting from the leftmost column going to the right. Note that this does not apply to the examples column or the stuff-to-find section.",,,,,
7. List all sound examples.,"Preferably, list all instances of a sound being used in the game. For a sound used in too many tracks to count, put ""Used throughout the soundtrack, such as in []"" and try to fill in only the most distinct instances of that sound.",,,,,
8. Please list composers.,"In the Video Games tab, please list the names of the composers of a game in the ""Notes"" column of the title, if such information is available. This is a work in progress.",,,,,
9. Handle disputes correctly.,"Place a comment on the sheet if you are challenging a find (particularly those without audio demonstrations), and put important developments in the comment thread. Do not delete or erase the entry or move it to ""stuff to find"" until the dispute is resolved.",,,,,
,,,,,,
To Do:,,,,,,
,,,,,,
- Add colour to the rest of each Mario game,,,,,,
- Add colour to each Square-Enix game,,,,,,
- Add stars to games that have earned them (See 5 Star system below in Editor's Guide to Listings),,,,,,
- Figure out where to order Remasters and Remakes should their OSTs be different (Under the game it's remaking or chronologically by release date),,,,,,
,,,,,,
Editor's Guide to Listings,,,,,,
,,,,,,
General Guidelines,,,,,,
Text over white is black,Text over Custom Colour 4 is white,Arrows (->) are used for subfolders/subareas,Font used is Fira Sans in Bold,,"Song 1, Song 2, Song 3",
-,-,,,See note,-Used throughout the soundtrack-,
How to List Product-Specific Formats,,,,,,
-,Roland SC-Series Sound Module,SC-XX Map,000 005 E.Piano 1,See note for SC-Series & SD-Series,,
-,Roland SD-Series Sound Module,(GM2 or GS) -> (Set),037 000 Slap Bass 1,^^^,,
-,Roland JV/XV-Series Sound Module,PRESET/RHYTHM -> PRESET,108 Nylon Gtr/1 PopDrumSet 1,,,
-,Sampler Format Product Name,(Directory 1) -> (Directory 2),Patch Name,,,
-,Audio Format Product Name,Track XX - Track Title -> TS X:XX / Sample XX,Sample Name,,,
-,Audio Format Product Name,"Track XX - Track Title (-> Sample XX, Optional)",Timestamp X:XX,,,
Live Recording: -,Instrument,,,See note for specifics,,
Sample: -,Song/Media Name,,Timestamp X:XX,See note for specifics,,
-,Sound Ideas Product Name,XXXX-XX-XX,TITLE,DESCRIPTION,,
How to List Reused Sources: Two Options,,,,,,
All other instruments come from Blank.,,,,,,
-,-,Same Directory,Same Patch,"(Reused, ripped) From (Blank Game)",,
-,-,,^^ Option 1: See note ^^,See tutorial,,
-,-,,^^ Option 2: See note ^^,,,
Game Title Area: What do these stars mean? ★★★★★,,,,,,
-,-,,^^ 5 Stars Key: See note ^^,See note for how to add stars easily,,
Bonus: Table of Contents (how to add new links),,,,,Jump to top,
"1. Right click on a cell and select ""insert link""",,,,,,
"For example, this line is Line 137 of the Rules tab, so linking to this line would be 'Rules'!A137:G137",,,,,,
"3. Under ""link"", add and modify this template: 'NAME OF TAB'!A(x):G(x)",,,,,,
"4. Press ""apply""",,,,,,
5. Change the colour of the newly-created text to Custom Colour 22 (THIS COLOUR),,,,,,
"6. Add ""JUMP TO TOP"" box to the first game in the newly-added section",,"The link would be 'NAME OF TAB'!A1. Example is shown above in the ""Examples"" column.",,,,
,,,,,,
Sheet Researchers,These are the people who have conducted the research on the Spreadsheet. Please remember to credit this when reposting any information from this sheet.,,,,,
"Research by: 601billionlazer, Aced, AceKombat, AdamCrossing, AdAstra, Adehm, Aeroblast, Aezon, Aged String, Akis_02, Alefikouhi, Alice Grimaude, Alpha Remaster, amphobius, Aquellex, ArieJuice, Arvin/YourVinished, ashy, Awakia/Remii, Ayala2004, baggage, bambifnftheveryreal, BananenDealerNL, bauerklos, Ben, Benjamin, big_fish_audio, Booey, BootyFarts22, Bouncy Glow, Bradley, brrrr, bruj, brutalmoon, calcobrena, Camac, cat-sri, cazsu, Celestial Vector XIV, celestialvectorxiv, CerealYe, Chase H. Xealot, Cherry, ChilliusVGM, ChiptuneBrony, ChrisNonyminus, Collision Chaos Radio, Colou, Cosmic199X, CrimsonZN, crissxcr0ss, crystal pepsi, CrystalLink, CyanSMP64/Furret, daryll402, DatExpandingFuto (RidingInTheRed), daypeecone, DDProd, deathic, Deloof, denise, Dialga22239, Diane, Dimbus Maximus, doktrin, Doubleuman, doyakao, DreamFreeze, dreamscarletdevil, Dumperghost/Mr. Miles, E3Kay/OKayDoKay, Elite's Symphonies, EmmaNerd, Enclave123, eph, Etzaen, Excalibur624, felineki, Floogus, FoxerTails, FrappE, fusoxide, Gazpacho, GBP (GaragebandPoke), GDhex12, Gigabyte66, Glacie, GloriousGlider8, goatsoup.mp3, GreatGospelGamer, G-Boy, HahaLand, HarmoDevil, headshotsniper, Hollie, Hopeful Spread, hUte6FXnj2T1Pjp, ic3ps, IcySoap, Infomaniac95, Inopmusic, irikachana, IrisRose, Jamangar, JLucher, Juesto, kabulent, Kaseboy Advance, Kepper, Kepper, KirbySplaat, KnapfordMaster98, koolaid, Krinkles, Krisgames4, Kryptopex, KTRMAmbiance, Kurausukun, K-Dubs, K-PSZH, Laffé, Lanausse, Lebert130, leon, LilyMakesThings, Lincman31B, Logan812, Lorenzo, Lu9, Lumiflag, lunarbunten, Lunarys, Magabes a.k.a Maga, Magnus, Makoto, Mathew Valente (tssf), mBluett, Meatball132, megamario1234, MegaStrike, meowsandstuff, michael02022, midiman, Milon Luxy, MinekoTheNekoberos, Mistsofnowh3r3, MistyRockandRoll, mocha_aura, modik, Moffled, Moola Mixtape, Morris, MOVGAMES, Mudstep, Nanashima, Natah_DN, Navag8r, Neo Te Aika, Nesufire, nford4947 a.k.a ssserani, Nico_, Nifara, Nisto, Nuclear, okujassu, Optimus97, OrreMIDI, Pascal van den Bos, Peanutbutterbuy111, peronmls, Pigeon City Chicken, Pinci, PlatinumMaster, pm41224, PokefanDylan, Pokestir, Polter, PreciseLimited, PSIFox, Raemish Hakurish, Rafii_304, Raven Penfold, recordreader, RenSFX, Retro VG Media, Revolver Ocelot (meowsandstuff), Rhey, Robin, robokai, Robyn, Rockman Zero, rowwuk, rune, RustyNailed6, sabianmateinnit, Sarvéproductions, ScrewStache, SehrStill, Seil, Seshpai, ShinkoNetCavy, shutdown, Similirity, Skull, SlappyCromwell, SlyHikari03, SodaCat, SpaceFanatci64, Speedy, Spektron, Spinny, Splurgy, Sprite, Spyro Soundfont Collection, SSQMinky, ssserani, StevenMix, Stevie Skittles, stin, stomatol, Stuffed, subtrot, Sun, superdave, Super Spindash, SuperDF, SuperSMZ, swifty, SynaMax, TecFox, TechnoMysterio, thatguynamedjalen, The Captain, The Discorder, the lightlee, The Quiggles, thefizzyfrenzy, TheJosh347, thelostrune, toastedfoxx, Tob_ii, Tocinin, toiletdragon, Tori, Toshi-kun, Troxic Beatz, twotimess, unknown, UnpleasantPheasant, Velvetic, Vera, VGA Guy, Vicious Hobo, vin, VlinkSens, wackypack, wariofreak, Water Wave, whisperjas, willowisp2002, WinterSSM, XaikuTheMaverickHunter, Xeinafa, Xerxes, Xfrtrex, ybc, Zame, zami3333, zephyr, ""Go Ichinose"", жопа_алексеевич",,,,,,
"As always, give credit when reposting this info please, out of respect to all of the people who found it.",,,,,,
"Notice:  If you wish to become an editor, please send a request (in the top corner) or send an email to torisvgmarchive@gmail.com. If possible, give a description with the request so we know why you would like access. At times, it may take a bit to get a response.",,,,,,
"If you have any concerns aside from editing access, please send a DM to real_tori on Discord.",,,,,,
