Instrument,Source,Path/Bank,Preset,Notes,Demo
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Synth Pad,,,,,
Distorted Synth Pad,,,,,
Wobbly Synth Pad,,,,,
Snare,,,,,
Ride Cymbal,,,,,
6. Horror of the Abyss,,,,,
Choir,EastWest - Symphonic Choir,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Percussion Loop,,,,,
Synth Drone,,,,,
Piano,,,,,
Synth Pad,,,,,
Distorted Saw Synth,,,,,
"""Tuh Tuh Tuh"" Shout",,,,,
Ride Cymbal,,,,,
,,,,,
7. Divine Fire,,,,,
Orchestra,Live Recording (Sydney Symphony Orchestra),,,,
Choir,Live Recording (Cantillation),,,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Percussion Loop,Spectrasonics - Stylus RMX,,,,
,,,,,
,,,,,
8. Arms of Steel,,,,,
Choir,EastWest - Symphonic Choir,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Snare,,,,,
Percussion Loop,Spectrasonics - Stylus RMX,CHECK,CHECK,,
Distorted Percussion Loop,Spectrasonics - Stylus RMX,CHECK,CHECK,,
Bright Synth Pad,UNKNOWN,,,,
Synth Mallet,Native Instruments - FM8,CHECK,CHECK,,
9. War: Warrior Worth a Thousand,,,,,
,,,,,
Choir,,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Percussion Loop,,,,,
Hi Hat Loop,,,,,
Synth Arp,,,,,
"""Tuh Tuh Tuh"" Shout",,,,,
10. Servant of the Crystal,,,,,
Electric Guitar,,,,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Choir Shout,EastWest - Symphonic Choir,,,,
Drum Kit,,,,,
Wobbly Synth Lead,,,,,
11. Arecia Al-Rashia,,,,,
Piano,,,,,
Choir,,,,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Percussion Loop,,,,,
12. Crystal Guide Us,,,,,
,,,,,
Piano,,,,,
Mellotron-esque Strings,,,,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Tom & Clap,,,,,
Synth Bells,,,,,
Synth Pad,,,,,
13. Time of Tranquility,,,,,
,,,,,
,,,,,
14. Moglin,,,,,
,,,,,
Celesta,EastWest - Symphonic Orchestra,Perc -> Metals,Celesta,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Bell Tree,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Glockenspiel,EastWest - Symphonic Orchestra,,,,
Flute,EastWest - Symphonic Orchestra,,,,
Bassoon,EastWest - Symphonic Orchestra,Woodwinds -> Solo Bassoon -> 5 Keysw,BSN KS Master,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
15. Erased Memories,,,,,
,,,,,
16. A Day Like Any Other,,,,,
,,,,,
17. Machina Kunagiri,,,,,
,,,,,
18. War: Unseen Peace,,,,,
,,,,,
19. War: Unseen Peace,,,,,
,,,,,
20. The Aggressors,,,,,
,,,,,
21. Untainted Eyes,,,,,
,,,,,
22. Rem Tokimiya,,,,,
,,,,,
23. The Forlorn Heart,,,,,
,,,,,
24. That Which Quivers,,,,,
,,,,,
25. Raise the Vermillion Banner,,,,,
,,,,,
26. The Heart Boils!,,,,,
,,,,,
27. The Earth Under Our Feet,,,,,
,,,,,
28. Chocobo!,,,,,
,,,,,
29. War: Recapture,,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Percussion Loop,,,,,
Synth Arp,Native Instruments - ???,,,,
Digitial Synth Arp,,,,,
30. War: That Which Stands in the Way,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31. White Thunder,,,,,
,,,,,
32. War: The White Weapon,,,,,
,,,,,
33.  Kind Tears,,,,,
,,,,,
34. War: Life of Darkness,,,,,
,,,,,
35. War: That Which Lurks,,,,,
,,,,,
36. War: Breaking Through,,,,,
,,,,,
37. War: How of The Dreadnought,,,,,
,,,,,
38. War: Howl of the Dreadnought,,,,,
,,,,,
39. The Azure Spirit,,,,,
,,,,,
40. Swaying Thoughts,,,,,
,,,,,
41. War: Pursuit,,,,,
,,,,,
42. Human Strengths and Weaknesses,,,,,
,,,,,
43. Your History and Fate,,,,,
,,,,,
44. Soar,,,,,
,,,,,
45. War: The Quiet Bloodbath,,,,,
,,,,,
46. War: Depths of Naraku,,,,,
,,,,,
47. Machina Kunagiri (Arrangement),,,,,
,,,,,
,,,,,
48. Rem Tokimiya (Arrangement),,,,,
,,,,,
49. War: The Quiet Bloodbath (Long),,,,,
,,,,,
50. Tempus Finis,,,,,
,,,,,
51. Machina and Rem,,,,,
,,,,,
52. Tempus Ratio,,,,,
,,,,,
53. Vermilion Fire,,,,,
,,,,,
54. Type Zero,,,,,
,,,,,
55. Silence,,,,,
,,,,,
56.  Colorful - Falling in Love,,,,,
,,,,,
Tracks introduced in Type-0 HD,,,,,
56.  Colorful - Falling in Love,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Section 2 - Final Fantasy XIII-2,,,,,
Original Soundtrack,,,,,
1. FINAL FANTASY XIII-2 Overture,,,,,
Synth Pad Layer,Spectrasonics - Distorted Reality 2,CD 2 -> Partition A -> 01 MALLETS,RESOGONG,,
Synth Pad,,,,,
2. Warrior Goddess,,,,,
Violin Ensemble,Live Recording: See Note,,,,
Viola Ensemble,Live Recording: See Note,,,,
Cello Ensemble,Live Recording: See Note,,,,
Bass Ensemble,Live Recording: See Note,,,,
Tuba,Live Recording: Shinpei Tsugita,,,,
Trumpet,Live Recording: See Note,,,,
Trombone,Live Recording: See Note,,,,
French Horns,Live Recording: See Note,,,,
Toms,UNKNOWN,,,,
Flute Ensemble,UNKNOWN,,,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Tambourine,EastWest - Symphonic Orchestra,Perc -> Various Perc,Various Perc,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Gongs,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Wind Chime,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metal,,
Harp,UNKNOWN,,,,
Piano,UNKNOWN,,,Could be live,
Snare Ensemble,UNKNOWN,,,Could be live,
3. FINAL FANTASY XIII-2 - Wishes -,,,,,
,,,,,
4. Etro's Champion,,,,,
,,,,,
5. Eternal War,,,,,
Staccato Violin Ensemble,Native Instruments - Kontakt Factory Library,Orchestral -> 1 - VSL Strings,Violin Ensemble,Possibly VSL SE Vol. 1 too,
Staccato Viola Ensemble,Native Instruments - Kontakt Factory Library,Orchestral -> 1 - VSL Strings,Viola Ensemble,Possibly VSL SE Vol. 1 too,
Staccato Cello Ensemble,Native Instruments - Kontakt Factory Library,Orchestral -> 1 - VSL Strings,Cello Ensemble,Possibly VSL SE Vol. 1 too,
Staccato Bass Ensemble,Native Instruments - Kontakt Factory Library,Orchestral -> 1 - VSL Strings,Double Bass Ensemble,Possibly VSL SE Vol. 1 too,
Sustain String Ensemble,,,,,
Bass Synth,,,,,
Ride Cymbal,,,,,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Gongs,,
Kick,UNKNOWN,,,,
Percussion Loop (Shaker),Spectrasonics - Stylus RMX,,,,
Clarinet,EastWest - Symphonic Orchestra,Woodwinds -> Solo Clarinets,SCL KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 2 Trumpets -> 5 Keysw,2TP KS Master,,
6. Divine Conflict,,,,,
Violin Ensemble,Live Recording: See Note,,,,
Viola Ensemble,Live Recording: See Note,,,,
Cello Ensemble,Live Recording: See Note,,,,
Bass Ensemble,Live Recording: See Note,,,,
Tuba,Live Recording: Shinpei Tsugita,,,,
Trumpet,Live Recording: See Note,,,,
Trombone,Live Recording: See Note,,,,
French Horns,Live Recording: See Note,,,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flutes -> 5 Keysw,SFL KS Master,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Gongs,,
Snare,EastWest - Symphonic Orchestra,,,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Harmonic Synth,UNKNOWN,,,,
Percussion Loop,Spectrasonics - Stylus RMX,,,,
7. An Arrow Through Time,,,,,
,,,,,
8. Paradox,,,,,
,,,,,
9. Giant's Fist,,,,,
,,,,,
10. A World Without Cocoon,,,,,
,,,,,
11. Full Speed Ahead,,,,,
,,,,,
12. Noel's Theme,,,,,
,,,,,
13. New Bodhum,,,,,
Vocals,Live Recording (Origa),,,,
Castanets,EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,,
Choir,Spectrasonics - Omnisphere,Human Voices,Japanese Children's Choir,,
14. New Bodhum - Aggressive Mix -,,,,,
Vocals,Live Recording (Origa),,,,
,,,,,
15. Paradigm Shift,,,,,
,,,,,
16. Glory's Fanfare,,,,,
,,,,,
17. Groovy Chocobo,,,,,
,,,,,
18. FINAL FANTASY XIII-2 - The Future -,,,,,
,,,,,
19. Historia Crux,,,,,
Vocals ,Live Recording (Origa),,,,
French Horn,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Wobbly Synth Lead,UNKNOWN,,,,
20. Worlds Collide,,,,,
Vocals,Live Recording (David Whitaker),,,More distorted in-game. Also co-writer to the lyrics.,
Short Strings,EastWest - Symphonic Orchestra,,,,
Airy Synths,Native Instruments - Absynth,,,,
21. Unseen Intruder,,,,,
Vocals,Live Recording (Aimee Blackschleger),,,Removed in the International versions ,
Synth Bell,Native Instruments - FM8,,,,
22. Unseen Intruder - Aggressive Mix -,,,,,
Vocals,Live Recording (Aimee Blackschleger),,,(Largely) removed in the International versions,
23. The Last Hunter,,,,,
,,,,,
,,,,,
24.  Blessed Fanfare,,,,,
,,,,,
25. The Story So Far…,,,,,
,,,,,
26. Missing Link,,,,,
Vocals,Live Recording (Origa),,,,
,,,,,
27. Memories for the Future,,,,,
,,,,,
28. Eclipse,,,,,
Vocals,Live Recording (Michiyo Honda),,,,
Percussion loop,UNKNOWN,,,"Also heard in ""The Cradle Will Fall"" from XIII",
,,,,,
29. Eclipse - Aggressive Mix,,,,,
Vocals,Live Recording (Michiyo Honda),,,,
,,,,,
30. Hope's Theme - Tomorrow's Dream -,,,,,
,,,,,
31. Song of the Farseers,,,,,
,,,,,
32. Village and Void,,,,,
Vocals,Live Recording (Joelle Strother),,,,
,,,,,
33. Village and Void - Aggressive Mix -,,,,,
Vocals,Live Recording (Joelle Strother),,,,
,,,,,
34. Temporal Rift,,,,,
Synth,Native Instruments - FM8,FM8 Factory,Aqua Atmo,,
Synth Marimba,Native Instruments - FM8,FM8 Factory,Miramba,,
35. Oracle Drive,,,,,
,,,,,
36. Caius's Theme,,,,,
,,,,,
37. Eyes of Etro,,,,,
,,,,,
38. Parallel Worlds,,,,,
Vocals,Live Recording (Origa),,,,
,,,,,
39. Parallel Worlds - Aggressive Mix -,,,,,
Vocals,Live Recording (Origa),,,,
,,,,,
40. The Void Bellow,,,,,
Vocals,Live Recording (Origa),,,,
,,,,,
41. Oathbrand,,,,,
,,,,,
42. Limit Break!,,,,,
Vocals,Live Recording (Shootie HG),,,,
,,,,,
43. Starting Over,,,,,
Vocals,Live Recording (Joelle Strother),,,,
,,,,,
44. Starting Over - Aggressive Mix - ,,,,,
Vocals,Live Recording (Joelle Strother),,,,
,,,,,
45. Mischievous Mog's Marvelous Plan with Flan,,,,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Bassoon,EastWest - Symphonic Orchestra,Woodwinds -> Bassoon -> 5 Keysw,BSN KS Master,,
Glock,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Ratchet,EastWest - Symphonic Orchestra,Perc -> Wood,Various Perc,,
46. Plains of Eternity,,,,,
Vocals,Live Recording (Joelle Strother),,,,
,,,,,
47. Plains of Eternity - Aggressive Mix,,,,,
,,,,,
48. Serendipity,,,,,
,,,,,
49. Chocobo Rodeo,,,,,
,,,,,
50. All or Nothing,,,,,
,,,,,
51. Threat Level Omega,,,,,
,,,,,
52. Chaotic Guardian,,,,,
,,,,,
53. Yeul's Theme,,,,,
Vocals,Live Recording (Joelle Strother),,,,
,,,,,
54. Feral Link,,,,,
,,,,,
55. Augusta Tower,,,,,
,,,,,
56. Augusta Tower - Aggressive Mix -,,,,,
,,,,,
57. Academia,,,,,
,,,,,
58. Academy's Theme,,,,,
,,,,,
59. A Fading Miracle,,,,,
,,,,,
60. Crazy Chocobo,,,,"(Arranged by Shawn ""Shootie HG"" McPherson)",
Vocals,Live Recording (Shawn McPherson),,,,
Distorted Guitar,Live Recording (CHECK),,,Interestingly Shootie isn't credited anywhere on XIII-2's OST for guitar,
61. Shadow of Valhalla,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
62. Countless Partings,,,,,
,,,,,
63. Hollow Seclusion - Game Over -,,,,,
,,,,,
64. Serah's Theme - Memories -,,,,,
Vocals,Live Recording (Frances Maya),,,,
,,,,,
65. Noel's Theme - Final Journey -,,,,,
Vocals,Live Recording (KOKIA),,,,
,,,,,
66. Lightning's Theme - Unprotected Future -,,,,,
,,,,,
67. Etro's Gate,,,,,
,,,,,
68. Tears of the Goddess,,,,,
,,,,,
69. Labyrinth of Chaos,,,,,
,,,,,
70. Time's Master,,,,,
,,,,,
71. Heart of Chaos,,,,,
,,,,,
72. Promise to the Future,,,,,
,,,,,
73. Unseen Abyss,,,,,
,,,,,
74. Eternal Paradox,,,,,
,,,,,
75. World of Hope,,,,,
,,,,,
76. Metashield Deployed,,,,,
,,,,,
77. The Goddess is Dead,,,,,
,,,,,
78. Closing Credits,,,,,
,,,,,
79. Perpetual Battlefield,,,,,
,,,,,
,,,,,
Original Soundtrack PLUS,,,,,
1. Local Cosmos_soft_4Beat (Draft of New Bodhum),,,,,
Vocals,Live Recording (Origa),,,,
Choir,Spectrasonics - Omnisphere ,Human Voices,Japanese Children's Choir,,
2. Travelogue_GuideVocalDemo ~ (Draft of Historia Crux),,,,,
,,,,,
3. The Last Hunter_original long edition ~ (Draft of The Last Hunter),,,,,
,,,,,
5. Memories for the Future_another take,,,,,
,,,,,
6. FirstPV ~ (Teaser trailer theme),,,,,
,,,,,
7. Starting Over_Goh Hotoda REMIX,,,,,
,,,,,
8. BOSSBATTLE_v2-09_31aug11 ~ (August 2011 draft of Limit Break),,,,,
,,,,,
9. Crazy Chocobo_UstreamEdit ~ (Edit of Crazy Chocobo),,,,,
,,,,,
10. Hopping Chocobo,,,,,
,,,,,
"11. Noel's Theme_guitar demo version ~ (Demo of ""Full Speed Ahead"")",,,,,
,,,,,
Solo Violin,EastWest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,,
12. Local Cosmos_other_110725 ~ (Alternative Draft of New Bodhum),,,,,
,,,,,
"13. Parallel World CrossFadeDemo ~ (Draft of ""Parallel Worlds"")",,,,,
,,,,,
"14. yuza_050 ~ (Arrangement of ""Blinded by Light"")",,,,,
,,,,,
15. Clash on the Big Bridge - Oriental MIX -,,,,,
,,,,,
16. Noel's Theme - Final Journey -_AbstractSetOne,,,,,
,,,,,
,,,,,
Section 3 - Lightning Returns: Final Fantasy XIII,,,,,
Original Soundtrack,,,,,
1. Lightning Returns,,,,(Arranged by Mitsuto Suzuki & Aska Kaneko),
Solo Violin,Live Recording,,,,
Shaker,UNKNOWN,,,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 2 Trumpets -> 5 Keysw,2TP KS Master,,
Cymbal Crash,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Xylophone (?),UNKNOWN,,,,
Snare,UNKNOWN,,,,
Electric Guitar,UNKNOWN,,,,
Classical Organ,UNKNOWN,,,,
Tambourine,EastWest - Symphonic Orchestra,Perc -> Various Perc,Various Perc,,
Drum Break,UNKNOWN,,,,
Distortion Effect,UNKNOWN,,,,
Poly Synth Lead,UNKNOWN,,,,
Slap Bass,UNKNOWN,,,,
Square(?) Synth,UNKNOWN,,,,
Stacc Strings,UNKNOWN,,,,
2. The Final 13 Days,,,,(Arranged by Masashi Hamauzu),
,,,,,
,,,,,
3. Lightning's Theme - A Distant Glimmer -,,,,(Arranged by Masashi Hamauzu),
,,,,,
4. Equilibrium,,,,(Arranged by Naoshi Mizuta),
,,,,,
5. Chaos,,,,(Arranged by Naoshi Mizuta),
Sticks(?),CHECK,,,Might be a drum loop instead,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,22 Cymbal,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Gongs,Probably set to a very low velocity,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Tubular Bell,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Tambourine,EastWest - Symphonic Orchestra,Perc -> Various Perc,Various Perc,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Flute Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute,SFL KS Master,,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe,SOB KS Master,,
Bassoon,EastWest - Symphonic Orchestra,Woodwinds -> Bassoon,BSN KS Master,,
Trumpet,Samplemodeling - The Trumpet,-,Trumpet 1,,
Drum Loop,Zero G - Jungle Frenzy 2,Track 9,Scalped,"Pitched up by roughly 1, maybe 2, semitones",
Mallet Layer,UNKNOWN,,,,
Kick,UNKNOWN,,,,
Solo Violin,UNKNOWN,,,"Could be EastWest, could be live",
Shaker,UNKNOWN,,,,
6. The Ark,,,,(Arranged by Mitsuto Suzuki & Aska Kaneko & Mina Kubota),
,,,,,
