Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
Flute,Sample 28,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Flute,Sample 29,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Flute,Sample 30,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Flute,Sample 31,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Flute,Sample 32,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Tamtam,Sample 33,Roland - SOUND Canvas SC-8820,,,,
Flute,Sample 34,,,,,
22. Game Over,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,, 
23. Run!,,,,,,
,,,,,, 
24. Sweet Dreams,,,,,,
,,,,,, 
25. Over the Hill,,,,,,
,,,,,, 
26. Ice Cavern,,,,,,
,,,,,, 
27. Village of Dali,,,,,,
,,,,,, 
28. Beyond the Twilight,,,,,,
,,,,,, 
29. Steiner's Delusion,,,,,,
Pizzicato Strings,Sample 0,Kurzweil - Orchestral ROM,Programs -> Section Strings,957 Pizzicato String,,
Pizzicato Strings,Sample 1,Kurzweil - Orchestral ROM,Programs -> Section Strings,957 Pizzicato String,,
Pizzicato Strings,Sample 2,Kurzweil - Orchestral ROM,Programs -> Section Strings,957 Pizzicato String,,
Pizzicato Strings,Sample 3,Kurzweil - Orchestral ROM,Programs -> Section Strings,957 Pizzicato String,,
Pizzicato Strings,Sample 4,Kurzweil - Orchestral ROM,Programs -> Section Strings,957 Pizzicato String,,
Pizzicato Strings,Sample 5,Kurzweil - Orchestral ROM,Programs -> Section Strings,957 Pizzicato String,,
Pizzicato Strings,Sample 6,Kurzweil - Orchestral ROM,Programs -> Section Strings,957 Pizzicato String,,
Trombone Staccato,Sample 7,Miroslav Vitous - Solo Instruments I 2.0,Solo Inst. I -> Trombone,Tromb. Stac,,
Trombone Staccato,Sample 8,Miroslav Vitous - Solo Instruments I 2.0,Solo Inst. I -> Trombone,Tromb. Stac,,
Trombone Staccato,Sample 9,Miroslav Vitous - Solo Instruments I 2.0,Solo Inst. I -> Trombone,Tromb. Stac,,
Trombone Staccato,Sample 10,Miroslav Vitous - Solo Instruments I 2.0,Solo Inst. I -> Trombone,Tromb. Stac,,
Trombone Staccato,Sample 11,Miroslav Vitous - Solo Instruments I 2.0,Solo Inst. I -> Trombone,Tromb. Stac,,
Harmonica,Sample 12,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,
Harmonica,Sample 13,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,
Harmonica,Sample 14,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,
Harmonica,Sample 15,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,
Flute,Sample 16,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,
Flute,Sample 17,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,
Flute,Sample 18,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,
Flute,Sample 19,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,
Clarinet,Sample 20,Miroslav Vitous -  Solo Instruments I 2.0,Solo Inst. I -> 000 Clarinet,Clar,,
Clarinet,Sample 21,Miroslav Vitous -  Solo Instruments I 2.0,Solo Inst. I -> 000 Clarinet,Clar,,
Clarinet,Sample 22,Miroslav Vitous -  Solo Instruments I 2.0,Solo Inst. I -> 000 Clarinet,Clar,,
Clarinet,Sample 23,Miroslav Vitous -  Solo Instruments I 2.0,Solo Inst. I -> 000 Clarinet,Clar,,
30. Fleeting Life,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
31. Zidane's Theme,,,,,,
String Ensemble,Sample 0,,,,,
String Ensemble,Sample 1,,,,,
String Ensemble,Sample 2,,,,,
String Ensemble,Sample 3,,,,,
String Ensemble,Sample 4,,,,,
String Ensemble,Sample 5,,,,,
String Ensemble,Sample 6,,,,,
Chiffer Lead,Sample 7,Roland - SOUND Canvas SC-8820,SC-8820 Map,084 000 Chiffer Lead,,
Chiffer Lead,Sample 8,Roland - SOUND Canvas SC-8820,SC-8820 Map,084 000 Chiffer Lead,,
Pan Flute,Sample 9,Roland - SOUND Canvas SC-8820,SC-8820 Map,076 000 Pan Flute,,
Pan Flute,Sample 10,Roland - SOUND Canvas SC-8820,SC-8820 Map,076 000 Pan Flute,,
Electric Piano,Sample 11,Roland - SOUND Canvas SC-8820,SC-8820 Map,005 000 E.Piano 1,,
Sine,Sample 12,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Sine,Sample 13,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Sine,Sample 14,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Synth Bass,Sample 15,,,,,
Woodblock,Sample 16,,,,,
Woodblock,Sample 17,,,,,
Snare,Sample 18,,,,,
Bass Drum,Sample 19,,,,,
Oboe,Sample 20,,,,,
Clarinet,Sample 21,,,,,
Cymbal Crash,Sample 22,,,,,
Tremolo Strings,Sample 23,,,,,
Trumpet,Sample 24,,,,,
Trumpet,Sample 25,,,,,
French Horn,Sample 26,,,,,
French Horn,Sample 27,,,,,
French Horn,Sample 28,,,,,
Snare,Sample 29,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,
Snare,Sample 30,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,
32. The Black Waltz,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
33. Cid's Theme,,,,,,
,,,,,, 
34. Out of the Frying Pan,,,,,,
,,,,,, 
35. Lindblum,,,,,,
,,,,,, 
36. A Song From Her Memory,,,,,,
,,,,,, 
37. Festival of the Hunt,,,,,,
Synth Bass,Sample 0,Roland - SOUND Canvas SC-8820,SC-8820 Map,040 004 MG Bass,,
String Ensemble,Sample 1,,,,,
String Ensemble,Sample 2,,,,,
String Ensemble,Sample 3,,,,,
String Ensemble,Sample 4,,,,,
Piano,Sample 5,,,,,
Piano,Sample 6,,,,,
Piano,Sample 7,,,,,
Piano,Sample 8,,,,,
Pedal Hat,Sample 9,Alesis - DM5,Hat,9 Brt Foot,,
Crash,Sample 10,Alesis - DM5,Cymbal,9 Brt Crash,,
Tom,Sample 11,Alesis - DM5,Tom,0 Hero Hi,,
Open Hat,Sample 12,Alesis - DM5,Hat,8 Brt Open,,
Ride,Sample 13,Alesis - DM5,Cymbal,0 Ride Cym,,
Triangle,Sample 14,Roland - SOUND Canvas SC-8820,SC-8820 Map,STANDARD 1 [A5],"This triangle is in most Sound Canvas kits, so this is an estimate",
Timpani,Sample 15,,,,,
Snare,Sample 16,Alesis - DM5,Snare,0 Get Real,,
Kick,Sample 17,,,,,
Trumpet,Sample 18,,,,,
Trumpet,Sample 19,,,,,
Trombone,Sample 20,,,,,
Trombone,Sample 21,,,,,
Trombone,Sample 22,,,,,
Clarinet,Sample 23,Miroslav Vitous - Woodwind & Brass Ensembles 2.0,Wood Winds -> Clarinet,Clars Port,,
Clarinet,Sample 24,Miroslav Vitous - Woodwind & Brass Ensembles 2.0,Wood Winds -> Clarinet,Clars Port,,
Clarinet,Sample 25,Miroslav Vitous - Woodwind & Brass Ensembles 2.0,Wood Winds -> Clarinet,Clars Port,,
Clarinet,Sample 26,Miroslav Vitous - Woodwind & Brass Ensembles 2.0,Wood Winds -> Clarinet,Clars Port,,
Flute 1,Sample 27,,,,,
Flute 1,Sample 28,,,,,
Flute 1,Sample 29,,,,,
Flute 1,Sample 30,,,,,
Oboe,Sample 31,,,,,
Oboe,Sample 32,,,,,
Oboe,Sample 33,,,,,
Saw Lead,Sample 34,Roland - SOUND Canvas SC-8820,SC-8820 Map,082 Saw Wave,Raised Cutoff (CC 74),
Flute 2,Sample 35,,,,,
Flute 2,Sample 36,,,,,
Flute 2,Sample 37,,,,,
Flute 2,Sample 38,,,,,
French Horns,Sample 39,,,,,
French Horns,Sample 40,,,,,
French Horns,Sample 41,,,,,
38. Qu's Marsh,,,,,,
,,,,,, 
39. Quina's Theme,,,,,,
,,,,,, 
40. Aloha de Chocobo,,,,,,
,,,,,, 
41. Ukulele de Chocobo,,,,,,
,,,,,, 
42. Freya's Theme,,,,,,
,,,,,, 
43. South Gate,,,,,,
,,,,,, 
44. Faerie Battle,,,,,,
,,,,,, 
45. Kingdom of Burmecia,,,,,,
,,,,,, 
46. Unforgettable Silhouette,,,,,,
,,,,,,
47. Kuja's Theme,,,,,,
,,,,,, 
48. The Wavering Blade,,,,,,
,,,,,, 
49. Dark City Treno,,,,,,
,,,,,, 
50. Tantalus's Theme,,,,,,
,,,,,, 
51. Wicked Melody,,,,,,
,,,,,, 
52. Garnet's Theme,,,,,,
Acoustic Bass,Sample 0,,,,,
Acoustic Bass,Sample 1,,,,,
Acoustic Bass,Sample 2,,,,,
Oboe,Sample 3,,,,,
Clarinet,Sample 4,Miroslav Vitous - Solo Instruments I 2.0,Solo Inst. I -> Clarinet,Clar,,
Clarinet,Sample 5,Miroslav Vitous - Solo Instruments I 2.0,Solo Inst. I -> Clarinet,Clar,,
Clarinet,Sample 6,Miroslav Vitous - Solo Instruments I 2.0,Solo Inst. I -> Clarinet,Clar,,
Flute,Sample 7,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,
Flute,Sample 8,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,
Flute,Sample 9,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,
Flute,Sample 10,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,
Flute,Sample 11,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,
Oboe,Sample 12,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 005 Oboe,Oboe,,
Oboe,Sample 13,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 005 Oboe,Oboe,,
Fantasia Synth,Sample 14,Roland - SOUND Canvas SC-8820,SC-8820 Map,089 000 Fantasia,,
Fantasia Synth,Sample 15,Roland - SOUND Canvas SC-8820,SC-8820 Map,089 000 Fantasia,,
Sleigh Bells,Sample 16,Roland - SOUND Canvas SC-8820,,,,
Harp,Sample 17,Roland - SOUND Canvas SC-8820,SC-8820 Map,047 000 Harp,,
Harp,Sample 18,Roland - SOUND Canvas SC-8820,SC-8820 Map,047 000 Harp,,
Harp,Sample 19,Roland - SOUND Canvas SC-8820,SC-8820 Map,047 000 Harp,,
Triangle,Sample 20,,,,,
Synth Choir,Sample 21,,,,,
Synth Choir,Sample 22,,,,,
Slightly Harsh Synth Choir,Sample 23,,,,,
53. Gargan Roo,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,, 
54. Cleyra's Trunk,,,,,,
,,,,,, 
55. Cleyra Settlement,,,,,,
,,,,,, 
56. Eternal Harvest,,,,,,
,,,,,, 
57. Mourning the Sky,,,,,,
,,,,,, 
58. The Extraction,,,,,,
,,,,,, 
59. City Under Siege,,,,,,
,,,,,, 
60. Roses of May,,,,,,
,,,,,, 
61. Fossil Roo,,,,,,
,,,,,,
62. Conde Petie,,,,,,
,,,,,, 
63. Black Mage Village,,,,,,
,,,,,, 
64. Unrequited Love,,,,,,
,,,,,, 
65. Before the Altar,,,,,,
,,,,,, 
66. Eiko's Theme,,,,,,
,,,,,, 
"67. Madain Sari, Village of the Lost Summoners",,,,,,
,,,,,, 
68. Eidolon Wall,,,,,,
,,,,,, 
"69. Iifa, the Ancient Tree of Life",,,,,,
,,,,,, 
70. Amarant's Theme,,,,,,
,,,,,,
71. Devil's Ambition,,,,,,
,,,,,, 
72. Outlaws,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
73. Foolproof Love Letter Scheme,,,,,,
,,,,,, 
74. Tetra Master,,,,,,
,,,,,, 
75. Moogles' Theme,,,,,,
,,,,,, 
76. Something to Protect,,,,,,
,,,,,, 
77. Light of Destiny,,,,,,
,,,,,, 
78. Master of Time,,,,,,
,,,,,, 
79. Oeilvert,,,,,,
,,,,,, 
80. Chamber of a Thousand Faces,,,,,,
,,,,,, 
"81. Look Back, See the Frog!",,,,,,
,,,,,, 
82. Esto Gaza,,,,,,
,,,,,, 
83. Mount Gulug,,,,,,
,,,,,, 
"84. Broken Spell, Healed Hearts",,,,,,
,,,,,, 
85. Aboard the Hilda Garde,,,,,,
,,,,,, 
"86. Daguerreo, the Hermit's Library",,,,,,
,,,,,, 
87. Ipsen's Castle,,,,,,
,,,,,, 
88. The Four Mirrors,,,,,,
,,,,,, 
89. Guardians,,,,,,
,,,,,, 
90. Terra,,,,,,
,,,,,, 
"91. Bran Bal, the Soulless Village",,,,,,
,,,,,, 
92. Pandemonium,,,,,,
,,,,,, 
93. Not Alone,,,,,,
Synth Pad,Sample 0,Roland - SOUND Canvas SC-8820,SC-8820 Map,090 000 Warm Pad,,
Synth Pad,Sample 1,Roland - SOUND Canvas SC-8820,SC-8820 Map,090 000 Warm Pad,,
Closed HiHat,Sample 2,Alesis - DM5,Hat,2 Brt Clsd,,
Guitar Staccato,Sample 3,UNKNOWN,,,Likely from a CD (maybe EastWest),
Santur,Sample 4,Roland - JV-2080,PR-D (GM),016 Santur,,
Santur,Sample 5,Roland - JV-2080,PR-D (GM),016 Santur,,
Dulcimer,Sample 6,UNKNOWN,,,,
Pan Flute,Sample 7,Roland - JV-2080,PR-D (GM),076 Pan Flute,,
Pan Flute,Sample 8,Roland - JV-2080,PR-D (GM),076 Pan Flute,,
Synth Pluck,Sample 9,UNKNOWN,,,Likely Sampled from a Synth Bass,
Synth Pluck,Sample 10,UNKNOWN,,,Likely Sampled from a Synth Bass,
Ethnic Drum,Sample 11,UNKNOWN,,,??,
Synth Bass,Sample 12,Roland - SOUND Canvas SC-8820,SC-8820 Map,040 000 Synth Bass 2,,
Synth Bass,Sample 13,Roland - SOUND Canvas SC-8820,SC-8820 Map,040 000 Synth Bass 2,,
Conga,Sample 14,UNKNOWN,,,,
Metal Perc,Sample 15,UNKNOWN,,,,
Choir,Sample 16,Roland - SOUND Canvas SC-8820,SC-8820 Map,053 000 Choir Aahs,,
Choir,Sample 17,Roland - SOUND Canvas SC-8820,SC-8820 Map,053 000 Choir Aahs,,
Choir,Sample 18,Roland - SOUND Canvas SC-8820,SC-8820 Map,053 000 Choir Aahs,,
Kick,Sample 19,UNKNOWN,,,,
Snare,Sample 20,Alesis - DM5,Snare,5 PwrBalld ,,
Cowbell,Sample 21,Alesis - DM5,Perc.,11 Cowbell,,
Lead Guitar,Sample 22,UNKNOWN,,,Likely from a CD (maybe EastWest),
Lead Guitar,Sample 23,UNKNOWN,,,Likely from a CD (maybe EastWest),
Lead Guitar,Sample 24,UNKNOWN,,,Likely from a CD (maybe EastWest),
94. Unforgettable Sorrow,,,,,,
,,,,,, 
95. Another Nightmare,,,,,,
,,,,,, 
96. Silver Dragon,,,,,,
,,,,,, 
97. Memoria,,,,,,
,,,,,, 
98. Crystal World,,,,,,
,,,,,, 
99. The Darkness of Eternity,,,,,,
Kick,Sample 0,,,,,
Power Snare,Sample 1,,,,,
Tom,Sample 2,,,,,
Piano,Sample 3,,,,,
Piano,Sample 4,,,,,
Piano,Sample 5,,,,,
Piano,Sample 6,,,,,
Bass Drum,Sample 7,,,,,
Riser,Sample 8,,,,,
Synth Bass,Sample 9,,,,,
Synth Bass,Sample 10,,,,,
Pipe Organ,Sample 11,Miroslav - ???,,,"Appears in Miroslav Philharmonik as ""Pipe Organ 2""",
Pipe Organ,Sample 12,Miroslav - ???,,,"Appears in Miroslav Philharmonik as ""Pipe Organ 2""",
Pipe Organ,Sample 13,Miroslav - ???,,,"Appears in Miroslav Philharmonik as ""Pipe Organ 2""",
Pipe Organ,Sample 14,Miroslav - ???,,,"Appears in Miroslav Philharmonik as ""Pipe Organ 2""",
Pipe Organ,Sample 15,Miroslav - ???,,,"Appears in Miroslav Philharmonik as ""Pipe Organ 2""",
Pipe Organ,Sample 16,Miroslav - ???,,,"Appears in Miroslav Philharmonik as ""Pipe Organ 2""",
Rock Organ,Sample 17,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,
Rock Organ,Sample 18,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,
Rock Organ,Sample 19,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,
Rock Organ,Sample 20,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,
Distortion Guitar,Sample 21,,,,,
Distortion Guitar,Sample 22,,,,,
Overdrive Guitar,Sample 23,,,,,
Overdrive Guitar,Sample 24,,,,,
Overdrive Guitar,Sample 25,,,,,
Overdrive Guitar,Sample 26,,,,,
String Ensemble,Sample 27,,,,,
String Ensemble,Sample 28,,,,,
String Ensemble,Sample 29,,,,,
String Ensemble,Sample 30,,,,,
Ride Cymbal,Sample 31,,,,,
Cymbal Sustain,Sample 32,,,,,
Cymbal Crash,Sample 33,,,,,
100. The Final Battle,,,,,,
,,,,,,
,,,,,, 
,,,,,, 
101. Star-crossed Lovers,,,,,,
,,,,,, 
102. Kiss of Betrayal,,,,,,
,,,,,, 
103. I Want to Be Your Canary,,,,,,
,,,,,, 
104. Inseperable Hearts,,,,,,
,,,,,,
105. Behind the Door,,,,,,
,,,,,, 
106. Melodies of Life ~ Final Fantasy,,,,,,
,,,,,, 
107. Prelude,,,,,,
,,,,,, 
108. CCJC TVCM 15'',,,,,,
,,,,,, 
109. CCJC TVCM 30'',,,,,,
,,,,,,
110. Melodies of Life (The Layers of Harmony),,,,,,
,,,,,,
,,,,,,
Section 1 - Original Soundtrack PLUS,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
I... so happy...,,,,,,
