Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
15. Old Cid's Castle,,,,,,
,,,,,,
16. Chant of Truth,,,,,,
,,,,,,
17. Imp Robo Boss,,,,,,
,,,,,,
18. Advance!? Cid Mariner,,,,,,
,,,,,,
19. Story of the Bottom of the Sea,,,,,,
,,,,,,
20. Illusionary Place,,,,,,
,,,,,,
21. Time of Trial,,,,,,
,,,,,,
22. Mysterious Corridor,,,,,,
,,,,,,
23. Theme of Love (Piano Solo),,,,,,
,,,,,,
24. Ultros,,,,,,
,,,,,,
25. Wind of an Unexplored Region,,,,,,
,,,,,,
26. Monster Village (Version 2),,,,,,
,,,,,,
27. Full of Interesting Things,,,,,,
,,,,,,
28. Snow Field,,,,,,
,,,,,,
29. Time of Sorrow,,,,,,
,,,,,,
30. Glass Goth,,,,,,
,,,,,,
31. Theme of Love,,,,,,
,,,,,,
32. Strongest Impact,,,,,,
,,,,,,
33. Monster Village (Version 3),,,,,,
,,,,,,
34. Eek!,,,,,,
,,,,,,
35. Oh My...,,,,,,
,,,,,,
36. Charge!!,,,,,,
,,,,,,
37. The Last Prelude,,,,,,
,,,,,,
38. Glass Goth X ~ Glass Goth Z,,,,,,
,,,,,,
39. The Illusion Destroyed,,,,,,
,,,,,,
40. Reunion with Shiroma,,,,,,
,,,,,,
41. The Journey Continues,,,,,,
,,,,,,
42. Staff Roll,,,,,,
,,,,,,
43. March de Chocobo,,,,,,
,,,,,,
44. TVCM part1,,,,,,
,,,,,,
45. TVCM part2 ~Charge!!~,,,,,,
,,,,,,
,,,,,,
Section 3 - Chocobo Racing,,,,,,
,,,,,,
,,,,,,
,,,,,,
Section 4 - Dice De Chocobo (PS1)/Chocobo Land: A Game of Dice (GBA),,,,,,
Samples heard in the PS1 version,,,,,,
,,,,,,
Samples heard in the GBA version,,,,,,
,,,,,,
,,,,,,
Section 5 - Final Fantasy Fables: Chocobo Tales,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Section 6 - Final Fantasy Fables: Chocobo's Dungeon (Wii)/Cid and Chocobo's Mysterious Dungeon: Labyrinth of Forgotten Time DS+ (DS)/Chocobo's Mystery Dungeon Every Buddy! (PS4, Switch)",,,,,,
Tracks heard in Fables and Every Buddy  ,,,,,,
,,,,,,
Unreleased tracks,,,,,,
,,,,,,
Samples heard in Cid and Chocobo (DS),,,,,,
,,,,,,
Tracks introduced in Every Buddy,,,,,,
,,,,,,
,,,,,,
"Section 7 - Chocobo and the Magic Book: The Witch, The Girl and the Five Heroes",,,,,,
,,,,,,
18. Palom & Porom's Theme / from FINAL FANTASY IV,,,,,,
Marimba,SWAV 0,UNKNOWN,,,"Check SD-90, Fantom, Motif, Plugsound even ",
Organ,SWAV 1,UNKNOWN,,,"Check SD-90, Fantom, Motif, Plugsound even ",
Organ,SWAV 2,UNKNOWN,,,"Check SD-90, Fantom, Motif, Plugsound even ",
Organ,SWAV 3,UNKNOWN,,,"Check SD-90, Fantom, Motif, Plugsound even ",
Organ,SWAV 4,UNKNOWN,,,"Check SD-90, Fantom, Motif, Plugsound even ",
Timpani,SWAV 5,UNKNOWN,,,,
Trumpet Attack Layer,SWAV 6,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc,,
Trumpet Port Layer,SWAV 6,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,SWAV 6,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
Trumpet Attack Layer,SWAV 7,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc,,
Trumpet Port Layer,SWAV 7,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,SWAV 7,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
English Horn,SWAV 8,Edirol - Orchestral,,,,
English Horn,SWAV 9,Edirol - Orchestral,,,,
Bottle Blow,SWAV 10,UNKNOWN,,,Sounds vaguely Yamaha,
Bottle Blow,SWAV 11,UNKNOWN,,,,
Snare,SWAV 12,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,
Tamborine,SWAV 13,UNKNOWN,,,,
Synth Bass,SWAV 14,UNKNOWN,,,,
Udu Pot,SWAV 15,UNKNOWN,,,Possibly Stylus,
Udu Pot,SWAV 16,UNKNOWN,,,,
Udu Pot,SWAV 17,UNKNOWN,,,,
26. Seymour Battle / from FINAL FANTASY X,,,,,,
Piano,SWAV 0,UNKNOWN,,,,
Piano,SWAV 1,UNKNOWN,,,,
Synth Bass,SWAV 2,UNKNOWN,,,,
Low String Ensemble,SWAV 3,Edirol - Orchestral,,,,
Timpani,SWAV 4,Edirol - Orchestral,,,,
String Ensemble,SWAV 5,UNKNOWN,,,Might be Edirol,
String Ensemble,SWAV 6,UNKNOWN,,,Might be Edirol,
Hard String Ensemble,SWAV 7,Edirol - Orchestral,,,,
Hard String Ensemble,SWAV 8,Edirol - Orchestral,,,,
Hard String Ensemble,SWAV 9,Edirol - Orchestral,,,,
Trumpet Attack Layer,SWAV 10,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc,,
Trumpet Port Layer,SWAV 10,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,SWAV 10,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
Trumpet Attack Layer,SWAV 11,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc,,
Trumpet Port Layer,SWAV 11,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,SWAV 11,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
French Horn Ensemble,SWAV 12,Edirol - Orchestral,,,Might also be the SD-90,
Choir,SWAV 13,UNKNOWN,,,,
Choir,SWAV 14,UNKNOWN,,,,
Flute,SWAV 15,UNKNOWN,,,,
Percussion Hit,SWAV 16,UNKNOWN,,,Might be from something Roland,
Reverse Cymbal,SWAV 17,UNKNOWN,,,,
Cymbal Crash,SWAV 18,Best Service - Advanced Orchestra,CD 5 -> Partition A -> 01 CSY HITS,CSY MDFF,Might come from the Complete Orchestral Collection,
Snare,SWAV 19,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,
Orchestral Hit,SWAV 20,UNKNOWN,,,Check Orchestral Colors and Roland,
Saw Lead,SWAV 21,UNKNOWN,,,Check Absynth or the Yamaha QY series,
Saw Lead,SWAV 22,UNKNOWN,,,,
Kick,SWAV 23,UNKNOWN,,,,
BGM18 (30. Tough Battle / from FINAL FANTASY XI),,,,,,
Low String Ensemble,SWAV 0,Edirol - Orchestral,,,,
Timpani,SWAV 1,Edirol - Orchestral,,,,
Hard String Ensemble,SWAV 2,Edirol - Orchestral,,,,
Hard String Ensemble,SWAV 3,Edirol - Orchestral,,,,
Hard String Ensemble,SWAV 4,Edirol - Orchestral,,,,
Trumpet Attack Layer,SWAV 5,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc,,
Trumpet Port Layer,SWAV 5,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,SWAV 5,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
Trumpet Attack Layer,SWAV 6,UNKNOWN,,Tps Stacc,,
Trumpet Port Layer,SWAV 6,UNKNOWN,,Tps Port 1,,
Trumpet,SWAV 6,UNKNOWN,,Tps X,,
Saw Bass ,SWAV 7,UNKNOWN,,,,
French Horn,SWAV 8,UNKNOWN,,,,
Bottle Blow,SWAV 9,UNKNOWN,,,,
Bottle Blow,SWAV 10,UNKNOWN,,,,
Crash Hit,SWAV 11,UNKNOWN,,,,
Reverse Cymbal,SWAV 12,UNKNOWN,,,,
Crash Hit,SWAV 13,UNKNOWN,,,,
Cymbal Crash,SWAV 14,Best Service - Advanced Orchestra,CD 5 -> Partition A -> 01 CSY HITS,CSY MDFF,Might come from the Complete Orchestral Collection,
Snare,SWAV 15,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,
Synth Bells,SWAV 16,UNKNOWN,,,,
Brass Ensemble,SWAV 17,UNKNOWN,,,Sounds like Roland ,
Brass Ensemble,SWAV 18,UNKNOWN,,,,
Brass Ensemble,SWAV 19,UNKNOWN,,,,
Brass Ensemble,SWAV 20,UNKNOWN,,,,
Brass Ensemble,SWAV 21,UNKNOWN,,,,
Kick,SWAV 22,UNKNOWN,,,,
BGM22 (31. J-E-N-O-V-A / from FINAL FANTASY VII),,,,,,
Synth Bass,SWAV 0,UNKNOWN,,,,
Timpani,SWAV 1,Edirol - Orchestral,,,,
Hard String Ensemble,SWAV 2,Edirol - Orchestral,,,,
Hard String Ensemble,SWAV 3,Edirol - Orchestral,,,,
Trumpet Attack Layer,SWAV 4,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc,,
Trumpet Port Layer,SWAV 4,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,SWAV 4,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
Trumpet Attack Layer,SWAV 5,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc,,
Trumpet Port Layer,SWAV 5,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,SWAV 5,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
French Horn Ensemble,SWAV 6,Edirol - Orchestral,,,,
Choir,SWAV 7,UNKNOWN,,,Sounds like Roland,
Choir,SWAV 8,UNKNOWN,,,,
Flute,SWAV 9,UNKNOWN,,,,
Crash Hit,SWAV 10,UNKNOWN,,,,
String Tremolo,SWAV 11,Edirol - Orchestral,,,,
Reverse Cymbal,SWAV 12,UNKNOWN,,,,
Cymbal Crash,SWAV 13,Best Service - Advanced Orchestra,CD 5 -> Partition A -> 01 CSY HITS,CSY MDFF,,
Snare,SWAV 14,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,
Synth Mallet,SWAV 15,UNKNOWN,,,,
Orchestral Hit,SWAV 16,Best Service - Orchestral Colours,,,,
Orchestral Hit,SWAV 17,Best Service - Orchestral Colours,,,,
Brass Ensemble,SWAV 18,UNKNOWN,,,,
Brass Ensemble,SWAV 19,UNKNOWN,,,,
Brass Ensemble,SWAV 20,UNKNOWN,,,,
Brass Ensemble,SWAV 21,UNKNOWN,,,,
Kick,SWAV 22,UNKNOWN,,,,
,,,,,"Check SD-90, Fantom, Motif, Plugsound even ",
,,,,,,
Section 8 - Chocobo Racing GP,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
Try to list files in order of their in-game index.,,,,,,
Kweh,,,,,,
