Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
,,,,,,
2. Battle at the Big Bridge (Ver. 1) [FFRK Ver. Arrange],,,,,,
,,,,,,
3. Battle at the Big Bridge (Ver. 2) [FFRK Ver. Arrange],,,,,,
,,,,,,
4. Battle at the Big Bridge (Ver. 3) [FFRK Ver. Arrange],,,,,,
,,,,,,
5. Medley of Christmas (FFRK Ver. Arrange from FFVII),,,,,,
,,,,,,
6. FINAL FANTASY Main Theme (FFRK Ver. Arrange),,,,,,
,,,,,,
7. Special Arrange Medley (FFRK Ver. Arrange),,,,,,
,,,,,,
8. Medley of the Valentine's Day 2016 (FFRK Ver. Arrange),,,,,,
,,,,,,
9. Medley of the Braves 2016 (FFRK Ver. Arrange),,,,,,
,,,,,,
10. The Decisive Battle (FFRK Ver. Arrange from FFVI),,,,,,
,,,,,,
11. The Man with the Machine Gun (FFRK Ver. Arrange from FFVIII),,,,,,
,,,,,,
12. The Highwind Takes to the Skies (FFRK Ver. Arrange from FFVII),,,,,,
,,,,,,
13. Vana’diel March (FFRK Ver. Arrange from FFXI),,,,,,
,,,,,,
14. The Prelude - Wedding (FFRK Ver. Arrange),,,,,,
,,,,,,
15. Battle With the Four Fiends (FFRK Ver. Arrange from FFIV),,,,,,
,,,,,,
16. Medley of the Milkyway Serenade 2016 (FFRK Ver. Arrange),,,,,,
,,,,,,
17. Antipyretic (FFRK Ver. Arrange from FFT),,,,,,
Harp,,,,Harp Pluck,,
Strings,,,,,,
Brass,,,,,,
Woodwinds,,,,,,
Percussions,,,,,,
Vibraphone,,,,,,
Glockenspiel,,,,,,
Tubular Bells,,,,,,
Piano,,,,,,
18. Pa-Paya (FFRK Ver. Arrange from FFXIV),,,,,,
,,,,,,
19. Blinded By Light (FFRK Ver. Arrange from FFXIII),,,,,,
,,,,,,
20. The Chase (FFRK Ver. Arrange from FFVII),,,,,,
,,,,,,
21. Four Hearts (FFRK Ver. Arrange from FFV),,,,,,
,,,,,,
Vol. 2,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Vol. 3,,,,,,
,,,,,,
,,,,,,
Vol. 4,,,,,,
,,,,,,
,,,,,,
,,,,,,
Section 3 - Mobius Final Fantasy,,,,,,
,,,,,,
Vol. 1,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
35. Chocobattle!,,,,,,
Vocals,,Yamaha - VOCALOID,-,Hatsune Miku,Included at the request of Momotu Toriyama,
"""Kweh"" SFX",,CHECK,,,Reused SFX from other games,
French Horn Ensemble,,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Cymbal,,EastWest - Symphonic Orchestra,Perc - CymGong,All Cymbals,,
Timpani,,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Snare,,EastWest - Symphonic Orchestra,,,,
Tubular Bells,,EastWest - Symphonic Orchestra,Perc -> Metal,Orch Chimes,,
Xylophone,,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,Close Mic,
Flute,,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Strings,,UKNOWN,,,,
Synth Bass,,UKNOWN,,,,
French Horn Ensemble,,Cinesamples - Cinebrass Core,Instruments,06 Six Horns Ensemble Articulations,,
Shaker,,UKNOWN,,,,
909 Clap,,UKNOWN,,,,
909 Snare,,UKNOWN,,,,
909 Tom,,UKNOWN,,,,
909 Crash,,UKNOWN,,,,
Percussion Loop,,Spectrasonics - Stylus RMX,CHECK,CHECK,,
,,,,,,
,,,,,,
Vol. 2,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Vol. 2,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Section 6 - Other games,,,,,,
,,,,,,
Final Fantasy: Mystic Quest (US) / Mystic Quest Legend (EU) / Final Fantasy USA: Mystic Quest (JP),,,,,,
Nylon Guitar,$01,Roland - SC-55,Capital,025 Nylon-str. Gt. [C5],,
Kick,$02,UNKNOWN,,,,
Brass,$03,UNKNOWN,,,,
Distortion Guitar,$04,Roland - U-220,Tone,F-033: Heavy Electric Guitar 1 [C5],,
Synth Bass,$05,UNKNOWN,,,,
Flute,$06,Roland - SC-55,Capital,073 Piccolo [E4],,
Hi Hat,$07,Roland - SC-55,Drum Set,001 STANDARD [A#2],Pitched up ~30 cents,
French Horn,$08,Yamaha - TG77,Waveform,4 Horn,,
Organ,$09,UNKNOWN,,,,
Picked Bass,$0A,Roland - SC-55,Capital,035 Picked Bass [C3],,
Snare,$0B,UNKNOWN,,,,
Strings,$0C,Roland - SC-55,Capital,049 Strings [E5],,
Tom,$0D,Roland - SC-55,Capital,001 STANDARD [D3],Pitched up ~500 cents,
Trumpet,$0E,Roland - SC-55,Capital,057 Trumpet [D5],,
Glockenspiel,$0F,Roland - U-220,Tone,F-021: Bell 1 [C7],,
Crash Cymbal,$10,Roland - SC-55,Drum Set,001 STANDARD [C#3],Pitched up ~130 cents,
Timpani,$11,Roland - SC-55,Capital,048 Timpani,,
Rimshot,$12,UNKNOWN,,,,
FM Electric Piano 1,??,UNKNOWN,,,"Likely TG77, may be from SDK",
FM Electric Piano 2,??,UNKNOWN,,,"Likely TG77, may be from SDK",
FM Bells,??,UNKNOWN,,,"Likely TG77, may be from SDK",
FM Bass,??,UNKNOWN,,,"Likely TG77, may be from SDK",
FM Saw 1,??,UNKNOWN,,,"Likely TG77, may be from SDK",
FM Saw 2,??,UNKNOWN,,,"Likely TG77, may be from SDK",
FM Square,??,UNKNOWN,,,"Likely TG77, may be from SDK",
Final Fantasy: The 4 Heroes of Light,,,,,,
1. The 4 Heroes of Light Main Theme,,,,,,
,,,,,,
"2. Horne, Windy Town",,,,,,
,,,,,,
"3. Horne, Windy Town (Night)",,,,,,
,,,,,,
4. Castle Melody,,,,,,
,,,,,,
5. Walking the Earth,,,,,,
,,,,,,
6. Walking the Earth (Night),,,,,,
,,,,,,
7. Battle with Monsters,,,,,,
,,,,,,
8. Victory,,,,,,
,,,,,,
9. Cave of Wraiths,,,,,,
,,,,,,
10. The Witch's Mansion,,,,,,
,,,,,,
11. Formidable Enemy,,,,,,
,,,,,,
12. Certain Death,,,,,,
,,,,,,
13. The Crystal's Guidance,,,,,,
,,,,,,
14. The 4 Heroes of Light,,,,,,
,,,,,,
"15. Guera, Kingdom of Magic",,,,,,
,,,,,,
"16. Guera, Kingdom of Magic (Night)",,,,,,
,,,,,,
"17. Liberte, Capital of Art",,,,,,
,,,,,,
"18. Liberte, Capital of Art (Night)",,,,,,
,,,,,,
"19. Urbeth, City of Merchants",,,,,,
,,,,,,
"20. Urbeth, City of Merchants (Night)",,,,,,
,,,,,,
21. Business is Fun,,,,,,
,,,,,,
22. Time for Bed,,,,,,
,,,,,,
23. The Legendary Whale,,,,,,
,,,,,,
"24. Arbor, Forbidden Land",,,,,,
,,,,,,
25. Blockaded Invidia,,,,,,
,,,,,,
26. The Dragon Egg,,,,,,
,,,,,,
27. Dragon Riding,,,,,,
,,,,,,
28. Heavenly Spelvia,,,,,,
,,,,,,
29. Heavenly Spelvia (Night),,,,,,
,,,,,,
30. Cursed Town,,,,,,
,,,,,,
31. The Dark Lord's Servants,,,,,,
,,,,,,
32. Approaching Dread,,,,,,
,,,,,,
33. The Nick of Time,,,,,,
,,,,,,
34. Defeat,,,,,,
,,,,,,
35. Adventurous Friends,,,,,,
,,,,,,
36. Another Space,,,,,,
,,,,,,
37. The Dark Lord's Heartbeat,,,,,,
,,,,,,
38. The FInal Battle,,,,,,
,,,,,,
39 Dark Lord Chaos,,,,,,
,,,,,,
40. Journey's End,,,,,,
,,,,,,
41. Adventure Never Ends,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Final Fantasy Explorers,,,,,,
1. Explorers,,,,,,
,,,,,,
2. Time of Departure,,,,,,
,,,,,,
3. Life at the Hometown,,,,,,
,,,,,,
4. Vast Ends of the Earth,,,,,,
,,,,,,
5. Rainbow Skies,,,,,,
,,,,,,
6. Between Dimensions,,,,,,
,,,,,,
7. Winds of Hope,,,,,,
,,,,,,
8. Chocobo Lock,,,,,,
,,,,,,
9. Suspect Ground,,,,,,
,,,,,,
10. Fluctuation of Light,,,,,,
,,,,,,
11. On the Path of Predecessors,,,,,,
,,,,,,
12. March of the Brave,,,,,,
,,,,,,
13. Intercepting Blade,,,,,,
,,,,,,
14. Steps Towards Victory,,,,,,
,,,,,,
15. Flame Giant,,,,,,
,,,,,,
16. Awakening the Old Phoenix,,,,,,
,,,,,,
17. The Wolf's Heaven,,,,,,
,,,,,,
18. Deity of Creation and Destruction,,,,,,
,,,,,,
19. Magical Beast of the Wind,,,,,,
,,,,,,
20. Patron of Water,,,,,,
,,,,,,
21. Legendary Thunder,,,,,,
,,,,,,
22. Devil's Door,,,,,,
,,,,,,
23. The Champion's Blue Sky,,,,,,
,,,,,,
24. Dazzle of the Mystics,,,,,,
,,,,,,
25. Holy Citadel,,,,,,
,,,,,,
26. Eternal Toshin,,,,,,
,,,,,,
27. Last Promise,,,,,,
,,,,,,
28. Neverending Journey,,,,,,
,,,,,,
29. Iryoku Crystal,,,,,,
,,,,,,
30. Grand Fanfare,,,,,,
,,,,,,
31. Color of Illusion,,,,,,
,,,,,,
32. Iryoku Gods,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Final Fantasy Grandmasters,,,,,,
1. Clash of Wills (2023 OST Mix),,,,,,
,,,,,,
2. Boundless Curosity,,,,,,
,,,,,,
"3. Hail, Adventurers!",,,,,,
,,,,,,
4. Opening Theme,,,,,,
,,,,,,
5. Home Point,,,,,,
,,,,,,
6. Never Give Up,,,,,,
,,,,,,
7. Fanfare,,,,,,
,,,,,,
8. Quest Complete,,,,,,
,,,,,,
9. Whoops!,,,,,,
,,,,,,
10. Ending Theme,,,,,,
,,,,,,
World of Final Fantasy,,,,,,
77. Sunken Shrine,,,,,,
Synth,,Native Instruments - FM8,FM8 Factory,Aqua Atmo,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Stranger of Paradise: Final Fantasy Origins,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
,,,,,,
