Sample Description,Sample #,Source,Path/Bank,Program,Notes,Demo
Vibraphone,Sample 24,Roland - SR-JV80-02 Orchestral,XP-X,207 Vibes,,
Synth Riser,Sample 25,,,,,
Flute,Sample 26,,,,,
Flute,Sample 27,,,,,
Flute,Sample 28,,,,,
Flute,Sample 29,,,,,
Flute,Sample 30,,,,,
Industrial Percussion Loop,Sample 31,,,,,
"Electric Guitar ""Wah""",Sample 32,,,,,
Guitar Phrase,Sample 33,Zero-G - Total House,Samples -> Groove Loops -> Guitar Loops 135-BPM,Double Chic-C,,
Guitar Phrase,Sample 34,Zero-G - Total House,Samples -> Groove Loops -> Guitar Loops 135-BPM,Double Chic-C,,
"""Wah"" Guitar Phrase",Sample 35,,,,,
Guitar Clicks(?),Sample 36,,,,,
"""Wah"" Guitar Phrase",Sample 37,,,,,
Noise(?),Sample 38,,,,,
8. Mission Start!,,,,,,
,Sample 0,,,,,
9. Mt. Gagazet,,,,,,
,Sample 0,,,,,
"10. YuRiPa, Fight! No. 3",,,,,,
,Sample 0,,,,,
11. Game Over,,,,,,
,Sample 0,,,,,
12. Anything Goes for Leblanc!,,,,,,
,Sample 0,,,,,
"13. ""Let Me Blow You a Kiss.""",,,,,,
,Sample 0,,,,,
14. Shuyin's Theme,,,,,,
,Sample 0,,,,,
15. Besaid,,,,,,
,Sample 0,,,,,
16. Kilika,,,,,,
,Sample 0,,,,,
17. Luca,,,,,,
,Sample 0,,,,,
18. The Mi'ihen Highroad,,,,,,
,Sample 0,,,,,
19. Mushroom Rock Road,,,,,,
,Sample 0,,,,,
20. The Youth League,,,,,,
,Sample 0,,,,,
21. The Machina Faction,,,,,,
,Sample 0,,,,,
22. Guadosalam,,,,,,
,Sample 0,,,,,
23. The Thunder Plains,,,,,,
,Sample 0,,,,,
24. Macalania Woods,,,,,,
,Sample 0,,,,,
25. Bikanel Desert,,,,,,
,Sample 0,,,,,
26. New Yevon,,,,,,
,Sample 0,,,,,
27. The Calm Lands,,,,,,
,Sample 0,,,,,
28. Zanarkand Ruins,,,,,,
,Sample 0,,,,,
29. Sphere Hunters,,,,,,
,Sample 0,,,,,
30. The Temples,,,,,,
,Sample 0,,,,,
31. Discord,,,,,,
,Sample 0,,,,,
32. The Gullwings March,,,,,,
,Sample 0,,,,,
33. The Colossus,,,,,,
,Sample 0,,,,,
34. Sleep Tight,,,,,,
,Sample 0,,,,,
35. Disquiet,,,,,,
,Sample 0,,,,,
36. Three Mice In Chateau Leblanc,,,,,,
,Sample 0,,,,,
37. Rikku's Theme,,,,,,
,Sample 0,,,,,
38. Chocobo,,,,,,
,Sample 0,,,,,
39. Paine's Theme,,,,,,
,Sample 0,,,,,
40. Bevelle's Secrets,,,,,,
,Sample 0,,,,,
41. The Bevelle Underground,,,,,,
,Sample 0,,,,,
42. Yuna's Ballad,,,,,,
,Sample 0,,,,,
43. Your Friendly Neighborhood Gullwings,,,,,,
,Sample 0,,,,,
"44. ""Joost Leave It Tae Us!""",,,,,,
,Sample 0,,,,,
45. Labyrinth,,,,,,
,Sample 0,,,,,
46. Turmoil,,,,,,
,Sample 0,,,,,
47. Aeons,,,,,,
,Sample 0,,,,,
48. The Farplane Abyss,,,,,,
,Sample 0,,,,,
49. Kuon - The Troupe Performs,,,,,,
,Sample 0,,,,,
50. 1000 Words,,,,,,
Vocals (JP),---,Live Recording (Koda Kumi),,,"Also sings it in English on her single ""Come With Me""",
Vocals (EN),---,Live Recording (Jade Valerie),,,,
Wind Chime,---,Roland - SR-JV80-02 Orchestral,XP-X,245 Wind Chimes1,,
51. Nightmare In the Den,,,,,,
,Sample 0,,,,,
52. The Crimson Squad,,,,,,
,Sample 0,,,,,
53. Vegnagun Awakens,,,,,,
,Sample 0,,,,,
54. Crash,,,,,,
,Sample 0,,,,,
55. Ruin,,,,,,
,Sample 0,,,,,
56. Their Resting Place,,,,,,
,Sample 0,,,,,
57. 1000 Words (Piano Version) - A Wish That Spans the Ages,,,,,,
,Sample 0,,,,,
58. Ending - Until We Meet Again!,,,,,,
,Sample 0,,,,,
59. 1000 Words (Orchestra Version),,,,,,
Vocals (JP),---,Live Recording (Koda Kumi),,,,
Vocals (EN),---,Live Recording (Jade Valerie),,,,
60. Epilogue - A Reunion,,,,,,
,,,,,,
,,,,,,
Section 2 - INTERNATIONAL+LAST MISSION,,,,,,
,,,,,,
3. Wind Crest ~The Three Trails~,,,,,,
,,,,,,
4. Last Mission No.1,,,,,,
,,,,,,
5. Last Mission No.2,,,,,,
,,,,,,
6. Last Mission No.3,,,,,,
,,,,,,
7. Creature Create,,,,,,
,,,,,,
8. Flash Over,,,,,,
,,,,,,
10. To You.,,,,,,
,,,,,,
,,,,,,
,,,,,,
Section 3 - Unused Tracks,,,,,,
,,,,,,
"bgm090 (Incomplete, presumably placeholder melody)",,,,,,
Oboe,Sample 0,Best Service - Advanced Orchestra,CD 3 -> Partition D -> 01 OBS LG F,OBS LONG F,,
Oboe,Sample 1,Best Service - Advanced Orchestra,CD 3 -> Partition D -> 01 OBS LG F,OBS LONG F,,
Oboe,Sample 2,Best Service - Advanced Orchestra,CD 3 -> Partition D -> 01 OBS LG F,OBS LONG F,,
Oboe,Sample 3,Best Service - Advanced Orchestra,CD 3 -> Partition D -> 01 OBS LG F,OBS LONG F,,
Oboe,Sample 4,Best Service - Advanced Orchestra,CD 3 -> Partition D -> 01 OBS LG F,OBS LONG F,,
,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
[Notice],,,,,,
[Notice],,,,,,
,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
,,,,,,
