Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,
Oboe,SWAV 0,Roland - XV-5080,PR-B,104 Oboe Express,,,
Oboe,SWAV 1,Roland - XV-5080,PR-B,104 Oboe Express,,,
Celesta,SWAV 2,Roland -  SR-JV80-02 Orchestral,XP-X,201 Celesta 3,,,
Celesta,SWAV 3,Roland -  SR-JV80-02 Orchestral,XP-X,201 Celesta 3,,,
Celesta,SWAV 4,Roland -  SR-JV80-02 Orchestral,XP-X,201 Celesta 3,,,
Clarinet,SWAV 5,Roland - XV-5080,,,,,
Clarinet,SWAV 6,Roland - XV-5080,,,,,
Flute,SWAV 7,CHECK,,,,,
Flute,SWAV 8,CHECK,,,,,
Flute,SWAV 9,CHECK,,,,,
Harp,SWAV 10,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,SWAV 11,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,SWAV 12,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,SWAV 13,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
French Horn,SWAV 14,ProjectSAM - SAM Horns,SAM Horns 1. Main (far),SAM H KEY - Basic A (f),Layered between stacc and legato,,
French Horn,SWAV 15,ProjectSAM - SAM Horns,SAM Horns 1. Main (far),SAM H KEY - Basic A (f),Layered between stacc and legato,,
French Horn,SWAV 16,ProjectSAM - SAM Horns,SAM Horns 1. Main (far),SAM H KEY - Basic A (f),Layered between stacc and legato,,
French Horn,SWAV 17,ProjectSAM - SAM Horns,SAM Horns 1. Main (far),SAM H KEY - Basic A (f),Layered between stacc and legato,,
French Horn,SWAV 18,ProjectSAM - SAM Horns,SAM Horns 1. Main (far),SAM H KEY - Basic A (f),Layered between stacc and legato,,
Oboe,SWAV 19,Roland - XV-5080,PR-B,104 Oboe Express,,,
Oboe,SWAV 20,Roland - XV-5080,PR-B,104 Oboe Express,,,
Oboe,SWAV 21,Roland - XV-5080,PR-B,104 Oboe Express,,,
Orchestral Cymbal,SWAV 22,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,,
Orchestral Cymbal Crash,SWAV 23,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,,
Tambourine,SWAV 24,CHECK,,,,,
Triangle,SWAV 25,CHECK,,,,,
Pizz Strings,SWAV 26,Roland - JV-1080,046 PizzicatoStr,,,,
Pizz Strings,SWAV 27,Roland - JV-1080,046 PizzicatoStr,,,,
Pizz Strings,SWAV 28,Roland - JV-1080,046 PizzicatoStr,,,,
Snare,SWAV 29,CHECK,,,,,
Timpani,SWAV 30,CHECK,,,,,
Trumpet,SWAV 31,CHECK,,,,,
Trumpet,SWAV 32,CHECK,,,,,
Trumpet,SWAV 33,CHECK,,,,,
Trumpet,SWAV 34,CHECK,,,,,
String Ensemble,SWAV 35,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 36,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 37,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 38,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 39,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 40,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 41,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 42,Roland - XV-5080,PR-C,035 St.Strings,,,
SEQ_28BossBattle (Flash of Steel),,,,,,,
Orchestral Cymbal,SWAV 0,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,,
Orchestral Cymbal Crash,SWAV 1,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,,
Timpani,SWAV 2,CHECK,,,,,
Timpani,SWAV 3,CHECK,,,,,
Trumpet,SWAV 4,CHECK,,,Sounds like SR-JV80-02,,
Trumpet,SWAV 5,CHECK,,,Sounds like SR-JV80-02,,
Trumpet,SWAV 6,CHECK,,,Sounds like SR-JV80-02,,
Trumpet,SWAV 7,CHECK,,,Sounds like SR-JV80-02,,
Tuba(?),SWAV 8,CHECK,,,Sounds like SR-JV80-02,,
Tuba(?),SWAV 9,CHECK,,,,,
Tuba(?),SWAV 10,CHECK,,,,,
French Horn,SWAV 11,CHECK,,,,,
French Horn,SWAV 12,CHECK,,,,,
French Horn,SWAV 13,CHECK,,,,,
French Horn,SWAV 14,CHECK,,,,,
French Horn,SWAV 15,CHECK,,,,,
Trombone,SWAV 16,CHECK,,,,,
Trombone,SWAV 17,CHECK,,,,,
Trombone,SWAV 18,CHECK,,,,,
Trombone,SWAV 19,CHECK,,,,,
Trombone,SWAV 20,CHECK,,,,,
Gong,SWAV 21,Roland - SR-JV80-05 World,XP-X,077 Gong Menu,,,
Percussion Hit,SWAV 22,CHECK,,,,,
Percussion Hit,SWAV 23,CHECK,,,,,
Xylophone,SWAV 24,CHECK,,,,,
Xylophone,SWAV 25,CHECK,,,,,
Xylophone,SWAV 26,CHECK,,,,,
String Ensemble,SWAV 27,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 28,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 29,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 30,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 31,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 32,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 33,Roland - XV-5080,PR-C,035 St.Strings,,,
String Ensemble,SWAV 34,Roland - XV-5080,PR-C,035 St.Strings,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Section 5 - Final Fantasy Tactics A2,,,,,,,
,,,,,,,
4. Unfold The Map,,,,,,,
Bagpipes,SWAV 0,Roland - SR-JV80-05 World,XP-X,173 Velobagpipes,,,
Bagpipes,SWAV 1,Roland - SR-JV80-05 World,XP-X,173 Velobagpipes,,,
Bagpipes,SWAV 2,Roland - SR-JV80-05 World,XP-X,173 Velobagpipes,,,
Bagpipes,SWAV 3,Roland - SR-JV80-05 World,XP-X,173 Velobagpipes,,,
Bagpipes,SWAV 4,Roland - SR-JV80-05 World,XP-X,173 Velobagpipes,,,
Tambourine/Finger Cymbal,SWAV 5,Roland - SR-JV80-05 World,XP-X,082 AsiaCym,,,
Conga,SWAV 6,UNKNOWN,,,,,
Finger Cymbal,SWAV 7,Roland - SR-JV80-05 World,XP-X,082 AsiaCym,,,
Mizmar,SWAV 8,Roland - SR-JV80-05 World,XP-X,125 Mizmar Solo,,,
Mizmar,SWAV 9,Roland - SR-JV80-05 World,XP-X,125 Mizmar Solo,,,
Mizmar,SWAV 10,Roland - SR-JV80-05 World,XP-X,125 Mizmar Solo,,,
Pizzicato Strings,SWAV 11,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 12,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 13,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 14,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 15,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 16,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 17,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 18,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 19,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Sustain Strings,SWAV 20,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Staccato Strings,SWAV 21,Sonic Implants - Symphonic Strings Collection,07 - Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,,
Sustain Strings,SWAV 22,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 23,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 24,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 25,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 26,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 27,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
(OST Version only),,,,,,,
Gong,---,UNKNOWN,,,Definately Roland,,
"5. Companions that Surpassed Their Races from FFT-A ""Companions that Surpassed Their Races""",,,,,,,
Cymbals,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbal,Orchestral Cymbal,,,
Snare,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,,
Triangle,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Triangles,Orchestral Triangles,,,
French Horn Ensemble,---,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
Flute,---,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,,
Oboe Ensemble,---,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,,
Glockenspiel,---,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,,
Trumpet,---,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,,
Trumpet,---,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,,
Trumpet,---,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,,
French Horn Ensemble,---,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,,
Trombone Ensemble,---,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,,
Pizzicato Strings,---,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Sustain Strings,---,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
8. Knowledge of the Adventurer,,,,,,,
Cymbals,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbal,Orchestral Cymbal,,,
Tambourine,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Tambourines,Orchestral Tambourines,,,
Timpani,---,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,,
Triangle,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Triangles,Orchestral Triangles,,,
Wind Chime,---,DS Soundware - Ultimate Orchestral Percussion,,,,,
Tuba,---,EastWest - Symphonic Orchestra,Brass -> Solo Tuba -> 5 Keysw,STU KS Master,,,
Oboe Ensemble,---,EastWest - Symphonic Orchestra ,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,,
Flute,---,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,,
Glockenspiel,---,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,,
Trumpet,---,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,,
Trumpet,---,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,,
Trumpet,---,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,,
French Horn Ensemble,---,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,,
Trombone Ensemble,---,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,,
Col Legno Strings,---,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Col Legno,Col Legno,,,
Pizzicato Strings,---,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Staccato Strings,---,Sonic Implants - Symphonic Strings Collection,07 - Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,,
Sustain Strings,---,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
22. Determination,,,,,,,
Cymbal,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbal,Orchestral Cymbal,,,
Timpani,---,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,,
French Horn Ensemble,---,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
Xylophone,---,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,,
Spiccato String,---,Sonic Implants - Symphonic String Collection,07 - Ensemble II -> Ensemble Spiccato,Ensemble Spiccato,,,
Sustain String,---,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Col Legno Strings,---,Sonic Implants - Symphonic String Collection,07 - Ensemble II -> Ensemble Col Legno,Col Legno,,,
Trombone Ensemble,---,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,,
Trumpet,---,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,,
Trumpet,---,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,,
Trumpet,---,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,,
"27. A Beating Heart from FFXII ""The Mosphoran Highwaste""",,,,,,,
Cymbal,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbal,Orchestral Cymbal,,,
Snare ,---,UNKNOWN,,,,,
