Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Zero-G,Chemical Beats,FX Loops-104,104-FX Loop 1,,Moe's Tavern,
Zero-G,Chemical Beats,FX Loops-104,104-FX Loop 2,,Moe's Tavern,
The Mummy Returns,,"(Released: October 3, 2001)",,,,
Roland,JV-1080,PR-B,102 Raya Shaku,,Jungle,
Roland,JV-1080,PR-D (GM),048 Timpani,,Jungle,
Spider-Man 2: Enter Electro,,"(Released: October 18, 2001)",,(Music by: Todd Masten),,
Sounds Good,Methods of Mayhem,Track 38 - Bass Guitar 1 -> Sample 3,DRIVE 01 150 G M,,Smoke Screen,
Sounds Good,Methods of Mayhem,Track 38 - Bass Guitar 1 -> Sample 5,DRIVE 03 150 G M,,Smoke Screen,
Spectrasonics,Distorted Reality 2,CD 1 -> Partition A -> 01 50-69 BPM,INGENIUS 63,,Aces High,
Spectrasonics,Distorted Reality 2,CD 1 -> Partition A -> 01 50-69 BPM,CATACOMBS 65,,Aces High,
Spectrasonics,Distorted Reality 2,CD 1 -> Partition A -> 01 50-69 BPM,HEDINJURY 69,,Aces High,
Spectrasonics,Distorted Reality 2,CD 1 -> Partition A -> 02 70-79 BPM,FUTILE   74,,Aces High,
Spectrasonics,Distorted Reality 2,CD 1 -> Partition H -> 04 NASTYFUZZ,BLOWOUT,,Aces High,
Spectrasonics,Distorted Reality 2,CD 2 -> Partition C -> 02 DRIPPINGS,DRIPPINGS,HYPERWD15,Vicarous Visions Logo,
Spectrasonics,Metamorphosis,140-149,145-Fizz a,,Credits,
Tony Hawk's Pro Skater 3,,"(Released: October 28, 2001)",,,,
Hollywood Edge,L.A. Riot 2,Track 02 - DOPE TRAX - 75bpm - 83bpm -> TS 0:51,80 BPM LO,Layered drums,Gangsta (Main Menu),
Hollywood Edge,L.A. Riot 2,Track 02 - DOPE TRAX - 75bpm - 83bpm -> TS 1:42,82 BPM PHUNKI LIVE,,Gangsta (Main Menu),
Hollywood Edge,L.A. Riot 2,Track 03 - DOPE TRAX - 83bpm - 88bpm ->TS 3:20,88 BPM JIMMI COLTRANE,Layered drums,Gangsta (Main Menu),
Hollywood Edge,L.A. Riot 2,Track 04 - DOPE TRAX - 88bpm - 89bpm -> TS 1:00,88 BPM HERE WE GO,,Gangsta (Main Menu),
Hollywood Edge,L.A. Riot 2,Track 04 - DOPE TRAX - 92bpm - 93bpm -> TS 0:16,92 BPM SQUAWK,,Gangsta (Main Menu),
Hollywood Edge,L.A. Riot 2,Track 04 - DOPE TRAX - 92bpm - 93bpm -> TS 1:21,92 BPM LIVE & DJ,,Gangsta (Main Menu),
Hollywood Edge,L.A. Riot 2,Track 04 - DOPE TRAX - 92bpm - 93bpm -> TS 3:01,93 BPM BASE 5,,Gangsta (Main Menu),
e-LAB,Xclusive WAV.Xtension,CD 2 -> XEb_AudioCD -> EB64_vinyltime,EB6407_fx_scratch7,Could be from elsewhere (or another version of Goldmine 2),Goal movie sound effect,
Crash Bandicoot: The Wrath of Cortex,,"(Released: October 29, 2001)",,"(Music by: Andy Blythe, Marten Joustra)",,
EastWest & Masterbits,Peter Siedlaczek's Orchestra,Partition D -> STRING SPIC,SPIC C1-A#3,,Wizards and Lizards,
E-MU Systems,Orbit 9090,Bank 0,051 syn:1KeyRush,,H2 Oh No,
E-MU Systems,Proteus/2,Bank 0,015 Pizz Violas,,Avalanche,
E-MU Systems,Proteus/2,Bank 0,050 Timpani,,Wizards and Lizards,
KORG,M1,PROG,00 Universe,,Crashteroids,
Roland,D-50,Bank 2,I-22 Bass Marimba,,Smokey And The Bandicoot,Link
Roland,D-50,Bank 2,I-27 Nylon Atmosphere,,H2 Oh No,Link
Roland,D-50,Bank 4,I-47 Spacious Sweep,,Solar Bowler / Credits,
Roland,SR-JV80-11 Techno Collection,XP-X,052 Solid Bass 2,,H2 Oh No,Link
Stuff to Find,,,,,,
Best Service,Advanced Orchestra,CD 4 -> Partition ?,,Trombone,Wizards and Lizards,
E-MU Systems,? (Orbit or Xtreme Lead),,,Synth,Coral Canyon,
EastWest,The Ultimate Piano Collection,,,Piano,Wizards and Lizards,
Roland,JV-1080,,,,,
Roland,SR-JV80-05 World,,,Percussion,Banzai Bonsai,
3-D Ultra Pinball: Thrillride,,"(Released: June 25, 2000)",,,,
Live Recording: Kyle Sanna (?),Electric Guitar,,,Amped with Pocket POD,~Used throughout the soundtrack~,
Roland,JV-2080,PR-D (GM),019 Organ 3,,Main Theme,
Roland,JV-2080,PR-D (GM),064 Synth Brass2,,"Thrill Ride, Flying Falcon",
Roland,SR-JV80-01 Pop,XP-X,014 Stereo Organ,,Hide and Seek!,
Crash Bandicoot: The Huge Adventure,,"(Released: February 25, 2002)",,"(Music by: Manfred Linzner, Todd Masten)",,
Roland,SOUND Canvas SC-8850,SC-88 Map,? (Pick Bass),,Everything,
Roland,R-8,Internal,20 RIMSHOT SNARE 1,,Everything,
Spider-Man,,"(Released: April 16, 2002)",,,,
Audio Adventures Inc.,Symphonic Adventures,Track 09 - CHASES -> Sample 2,VERTIGO: 128,Tutti loop,Scorpion,
Audio Adventures Inc.,Symphonic Adventures,Track 09 - CHASES -> Sample 5,VERTIGO: 128,Tutti ending,Scorpion,
Audio Adventures Inc.,Symphonic Adventures,Track 40 - FULL ORCHESTRA FX -> TS 0:10,FULL ORCH. FX 4,Strings,Scorpion,
Spectrasonics,Distorted Reality,Partition C -> AMBIENT DRMS,CAVERN TUBE1,,Opening FMV,
Spyro: Enter the Dragonfly,,"(Released: November 5, 2002)",,(Music by: Stewart Copeland),,
Audio Adventures Inc.,Symphonic Adventures,Track 02,Sample 1,,Ripto's Showdown,
Audio Adventures Inc.,Symphonic Adventures,Track 02,Sample 2,,Ripto's Showdown,
Audio Adventures Inc.,Symphonic Adventures,Track 03,Sample 1,,Ripto's Showdown,
Audio Adventures Inc.,Symphonic Adventures,Track 07,Sample 1,,Ripto's Showdown,
Kurzweil,Contemporary ROM,Programs -> ETHNIC/WORLD INSTRUMENTS,812 Bell Players,,"Dragon Realms, Honey Marshes, Cloud 9",
Kurzweil,Contemporary ROM,Programs -> ETHNIC/WORLD INSTRUMENTS,818 CowGogiBell,,Honey Marshes,
Kurzweil,K2500X,Programs -> PERC,68 Bell Player,,Dragon Realms,
Kurzweil,Sweetwater RSI,STRINGED -> STRAT,Open 5/4th,,"Opening Theme, Luau Island",
Sonic Arts,Sounds of the 70's,CD 1 -> 70_SND1 -> ORGANS -> B3 -> MEDDIST,MOTOWN B3 PW,,"Dragon Realms, Honey Slide, Volcano Slide",
Sonic Reality,American Heartland,Partition F -> VOLUME 004,BLUESHARPLKS,,Honey Marshes,
Sounds Good,Bill Laswell's Sample Material,Track 11 -> AmbiGroove 1,Sample 12,,Dragonfly Dojo,
Sounds Good,Bill Laswell's Sample Material,Track 12 -> AmbiGroove 2,Sample 3,,Dragonfly Dojo,
Sounds Good,New World Order Journey #2,CD 1 -> Track 11 - Indonesia -> TS 0:21,Gamelan-Bali 02 107,,Ufo Challenge,
Sounds Good,New World Order Journey #2,CD 2 -> Track 45 - Russia -> TS 0:00,Prim Balalaiki 02 091,,Dragon Realms,
Sounds Good,New World Order Journey #2,CD 2 -> Track 45 - Russia -> TS 0:03,Prim Balalaiki 02 092,,Dragon Realms,
Spectrasonics,Hans Zimmer Guitars Vol. 1,Partition C -> MARTIN 6,MARTIN 6 A,,Cloud 9,
Spectrasonics,Heart of Africa Vol. 1,CD 1 -> Partition E -> 02 AF.HYBRID,AFR. HYBRIDS,,Dragonfly Dojo,
Spectrasonics,Metamorphosis,,Jewelz A,,Cropcircle Country,
Spectrasonics,Metamorphosis,CD 1 -> Partition B -> 89-93 LOOPS,Star Posse B,,Platform Peril,
Spectrasonics,Metamorphosis,CD 1 -> Partition B -> 89-93 LOOPS,Sapphire,,Platform Peril,
Spectrasonics,Metamorphosis,CD 1 -> Partition B -> 89-93 LOOPS,Dementor,,Platform Peril,
Spectrasonics,Metamorphosis,CD 1 -> Partition B -> 89-93 LOOPS,Urbanizer,,Platform Peril,
Spectrasonics,Metamorphosis,CD 3 -> Partition B -> 125-135 LPS,CLOBBER A,,Rainbow Speedway,
Spectrasonics,Metamorphosis,CD 3 -> Partition B -> 125-135 LPS,SIREN SLICER,,Rainbow Speedway,
Spectrasonics,Vocal Planet,CD 5 -> Partition B -> 2 TUVANDRONE,TUVAN DRONES,TUV1 DRONE12,Dragonfly Dojo,
Spectrasonics,Vocal Planet,CD 5 -> Partition H -> 6 S.AFRICAN,S.AFRICAN,"MALE 5THSD, AYEYAYA 1",Oasis Speedway,
UltimateSoundBank,Mediterranean Instruments,CD 2 -> Partition E -> 15-PERC MED,PERCUSS.MED,,"Jurassic Jungle, Unused Track (Songa), Unused Track (Andes)",
Zero-G,Chemical Beats,Drum Loops-128,128-B Kick Bass 21,,"Rain In The Forest (Monkey Monastery Peaceful Ice Slider Alt Mix), Peaceful Ice Slider",
Zero-G,Chemical Beats,Drum Loops-128,128-C Kick Bass 21,,Rain In The Forest (Monkey Monastery Peaceful Ice Slider Alt Mix),
Zero-G,Chemical Beats,Drum Loops-128,128-D Kick Bass 21 ,,Rain In The Forest (Monkey Monastery Peaceful Ice Slider Alt Mix),
Stuff to Find,,,,,,
Big Fish Audio,Didgeridoo & Other Primitive Instruments,,,,,
EastWest,Steve Stevens Guitar,,,,,
ILIO,Ethno Techno,,,,,
Roland,JV-1080,,,Piccolo Snare,Crop Circle Country,
Spectrasonics,Distorted Reality 2,,,,,
Spectrasonics,Heart of Asia,,,,,
Zero-G,Chemical Beats,,,Drum Loops,Riptoc Factory Bombing,
Futurama,,"(Released: August 1, 2003)",,(Music by: Christopher Tyng),,
AMG,160db - The Drum&Bass Interface,Track 32 -> TS 0:31,GATED FX (Mono/Stereo),,Planet Express,
AMG,160db - The Drum&Bass Interface,Track 33 -> TS 0:16,GATED FX (Mono/Stereo),,Planet Express,
AMG,160db - The Drum&Bass Interface,Track 33 -> TS 0:59,GATED FX (Mono/Stereo),,Planet Express,
AMG,160db - The Drum&Bass Interface,Track 34 -> TS 0:08,GATED FX (Mono/Stereo),,Planet Express,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 10 - 103-104 BPM -> TS 0:31,Simon's Special - 103 BPM,,Planet Express,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 21 - 120 BPM -> TS 0:09,Jazzebo,,New New York,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 23 - 122-123 BPM -> TS 1:02,Clatter Away - 123 BPM,,New New York,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 33 - Full Percussion Loops -> TS 0:27,Electro Perc - 124 BPM,,New New York,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 35 - Full Percussion Loops 3 -> TS 0:13,TS Perc - 113 BPM,,Red Rock Creek,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 48 - Short FX -> TS 0:04,Bobble Up,,Red Rock Creek,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 48 - Short FX -> TS 0:05,Mod Zap,,Red Rock Creek,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 48 - Short FX -> TS 0:11,Lazer Zap,,Red Rock Creek,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 50 - Misc. FX -> TS 0:15,Fake Scratch 1,,Red Rock Creek,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 50 - Misc. FX -> TS 0:35,Looong Flexitone,,New New York,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 54 - FX Loops -> TS 0:00,"Oh, That's Trippy",,New New York,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 54 - FX Loops -> TS 0:05,Ovation Splats,,New New York,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 54 - FX Loops -> TS 0:38,Red Alert Loop,,New New York,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 54 - FX Loops -> TS 0:48,Human Beat Loop,,New New York,
Zero-G,Chemical Beats,FX Loops-120,120-FX Loop 05,,Sun City,
Zero-G,Jungle Frenzy,Track 05 - Programmed Breaks -> TS 0:00,Clear Your Drumz,,Bogad Swamp,
Zero-G,Seismic Frequencies,Archaic,Diorama 1 C,,New New York,
The Simpsons: Hit & Run,,"(Released: September 16, 2003)",,"(Music by: Marc Baril, Jeff Tymoschuk, Allan Levy)",,
Live Recording: Allan Levy,Electric Guitar,,,Amped with Amplitube and POD.,~Used throughout the soundtrack~,
Live Recording: Chris Stevens,Banjo,,,,banjo_main (Better Than Beef),
Live Recording: Mike Sanyshyn,Fiddle,,,,banjo_main (Better Than Beef),
Live Recording: John Reischman,Mandolin,,,Buried very far in the mix.,banjo_main (Better Than Beef),
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 02 - 84-89 BPM -> TS 1:01,Freedom - 88 BPM,,muzak (Simpsons Hotline),
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 08 - 101 BPM -> TS 0:21,That's Sly,,muzak (Simpsons Hotline),
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 35 - Full Percussion Loops 3 -> TS 0:23,Disco Perc - 126 BPM,,margesamba_main (Wolves Stole My Pills),
Best Service,Advanced Orchestra,CD 3 -> [AO mal] vibraphone,vibraphone KEY,,"Dr. Nick, Professor Frink, ufo_main (Long Black Probes), halloween19, of_ufo (Halloween Cues)",
Best Service,Advanced Orchestra,CD 4 -> [AO bell] orchestra bells,orchestra bells,,"sunday_drive, orch_chase01_main (The Fat and Furious), margesamba_main (Wolves Stole My Pills)",
Best Service,Advanced Orchestra,CD 4 -> [AO FX] orchestra effects,orchestra effects KEY,,"collection01b_end_neg (Bonestorm Storm Mission Fail), gogo_drama (For a Few Donuts More), halloween (Halloween Cues)",
Best Service,Advanced Orchestra,CD 4 -> [AO brs] trombone section,trombone section KEY,,homer_reward02 (Unused),
Best Service,Advanced Orchestra,CD 4 -> [AO mal] xylophone,xylophone,,Professor Frink,
Best Service,Advanced Orchestra,CD 5 -> [AO bell] tubular bells,tubular bells,,"Professor Frink, Kang & Kodos",
Best Service,Advanced Orchestra,CD 5 -> [AO hp] harp glissandi,harp glissandi KEY,,simpsons_theme (Main Theme),
Best Service,Advanced Orchestra,CD 5 -> [AO mal] marimba,marimba KEY,,"gogo_main (Petty Theft Homer), in_game01b_main (Office Spaced), collection01d_main (Bonestorm Storm), orch_chase01_main (The Fat and Furious) ",
Best Service,Advanced Orchestra,CD 5 -> [AO ww_s] bassoon solo,bassoon solo KEY,,tuba (Homer's Cues),
Best Service,Advanced Orchestra,CD 5 -> [AO ww_s] bass clarinet solo basic,bass clarinet solo basic KEY,,tuba (Homer's Cues),
Best Service,Advanced Orchestra,CD 5 -> [AO ww_s] clarinet solo basic,clarinet solo basic KEY,,"sunday_drive, collection_02_main (SMRT), tuba (Homer's Cues)",
Best Service,Advanced Orchestra,CD 5 -> [AO ww_s] contrabassoon solo,contrabassoon solo KEY,,"Professor Frink, tuba (Homer's Cues)",
Best Service,Advanced Orchestra,CD 5 -> [AO ww_s] flute solo basic,flute solo basic KEY,,"sunday_drive, gogo_main (Petty Theft Homer), margesamba_main (Wolves Stole My Pills)",
EastWest,Quantum Leap Brass,CD 1 -> TP doitshkflMOD,TPdoitshkflMOD,,Professor Frink,
EastWest,Quantum Leap Brass,CD 2 -> 3 TP cupmutes,3 TP cupmutes,,Professor Frink,
EastWest,Quantum Leap Brass,CD 2 -> 3 TP shakedoitMOD,3 TP shakedoitMOD,,Professor Frink,
EastWest,Quantum Leap Brass,CD 3 -> 3 Bones susffMODfilter,3BsusFFMODfilter,,"collection_02_main (SMRT), orch_chase01_main (The Fat and Furious)",
EastWest,Quantum Leap Brass,CD 5 -> 4 FrHorns FXMOD,4FrenchHornsFXMOD,,horn_triumph,
EastWest,Quantum Leap Brass,CD 5 -> 4 FrHorns stac,4FrenchHorns stac,,horn_triumph,
Garritan,GigaHarp,GigaHarp,A Melodic Harp 1,,"powerplant_main (Blind Big Brother), harp_music04 (Kwik-E-Mart Garden)",
ProjectSAM,SAM Horns,SAM Horns 2. Effects (far),SAM H FX - All effects (f),,Vox Nerduli,
Sampleheads,Whole Lotta Country,CD 2 -> Pedal Steel,PEDAL STEEL 9TH CHORD,+1 Semitone,banjo_end_neg_b4 (Better than Beef - Mission Failed!),
Sonic Foundry,Orchestral 3 - Cinematic,Cinematic 01,Cinematic 01 Violins 02,,powerplant_main (Blind Big Brother),
Sonic Foundry,Orchestral 3 - Cinematic,Cinematic 06,Cinematic 06 Horns 01,,powerplant_main (Blind Big Brother),
Sonic Foundry,Orchestral 3 - Cinematic,Cinematic 11,Cinematic 11 Flute & Oboe 01,,powerplant_main (Blind Big Brother),
Sonic Foundry,Orchestral 3 - Cinematic,Cinematic 11,Cinematic 11 Violins 01,,powerplant_main (Blind Big Brother),
Sonic Foundry,Orchestral 3 - Cinematic,Cinematic 16,Cinematic 16 Bass & Cello 01,,powerplant_main (Blind Big Brother),
Sound Ideas,SuperSampler,SUP01-33-07,"BELL, CHURCH","EXT: LARGE CHURCH BELL, SINGLE TOLL",Halls Balls,
Sound Ideas,SuperSampler,SUP01-33-08,"BELL, CHURCH",SINGLE CHURCH BELL TOLLING,Halls Balls,
Spectrasonics,Heart of Asia,CD 1 -> Partition A -> INDIAN SET,162B INDIA,,bollywood01_main (Incriminating Caffeine),
Spectrasonics,Heart of Asia,CD 1 -> Partition A -> INSTANT ASIA,INSTANT ASIA,"107 IND A, 148 IND A",bollywood01_main (Incriminating Caffeine),
Spectrasonics,Heart of Asia,CD 1 -> Partition F -> SITAR PH 1,SITAR MENU 1,,"kwik_e_mart_muzak (Kwik-E-Mart), sitar_hoa (Apu's Cues)",
Spectrasonics,Heart of Asia,CD 3 -> Partition C -> SANSKRT FEM1,SANS F.MENU1,"INDSNSKRT 7, INDSNSKRT10",bollywood01_main (Incriminating Caffeine),
Spectrasonics,Vocal Planet,CD 5 -> Partition G -> 1 E.INDIAN,E.INDIAN 1,E INDIA 230,bollywood01_main (Incriminating Caffeine),
Stuff to Find,,,,,,
Casio,MT-,,,Mentioned in file name,Multiplayer,
Unreleased Tracks,,,,,,
EastWest,Quantum Leap Brass,3 Trumpets -> 3TP Long,3TP Sustain,,Dr. Nick (Original Mix),
EastWest,Quantum Leap Brass,Tenor Sax -> TS Shorts,TS Staccato,,Dr. Nick (Original Mix),
Zero-G,Sabroso!,Horns,Santi Sam,,Dr. Nick (Original Mix),
Crash Nitro Kart,,"(Released: November 11, 2003)",,"(Music by: Ashif Hakik, Todd Masten)",,
Big Fish Audio,Didgeridoo & Other Primitive Instruments,Partition A -> DIDGE WILD,DIDGE WILD 1,"A1-WILD, D1-WILD, F1-WILD (album only)",Inferno Island,
Big Fish Audio,Didgeridoo & Other Primitive Instruments,Partition A -> DIDGE WILD,DIDGE WILD 1,C1-WILD,Barin,
Big Fish Audio,Didgeridoo & Other Primitive Instruments,Partition A -> JAW SIMPLE,JAWHITS,,"Terra, Tiny Temple",
E-MU Systems,Vol. 6: World Percussion/Ensembles,,09 Conga Battery,,Terra,
E-MU Systems,Procussion,Instruments,"289 19"" Pang",Could be from another E-MU source.,"Jungle Boogie, Tiny Temple",
E-MU Systems,Proteus/1,Bank 0,003 BigCityBrass,,"Assembly Lane, Lose Race",
E-MU Systems,Proteus/1,Bank 0,007 Thunder Bass,,"Fenomena, cutscenes",
E-MU Systems,Proteus/1,Bank 0,014 Rock Drums,,"Fenomena, Out of Time, Assembly Lane, Hyper Spaceway, cutscenes",
E-MU Systems,Proteus/1,Bank 1,093 Light Mallet,,Title,
E-MU Systems,Proteus/1,Instruments,020 Trumpet Hrd,,"Teknee, Assembly Lane, Android Alley, Hyper Spaceway",
E-MU Systems,Proteus/1,Instruments,030 Guitar Mute,,"Out of Time, Thunder Struck",
E-MU Systems,Proteus/1,Instruments,031 El. Guitar,,"Out of Time, Clockwork Wumpa",
E-MU Systems,Proteus/1,Instruments,049 Marimba,,"Out of Time, Thunder Struck, Android Alley, Results",
E-MU Systems,Proteus/1,Instruments,050 Vibraphone,,"Out of Time, Hyper Spaceway, cutscenes",
E-MU Systems,Proteus/2,Instruments,002 Arco Celli,,Thunder Struck,
E-MU Systems,Proteus/2,Instruments,004 Arco Violins,,"Out of Time, Clockwork Wumpa",
E-MU Systems,Proteus/2,Instruments,026 Pizz Violins,,Hyper Spaceway,
E-MU Systems,Proteus/2,Instruments,053 Xylophone,,"Fenomena, Teknee, Assembly Lane, Android Alley, Electron Avenue, Hyper Spaceway, cutscenes",
E-MU Systems,Proteus/3,Instruments,024 VbHarmonica,,"Out of Time, Clockwork Wumpa, Thunder Struck",
E-MU Systems,Proteus/3,Instruments,029 Shofar A,,"Hyper Spaceway, cutscenes",
E-MU Systems,Proteus/3,Instruments,043 Didjeridu,Didjeridu A,"Out of Time, Clockwork Wumpa",
E-MU Systems,Proteus/3,Instruments,043 Didjeridu,Didjeridu B,Out of Time,
E-MU Systems,Proteus/3,Instruments,047 Jews Harp,"Jews Harp A, Jews Harp B, Jews Harp D","Hyper Spaceway, cutscenes",
Roland,SR-JV80-02 Orchestral,XP-X,158 Brass ff 2,,Title,
Roland,SR-JV80-09 Session,XP-X,036 R&R Brass,,"Title, Clockwork Wumpa, Electron Avenue",
Roland,XP-80,PR-A,087 Music Bells,,Thunder Struck,
Roland,XP-80,PR-A,094 Bass Marimba,,Thunder Struck,
Roland,XP-80,PR-D (GM),056 OrchestraHit,,Title,
Spectrasonics,Heart of Africa Vol. 1,CD 2 -> Partition B -> 01 S.MALEDRY,M.WORDLESS,,Inferno Island,
Spectrasonics,Heart of Asia,CD 1 -> Partition D -> JAKAY,JAKAY -V A,,Barin Ruins,
Spectrasonics,Heart of Asia,CD 1 -> Partition E -> PIPA,PIPA -V A,,"Barin, Barin Ruins",
Spectrasonics,Heart of Asia,CD 1 -> Partition F -> SITAR,SITAR-TAM A,,"Barin, Barin Ruins",
Spectrasonics,Heart of Asia,CD 1 -> Partition H -> TAMPURA,TAMPURA DRON,,Deep Sea Driving,
Spectrasonics,Vocal Planet,CD 5 -> Partition H -> 5 AFRO NOISE,AFRO CHANTS,HEY  1,Jungle Boogie,
