Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,
Trombone Staccato,Sample 33,Best Service - Advanced Orchestra,CHECK,,,,
Harp,Sample 34,,,,,,
Harp,Sample 35,,,,,,
Harp,Sample 36,,,,,,
Harp,Sample 37,,,,,,
Harp,Sample 38,,,,,,
Harp,Sample 39,,,,,,
Harp,Sample 40,,,,,,
Harp,Sample 41,,,,,,
Harp,Sample 42,,,,,,
Harp,Sample 43,,,,,,
Oboe,Sample 44,,,,,,
Oboe,Sample 45,,,,,,
Oboe,Sample 46,,,,,,
French Horn,Sample 47,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,
French Horn,Sample 48,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,
French Horn,Sample 49,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,
French Horn,Sample 50,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,
French Horn,Sample 51,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,
French Horn,Sample 52,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,
French Horn,Sample 53,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,
Muted Trumpet,Sample 54,Best Service - Advanced Orchestra,,,,,
Muted Trumpet,Sample 55,Best Service - Advanced Orchestra,,,,,
Muted Trumpet,Sample 56,Best Service - Advanced Orchestra,,,,,
Trumpet Staccato,Sample 57,Best Service - Advanced Orchestra,CD 4 -> FILL,,,,
Trumpet Staccato,Sample 58,Best Service - Advanced Orchestra,CD 4 -> FILL,,,,
String Ensemble,Sample 59,,,,,,
String Ensemble,Sample 60,,,,,,
String Ensemble,Sample 61,,,,,,
String Ensemble,Sample 62,,,,,,
String Ensemble,Sample 63,,,,,,
String Ensemble,Sample 64,,,,,,
String Ensemble,Sample 65,,,,,,
3. The Kingdom of San d'Oria,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4. Ronfaure,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5. Battle Theme,,,,,,,
,,,,,,,
6. Chateau d'Oraguille,,,,,,,
,,,,,,,
7. Batallia Downs,,,,,,,
,,,,,,,
8. The Republic of Bastok,,,,,,,
,,,,,,,
9. Gustaberg,,,,,,,
,,,,,,,
10. Metalworks,,,,,,,
,,,,,,,
11. Rolanberry Fields,,,,,,,
Recorder,Sample 0,,,,,,
Recorder,Sample 1,,,,,,
Recorder,Sample 2,,,,,,
Recorder,Sample 3,,,,,,
Recorder,Sample 4,,,,,,
Recorder,Sample 5,,,,,,
Recorder,Sample 6,,,,,,
Marimba,Sample 7,,,,,,
Marimba,Sample 8,,,,,,
Marimba,Sample 9,,,,,,
Marimba,Sample 10,,,,,,
Marimba,Sample 11,,,,,,
Marimba,Sample 12,,,,,,
Marimba,Sample 13,,,,,,
Pan Flute,Sample 14,,,,,,
Pan Flute,Sample 15,,,,,,
Pan Flute,Sample 16,,,,,,
Pan Flute,Sample 17,,,,,,
Pan Flute,Sample 18,,,,,,
Violin,Sample 19,,,,,,
Violin,Sample 20,,,,,,
Violin,Sample 21,,,,,,
Violin,Sample 22,,,,,,
Violin,Sample 23,,,,,,
Violin,Sample 24,,,,,,
Violin,Sample 25,,,,,,
Violin,Sample 26,,,,,,
Violin,Sample 27,,,,,,
Violin,Sample 28,,,,,,
Violin,Sample 29,,,,,,
Acoustic Guitar,Sample 30,,,,,,
Acoustic Guitar,Sample 31,,,,,,
Acoustic Guitar,Sample 32,,,,,,
Acoustic Guitar,Sample 33,,,,,,
Acoustic Guitar,Sample 34,,,,,,
Acoustic Guitar,Sample 35,,,,,,
Acoustic Guitar,Sample 36,,,,,,
Acoustic Guitar,Sample 37,,,,,,
Acoustic Guitar,Sample 38,,,,,,
Acoustic Guitar,Sample 39,,,,,,
Acoustic Guitar,Sample 40,,,,,,
Acoustic Guitar,Sample 41,,,,,,
Acoustic Guitar,Sample 42,,,,,,
Acoustic Guitar,Sample 43,,,,,,
12. The Federation of Windurst,,,,,,,
Percussion Loop,Sample 0,,,,,,
Percussion Loop,Sample 1,,,,,,
Shaker,Sample 2,,,,,,
Kalimba,Sample 3,,,,,,
Kalimba,Sample 4,,,,,,
Kalimba,Sample 5,,,,,,
Kalimba,Sample 6,,,,,,
Kalimba,Sample 7,,,,,,
Kalimba,Sample 8,,,,,,
Kalimba,Sample 9,,,,,,
Balafon,Sample 10,,,,,,
Balafon,Sample 11,,,,,,
Gamelon(?),Sample 12,,,,,,
Gamelon(?),Sample 13,,,,,,
Gamelon(?),Sample 14,,,,,,
Gamelon(?),Sample 15,,,,,,
Gamelon(?),Sample 16,,,,,,
Vibraphone,Sample 17,,,,,,
Vibraphone,Sample 18,,,,,,
Vibraphone,Sample 19,,,,,,
Vibraphone,Sample 20,,,,,,
Vibraphone,Sample 21,,,,,,
Harmonica,Sample 22,,,,,,
Harmonica,Sample 23,,,,,,
Harmonica,Sample 24,,,,,,
Harmonica,Sample 25,,,,,,
Flute,Sample 26,,,,,,
Flute,Sample 27,,,,,,
Flute,Sample 28,,,,,,
Flute,Sample 29,,,,,,
Flute,Sample 30,,,,,,
Flute,Sample 31,,,,,,
Flute,Sample 32,,,,,,
Flute,Sample 33,,,,,,
Flute,Sample 34,,,,,,
Flute,Sample 35,,,,,,
Oboe,Sample 36,,,,,,
Oboe,Sample 37,,,,,,
Oboe,Sample 38,,,,,,
Oboe,Sample 39,,,,,,
Oboe,Sample 40,,,,,,
Oboe Staccato,Sample 41,,,,,,
Oboe Staccato,Sample 42,,,,,,
Oboe Staccato,Sample 43,,,,,,
Oboe Staccato,Sample 44,,,,,,
Oboe Staccato,Sample 45,,,,,,
Harmonica,Sample 46,E-MU Systems - Classic Series Vol. 3,Harmonica,Harmonica Vibrato,,,
Harmonica,Sample 47,E-MU Systems - Classic Series Vol. 3,Harmonica,Harmonica Vibrato,,,
Harmonica,Sample 48,E-MU Systems - Classic Series Vol. 3,Harmonica,Harmonica Vibrato,,,
Harmonica,Sample 49,E-MU Systems - Classic Series Vol. 3,Harmonica,Harmonica Vibrato,,,
Harmonica,Sample 50,E-MU Systems - Classic Series Vol. 3,Harmonica,Harmonica Vibrato,,,
Harmonica,Sample 51,E-MU Systems - Classic Series Vol. 3,Harmonica,Harmonica Vibrato,,,
Harmonica,Sample 52,E-MU Systems - Classic Series Vol. 3,Harmonica,Harmonica Vibrato,,,
Harmonica,Sample 53,E-MU Systems - Classic Series Vol. 3,Harmonica,Harmonica Vibrato,,,
Harmonica,Sample 54,E-MU Systems - Classic Series Vol. 3,Harmonica,Harmonica Vibrato,,,
Harmonica,Sample 55,E-MU Systems - Classic Series Vol. 3,Harmonica,Harmonica Vibrato,,,
Acoustic Guitar,Sample 56,,,,,,
Acoustic Guitar,Sample 57,,,,,,
Acoustic Guitar,Sample 58,,,,,,
Acoustic Guitar,Sample 59,,,,,,
Acoustic Guitar,Sample 60,,,,,,
Acoustic Guitar,Sample 61,,,,,,
Acoustic Guitar,Sample 62,,,,,,
Acoustic Guitar,Sample 63,,,,,,
Acoustic Guitar,Sample 64,,,,,,
Acoustic Guitar,Sample 65,,,,,,
Acoustic Guitar,Sample 66,,,,,,
Acoustic Guitar,Sample 67,,,,,,
Acoustic Guitar,Sample 68,,,,,,
Acoustic Guitar,Sample 69,,,,,,
Acoustic Guitar,Sample 70,,,,,,
Acoustic Guitar,Sample 71,,,,,,
13. Heavens Tower,,,,,,,
Pan Flute Phrase,Sample 0,,,,,,
Pan Flute,Sample 1,,,,,,
Pan Flute Phrase,Sample 2,,,,,,
Pan Flute Phrase,Sample 3,,,,,,
Pan Flute Phrase,Sample 4,,,,,,
Pan Flute Phrase,Sample 5,,,,,,
Pan Flute Phrase,Sample 6,,,,,,
Pan Flute Phrase,Sample 7,,,,,,
Pan Flute Phrase,Sample 8,,,,,,
Pan Flute Phrase,Sample 9,,,,,,
Acoustic Guitar,Sample 10,,,,,,
Acoustic Guitar,Sample 11,,,,,,
Acoustic Guitar,Sample 12,,,,,,
Acoustic Guitar,Sample 13,,,,,,
Acoustic Guitar,Sample 14,,,,,,
Acoustic Guitar,Sample 15,,,,,,
Acoustic Guitar,Sample 16,,,,,,
Acoustic Guitar,Sample 17,,,,,,
Kalimba(?),Sample 18,,,,,,
Kalimba(?),Sample 19,,,,,,
Kalimba(?),Sample 20,,,,,,
Kalimba(?),Sample 21,,,,,,
Gamelon,Sample 22,,,,,,
Gamelon,Sample 23,,,,,,
Gamelon,Sample 24,,,,,,
Cello,Sample 25,Best Service - Advanced Orchestra,CD 2 -> Partition F -> 02  CLS LongFF2,CLS Long FF2,,,
Cello,Sample 26,Best Service - Advanced Orchestra,CD 2 -> Partition F -> 02  CLS LongFF2,CLS Long FF2,,,
Low String Ensemble,Sample 27,,,,,,
Cello,Sample 28,Best Service - Advanced Orchestra,CD 2 -> Partition F -> 02  CLS LongFF2,CLS Long FF2,,,
Cello,Sample 29,Best Service - Advanced Orchestra,CD 2 -> Partition F -> 02  CLS LongFF2,CLS Long FF2,,,
Cello,Sample 30,Best Service - Advanced Orchestra,CD 2 -> Partition F -> 02  CLS LongFF2,CLS Long FF2,,,
Cello,Sample 31,Best Service - Advanced Orchestra,CD 2 -> Partition F -> 02  CLS LongFF2,CLS Long FF2,,,
14. Sarutabaruta,,,,,,,
Steel Guitar,Sample 0,,,,,,
Steel Guitar,Sample 1,,,,,,
Steel Guitar,Sample 2,,,,,,
Steel Guitar,Sample 3,,,,,,
Steel Guitar,Sample 4,,,,,,
Steel Guitar,Sample 5,,,,,,
Steel Guitar,Sample 6,,,,,,
Steel Guitar,Sample 7,,,,,,
Steel Guitar,Sample 8,,,,,,
Steel Guitar,Sample 9,,,,,,
Guitar Percussion,Sample 10,,,,,,
Guitar Harmonics,Sample 11,,,,,,
Guitar Harmonics,Sample 12,,,,,,
Recorder,Sample 13,,,,,,
Recorder,Sample 14,,,,,,
Recorder,Sample 15,,,,,,
Recorder,Sample 16,,,,,,
Recorder,Sample 17,,,,,,
Recorder,Sample 18,,,,,,
Recorder,Sample 19,,,,,,
Recorder,Sample 20,,,,,,
Recorder,Sample 21,,,,,,
Clarinet,Sample 22,,,,,,
Clarinet,Sample 23,,,,,,
Clarinet,Sample 24,,,,,,
Clarinet,Sample 25,,,,,,
Clarinet,Sample 26,,,,,,
Clarinet,Sample 27,,,,,,
Clarinet,Sample 28,,,,,,
Clarinet,Sample 29,,,,,,
Clarinet,Sample 30,,,,,,
Clarinet,Sample 31,,,,,,
Pan Flute,Sample 32,,,,,,
Pan Flute,Sample 33,,,,,,
Pan Flute,Sample 34,,,,,,
Pan Flute,Sample 35,,,,,,
Pan Flute,Sample 36,,,,,,
Pan Flute,Sample 37,,,,,,
Pan Flute,Sample 38,,,,,,
Pan Flute,Sample 39,,,,,,
Pan Flute Sforzando,Sample 40,,,,,,
Pan Flute Sforzando,Sample 41,,,,,,
Pan Flute Sforzando,Sample 42,,,,,,
Pan Flute Sforzando,Sample 43,,,,,,
Pan Flute Sforzando,Sample 44,,,,,,
Pan Flute Sforzando,Sample 45,,,,,,
Pan Flute Sforzando,Sample 46,,,,,,
Pan Flute Sforzando,Sample 47,,,,,,
Triangle,Sample 48,,,,,,
Triangle,Sample 49,,,,,,
Shaker,Sample 50,,,,,,
Ankelung,Sample 51,,,,,,
Acoustic Bass,Sample 52,,,,,,
Acoustic Bass,Sample 53,,,,,,
Acoustic Bass,Sample 54,,,,,,
Acoustic Bass,Sample 55,,,,,,
Acoustic Bass,Sample 56,,,,,,
Marimba,Sample 57,,,,,,
Marimba,Sample 58,,,,,,
Marimba,Sample 59,,,,,,
Marimba,Sample 60,,,,,,
Marimba,Sample 61,,,,,,
Mizmar,Sample 62,,,,,,
Mizmar,Sample 63,,,,,,
Mizmar,Sample 64,,,,,,
Mizmar,Sample 65,,,,,,
Mizmar,Sample 66,,,,,,
Mizmar,Sample 67,,,,,,
15. Battle in the Dungeon,,,,,,,
String Spiccato,Sample 0,,,,,,
String Spiccato,Sample 1,,,,,,
String Spiccato,Sample 2,,,,,,
String Spiccato,Sample 3,,,,,,
Glockenspiel,Sample 4,,,,,,
Glockenspiel,Sample 5,,,,,,
French Horn,Sample 6,,,,,,
French Horn,Sample 7,,,,,,
French Horn,Sample 8,,,,,,
French Horn,Sample 9,,,,,,
Trumpet,Sample 10,,,,,,
Trumpet,Sample 11,,,,,,
Trumpet,Sample 12,,,,,,
Trumpet,Sample 13,,,,,,
Trumpet,Sample 14,,,,,,
Trumpet,Sample 15,,,,,,
Trumpet Staccato,Sample 16,,,,,,
Trumpet Staccato,Sample 17,,,,,,
Trumpet Staccato,Sample 18,,,,,,
Trumpet Staccato,Sample 19,,,,,,
Trumpet Crescendo,Sample 20,,,,,,
Trumpet Crescendo,Sample 21,,,,,,
Trumpet Crescendo,Sample 22,,,,,,
Trumpet Ensemble,Sample 23,,,,,,
Trumpet Ensemble,Sample 24,,,,,,
Trumpet Ensemble,Sample 25,,,,,,
Trumpet Ensemble,Sample 26,,,,,,
Trumpet Ensemble,Sample 27,,,,,,
Trumpet Ensemble,Sample 28,,,,,,
Trumpet Ensemble,Sample 29,,,,,,
Trumpet,Sample 30,,,,,,
Trumpet,Sample 31,,,,,,
Trumpet,Sample 32,,,,,,
Trumpet Crescendo,Sample 33,,,,,,
Trumpet Crescendo,Sample 34,,,,,,
Trumpet,Sample 35,,,,,,
String Ensemble,Sample 36,,,,,,
String Ensemble,Sample 37,,,,,,
String Ensemble,Sample 38,,,,,,
String Ensemble,Sample 39,,,,,,
String Ensemble,Sample 40,,,,,,
Cymbal Crash,Sample 41,,,,,,
Tambourine,Sample 42,,,,,,
Timpani,Sample 43,,,,,,
Timpani,Sample 44,,,,,,
Snare,Sample 45,,,,,,
Trombone Staccato,Sample 46,,,,,,
Trombone Staccato,Sample 47,,,,,,
Trombone Staccato,Sample 48,,,,,,
Trombone Staccato,Sample 49,,,,,,
Trombone Staccato,Sample 50,,,,,,
Trombone Staccato,Sample 51,,,,,,
Trombone Staccato,Sample 52,,,,,,
Trombone Staccato,Sample 53,,,,,,
Trombone Staccato,Sample 54,,,,,,
String Spiccato,Sample 55,,,,,,
String Spiccato,Sample 56,,,,,,
String Spiccato,Sample 57,,,,,,
String Spiccato,Sample 58,,,,,,
String Spiccato,Sample 59,,,,,,
String Spiccato,Sample 60,,,,,,
String Spiccato,Sample 61,,,,,,
String Spiccato,Sample 62,,,,,,
String Spiccato,Sample 63,,,,,,
String Spiccato,Sample 64,,,,,,
String Spiccato,Sample 65,,,,,,
String Spiccato,Sample 66,,,,,,
16. Sauromugue Champaign,,,,,,,
Acoustic Guitar,Sample 0,,,,,,
Acoustic Guitar,Sample 1,,,,,,
Acoustic Guitar,Sample 2,,,,,,
Acoustic Guitar,Sample 3,,,,,,
Acoustic Guitar,Sample 4,,,,,,
Acoustic Guitar,Sample 5,,,,,,
Acoustic Guitar,Sample 6,,,,,,
Acoustic Guitar,Sample 7,,,,,,
Kalimba,Sample 8,,,,,,
Kalimba,Sample 9,,,,,,
Kalimba,Sample 10,,,,,,
Kalimba,Sample 11,,,,,,
Kalimba,Sample 12,,,,,,
Kalimba,Sample 13,,,,,,
Kalimba,Sample 14,,,,,,
Kalimba,Sample 15,,,,,,
Flute,Sample 16,,,,,,
Flute,Sample 17,,,,,,
Flute,Sample 18,,,,,,
Flute,Sample 19,,,,,,
Flute,Sample 20,,,,,,
Flute,Sample 21,,,,,,
Clarinet,Sample 22,,,,,,
Clarinet,Sample 23,,,,,,
Clarinet,Sample 24,,,,,,
Clarinet,Sample 25,,,,,,
Clarinet,Sample 26,,,,,,
Clarinet,Sample 27,,,,,,
Clarinet Staccato,Sample 28,,,,,,
Clarinet Staccato,Sample 29,,,,,,
Clarinet Staccato,Sample 30,,,,,,
Clarinet Staccato,Sample 31,,,,,,
Oboe,Sample 32,,,,,,
Oboe,Sample 33,,,,,,
Oboe,Sample 34,,,,,,
Oboe,Sample 35,,,,,,
Oboe,Sample 36,,,,,,
Oboe,Sample 37,,,,,,
Oboe Staccato,Sample 38,,,,,,
Oboe Staccato,Sample 39,,,,,,
Bassoon,Sample 40,,,,,,
Bassoon,Sample 41,,,,,,
Bassoon,Sample 42,,,,,,
Bassoon,Sample 43,,,,,,
Bassoon,Sample 44,,,,,,
Bassoon,Sample 45,,,,,,
Bassoon,Sample 46,,,,,,
Bassoon,Sample 47,,,,,,
Acoustic Bass,Sample 48,,,,,,
Acoustic Bass,Sample 49,,,,,,
Acoustic Bass,Sample 50,,,,,,
Acoustic Bass,Sample 51,,,,,,
Acoustic Bass,Sample 52,,,,,,
Acoustic Bass,Sample 53,,,,,,
Triangle,Sample 54,,,,,,
Triangle,Sample 55,,,,,,
Udu Pot,Sample 56,,,,,,
Percussion,Sample 57,,,,,,
Conga,Sample 58,,,,,,
Conga,Sample 59,,,,,,
Conga,Sample 60,,,,,,
Flute,Sample 61,,,,,,
Flute,Sample 62,,,,,,
Flute,Sample 63,,,,,,
Flute,Sample 64,,,,,,
Flute,Sample 65,,,,,,
Flute,Sample 66,,,,,,
17. Mhaura,,,,,,,
Bassoon,Sample 0,,,,,,
Bassoon,Sample 1,,,,,,
Bassoon,Sample 2,,,,,,
Flute,Sample 3,,,,,,
Flute,Sample 4,,,,,,
Flute,Sample 5,,,,,,
Flute,Sample 6,,,,,,
Flute,Sample 7,,,,,,
Flute,Sample 8,,,,,,
Flute,Sample 9,,,,,,
Flute,Sample 10,,,,,,
Flute,Sample 11,,,,,,
Flute,Sample 12,,,,,,
Flute,Sample 13,,,,,,
Flute,Sample 14,,,,,,
Bagpipes(?),Sample 15,,,,,,
Bagpipes(?),Sample 16,,,,,,
Bagpipes(?),Sample 17,,,,,,
Bagpipes(?),Sample 18,,,,,,
Bagpipes(?),Sample 19,,,,,,
Acoustic Guitar,Sample 20,,,,,,
Acoustic Guitar,Sample 21,,,,,,
Acoustic Guitar,Sample 22,,,,,,
Acoustic Guitar,Sample 23,,,,,,
Acoustic Guitar,Sample 24,,,,,,
Acoustic Guitar,Sample 25,,,,,,
Acoustic Guitar,Sample 26,,,,,,
Acoustic Guitar,Sample 27,,,,,,
Acoustic Guitar,Sample 28,,,,,,
Acoustic Guitar,Sample 29,,,,,,
Acoustic Guitar,Sample 30,,,,,,
Acoustic Guitar,Sample 31,,,,,,
Acoustic Guitar,Sample 32,,,,,,
Acoustic Guitar,Sample 33,,,,,,
Acoustic Guitar,Sample 34,,,,,,
Guitar Harmonics,Sample 35,,,,,,
String Ensemble,Sample 36,,,,,,
String Ensemble,Sample 37,,,,,,
String Ensemble,Sample 38,,,,,,
String Ensemble,Sample 39,,,,,,
Clarinet,Sample 40,,,,,,
Clarinet,Sample 41,,,,,,
Clarinet,Sample 42,,,,,,
18. Buccaneers,,,,,,,
,,,,,,,
19. Battle Theme #2,,,,,,,
Triangles,,,,,,,
20. Voyager,,,,,,,
,,,,,,,
21. Selbina,,,,,,,
,,,,,,,
22. Prelude,,,,,,,
,,,,,,,
23. Regeneracy,,,,,,,
,,,,,,,
24. Hume Male,,,,,,,
,,,,,,,
25. Hume Female,,,,,,,
,,,,,,,
26. Elvaan Male,,,,,,,
,,,,,,,
27. Elvaan Female,,,,,,,
,,,,,,,
28. Tarutaru Male,,,,,,,
,,,,,,,
29. Tarutaru Female,,,,,,,
,,,,,,,
30. Mithra,,,,,,,
,,,,,,,
31. Galka,,,,,,,
,,,,,,,
32. Airship,,,,,,,
Sine Lead,Sample 0,,,,,,
Bass & Lead Synth,Sample 1,,,,,,
Bass & Lead Synth,Sample 2,,,,,,
Bass & Lead Synth,Sample 3,,,,,,
Bass & Lead Synth,Sample 4,,,,,,
Bass & Lead Synth,Sample 5,,,,,,
Sine Lead,Sample 6,,,,,,
Sine Lead,Sample 7,,,,,,
Sine Lead,Sample 8,,,,,,
Sine Lead,Sample 9,,,,,,
Mellotron Strings,Sample 10,,,,,,
Mellotron Strings,Sample 11,,,,,,
Mellotron Strings,Sample 12,,,,,,
,Sample 13,,,,,,
,Sample 14,,,,,,
,Sample 15,,,,,,
,Sample 16,,,,,,
,Sample 17,,,,,,
,Sample 18,,,,,,
,Sample 19,,,,,,
,Sample 20,,,,,,
,Sample 21,,,,,,
,Sample 22,,,,,,
,Sample 23,,,,,,
,Sample 24,,,,,,
,Sample 25,,,,,,
,Sample 26,,,,,,
,Sample 27,,,,,,
,Sample 28,,,,,,
,Sample 29,,,,,,
,Sample 30,,,,,,
,Sample 31,,,,,,
,Sample 32,,,,,,
,Sample 33,,,,,,
,Sample 34,,,,,,
,Sample 35,,,,,,
,Sample 36,,,,,,
,Sample 37,,,,,,
,Sample 38,,,,,,
,Sample 39,,,,,,
,Sample 40,,,,,,
,Sample 41,,,,,,
33. The Grand Duchy of Jeuno,,,,,,,
,,,,,,,
,,,,,,,
34. Ru'Lude Gardens,,,,,,,
,,,,,,,
35. Recollection,,,,,,,
,,,,,,,
36. Anxiety,,,,,,,
Piano,Sample 0,,,,,,
Piano,Sample 1,,,,,,
Piano,Sample 2,,,,,,
Piano,Sample 3,,,,,,
Piano,Sample 4,,,,,,
Piano,Sample 5,,,,,,
Piano,Sample 6,,,,,,
Piano,Sample 7,,,,,,
Piano,Sample 8,,,,,,
Piano,Sample 9,,,,,,
Piano,Sample 10,,,,,,
Piano,Sample 11,,,,,,
Glockenspiel,Sample 12,,,,,,
Glockenspiel,Sample 13,,,,,,
Pizzicato Strings,Sample 14,,,,,,
Pizzicato Strings,Sample 15,,,,,,
Pizzicato Strings,Sample 16,,,,,,
Pizzicato Strings,Sample 17,,,,,,
Pizzicato Strings,Sample 18,,,,,,
Pizzicato Strings,Sample 19,,,,,,
Tremolo Strings,Sample 20,,,,,,
Tremolo Strings,Sample 21,,,,,,
Tremolo Strings,Sample 22,,,,,,
Tremolo Strings,Sample 23,,,,,,
Tremolo Strings,Sample 24,,,,,,
Tremolo Strings,Sample 25,,,,,,
Whistle,Sample 26,,,,,,
Whistle,Sample 27,,,,,,
Synth Bell,Sample 28,,,,,,
Synth Bell,Sample 29,,,,,,
Synth Bell,Sample 30,,,,,,
Synth Bell,Sample 31,,,,,,
