Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,,
Ethnic percussion(?),Sample 1,UNKNOWN,,,,,,
Tabla,Sample 2,UNKNOWN,,,,,,
Tabla,Sample 3,UNKNOWN,,,,,,
Tabla,Sample 4,UNKNOWN,,,,,,
Bass Drum,Sample 5,UNKNOWN,,,,,,
Snare,Sample 6,UNKNOWN,,,,,,
Snare,Sample 7,UNKNOWN,,,,,,
Cymbal,Sample 8,UNKNOWN,,,,,,
Piano,Sample 9,UNKNOWN,,,,,,
Dulcimer,Sample 10,UNKNOWN,,,,,,
Dulcimer,Sample 11,UNKNOWN,,,,,,
Dulcimer,Sample 12,UNKNOWN,,,,,,
Spiccato Strings,Sample 13,UNKNOWN,,,,,,
Spiccato Strings,Sample 14,UNKNOWN,,,,,,
Timpani,Sample 15,UNKNOWN,,,,,,
TImpani,Sample 16,UNKNOWN,,,,,,
Spiccato Strings,Sample 17,UNKNOWN,,,,,,
Spiccato Strings,Sample 18,UNKNOWN,,,,,,
Spiccato Strings,Sample 19,UNKNOWN,,,,,,
Spiccato Strings,Sample 20,UNKNOWN,,,,,,
String Ensemble,Sample 21,UNKNOWN,,,,,,
String Ensemble,Sample 22,UNKNOWN,,,,,,
Brass Ensemble,Sample 23,UNKNOWN,,,,,,
Brass Ensemble,Sample 24,UNKNOWN,,,,,,
Brass Ensemble,Sample 25,UNKNOWN,,,,,,
Brass Ensemble,Sample 26,UNKNOWN,,,,,,
Brass Ensemble,Sample 27,UNKNOWN,,,,,,
Brass Ensemble,Sample 28,UNKNOWN,,,,,,
Brass Ensemble,Sample 29,UNKNOWN,,,,,,
Brass Ensemble,Sample 30 ,UNKNOWN,,,,,,
7. This is Your Story,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
String Ensemble,---,,,,,,,
Kalimba,---,,,,,,,
Synth Pad,---,,,,,,,
Piano,---,,,,,,,
Airy Synth Pad,---,Spectrasonics - Distorted Reality 2,CD 2 -> Partition D -> 01 LO-TEK 1,LO-TEK-BITS1 [G1],,,,
Bright Synths,---,,,,,,,
Vox Pad,---,,,,,,,
Spiccato Strings,---,,,,,,,
,---,,,,,,,
,---,,,,,,,
,---,,,,,,,
8. Creep,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Gregorian Choir,Sample 0,UNKNOWN,,,,,,
Gregorian Choir,Sample 1,UNKNOWN,,,,,,
Synth Pad,Sample 2,UNKNOWN,,,,,,
Udu Pot,Sample 3,UNKNOWN,,,,,,
Udu Pot,Sample 4,UNKNOWN,,,,,,
Udu Pot,Sample 5,UNKNOWN,,,,,,
Udu Pot,Sample 6,UNKNOWN,,,,,,
Udu Pot,Sample 7,UNKNOWN,,,,,,
Shaker,Sample 8,UNKNOWN,,,,,,
Metalic Hit,Sample 9,UNKNOWN,,,,,,
Metallic Pad,Sample 10,UNKNOWN,,,,,,
Upright Bass,Sample 11,UNKNOWN,,,,,,
Upright Bass,Sample 12,UNKNOWN,,,,,,
Upright Bass,Sample 13,UNKNOWN,,,,,,
Upright Bass,Sample 14,UNKNOWN,,,,,,
Wind SFX,Sample 15,UNKNOWN,,,,,,
Wind SFX,Sample 16,UNKNOWN,,,,,,
String Ensemble,Sample 17,UNKNOWN,,,,,,
String Ensemble,Sample 18,UNKNOWN,,,,,,
String Ensemble,Sample 19,UNKNOWN,,,,,,
9. Battle Theme,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Electric Organ,Sample 0,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Electric Organ,Sample 1,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Electric Organ,Sample 2,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Saw Wave,Sample 3,Roland - SOUND Canvas SC-8820,SC-8820 Map,082 000 Saw Wave,,,,
Saw Wave,Sample 4,Roland - SOUND Canvas SC-8820,SC-8820 Map,082 000 Saw Wave,,,,
Saw Wave,Sample 5,Roland - SOUND Canvas SC-8820,SC-8820 Map,082 000 Saw Wave,,,,
Saw Wave,Sample 6,Roland - SOUND Canvas SC-8820,SC-8820 Map,082 000 Saw Wave,,,,
Square Wave,Sample 7,Roland - SOUND Canvas SC-8820,SC-8820 Map,081 000 Square Wave,,,,
Square Wave,Sample 8,Roland - SOUND Canvas SC-8820,SC-8820 Map,081 000 Square Wave,,,,
Square Wave,Sample 9,Roland - SOUND Canvas SC-8820,SC-8820 Map,081 000 Square Wave,,,,
Square Wave,Sample 10,Roland - SOUND Canvas SC-8820,SC-8820 Map,081 000 Square Wave,,,,
Trumpet,Sample 11,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,,,
Trumpet,Sample 12,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,,,
Trumpet,Sample 13,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,,,
French Horn,Sample 14,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,,,
French Horn,Sample 15,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,,,
Kick,Sample 16,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,001 STANDARD 1,TO DO: List specific keys on where they hit,,,
Kick,Sample 17,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,001 STANDARD 1,,,,
Snare,Sample 18,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,001 STANDARD 1,,,,
Tom ,Sample 19,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,001 STANDARD 1,,,,
Hi Hat,Sample 20,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,001 STANDARD 1,,,,
Tom ,Sample 21,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,001 STANDARD 1,,,,
Hi Hat,Sample 22,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,001 STANDARD 1,,,,
Cymbal Crash,Sample 23,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,001 STANDARD 1,,,,
Ride Cymbal,Sample 24,Roland - SOUND Canvas SC-8820,CHECK,,,,,
String Ensemble,Sample 25,Roland - SOUND Canvas SC-8820,CHECK,,,,,
String Ensemble,Sample 26,Roland - SOUND Canvas SC-8820,CHECK,,,,,
String Ensemble,Sample 27,Roland - SOUND Canvas SC-8820,CHECK,,,,,
String Ensemble,Sample 28,Roland - SOUND Canvas SC-8820,CHECK,,,,,
String Ensemble,Sample 29,Roland - SOUND Canvas SC-8820,CHECK,,,,,
String Ensemble,Sample 30 ,Roland - SOUND Canvas SC-8820,CHECK,,,,,
String Ensemble,Sample 31,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Synth Pad,Sample 32,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Picked Bass,Sample 33,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Picked Bass,Sample 34,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Picked Bass,Sample 35,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Picked Bass,Sample 36,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Picked Bass,Sample 37,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Picked Bass,Sample 38,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Picked Bass,Sample 39,Roland - SOUND Canvas SC-8820,CHECK,,,,,
Picked Bass,Sample 40,Roland - SOUND Canvas SC-8820,CHECK,,,,,
10. Victory Fanfare,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Square Wave,Sample 0,Roland - Sound Canvas SC-8820,SC-8820 Map,081 000 Square Wave,,,,
Square Wave,Sample 1,Roland - Sound Canvas SC-8820,SC-8820 Map,081 000 Square Wave,,,,
Square Wave,Sample 2,Roland - Sound Canvas SC-8820,SC-8820 Map,081 000 Square Wave,,,,
Bass Synth,Sample 3,Roland - Sound Canvas SC-8820,CHECK,,,,,
Tambourine,Sample 4,,,,,,,
Guiro,Sample 5,,,,,,,
Hi Hat,Sample 6,,,,,,,
Hi Hat,Sample 7,,,,,,,
Bass Drum,Sample 8,,,,,,,
Snare,Sample 9,,,,,,,
Hi Hat,Sample 10,,,,,,,
Hi Hat,Sample 11,,,,,,,
Hi Hat,Sample 12,,,,,,,
Hi Hat,Sample 13,,,,,,,
Hi Hat,Sample 14,,,,,,,
Cymbal Crash,Sample 15,,,,,,,
Snare,Sample 16,,,,,,,
String Ensemble,Sample 17,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,,,
String Ensemble,Sample 18,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,,,
String Ensemble,Sample 19,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,,,
String Ensemble,Sample 20,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,,,
String Ensemble,Sample 21,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,,,
String Ensemble,Sample 22,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,,,
String Ensemble,Sample 23,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,,,
Piano,Sample 24,,,,,,,
Piano,Sample 25,,,,,,,
Timpani,Sample 26,,,,,,,
Timpani,Sample 27,,,,,,,
Timpani,Sample 28,,,,,,,
Brass Ensemble,Sample 29,Roland - Sound Canvas SC-8820,CHECK,,,,,
Brass Ensemble,Sample 30,Roland - Sound Canvas SC-8820,CHECK,,,,,
Brass Ensemble,Sample 31,Roland - Sound Canvas SC-8820,CHECK,,,,,
Brass Ensemble,Sample 32,Roland - Sound Canvas SC-8820,CHECK,,,,,
Rotary Organ,Sample 33,,,,,,,
Rotary Organ,Sample 34,,,,,,,
Rotary Organ,Sample 35,,,,,,,
Rotary Organ,Sample 36,,,,,,,
11. Game Over,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Harpsichord,Sample 0,UNKNOWN,,,,,,
Harpsichord,Sample 1,UNKNOWN,,,,,,
Harpsichord,Sample 2,UNKNOWN,,,,,,
Harpsichord,Sample 3,UNKNOWN,,,,,,
Harpsichord,Sample 4,UNKNOWN,,,,,,
Harpsichord,Sample 5,UNKNOWN,,,,,,
Harpsichord,Sample 6,UNKNOWN,,,,,,
Harpsichord,Sample 7,UNKNOWN,,,,,,
Harpsichord,Sample 8,UNKNOWN,,,,,,
Harpsichord,Sample 9,UNKNOWN,,,,,,
Harpsichord,Sample 10,UNKNOWN,,,,,,
Harpsichord,Sample 11,UNKNOWN,,,,,,
Harpsichord,Sample 12,UNKNOWN,,,,,,
Harpsichord,Sample 13,UNKNOWN,,,,,,
Harpsichord,Sample 14,UNKNOWN,,,,,,
Harpsichord,Sample 15,UNKNOWN,,,,,,
Harpsichord,Sample 16,UNKNOWN,,,,,,
Harpsichord,Sample 17,UNKNOWN,,,,,,
12. Out Of The Frying Pan,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Timpani,Sample 0,Roland - SOUND CANVAS SC-8820,SC-8820 Map,048 000 Timpani,,,,
Synth Voice,Sample 1,Roland - SOUND CANVAS SC-8820,SC-55 Map,092 000 Space Voice,,,,
Synth Voice,Sample 2,Roland - SOUND CANVAS SC-8820,SC-55 Map,092 000 Space Voice,,,,
Synth Voice,Sample 3,Roland - SOUND CANVAS SC-8820,SC-55 Map,092 000 Space Voice,,,,
String Ensemble,Sample 4,UNKNOWN,,,,,,
String Ensemble,Sample 5,UNKNOWN,,,,,,
String Ensemble,Sample 6,UNKNOWN,,,,,,
String Ensemble,Sample 7,UNKNOWN,,,,,,
String Ensemble,Sample 8,UNKNOWN,,,,,,
String Ensemble,Sample 9,UNKNOWN,,,,,,
Tubular Bell,Sample 10,UNKNOWN,,,,,,
Bass & Lead,Sample 11,UNKNOWN,,,,,,
String Ensemble,Sample 12,UNKNOWN,,,,,,
Sleigh Bell,Sample 13,UNKNOWN,,,,,,
Piano,Sample 14,UNKNOWN,,,,,,
Piano,Sample 15,UNKNOWN,,,,,,
Piano,Sample 16,UNKNOWN,,,,,,
Piano,Sample 17,UNKNOWN,,,,,,
Piano,Sample 18,UNKNOWN,,,,,,
Piano,Sample 19,UNKNOWN,,,,,,
Piano,Sample 20,UNKNOWN,,,,,,
13. Leap in the Dark,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Riqq Dum,Sample 0,Roland - SOUND Canvas SC-88 Pro,SC-88 Pro Map -> Drum Set,050 ETHNIC [Note G3],Pitched -5 semitones,,,
Djembe,Sample 1,Roland - SOUND Canvas SC-88 Pro,SC-88 Pro Map -> Drum Set,050 ETHNIC [Note F4],Pitched -9 semitones,,,
Djembe Rim,Sample 2,Roland - SOUND Canvas SC-88 Pro,SC-88 Pro Map -> Drum Set,050 ETHNIC [Note F#4],,,,
Strings Sforzando,Sample 3,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs [Note C6; Left Channel],,,,
Strings Sfzorzando,Sample 4,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs [Note C6; Right Channel],,,,
Strings Staccato,Sample 5,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs [Note F#2; Right Channel Only],,,,
Strings Staccato,Sample 6,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs [Note F#3; Right Channel Only],,,,
Strings Staccato,Sample 7,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs [Note F#4; Right Channel Only],,,,
Strings Staccato,Sample 8,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs [Note F#5; Right Channel Only],,,,
Strings Low,Sample 9,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs [Note D1; Right Channel Only],,,,
Low Pad,Sample 10,UNKNOWN,,,,,,
Low Pad,Sample 11,UNKNOWN,,,,,,
14. Underwater Ruins,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Sine,Sample 0,UNKNOWN,,,,,,
Laser SFX,Sample 1,UNKNOWN,,,,,,
Udu Pot,Sample 2,UNKNOWN,,,,,,
Udu Pot,Sample 3,UNKNOWN,,,,,,
Udu Pot,Sample 4,UNKNOWN,,,,,,
Udu Pot,Sample 5,UNKNOWN,,,,,,
Udu Pot,Sample 6,UNKNOWN,,,,,,
Synth Pad,Sample 7,UNKNOWN,,,,,,
Synth Pad,Sample 8,UNKNOWN,,,,,,
Synth Pad,Sample 9,UNKNOWN,,,,,,
Synth Pad,Sample 10,UNKNOWN,,,,,,
Synth Pad,Sample 11,UNKNOWN,,,,,,
Synth Voice,Sample 12,UNKNOWN,,,,,,
Synth Voice,Sample 13,UNKNOWN,,,,,,
Wind SFX,Sample 14,UNKNOWN,,,,,,
Wind SFX,Sample 15,UNKNOWN,,,,,,
Wind SFX,Sample 16,UNKNOWN,,,,,,
Wind SFX,Sample 17,UNKNOWN,,,,,,
Airy Synth Pad,Sample 18,UNKNOWN,,,,,,
Airy Synth Pad,Sample 19,UNKNOWN,,,,,,
15. Oui Are Al Bhed,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Drum Kick,Sample 0,UNKNOWN,,,,,,
Drum Kick,Sample 1,UNKNOWN,,,,,,
Snare,Sample 2,UNKNOWN,,,,,,
Ride Cymbal,Sample 3,UNKNOWN,,,,,,
Hi Hat,Sample 4,UNKNOWN,,,,,,
Triangle,Sample 5,UNKNOWN,,,,,,
Triangle,Sample 6,UNKNOWN,,,,,,
Shaker,Sample 7,UNKNOWN,,,,,,
Bass & Lead,Sample 8,UNKNOWN,,,,,,
Bass & Lead,Sample 9,UNKNOWN,,,,,,
Flute,Sample 10,UNKNOWN,,,,,,
Nylon Guitar,Sample 11,UNKNOWN,,,,,,
Nylon Guitar,Sample 12,UNKNOWN,,,,,,
Nylon Guitar,Sample 13,UNKNOWN,,,,,,
Nylon Guitar,Sample 14,UNKNOWN,,,,,,
Nylon Guitar,Sample 15,UNKNOWN,,,,,,
String Ensemble,Sample 16,UNKNOWN,,,,,,
String Ensemble,Sample 17,UNKNOWN,,,,,,
String Ensemble,Sample 18,UNKNOWN,,,,,,
String Ensemble,Sample 19,UNKNOWN,,,,,,
String Ensemble,Sample 20,UNKNOWN,,,,,,
Glockenspiel,Sample 21,Kurzweil - Orchestral ROM,Programs -> PERCUSSION,971 Glockenspiel,,,,
Glockenspiel,Sample 22,Kurzweil - Orchestral ROM,Programs -> PERCUSSION,971 Glockenspiel,,,,
Glockenspiel,Sample 23,Kurzweil - Orchestral ROM,Programs -> PERCUSSION,971 Glockenspiel,,,,
Picked Bass,Sample 24,UNKNOWN,,,,,,
Picked Bass,Sample 25,UNKNOWN,,,,,,
Electric Guitar,Sample 26,Roland - SOUND CANVAS SC-8820,SC-8820 Map,027 000 Jazz Gt.,,,,
Electric Guitar,Sample 27,Roland - SOUND CANVAS SC-8820,SC-8820 Map,027 000 Jazz Gt.,,,,
Electric Guitar,Sample 28,Roland - SOUND CANVAS SC-8820,SC-8820 Map,027 000 Jazz Gt.,,,,
Electric Piano,Sample 29,Roland - SOUND CANVAS SC-8820,CHECK,CHECK,,,,
Electric Piano,Sample 30,Roland - SOUND CANVAS SC-8820,CHECK,CHECK,,,,
Electric Piano,Sample 31,Roland - SOUND CANVAS SC-8820,CHECK,CHECK,,,,
Electric Piano,Sample 32,Roland - SOUND CANVAS SC-8820,CHECK,CHECK,,,,
Warm Synth Pad,Sample 33,Roland - SOUND CANVAS SC-8820,SC-8820 Map,090 000 Warm Pad,Set attack to -64,,,
Warm Synth Pad,Sample 34,Roland - SOUND CANVAS SC-8820,SC-8820 Map,090 000 Warm Pad,Set attack to -64,,,
Warm Synth Pad,Sample 35,Roland - SOUND CANVAS SC-8820,SC-8820 Map,090 000 Warm Pad,Set attack to -64,,,
Warm Synth Pad,Sample 36,Roland - SOUND CANVAS SC-8820,SC-8820 Map,090 000 Warm Pad,Set attack to -64,,,
16. Enemy Attack,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Choir,Sample 0,UNKNOWN,,,,,,
Choir,Sample 1,UNKNOWN,,,,,,
Clarinet,Sample 2,UNKNOWN,,,,,,
Clarinet,Sample 3,UNKNOWN,,,,,,
Flute,Sample 4,UNKNOWN,,,,,,
Flute,Sample 5,UNKNOWN,,,,,,
Slow String Ensemble,Sample 6,UNKNOWN,,,,,,
Timpani,Sample 7,UNKNOWN,,,,,,
String Ensemble,Sample 8,UNKNOWN,,,,,,
String Ensemble,Sample 9,UNKNOWN,,,,,,
String Ensemble,Sample 10,UNKNOWN,,,,,,
String Ensemble,Sample 11,UNKNOWN,,,,,,
String Ensemble,Sample 12,UNKNOWN,,,,,,
String Ensemble,Sample 13,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs,,,,
String Ensemble,Sample 14,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs,,,,
French Horn,Sample 15,Roland - SOUND CANVAS SC-88 Pro,Native Map,061 000 French Horns,,,,
French Horn,Sample 16,Roland - SOUND CANVAS SC-88 Pro,Native Map,061 000 French Horns,,,,
Bass Drum,Sample 17,UNKNOWN,,,,,,
Snare,Sample 18,Best Service Advanced Orchestra,,,,,,
Gong,Sample 19,UNKNOWN,,,,,,
Cymbal Crash,Sample 20,UNKNOWN,,,,,,
Cymbal Crash,Sample 21,UNKNOWN,,,,,,
Tambourine,Sample 22,UNKNOWN,,,,,,
Cymbal Crash,Sample 23,Best Service Advanced Orchestra,,,,,,
Cymbal Crash (sustain),Sample 24,Best Service Advanced Orchestra,,,,,,
Suspended Cymbal,Sample 25,UNKNOWN,,,,,,
17. The Blitzers,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Synth Pad,Sample 0,,,,,,,
Flute,Sample 1,,,,,,,
Flute,Sample 2,,,,,,,
Flute,Sample 3,,,,,,,
French Horn,Sample 4,,,,,,,
French Horn,Sample 5,,,,,,,
Snare,Sample 6,,,,,,,
Timpani,Sample 7,,,,,,,
Cymbal,Sample 8,,,,,,,
Reverse Cymbal,Sample 9,,,,,,,
Triangle,Sample 10,,,,,,,
Triangle,Sample 11,,,,,,,
Chiffer Lead,Sample 12,Roland - SOUND Canvas SC-8820,SC-8820 Map,084 000 Chiffer Lead,,,,
Chiffer Lead,Sample 13,Roland - SOUND Canvas SC-8820,SC-8820 Map,084 000 Chiffer Lead,,,,
String Ensemble,Sample 14,,,,,,,
String Ensemble,Sample 15,,,,,,,
Synth Bass,Sample 16,,,,,,,
Synth Brass,Sample 17,Roland - SOUND Canvas SC-8820,,,,,,
Synth Brass,Sample 18,Roland - SOUND Canvas SC-8820,,,,,,
French Horn,Sample 19,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,,,
French Horn,Sample 20,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,,,
Trumpet,Sample 21,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,,,
Trumpet,Sample 22,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,,,
String Ensemble,Sample 23,,,,,,,
String Ensemble,Sample 24,,,,,,,
String Ensemble,Sample 25,,,,,,,
String Ensemble,Sample 26,,,,,,,
String Ensemble,Sample 27,,,,,,,
String Ensemble,Sample 28,,,,,,,
String Ensemble,Sample 29,,,,,,,
String Ensemble,Sample 30,,,,,,,
String Ensemble,Sample 31,,,,,,,
Low String Ensemble,Sample 32,,,,,,,
Low String Ensemble,Sample 33,,,,,,,
18. Besaid,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Sine,Sample 0,Roland - SR-JV80-04 Vintage Synth,XP-X,163 70s Sinusolo,,,,
Sine,Sample 1,Roland - SR-JV80-04 Vintage Synth,XP-X,163 70s Sinusolo,,,,
Sine,Sample 2,Roland - SR-JV80-04 Vintage Synth,XP-X,163 70s Sinusolo,,,,
Sine,Sample 3,Roland - SR-JV80-04 Vintage Synth,XP-X,163 70s Sinusolo,,,,
Sine,Sample 4,Roland - SR-JV80-04 Vintage Synth,XP-X,163 70s Sinusolo,,,,
Sine,Sample 5,Roland - SR-JV80-04 Vintage Synth,XP-X,163 70s Sinusolo,,,,
Synth Bell,Sample 6,,,,,,,
