Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Roland,D-20,Multi Timbral -> A Group,I-A38: Celesta 2,From Arcana,-Used throughout the soundtrack-,
Roland,D-20,Waveform,41 Flute High,From Arcana,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-33: Soft Trumpet [033],From Arcana,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-35: BrassSection [035],From Alcahest,"The First Hole, Green Fields",
Kirby's Avalanche (NA) / Kirby's Ghost Trap (EU),,"(Released: February, 1995)",,"(Music by: Einosuke Nagao, Nobuaki Yamasaki)",,
Roland,JUNO-106,,,,-Used throughout the soundtrack-,
Roland,SH-101,,,,-Used throughout the soundtrack-,
Roland,SOUND Canvas SC-88,SC-55 Map,049 000 Strings,,"Stage Theme 1, Stage Theme 2",
Roland,SOUND Canvas SC-88,SC-88 Map,057 000 Trumpet,,"Stage Theme 1, Stage Theme 2, Win Competition (Part 1), Staff Roll, Continue Theme",
Roland,SOUND Canvas SC-88,SC-88 Map -> Drum Set,001 STANDARD,Timbale,"Game Select, Stage Theme 1, Stage Theme 2, Staff Roll",
Roland,TR-909,,,"Kick, Snare, Tom, Hats, Crash",-Used throughout the soundtrack-,
BS Kirby no Omochabako: Hoshi Kuzushi ★★★,,"(Released: Fabruary 8, 1996)",,,,
AKAI,S1000,SL1036 WIND & GLOCKEN,SING-GLASS 2,SINGGLASS 2,"In Game, King Dedede, Game Over",
AKAI,S1000,SL1085 ORCHESTRA #2,ORCHESTRA 1,ORCH 1-C4,"Title, In Game, King Dedede, Game Over, Level Complete",
AKAI,S1000,SE3001 ANIMALS,ANIMALS,CROW 3,King Dedede,
Roland,SOUND Canvas SC-55,Capital,004 Honky-tonk,,"Title, In Game, King Dedede",
Roland,SOUND Canvas SC-55,Capital,012 Vibraphone,,"Title, In Game, King Dedede, Game Over, Level Complete",
Roland,SOUND Canvas SC-55,Capital,036 Fretless Bs.,,"Title, In Game, King Dedede, Game Over, Level Complete",
Roland,SOUND Canvas SC-55,Capital,072 Clarinet,,Unused Song,
Roland,SOUND Canvas SC-55,Drum Set,017 POWER,"Kick, Snare, Conga","Title, In Game, King Dedede, Game Over, Level Complete",
Kirby Super Star (NA) / Kirby's Fun Pak (EU) ★,,,,(Music by: Jun Ishikawa),,
Base Game - Nintendo SNES,,"(Released: March 21, 1996)",,,,
Live Recording: Masahiro Sakurai,"""Chesto""",,,,SFX (Mike Kirby),
Sample: Jun Ishikawa,Kirby's Dream Land,,,Bass Wave,-Used throughout the soundtrack-,
E-MU Systems,Proteus/1,Bank 0,001 Hall Strings,Part of the SNES SDK,"Crash! Gourmet Race, Hilltop Chase, Trees in the Depths of the Earth, Mine Cart Riding, Crystal Field and Mystery Paradise, Way of the Fighting King, Gladiator Kirby",
E-MU Systems,Proteus/1,Bank 0,014 Rock Drums 1,Part of the SNES SDK,SFX (Hammer),
Hollywood Edge,The Premiere Edition Vol. 1,"Glass, Crash",GlassCrashSustaine PE112901,,SFX (Mirror Ability),Link
Hollywood Edge,The Premiere Edition Vol. 1,"Impacts & Crashes-Fights, Punches Kicks Hits",PunchFaceHit4Sharp PE100401,,"SFX (Fighter Ability, some Explosions)",Link
Hollywood Edge,The Premiere Edition Vol. 1,"Impacts & Crashes-Fights, Punches Kicks Hits",PunchBodyHit3Sharp PE101001,,SFX (Fighter Ability),Link
Hollywood Edge,The Premiere Edition Vol. 1,Swish,Swish5Single PE116401,,SFX (Parasol Ability),Link
King Records,Hissatsu! Series Sound Collection,Track 03 -> TS 0:16,必殺仕掛人(第1作)動作編-殴る・1,,SFX (Fighter Ability),
King Records,Hissatsu! Series Sound Collection,Track 09 -> TS 0:17,助け人走る(第3作)武器編-刀・1,,SFX (Yo-yo Ability),
King Records,Hissatsu! Series Sound Collection,Track 30 -> TS 0:14,新・必殺仕置人(第10作)武器編 ...,,SFX (Cannon),
King Records,Hissatsu! Series Sound Collection,Track 39 -> TS 0:15,必殺からくり人-富岳百景殺し旅...,,SFX (Sword Ability),
KORG,X3,PROG -> Bank GM,G30 Over Drive,Overdrive Guitar,Megaton Punch,
KORG,X3,PROG -> Bank GM,G56 Orch Hit,,Heart of Nova,
KORG,X3,PROG -> Bank GM,G57 Trumpet,,-Used throughout the soundtrack-,
KORG,X3,PROG -> Bank GM,G107 Shamisen,,Instant Sword Death,Link
KORG,X3,PROG -> Bank GM,G129 GM Kit,Noisy Vibraslap,SFX (Instant Sword Death Minigame),
Kurzweil,K2000,Programs -> DRUMS,114 Dance Kit,Power Snare,"Kirby Super Star, Staff Roll",
Kurzweil,Orchestral ROM,Programs -> PLUCKED STRINGS,964 Dynamic Harp,Acoustic Bass,"The Great Cave Offensive, Save Hut, Gladiator Kirby",
Roland,D-20,Multi Timbral -> A Group,I-A37: Celesta 1,,-Used throughout the soundtrack-,
Roland,D-20,Multi Timbral -> A Group,I-A75: Pan Pipes, ,-Used throughout the soundtrack-,
Roland,D-20,RHYTHM,P-51: UserPattern,Impact Snare,"Halberd ~ Nightmare Warship, Taking Over the Halberd, Meta Knight's Theme, Halberd Escape ",
Roland,D-20,Waveform,13 Crash Cymbal-2,Crash Cymbal,"Crash! Gourmet Race, Run, Kirby, Run!, Hilltop Chase, Winner!, Kirby Wins!, Kirby's Triumphant Return, Way of the Fighting King",
Roland,D-20,Waveform,97 Female Voice-1,,"Time to Learn, Float Islands, Bubbly Clouds, Candy Mountain, Heart of Nova, Microphone Scream 1",
Roland,D-20,Waveform,99 Male Voice-1,,SFX (Walky),
Roland,SN-U110-02 Latin and F.X. Percussions,,02-017 TRIANGLE,Used with reverb,Heart of Nova,
Roland,SN-U110-02 Latin and F.X. Percussions,,02-024 AGOGO 2,,SFX (Cook Ability),
Roland,SN-U110-02 Latin and F.X. Percussions,,02-034 ORCH HIT,,"Halberd ~ Nightmare Warship, Taking Over the Halberd, Above the Halberd, Meta Knight's Theme, Halberd Escape",
Roland,SN-U110-02 Latin and F.X. Percussions,,02-051 STAKE,,SFX (Heavy Lobster),
Roland,SN-U110-03 Ethnic,,03-034 SICU 1,Calliope / Bottle blow,-Used throughout the soundtrack-,
Roland,SN-U110-03 Ethnic,,03-034 SICU 1,Pan Flute,Staff Roll,
Roland,SN-U110-06 Orchestral Winds,,06-035 TIMPANI 2,,-Used throughout the soundtrack-,
Roland,SN-U110-10 Rock Drums,,10-002 ELEC DRUMS,"Kick, Snare, Closed Hi-hat, Tom, Clave",-Used throughout the soundtrack-,
Roland,SN-U110-11 Sound Effects,,11-027 APPLAUSE,,SFX (Crowd),
Roland,U-220,Patch,P-16: Mad Organ [016],,Meta Knight Defeated,
Roland,U-220,Patch,P-21: Syn.Vox 1 [021],,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-35: BrassSection [035],,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-40: Shakuhachi [040],,Instant Sword Death,
Roland,U-220,Patch,P-41: Fantasia [041],,"Milky Way Wishes, Victory Star 3, Floating Away, Treasure!",
Yamaha,DX100,Internal -> BANK D,19 PINK NOISE,,SFX (Jet Ability),
All other documented instruments were ripped from previous HAL titles,,,,,,
Roland,D-20,Multi Timbral -> A Group,I-A38: Celesta 2,From Arcana,"Kirby Super Star, Float Islands, Marshmallow Castle, Victory Star 1, King Dedede's Theme, Milky Way Wishes, Victory Star 2",
Roland,SN-U110-06 Orchestral Winds,,06-023 FR. HORN 1,Beginning was cut off - From Alcahest,"Bubbly Clouds, Boss Battle, Peanut Plain, Crystal Field and Mystery Paradise, Halberd ~ Nightmare Warship, Grape Garden, Wishing with Nova, Gladiator Kirby",
Roland,U-220,Patch,P-17: Strings [017],From Alcahest,-Used throughout the soundtrack-,
Stuff to Find,,,,,,
Sample: Nintendo,Game Boy,,,"Pulse Waves, Triangle Wave","Dreaming of Food, Battle Windows, Heart of Nova, SFX",
Roland,? (SH-2),,,Synth Bass,-Used throughout the soundtrack-,
Roland,SH-2,,,May be used,,
Yamaha,DX100,,,May be used,,
Roland,"PN-D10-01 Unique ""D"" Sounds",Performance -> A Group,C-A37: Marcato Strings,Saw Wave,King Dedede's Theme,
?,?,,,Half sine wave synth,"Green Greens, Milky Way Wishes",
?,?,,,White Noise SFX,SFX (Wind),
?,?,,,Melodic Noise SFX,Heart of Nova,
?,?,,,Rumbling SFX,"SFX (Explosions, Earthquakes)",
?,?,,,Sawtooth Lead,"Halberd ~ Nightmare Warship, Taking Over the Halberd, Meta Knight's Theme",
?,?,,,Chorded Voices,Milky Way Wishes,
?,?,,,Deh-yah! voice SFX,SFX (Mike Ability),
?,?,,,Cough Voice-thing SFX,SFX (Dyna Blade Voice),
?,?,,,Laugh Voice-thing SFX,SFX (Marx Voice),
Kirby Super Star Ultra (Nintendo DS),,"(Released: September 22, 2008)",,"(Music by: Hirokazu Ando, Jun Ishikawa)",,
Live Recording: Jun Ishikawa,Electric Guitar,,,,"The Greatest Warrior in the Galaxy, True Arena",
Hollywood Edge,The Premiere Edition Vol. 1,"Alarm, Buzzer",WarningBuzzerSpace PE194501,,SFX,Link
IK Multimedia,SampleTank 2 XL,Guitar -> Electric,Heavy Metal,,The Greatest Warrior in the Galaxy,
IK Multimedia,SampleTank 2 XL,Guitar -> Electric -> LeadSTR,RockFusion solo,,The Greatest Warrior in the Galaxy,
Roland,JD-990,Waveform,108 Wind Chimes,Ripped from Kirby 64,,
Roland,SOUND Canvas SC-8850,SC-88 Map,000 061 FrenchHorns,,Masked Dedede Battle,
Roland,SOUND Canvas SC-8850,SC-88 Map,000 106 Banjo,Ripped from the GBA games,Kirby on the Draw,
Roland,SOUND Canvas SC-8850,SC-88Pro Map,001 030 Overdrive 2,,True Arena,
Roland,SOUND Canvas SC-8850,SC-8850 Map,005 030 Attack Drive,,True Arena,
Stuff to Find,,,,,,
Roland,D-20,Multi Timbral -> B Group,I-B61: Koto,,Samurai Kirby,
?,?,,,Harp,Helper Rest,
Kirby's Dream Land 3 ★,,"(Released: November 27, 1997)",,(Music by: Jun Ishikawa),,
KORG,X3,PROG -> Bank GM,G54 Doo Voice,,Staff Roll,
KORG,X3,PROG -> Bank GM,G67 Tenor Sax,,"Sand Canyon 1, Friends 1, Cast Montage",
KORG,X3,PROG -> Bank GM,134 Perc Kit,Timbale,-Used throughout the soundtrack-,
Roland,D-20,Multi Timbral -> A Group,I-A75: Pan Pipes, ,-Used throughout the soundtrack-,
Roland,JD-990,Waveform,052 Gamelan 1,,"Sand Canyon 3, Staff Roll",
Roland,JD-990,Waveform,061 Klack Wave,,Staff Roll,
Roland,JD-990,Waveform,130 Slap Bass 1,,"Title Theme, Ripple Field 1, Staff Roll",
Roland,JD-990,Waveform,153 Feedbackwave,,Pop Star,
Roland,SN-U110-06 Orchestral Winds,,06-012 CLARINET 1,,"Grass Land 1, Grass Land 2",
Roland,SN-U110-06 Orchestral Winds,,06-029 TUBA 1,,Grass Land 1,
Roland,SN-U110-07 Electric Guitar,,07-005 JZG F,,"Grass Land 4, Sand Canyon 1, Cast Montage",
Roland,SN-U110-10 Rock Drums,,10-002 ELEC DRUMS,"Snare, Open Hihat",-Used throughout the soundtrack-,
Roland,U-220,Timbre,T-036: Syn.Bass 4 [036],,Ripple Field 2,
Yamaha,DX100,Internal -> BANK D,19 PINK NOISE,,SFX,
Ueberschall,Jam Box,Track 82 - ? - TS 0:35,?,Snare,"Big Boss Battle, Iceberg",
All other documented instruments were ripped from previous HAL titles,,,,,,
Sample: Jun Ishikawa,Kirby's Dream Land,,Bass Wave,From Kirby Superstar,"Ripple Field 3, Iceberg Map, Minigame, Friends 1, Friends 3",
KORG,X3,PROG -> Bank GM,G57 Trumpet,From Kirby Superstar,-Used throughout the soundtrack-,
Roland,D-20,Multi Timbral -> A Group,I-A37: Celesta 1,From Kirby Superstar,"Grass Land 1, Ripple Field 1",
Roland,D-20,Multi Timbral -> B Group,I-B13: Chorale,From Kirby's Dream Course,Grass Land 1,
Roland,D-20,Waveform,102 Spectrum-2,From Alcahest,Hyper Zone 2,
Roland,SN-U110-03 Ethnic,,03-034 SICU 1,From Kirby Superstar,-Used throughout the soundtrack-,
Roland,SN-U110-10 Rock Drums,,10-002 ELEC DRUMS,From Kirby Superstar,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-17: Strings [017],From Alcahest,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-21: Syn.Vox 1 [021],From Kirby Superstar,Ripple Field 3,
Roland,U-220,Patch,P-41: Fantasia [041],From Kirby Superstar,-Used throughout the soundtrack-,
Stuff to Find,,,,,,
Sample: Nintendo,Game Boy,,,"Pulse Waves, Triangle Wave","Title Screen, Hyper Zone 1, Ripple Field 2, SFX",
King Records,Hissatsu! Series Sound Collection,,,"Phazing ""Synth"" Noise","Big Boss Battle, Iceberg",
KORG,X3,,,"""Quack"" Synth Brass","Title Screen, Ripple Field 3",
Roland,JD-990,,,Pulsating Organ,"Opening, Music Test",
Roland,SH-2,,,May be used,,
Roland,? (SH-2),,,"""Meow"" Synth","Sand Canyon 2, King Dedede, Hyper Zone 1",
Roland,? (SH-2),,,Moog Bass 1,"King Dedede, Hyper Zone 1",
Roland,? (SH-2),,,Moog Bass 2,"Big Boss Battle, Iceberg",
Roland,? (SH-2),,,Moog Bass 3,Hyper Zone 2,
? (Korg?),?,,,Sine Wave,"Miniboss Battle, Grass Land 3, Iceberg",
?,?,,,Bass Waveform,Grass Land 1,
? (Linn?),?,,,Kick,-Used throughout the soundtrack-,
?,?,,,Sawtooth Lead,"Grass Land 3, Iceberg",
?,?,,,Tom-ish Snare,Ripple Field 2,
?,?,,,Woodblock - Part of the SNES SDK,Cast Montage,
Kirby's Super Star Stacker/Kirby no Kirakira Kizzu (SFC),,"(Released: February 1, 1998)",,"(Music by: Hirokazu Ando, Jun Ishikawa)",,
E-MU Systems,Proteus/1,Bank 1,102 Solo Lead,Part of the SNES SDK,-Used throughout the soundtrack-,
Hollywood Edge,The Premiere Edition Vol. 1,"Impacts & Crashes-Fights, Punches Kicks Hits",PunchFaceHit4Sharp PE100401,,SFX (King Dedede cannon),
KORG,M1,Waveform,89 SquareWave,Part of the SNES SDK,-Used throughout the soundtrack-,
KORG,X3,Multisounds,325 VS 89,Chorded with notes C and G#,SFX,
Roland,JD-990,Waveform,148 Fanta Bell,,-Used throughout the soundtrack-,
Roland,SN-U110-10 Rock Drums,,10-002 ELEC DRUMS,Kick,-Used throughout the soundtrack-,
All other documented instruments were ripped from previous HAL titles,,,,,,
KORG,X3,PROG -> Bank GM,G57 Trumpet,From Kirby Superstar,-Used throughout the soundtrack-,
Roland,D-20,Multi Timbral -> A Group,I-A37: Celesta 1,From Kirby Superstar,-Used throughout the soundtrack-,
Roland,D-20,Waveform,41 Flute High,From Arcana,-Used throughout the soundtrack-,
Roland,JD-990,Waveform,153 Feedbackwave,From Kirby's Dream Land 3,SFX (used on Story),
Roland,SN-U110-10 Rock Drums,,10-002 ELEC DRUMS,From Kirby Superstar,-Used throughout the soundtrack-,
Roland,SN-U110-10 Rock Drums,,10-002 ELEC DRUMS,From Kirby's Dream Land 3,-Used throughout the soundtrack-,
Roland,SN-U110-11 Sound Effects,,11-027 APPLAUSE,From Kirby Superstar,SFX (Crowd),
Roland,U-220,Patch,P-21: Syn.Vox 1 [021],From Kirby Superstar,-Used throughout the soundtrack-,
Stuff to Find,,,,,,
Sample: Nintendo,Game Boy,,,"Square Wave, Triangle Wave",SFX,
Roland,SH-2,,,May be used,,
Roland,JD-990,Waveform,023 Syn Bass,,-Used throughout the soundtrack-,
Roland,? (SH-2),,,"""Meow"" Synth",-Used throughout the soundtrack-,
Kirby 64: The Crystal Shards ★,,"(Released: March 24, 2000)",,"(Music by: Hirokazu Ando, Jun Ishikawa)",,
AKAI,S612,AKAI Sound Library,06B - Voices (high),,SFX (Unknown),
Digidesign,The Premiere Edition Vol. 1,Percussion Unpitched -> Drums & Percussion,Pop Drums Instrument,,Ripple Star,
Hollywood Edge,The Premiere Edition Vol. 1,"Impacts & Crashes-Fights, Punches Kicks Hits",PunchFaceHit4Sharp PE100401,Used at a lower pitch.,SFX (Explosion),
Hollywood Edge,The Premiere Edition Vol. 1,"Impacts & Crashes-Various, Special Mix",CrashMetalShatter PE110201,,SFX (Minecart Crash),
Hollywood Edge,The Premiere Edition Vol. 1,"Impacts & Crashes-Various, Special Mix",CrashMetalShatter PE110401,,Factory Investigation,
KORG,X3,PROG -> Bank GM,G53 Choir,,"0² Battle, Neo Star, Aqua Star, Ruins",
KORG,X3,PROG -> Bank GM,134 Perc Kit,Bongos,"Friends 2, Aqua Star, Pop Star",
KORG,X3,Multisounds,036 Musette,,"Down the Mountain Stream, Training",
KORG,X3,Multisounds,110 Marimba,,Aqua Star,
KORG,X3,Multisounds,122 Tubular,,"Ruins, The End ~ Staff (Part 2)",
KORG,X3,Multisounds,138 Clarinet,,"Ripple Star Select, Ripple Star, Quiet Forest, Pop Star, Factory Investigation, Friends 1, Mountain Stream",
KORG,X3,Multisounds,148 Tuba,,"Training, Down the Mountain Stream, Gourmet Race",
Kurzweil,Orchestral ROM,Programs -> PERCUSSION,? (Percussion Kit),Jingle Bell,"Shiver Star, The End ~ Staff (Part 2), Quiet Forest, Ripple Star Catacombs",
Roland,JD-990,Internal,I-56 J.D's Sentiment,,"Above the Clouds, Ripple Star Map",
Roland,JD-990,PR-B,B-25 Wagner Chorale,,"Miracle Matter, 0² Battle",
Roland,JD-990,Waveform,026 Wally Wave + 006 Syn Pulse2,,"Factory Investigation, Enemy Card Index",
Roland,JD-990,Waveform,035 Fine Wine,Chord: F7sus4/c,"SFX (Planet Select, Unused (?) Warp Star Sound Effect)",
Roland,JD-990,Waveform,060 Muters,,"Above the Clouds, Friends 2",
Roland,JD-990,Waveform,058 Nylon Str,,"Game Over, Down the Mountain Stream",
Roland,JD-990,Waveform,075 Flute Push,,-Used throughout the soundtrack-,
Roland,JD-990,Waveform,094 BottleBlow,,-Used throughout the soundtrack-,
Roland,JD-990,Waveform,108 Wind Chimes,,"0² Battle, World Map",
Roland,JD-990,Waveform,109 Ac Piano 1,,Friends 2,
Roland,JD-990,Waveform,129 Upright BS,,"The End ~ Staff (Part 2), Ripple Star",
Roland,JD-990,Waveform,140 Blow Pipe,,-Used throughout the soundtrack-,
Roland,JD-990,Waveform,141 Trumpet SECT,,"Aqua Star, Down the Mountain Stream, Rock Star",
Roland,JD-990,Waveform,148 Fanta Bell,,"World Map, Game Over",
Roland,JD-990,Waveform,165 Power Tom,,SFX (Unknown),
Roland,JD-990,Waveform,169 Crash Cym,,-Used throughout the soundtrack-,
Roland,JD-990,Waveform,175 Slap Cga,,SFX (Level Selection Screen),
Roland,JD-990,Waveform,177 Mute Cga 2,,SFX (Level Selection Screen),
Roland,JD-990,Waveform,181 Tambourine,,"Neo Star Map, Friends 2",
Roland,SN-U110-02 Latin and F.X. Percussions,,02-034 ORCH HIT,Octaved,"Factory Investigation, Miracle Matter",
Roland,SN-U110-06 Orchestral Winds,,06-035 TIMPANI 2,,"Miracle Matter, Gourmet Race",
Roland,SN-U110-10 Rock Drums,,10-001 ROCK DRUMS,"Reverb Snare, Ride Cymbal","Neo Star Map, Ripple Star, The End",
Roland,SN-U110-10 Rock Drums,,10-002 ELEC DRUMS,"Snares, High Hats, Clave, Tom",-Used throughout the soundtrack-,
Roland,SN-U110-11 Sound Effects,,11-019 PISTOL,,SFX (Unknown),
Roland,SN-U110-11 Sound Effects,,11-032 FANTASYHIT,,Pop Star,
Roland,SR-JV80-05 World,XP-X -> Waveform,012 HmrDulcimer,,"Rock Star Map, Rock Star, The End ~ Staff (Part 2)",
Roland,SR-JV80-05 World,XP-X -> Waveform,054 Bagpipes 4,,"Ruins, Rock Star, Rock Star Map, World Map",
Roland,SR-JV80-05 World,XP-X -> Waveform,245 Timbale Hi,,Above the Clouds,
Roland,U-220,Patch,P-17: Strings [017],,Too many to list,
Roland,U-220,Patch,P-21: Syn.Vox 1 [021],,Rock Star,
Roland,U-220,Patch,P-33: Soft Trumpet [033],,-Used throughout the soundtrack-,
Roland,U-220,Rhythm Set,R-1: Standard Set [001],Kick,-Used throughout the soundtrack-,
