Instrument,Source,Path/Bank,Preset,Notes,Demo
44. Labyrinthine,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
45. Flying R,,,(Arranged by Tetsuya Shibata),,
,,,,,
46. Imperial Infiltration,,,(Arranged by Yoko Shimomura),,
,,,,,
47. Veiled in Black (Arrangement),,,(Arranged by Tetsuya Shibata),,
Violin Ensemble,,,,,
Viola Ensemble,,,,,
Cello Ensemble,,,,,
Bass Ensemble,,,,,
Trumpet Ensemble,,,,,
Trombone Ensemble,,,,,
Percussion loop,Spectrasonics - Stylus RMX,Classic Stylus -> 67-Crenshaw,,,
48. Invidia,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
49. Sorrow Without Solace,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
50. Sunset Waltz,,,(Arranged by Tetsuya Shibata),,
,,,,,
51. Disquiet,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
52. OMNIS LACRIMA,,,(Arranged by Kaoru Wada & Shota Nakama),,
,,,,,
53. Rodeo de Chocobo,,,(Arranged by Mitsuhiro Ohta),,
,,,,,
54. Listen Up,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
55. Creeping Shadows,,,(Arranged by Yoko Shimomura),,
,,,,,
56. Impending Peril,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
57. Up for the Challenge,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
58. Cape Caem,,,(Arranged by Tetsuya Shibata),,
Dulcimer,EastWest - Ra,Mid East -> Plucked -> Santoor,Santoor KS C0-G0,,
59. Cape Caem - Our New Home,,,(Arranged by Tetsuya Shibata),,
,,,,,
60. Cape Caem - Hidden Harbor,,,(Arranged by Tetsuya Shibata),,
,,,,,
61. Bros on the Road II,,,(Arranged by Mitsuhiro Ohta),,
,,,,,
62. NOCTIS,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
63. Over the Waves,,,(Arranged by Yoshino Aoki),,
,,,,,
64. Altissia,,,(Arranged by Yoshino Aoki),,
Accordion,,,,,
65. Altissia - Gondola Ride,,,(Arranged by Yoshino Aoki),,
Piano,,,,,
Solo Cello,Audiobro - LA Scoring Strings ,Legato Sustains,Cello FC Leg Sus,,
,,,,,
66. Welcome to the Royal Suite,,,(Arranged by Yoshino Aoki),,
,,,,,
67. Starlit Waltz,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
68. Prayer de LUNA,,,(Arranged by Yoshitaka Suzuki & Shota Nakama),,
,,,,,
69. No Time Left,,,(Arranged by Yoko Shimomura & Nicolas Alvarez),,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,20 Cymbal,
Timpani,UNKNOWN,,,,
Choir,EastWest - Goliath,Choir Bank,Womens Choir Ah,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Snare,UNKNOWN,,,,
Marimba,EastWest - Symphonic Orchestra,Perc -> Wood,Marimba,Stage Mic,
70. Song of the Stars,,,(Arranged by Yoko Shimomura & John Graham),,
,,,,,
71. The Hydraean's Wrath,,,(Arranged by Tetsuya Shibata),,
,,,,,
72. ARDYN II,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
73. LUNA,,,(Arranged by Yoko Shimomura),,
,,,,,
74. APOCALYPSIS AQUARIUS,,,(Arranged by Sachiko Miyano & Shota Nakama),,
,,,,,
75. Broken Bonds,,,(Arranged by Tetsuya Shibata),,
,,,,,
76. Dining Car,,,(Arranged by Tetsuya Shibata),,
,,,,,
77. Cartanica,,,(Arranged by Tetsuya Shibata),,
,,,,,
78. Relax and Reflect - Pensive,,,(Arranged by Tetsuya Shibata),,
,,,,,
79. Careening Into Danger,,,(Arranged by Yoko Shimomura),,
Drum Loop,Spectrasonics - Stylus RMX,RMX Grooves -> 101-Poison,101-Poison  Combo a,,
80. Tenebrae,,,(Arranged by Yoshino Aoki),,
,,,,,
81. Horrors of the Night,,,(Arranged by Yoko Shimomura & Nicolas Alvarez),,
,,,,,
Cymbal,,,,,
Marimba,,,,,
Percussion Loop,Heavyocity - Damage,CHECK,CHECK,,
,,,,,
,,,,,
,,,,,
82. End of the Road,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
83. An Empire in Ruins,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
84. RAVUS AETERNA,,,(Arranged by Tetsuya Shibata),,
,,,,,
85. In the Light of the Crystal,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
86. A World Unwaking,,,(Arranged by Yoshino Aoki),,
,,,,,
87. Neverending Nightmare,,,(Arranged by Tetsuya Shibata),,
,,,,,
88. Homecoming,,,(Arranged by Tetsuya Shibata),,
,,,,,
89. Hammerhead - The Last Bastion,,,(Arranged by Tetsuya Shibata),,
,,,,,
90. Somnus,,,(Arranged by Yoko Shimomura & Kaoru Wada),,
Vocals,Live Recording (Aundréa L. Hopkins),,,,
Piano,Live Recording (Shinko Ogata),,,,
String Ensemble,Live Recording (Masatsugu Shinozaki Group),,,,
91. Hellfire,,,(Arranged by Tetsuya Shibata),,
,,,,,
92. Magna Insomnia,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
93. Dawn,,,(Arranged by John Graham),,
,,,,,
94. Somnus Ultima,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
95. Dewdrops at Dawn,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
96. Main Theme from FINAL FANTASY,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
Florcence and The Machines - Stand By Me (Exclusive to Limited Edition OST),,,,,
Vocals,Live Recording (Florence Welch),,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Section 2 - Episode Gladious,,,,,
,,,,,
1. Shield of the King - Theme of EPISODE GLADIOLUS,,,(Arranged by Keiichi Okabe),,
,,,,,
2. Steeling My Resolve,,,(Arranged by Tetsuya Shibata),,
,,,,,
3. Taelpar Crag,,,(Arranged by Yoshino Aoki),,
,,,,,
4. The Spirits Converge,,,(Arranged by Tetsuya Shibata),,
,,,,,
5. The Trials of the Shield,,,(Arranged by Tetsuya Shibata),,
,,,,,
6. Battle on the Big Bridge (EPISODE GLADIOLUS Version),,,(Arranged by Keiichi Okabe),,
,,,,,
7. Of Muscle and Mettle,,,(Arranged by Tetsuya Shibata),,
,,,,,
8. Scar on My Pride,,,(Arranged by Tetsuya Shibata),,
,,,,,
,,,,,
Section 3 - Episode Prompto,,,,,
,,,,,
9. A Frozen Soul,,,(Arranged by Naoshi Mizuta),,
,,,,,
10. Prompto's Solitude,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
11. Beckoned by Darkness,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
12. Orbital Instability - Extended Mix,,,(Arranged by Naoshi Mizuta),,
,,,,,
13. Trigger,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
14. Coffee and Contemplation,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
15. Where None Dare Tread,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
16. Helix of Insanity,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
17. Lost in the Snow,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
18. The Fire Within,,,(Arranged by Takuro Iga),,
,,,,,
19. Identity,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
20. Moving Forward,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
21. Sound of My Heart,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
22. Face the Music,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
23. In a Trance,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
24. Crazy Motorsleigh,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
25. Orbital Instability,,,(Arranged by Naoshi Mizuta),,
,,,,,
26. Aberrant Experiment,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
27. Sins of the Father,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
28. My Life to Live,,,(Arranged by Yoshitaka Suzuki),,
,,,,,
29. Home Sweet Home - Theme of EPISODE PROMPTO,,,(Arranged by Naoshi Mizuta),,
,,,,,
,,,,,
Section 4 - Episode Ignis,,,,,
,,,,,
,,,,,
,,,,,
Section 5 - Episode Ardyn,,,,,
,,,,,
Prayer of the Oracle,,,,,
,,,,,
Founder's Day Festival,,,,,
,,,,,
Fate of Aera,,,,,
,,,,,
Conditioned to Hate,,,,,
Vocals,Live Recording (Lotus Juice),,,,
Electric Guitar,,,,,
Synth Arp,,,,,
Percussion Loop,,,,,
Kick,,,,,
Drum Loop?,,,,,
Djembe Loop,,,,,
Buzzy Synth Lead,,,,,
Cymbal,,,,,
Screaming Lead,,,,,
Trumpet,,,,,
Synth Lead,,,,,
Mono Synth Lead,,,,,
Synth Hit,,,,,
Synth Bass,,,,,
Guardian Boss,,,,,
Electric Guitar,,,,,
Trumpet Ensemble,,,,,
Trombone Ensemble,,,,,
French Horn Ensemble,,,,,
Violin Ensemble,Cinematic Studio Series - Cinematic Studio Strings,-,1st Violins,Marcato Articulation,
Synth Riser,,,,,
Drum Kit,,,,,
Orchestral Hit,Roland - JV-1080,PR-D (GM),056 OrchestraHit,,
Ardyn's Rest,,,,,
,,,,,
The Dance of Silver and Crimson,,,,,
Electric Guitar,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Somnus - The Final Battle,,,,,
,,,,,
Ardyn's Rest,,,,,
,,,,,
Somnus - The Final Battle,,,,,
,,,,,
Ardyn's Revenge,,,,,
,,,,,
Tambourine,EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,,
,,,,,
,,,,,
Resist Your Fate,,,,,
,,,,,
,,,,,
Section 6 - Comrades,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Section 7 - Monster of the Deep,,,,,
,,,,,
,,,,,
,,,,,
Section 8 - Tracks introduced in Royal Edition,,,,,
,,,,,
,,,,,
,,,,,
Section 9 - Versus XIII (Unreleased) ,,,,,
,,,,,
OMNIS LACRIMA ~ Original long version as featured in Memória! The Very Best Of Yoko Shimomura,,,,,
String Ensemble,Live Recording (Masatsugu Shinozaki Group),,,,
Piano,Live Recording (Shinko Ogata),,,,
Flute,Live Recording (Takashi Asahi),,,,
Oboe,Live Recording (Satoshi Shoji),,,,
Clarinet,Live Recording (Tadashi Hoshino),,,,
Basoon,Live Recording (Masashi Maeda),,,,
French Horn,"Live Recording (Masato Yoshinaga, Masato Abe, Yoshiyuki Uema)",,,,
Trumpet Ensemble,"Live Recording (Shigeo Ohkura, Kazuhiko Ishikawa, Hajime Someya)",,,,
Trombone Ensemble,"Live Recording (Hiroyuki Odagiri, Yuri Iguchi, Koichi Nonoshita)",,,,
Tuba,Live Recording (Kazuhiko Sato),,,,
Percussion,"Live Recording (Takafumi Fujita, Mari Kotake, Marie Ooishi)",,,,
Harp,Live Recording (Yo Saito),,,,
Choir,"Live Recording (""OMNIS LACRIMA Choir"")",,,,
,,,,,
Section 10 - Unused Datamined Songs,,,,,
,,,,,
57_Friends_Demo2 ,,,,,
,,,,,
,,,,,
,,,,,
Omega Weapon Phase 1 (Early Version),,,,,
,,,,,
,,,,,
Omega Weapon Phase 2 (Early Version),,,,,
,,,,,
,,,,,
Omega Weapon Phase 3 (Unused),,,,,
,,,,,
,,,,,
,,,,,
"Type-D Race, Track 3",,,,,
,,,,,
,,,,,
,,,,,
Aberrant Experiment (Early Version),,,,,
,,,,,
,,,,,
,,,,,
Trigger (Early Version),,,,,
,,,,,
,,,,,
Snow (Early Version),,,,,
,,,,,
,,,,,
,,,,,
Sound of My Heart (Early Version),,,,,
,,,,,
,,,,,
,,,,,
Sound of My Heart (Early Version),,,,,
,,,,,
,,,,,
Urgent Mission (Early Version),,,,,
,,,,,
,,,,,
,,,,,
Unused Episode ARDYN track,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
[Notes],,,,,
"Supplementary Media (i.e Brotherhood and Kingsglaive) in ""Supplementary Media"" tab",,,,,
"KH4 is going to be Nomura's Versus XIII power fantasy, watch",,,,,
