Company/Manufacturer,Product,Path/Bank,Preset,Notes
,,,,
16. Bamboo,,,,♪ JODODO
,,,,
,,,,
17. Katana,,,,♪ Zoe
Best Service,Ethno World Instruments,WOODWIND AND BRASS,Shakuhachi Free Licks + FX TM,C#5
,,,,
18. Shrine,,,,♪ Gon
,,,,
,,,,
19. Shuttle,,,,♪ Gon
EastWest,Ra,,,maybe
,,,,
20. Mist,,,,♪ JODODO
,,,,
,,,,
21. Dogfight,,,,♪ Gon
Live Recording: Gon,Electric Guitar,,,
Native Instruments,Kontakt Factory Library,World -> 1 - Flutes,Shakuhachi,
22. Empty,,,,♪ Zoe
,,,,
,,,,
23. Colossus,,,,♪ Gon
XLN Audio,Addictive Drums 2,Black Velvet - Selections,BIGGER OH and Room,
,,,,
24. Elsewhere,,,,♪ Gon
Spectrasonics,Omnisphere 2,ARP + BPM,Breaking Out,
Spectrasonics,Omnisphere 2,ARP + BPM,Homecoming Cascade,
,,,,
25. Quell,,,,♪ Gon
,,,,
,,,,
26. Snowfield,,,,♪ Gon
,,,,
,,,,
27. Trace,,,,♪ Gon
Spectrasonics,Omnisphere 2,ARP + BPM,Drumming Inside the Piano ,
,,,,
28. Gion2,,,,♪ JODODO
Native Instruments,Massive,Urban Arsenal 1 -> Synth Lead,Vibrant,"LFO panning, might be wrong"
Native Instruments,The Grandeur,Snapshots -> The Grandeur,Crisp Pop Grand,
Spectrasonics,Omnisphere,Atmosphere Library -> Pads & Strings,NoiZee Femalezz,Maybe?
Spectrasonics,Omnisphere 2,ARP + BPM,Colours of Light,
Spectrasonics,Retro Funk S.A.G.E. Xpander,102-Chop Wood,102-Chop Wood 1,Low pass filter added
Spectrasonics,Stylus RMX,RMX Grooves -> 52-Alice's Dream ,52-Alice's Dream Illusion 3,
Spectrasonics,Trilian,Trilogy Library -> Bass Instruments,TR-Old School Slap - Full Range,
Spectrasonics,Trilian,Trilogy Library -> Bass Instruments,TR-Old School Slap FX Slides 3,D4
Xfer Records,Serum,Seq ,SQ 2notes [GS],"Has weird artifacting near the end of the track, only audible in older versions of Serum"
29. Nightglow (Instrumental),,,,♪ Zoe
,,,,
,,,,
30. Lyin (See You in the Next World),,,,♪ Zoe
Heavyocity,Damage,02 Percussive Kits -> 04 Hybrid FX Kits,PERC Damage Hits MW,
,,,,
,,,,
,,,,
,,,,
,,,,
A Post-Honkai Odyssey,,,,
,,,,
,,,,
,,,,
1. Nihilism,,,,♪ Gon
Spectrasonics,Omnisphere 2,ARP + BPM,Berghain,
,,,,
2. Kra,,,,♪ Hao
,,,,
,,,,
3. The Fool,,,,♪ Hao
Sample: Hyper,Spoiler,,,Distorted bass
Heavyocity,Damage,,,
,,,,
4. Noitats,,,,♪ Hao
,,,,
,,,,
5. The Emperor,,,,♪ Hao
Sample: Hyper,Spoiler,,"TS 0:42, 1:03",Distorted bass and guitar
Spectrasonics,Omnisphere,Spotlight EDM -> ARP + BPM,Giganticus Pumpus Romanus,maybe
,,,,
6. Revir,,,,♪ Hao
,,,,
,,,,
7. Sniur,,,,♪ Hao
,,,,
,,,,
8. Hcruhc,,,,♪ Hao
,,,,
,,,,
9. Htaed,,,,♪ Hao
Heavyocity,Damage,01 Rhythmic Suites -> Loop Menus,LPS Epic Organic Elements 2 ,"F1, D#3"
Steinberg,Groove Agent SE,Beat Agent SE,Dubstep Kit 01,
10. Death Fly,,,,♪ Hao
Heavyocity,Damage,01 Rhythmic Suites -> Loop Menus,LPS Epic Organic Elements 2 ,"F1, D#3"
Steinberg,Groove Agent SE,Beat Agent SE,Dubstep Kit 01,
11. Ortem,,,,♪ Hao
,,,,
,,,,
12. The Chariot,,,,♪ Hao
Sample: Hyper,Spoiler,,,Distorted bass
,,,,
13. Egdirb,,,,♪ Hao
Spectrasonics,Omnisphere,Distortion ,Rad Drug 1 ,
,,,,
14. Tnemegduj,,,,♪ Hao
,,,,
,,,,
15. Judgement Knight,,,,♪ Hao
,,,,
,,,,
16. Eroc,,,,♪ Hao
,,,,
,,,,
17. The World,,,,♪ Hao
,,,,
,,,,
18. Oaths,,,,♪ Gon
Live Recording: Gary Sun,Male Vocal,,,
Live Recording: 三无MarBlue,Female Vocal,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Review,,,,
,,,,
,,,,
,,,,
1. Honkai World Diva (Movie Ver.),,,,♪ Zoe
Live Recording: Mika Kobayashi,Vocal,,,
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
2. Sakura Samsara,,,,♪ Gon
,,,,
,,,,
3. A-310,,,,♪ Gon
,,,,
,,,,
4. The Silver Wolf Stirs,,,,♪ Gon
Boom Library,Cinematic Trailers - Designed,,LOW-HIT_Classic_Anvil,
Spectrasonics,Omnisphere 2,Spotlight - EDM -> ARP + BPM,Cholesterol Levels are Fine,
Spectrasonics,Omnisphere 2,Spotlight - EDM -> ARP + BPM,Random Acts 2,
,,,,Bells sound very Omnisphere-ish
5. Florid Mitama,,,,♪ Gon
Spectrasonics,Trilian,ARP + BPM,Cwejman Screamers,
,,,,
6. Imayoh Revival,,,,♪ Gon
Spectrasonics,Omnisphere 2,ARP + BPM,Luminopiano Movement 1,
,,,,
7. Lift the Sword of Rebellion,,,,♪ Gon
XLN Audio,Addictive Drums 2,Black Velvet - Selections,BIGGER OH and Room,
,,,,
8. Dragon Hunt,,,,♪ Gon
XLN Audio,Addictive Drums 2,Black Velvet - Selections,BIGGER OH and Room,
,,,,
9. Blazing Flames,,,,♪ Gon
Spectrasonics,Omnisphere 2,ARP + BPM,Colours of Light,
,,,,
10. Battle of Schicksal,,,,♪ Gon
Spectrasonics,Trilian,ARP + BPM,Random Events in the Light,"unsure, either edited (part A disabled and changed arp) or entirely something else"
,,,,
11. Hail the Queen,,,,♪ Gon
,,,,
,,,,
12. Reburn,,,,♪ Gon
Spectrasonics,Omnisphere,Distortion ,Rad Drug 1 ,
Spectrasonics,Omnisphere 2,Spotlight - EDM -> ARP + BPM,Accidental Magic,
Spectrasonics,Omnisphere 2,Spotlight - EDM -> ARP + BPM,Fuming Fireball,
XLN Audio,Addictive Drums 2,Fairfax Vol. 2 - Selections,Dry Room,
13. Vermilion Sword,,,,♪ Gon
Spectrasonics,Omnisphere,ARP + BPM,,
,,,,
14. Arc Stalker,,,,♪ Gon
Spectrasonics,Trilian,ARP + BPM,MS-20 Abused Saw,
,,,,
15. Dark Serpent,,,,♪ Gon
Spectrasonics,Omnisphere,ARP + BPM,,
,,,,
16. Deep Enigma,,,,♪ Gon
,,,,
,,,,
17. Dreams of Gemina,,,,♪ Gon
,,,,
,,,,
18. Undine's Phantasm,,,,♪ Gon
Spectrasonics,Trilian,Bass Instruments,Hardcore Finger - Full Range,
,,,,
19. Cyberangel: Zero Exception,,,,♪ Gon
,,,,
,,,,
20. Edict of Twilight,,,,♪ Gon
,,,,
,,,,
21. Stygian Nymph,,,,♪ Vinchi
,,,,
,,,,
22. Ninja's Noir,,,,♪ Vinchi
Xfer Records,Serum,Bass (Hard),BA Snailed [SN],
,,,,damage sticks?
23. Sublime Spring,,,,♪ Vinchi
,,,,ample qudi and zheng maybe
,,,,
24. Dawn of Glory,,,,♪ Vinchi
,,,,
,,,,
25. Starlit Sanctum,,,,♪ Vinchi
Splice Sounds,Sounds of KSHMR Vol. 3,KSHMR_Fills -> KSHMR_Short_Fills_130-160,KSHMR_Short_Drum_Fill_15_156,
,,,,
26. Lone Stargazer,,,,♪ Vinchi
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Yesterday,,,,
,,,,
,,,,
,,,,
1. Gathered Pace,,,,♪ Gon
Spectrasonics,Moog Tribute Library,ARP + BPM,Slumbering Spider Sines 1,solo glide enabled and B part disabled
Spectrasonics,Omnisphere,Audiority - Cinematic II,Attack Basseggio,LFO 3 depth modified
Spectrasonics,Omnisphere,Textures Playable,Bowed Electric Guitar,
Spectrasonics,Omnisphere 2,Spotlight - EDM -> Electro Perc,Kick Me,Flame effect disabled
Spectrasonics,Omnisphere 2,Spotlight - EDM -> Electro Perc,Snare Me,
,,,,Chord synth to be found
2. Race Is On,,,,♪ Gon
Heavyocity,DM-307,,,Drums
Spectrasonics,Omnisphere / Trilian,,,Bass preset
,,,,
3. Sink,,,,♪ Gon
Spectrasonics,Omnisphere,Audiority - Cinematic II,Increasing Distortion,Modified ADSR
,,,,
4. Deep Waves,,,,♪ Gon
Heavyocity,Master Sessions Ensemble Drums,Loops -> Loop Menus -> Menus and Breakouts,Straight 8ths All Full Loops,"C#1, D1, C2"
Spectrasonics,Omnisphere / Trilian,ARP + BPM,,Bass synth
Spectrasonics,Omnisphere,Retro Land,Baby Bouncing Chips,
,,,,omnisphere piano
5. Unknown,,,,♪ Gon
Heavyocity,DM-307,Loops -> Loop Menus -> Hybrid Scoring,Hybrid Scoring ALL Full Loops,"C1, F#1, G1, B2"
Spectrasonics,Omnisphere,Distortion,Talkbox Pain,
,,,,omnisphere piano
6. Quantum Bomb,,,,♪ Gon
Heavyocity,DM-307,Loops -> Loop Menus -> Industrial Mashup,Industrial Mashup ALL Full Loops,"F1, F#1, G1"
,,,,omnisphere piano
,,,,
7. Vortex,,,,♪ Gon
Heavyocity,DM-307,Loops -> Loop Menus -> Industrial Mashup,Industrial Mashup ALL Full Loops,"F1, F#1, G1"
,,,,
8. Loneliness,,,,♪ Gon
Heavyocity,DM-307,Loops -> Loop Menus -> Hybrid Scoring,Hybrid Scoring ALL Full Loops,"A3, F4"
Spectrasonics,Omnisphere 2,Keyboards,Ambient Space Piano,Extra attack
,,,,
9. Paradox,,,,♪ Gon
Spectrasonics,Omnisphere,Keyboards,Analog Tremolo Piano,Has reverb
Spectrasonics,Trilian,ARP + BPM,Answer the Dark Memories,High pass filter
,,,,
10. Invert,,,,♪ Gon
Heavyocity,DM-307,Loops -> Loop Menus -> Urban Mashup,Urban Mashup ALL Full Loops,"C4, F#4, B4"
Spectrasonics,Moog Tribute Library,?,,
Spectrasonics,Omnisphere 2,Spotlight - EDM -> ARP + BPM,Essence of Arps,Arpeggiator mode set to Chord
11. Bobbish,,,,♪ Vinchi
Splice Sounds,Kawaii One Shots by Varien,,Varien_hai,
Splice Sounds,Kawaii One Shots by Varien,,Varien_kora,
12. Carnival,,,,♪ Vinchi
,,,,
,,,,
13. Rewards,,,,♪ Vinchi
,,,,
,,,,
14. Dim Down,,,,♪ Gon
,,,,
,,,,
15. Kevin,,,,♪ Gon
Native Instruments,Rise & Hit,,,To be found
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
,,,,
16. Ride On,,,,♪ Gon & Hao
Spectrasonics,Omnisphere 2,Spotlight - EDM -> ARP + BPM,Gritty Sidechain 3,
,,,,
17. Sandstorm,,,,♪ Gon
Heavyocity,Damage,01 Rhythmic Suites -> Loop Menus,LPS Epic Tech Full,"C3, F3, G3, G#3, D#4"
,,,,
18. Distorted Line,,,,♪ Gon
Heavyocity,DM-307,Loops -> Loop Menus -> Industrial Mashup,Industrial Mashup ALL Full Loops,"D2, G2, G#2, A#2, C3, E3, F3, G3, C4"
Spectrasonics,Omnisphere,,,Extremely pitch-modulated synth
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
19. Whatnots,,,,♪ Gon
Heavyocity,Damage,01 Rhythmic Suites -> Loop Menus,LPS Epic Tech Full,"C2, F2, G#2, D#3"
Heavyocity,DM-307,Loops -> Loop Menus -> Industrial Mashup,Industrial Mashup ALL Full Loops,"C#2, G2"
Native Instruments,Rise & Hit,03 - Hybrid Sounds,Gateway,
Spectrasonics,Omnisphere,,,Extremely pitch-modulated synth
Spectrasonics,Omnisphere,Audiority - Cinematic,Crippled,
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
,,,,
20. DOA,,,,♪ Gon
Heavyocity,Damage,01 Rhythmic Suites -> Loop Menus,LPS Epic Tech Full,"C2, F2, G#2, C#3, D#3"
Native Instruments,Rise & Hit,03 - Hybrid Sounds,Gateway,
Spectrasonics,Omnisphere,ARP + Rhythm / ARP + BPM,,Synth arp at the start
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
21. Yesterday,,,,♪ Gon
Live Recording: Yue Zhu,1st Violin,,,
Live Recording: Xuancong Han,2nd Violin,,,
Live Recording: Weiya Yang,Viola,,,
Live Recording: Xiaolong Chen,Cello,,,
22. North Wind,,,,♪ Cuiwei
,,,,
,,,,
23. Storm,,,,♪ Vinchi
,,,,
,,,,
24. Journey,,,,♪ Vinchi
,,,,
,,,,
25. Interrupts,,,,♪ Hao
Spectrasonics,Omnisphere,Ethnic World,Egyptian Saz Tremolo,
Steinberg,Groove Agent SE,Beat Agent SE,Dubstep Kit 01,
,,,,
26. Nest,,,,♪ Hao
,,,,
,,,,
27. Enter Zone,,,,♪ Hao
Steinberg,Groove Agent SE,Beat Agent SE,Dubstep Kit 01,
,,,,
28. Sora,,,,♪ Hao
,,,,
,,,,
29. Kong,,,,♪ Hao
,,,,
,,,,
30. Clock,,,,♪ Hao
Heavyocity,Damage,?,,
Spectrasonics,Omnisphere,Distortion ,Rad Drug 1 ,
31. Kcolc,,,,♪ Hao
,,,,
,,,,
32. Why,,,,♪ Hao
Spectrasonics,Omnisphere,ARP + BPM,Backwards Masking,
,,,,
33. Never Let You Go,,,,♪ Hao
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
,,,,
34. Enough,,,,♪ Hao
,,,,
,,,,
35. Coral,,,,♪ Hao
,,,,
,,,,
36. Xiao,,,,♪ Hao
Steinberg,Groove Agent SE,Beat Agent SE,Dubstep Kit 01,
,,,,
37. Jiem,,,,♪ Hao
Steinberg,Groove Agent SE,Beat Agent SE,Dubstep Kit 01,
,,,,
38. Baoc,,,,♪ Hao
Spectrasonics,Omnisphere,Keyboards,Melodica,
,,,,
39. Pendant,,,,♪ Hao
EastWest,Symphonic Orchestra,Perc -> CymGong,,
EastWest,Symphonic Orchestra,Strings -> 10 Violas -> 2 Short,VAS Col Legno (RR x3),
EastWest,Symphonic Orchestra,Strings -> 11 Violins -> 1 Long,11V Harmonics,
,,,,
,,,,
,,,,
,,,,
,,,,
Alive,,,,
,,,,
,,,,
,,,,
1. Fantasy Note,,,,♪ Vinchi
Live Recording: Yue Zhu,Violin,,,
Xfer Records,Serum,FX,FX Zombie Growl [SD],Maybe
2. Mystery,,,,♪ Fan
Spectrasonics,Omnisphere,,,
,,,,
3. Holm,,,,♪ Hao
,,,,
,,,,
4. Es,,,,♪ Hao
,,,,
,,,,
5. Burn,,,,♪ Hao
Heavyocity,Damage,,,Maybe?
,,,,
6. Ann,,,,♪ Hao
,,,,
,,,,
7. Del,,,,♪ Hao
EastWest,Hollywood Orchestra,Percussion -> Metals,Orchestral Chimes,unsure
,,,,
8. Splashing Star,,,,♪ Vinchi
,,,,
,,,,
9. Firew,,,,♪ Hao
EastWest,Hollywood Orchestra,Percussion -> Cymbals,20in Zildjian wCutouts Sus Cymbal Cres,unsure
,,,,
10. Freez,,,,♪ Hao
,,,,eastwest cymbal?
,,,,
11. Decisive,,,,♪ Cuiwei
,,,,
,,,,
12. Plimsoll,,,,♪ Cuiwei
,,,,
,,,,
13. Amus,,,,♪ Hao
,,,,
,,,,
14. Sea Wall,,,,♪ Cuiwei
,,,,
,,,,
15. Paradise Island,,,,♪ Cuiwei
,,,,
,,,,
16. Armband,,,,♪ Vinchi
EastWest,Hollywood Orchestra,Percussion -> Cymbals,20in Zildjian wCutouts Sus Cymbal Cres,unsure
,,,,
17. Mend,,,,♪ Hao
EastWest,Symphonic Orchestra,Strings -> 10 Violas -> 2 Short,VAS Col Legno (RR x3),
,,,,
18. Lonec,,,,♪ Hao
EastWest,Hollywood Orchestra,,,staccato?
EastWest,Symphonic Orchestra,Strings -> 10 Violas -> 2 Short,VAS Col Legno (RR x3),
EastWest,Symphonic Orchestra,Strings -> 10 Violas -> 2 Short,VAS Pizz,maybe
19. Nian,,,,♪ Hao
Vengeance Sound,VPS Avenger,EDM 1 -> Sequences,SQ Tropical Sunshine,"Drums only, Percussion 1 muted"
,,,,
20. Ready,,,,♪ Vinchi
Live Recording: Gon,Electric Guitar,,,
