Type,Brand Name,Product,Notes,Source / Proof
DAW,Apple,Logic Pro,,Instagram Post
DAW,Steinberg,Cubase,,Behind the Scenes of the Music of Fontaine (3:47)
Effect,FabFilter,Pro-Q 3,,Behind the Scenes of the Music of Fontaine (3:47)
Effect,ValhallaDSP,ValhallaPlate,,Behind the Scenes of the Music of Fontaine (3:47)
Sample Library,Cinematic Studio Series,Cinematic Studio Piano,,Behind the Scenes of the Music of Fontaine (3:47)
Sample Library,EastWest,Symphonic Orchestra,,
Sample Library,Native Instruments,Noire,,Instagram Post
Sample Library,Samplemodeling,The Trombone,,Behind the Scenes of the Music of Fontaine (3:47)
Sample Library,Samplemodeling,The Trumpet,,Behind the Scenes of the Music of Fontaine (3:47)
Sample Library,Sketch Samples,Sketch Nylon,,Behind the Scenes of the Music of Fontaine (3:47)
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 3,,
Software,Arturia,Pigments,,
Software,Native Instruments,"Kontakt ""Portable""",,Behind the Scenes of the Music of Fontaine (3:47)
Peijia You,尤裴佳,,Tracks Composed:,57
,,,,
Lunan,吴峥豪 (Wu Zhenghao),,Tracks Composed:,39
Sample Library,Native Instruments,Spotlight Collection: East Asia,,
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 3,,
Deer Suo,索德尔,,Tracks Composed:,17
DAW,Apple,Logic Pro,,Bilibili Video
DAW,Steinberg,Cubase,,Bilibili Video
June,刘越 (Yue Liu),,Tracks Composed:,14
DAW,Image-Line,FL Studio,,Bilibili Post
Sample Library,EastWest,Symphonic Orchestra,,Bilibili Post
Software,Modartt,Pianoteq 6 STAGE,,Bilibili Post
Software,Native Instruments,Kontakt 5,,Bilibili Post
Software,Yamaha,VOCALOID3,,Bilibili Post
Jiade He,何迦德,,Tracks Composed:,14
,,,,
Linyao Feng,冯琳尧,,Tracks Composed:,7
DAW,Apple,Logic Pro,,Instagram Post
DAW,Avid,Pro Tools,,LinkedIn Profile
DAW,Steinberg,Cubase,,LinkedIn Profile
Software,iZotope,RX,Unknown version,LinkedIn Profile
Software,Native Instruments,Kontakt,,LinkedIn Profile
Caroline Luo,罗静怡,,Tracks Composed:,4
,,,,
Zhenlan Kang,康貞蘭,,Tracks Composed:,1
,,,,
Simai Wang,王斯迈,,Tracks Composed:,1
,,,,
Qianshuo Zhou,周千朔,,Tracks Composed:,1
,,,,
,,,,
,,,,
,,,,
,,,,
Tears of Themis,,,,
,,,,
JODODO,郑宇界 (Zheng Yujie),,,
in Honkai Impact 3rd section,,,,
cuiwei,崔巍 (Cui Wei),,,
in Honkai Impact 3rd section,,,,
Zoe,蔡近翰 (Cai Jinhan),,,
in Honkai Impact 3rd section,,,,
Eyn,尹纯青 (Yin Chunqing),,,
in Honkai Impact 3rd section,,,,
,,,,
,,,,
,,,,
,,,,
Honkai: Star Rail,,,,
,,,,
Yj.W,汪玉珏 (Wang Yujue),,Tracks Composed:,101
DAW,Apple,Logic Pro,,Song of Distant Planet Vol.3 (5:57)
DAW,Image-Line,FL Studio,,Weibo Post
DAW,Steinberg,Cubase,,Song of Distant Planet Vol.1
Effect,FabFilter,Pro-R,,Song of Distant Planet Vol.1
Hardware,Roland,JUNO-DS88,,Song of Distant Planet Vol.1
Sample Library,Apple,Jam Pack 1,"""Analog Drum Machine 52""",Douyin Post
Sample Library,Best Service,Ethno World,,
Sample Library,Dharma Studio,Sounds of KSHMR Vol. 4 Complete Edition,,
Sample Library,Disciple Samples,Barely Alive - Essential Samples Vol. 1,,
Sample Library,Disciple Samples,Chime & Ace Aura - Melodic Riddim Vol. 1,,
Sample Library,Disciple Samples,Virtual Riot - Heavy Bass Design Vol. 2,,
Sample Library,Heavyocity,Damage 2,,
Sample Library,Native Instruments,Action Strikes,,
Sample Library,Strezov Sampling,Rhodope 2: Ethnic Bulgarian Choir,,
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 2,,
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 3,,
Software,Ample Sound,Ample China Pipa,,Douyin Post
Software,reFX,Nexus,,NetEase Single (a bunch of presets are from this plugin)
Software,Spectrasonics,Omnisphere,,Bilibili Post
Software,Spectrasonics,Stylus RMX,,NetEase Track (drum loops are from this plugin)
Software,Vengeance Sound,VPS Avenger,,
Software,Xfer Records,Serum,,
Fan,林一凡 (Lin Yifan),,Tracks Composed:,76
DAW,Apple,Logic Pro,,Song of Distant Planet Vol.1
Effect,FabFilter,Pro-C 2,,Song of Distant Planet Vol.3
Effect,FabFilter,Pro-Q 3,,Song of Distant Planet Vol.1
Effect,Unfiltered Audio,Sandman Pro,,Song of Distant Planet Vol.1
Effect,ValhallaDSP,ValhallaVintageVerb,,Song of Distant Planet Vol.3
Hardware,Jinjiang Shengle Technology,MQ88005 88,,Song of Distant Planet Vol.2
Hardware,KORG,microKEY 37 MkII,,Song of Distant Planet Vol.1
Hardware,Nektar,Impact LX88 Plus,,Song of Distant Planet Vol.1
Hardware,RME,Fireface 820 FS,,Song of Distant Planet Vol.1
Sample Library,Dharma Studio,Sounds of KSHMR Vol. 4 Complete Edition,,
Sample Library,EastWest,Symphonic Orchestra,,
Sample Library,Heavyocity,Damage,,
Sample Library,Native Instruments,Noire,,
Sample Library,Native Instruments,Rise & Hit,,
Software,Arturia,ARP 2600 V3,,
Software,u-he,Diva,,
Software,u-he,Hive 2,,
Software,u-he,Repro-1,,
Software,u-he,Repro-5,,
Eli.W,王可鑫 (Wang Kexin),,Tracks Composed:,66
DAW,Steinberg,Cubase,,Song of Distant Planet Vol.1
Hardware,Jinjiang Shengle Technology,MQ88005 88,,Song of Distant Planet Vol.2
Sample Library,Best Service,Ethno World,,
Sample Library,EastWest,Hollywood Choir,,
Sample Library,Heavyocity,Damage,,
Sample Library,Heavyocity,Damage 2,,
Sample Library,Native Instruments,Action Strikes,,
Sample Library,Native Instruments,Noire,,
Sample Library,Native Instruments,Session Strings 2,,
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 3,,
Sample Library,Toontrack,Americana EZX,,Song of Distant Planet Vol.2
Software,Ample Sound,Ample China Qudi,,Song of Distant Planet Vol.2
Software,Ample Sound,Ample China Zheng,,Song of Distant Planet Vol.2
Software,Arturia,Analog Lab V,,
Software,Modartt,Pianoteq 6,,Song of Distant Planet Vol.2
Software,Spectrasonics,Stylus RMX,,
Software,Spectrasonics,Trilian,,Song of Distant Planet Vol.2
Software,Toontrack,EZdrummer 2,,Song of Distant Planet Vol.2
Software,Xfer Records,Serum,,Song of Distant Planet Vol.2
Jing.W,温菁 (Wen Jing),,Tracks Composed:,44
DAW,Apple,Logic Pro,,Song of Distant Planet Vol.3 (4:30)
Sample Library,Best Service,Ethno World,,
Software,Spectrasonics,Omnisphere,,
Aolin.Huang,黄奥林 (Huang Aolin),,Tracks Composed:,27
,,,,
TSAR,崔瀚普 (Cui Hanpu),,Tracks Composed:,26
Bundle,FabFilter,Total Bundle,"Micro, One, Pro-C 2, Pro-DS, ",Bilibili video
Bundle,Kilohearts,Kilohearts Ultimate,"Snap Heap, Essentials (Resonator, Reverb, Ring Mod, etc.)",Bilibili video
Bundle,Soundtoys,Soundtoys 5,"Devil-Loc, EchoBoy, Tremolator",Bilibili video
DAW,Image-Line,FL Studio,,Bilibili video
Effect,Cableguys,Kickstart,,Bilibili video
Effect,iZotope + Exponential Audio,Excalibur,,Bilibili video
Effect,iZotope,Ozone 9,,Bilibili video (2)
Effect,iZotope,Stratus,,Bilibili video
Effect,iZotope,Symphony,,Bilibili video
Effect,iZotope,Tonal Balance Control 2,,Bilibili video
Effect,Plugin Boutique,StereoSavage,,Bilibili video
Effect,ValhallaDSP,ValhallaPlate,,Bilibili video
Effect,ValhallaDSP,ValhallaRoom,,Bilibili video
Effect,ValhallaDSP,ValhallaShimmer,,Bilibili video
Effect,ValhallaDSP,ValhallaUberMod,,Bilibili video
Effect,ValhallaDSP,ValhallaVintageVerb,,Bilibili video
Sample Library,Cymatics,Aurora Live Drum Recordings,,Bilibili video
Sample Library,Disciple Samples,Metal-Step Mayhem Vol. 1,,Bilibili video (4)
Sample Library,Disciple Samples,Sharks - Color Bass Vol. 1,or Splice,
Sample Library,Disciple Samples,Virtual Riot: Heavy Bass Design,,Bilibili video (4)
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 3,,Bilibili video (4)
Sample Library,Strezov Sampling,Rhodope 2: Ethnic Bulgarian Choir,,
Sample Library,Vengeance Sound,Essential Clubsounds Vol. 5,,Bilibili video (4)
Sample Library,Vengeance Sound,Essential Dubstep Vol. 1,,Bilibili video (4)
Sample Library,Vengeance Sound,Essential House Vol. 4,,Bilibili video (4)
Sample Library,Vengeance Sound,Nu Disco Vol. 1,,Bilibili video (4)
Software,Ample Sound,Ample Bass Upright,,Bilibili video (2)
Software,Audio Modeling,SWAM Trumpet,,Bilibili video (3)
Software,Bitsonic,Keyzone Classic,,Bilibili video
Software,iZotope,VocalSynth 2,,Bilibili video
Software,Matt Tylel,Vital,,Bilibili video
Software,Native Instruments,Kontakt 7,,Bilibili video (5)
Software,Native Instruments,Reaktor 6,,Bilibili video (3)
Software,Spitfire Audio,BBC Symphony Orchestra Professional,,Bilibili video
Software,Xfer Records,Serum,,Bilibili video
Gon,宫奇 (Gong Qi),,Tracks Composed:,21
in Honkai Impact 3rd section,,,,
Wandy.N,聂婉迪 (Nie Wandi),,Tracks Composed:,22
Sample Library,Native Instruments,Noire,,
Software,reFX,Nexus,,
Vinchi,文驰 (Wen Chi),,Tracks Composed:,11
in Honkai Impact 3rd section,,,,
Zheng.L,刘政 (Liu Zheng),,Tracks Composed:,10
,,,,
Duke.Killers,张迦南 (Zhang Jianan),,Tracks Composed:,11
Software,reFX,Nexus,,
Laetus.L,李昭洋 (Li Zhaoyang),,Tracks Composed:,4
Software,Xfer Records,Serum,,
Sean,徐晟逸 (Xu Shengyi),,Tracks Composed:,5
,,,,
Hao,李敬浩 (Li Jinghao),,Tracks Composed:,2
in Honkai Impact 3rd section,,,,
Wei.C,崔巍 (Cui Wei),,Tracks Composed:,1
in Honkai Impact 3rd section,,,,
Han.J,蒋少寒 (Shaohan Jiang),,Tracks Composed:,3
,,,,
Yonghui.C,陈永辉 (Chen Yonghu),,Tracks Composed:,5
in Honkai Impact 3rd section,,,,
,,,,
,,,,
,,,,
,,,,
Zenless Zone Zero,,,,
,,,,
Yang Wutao,武韬,,Tracks Composed:,125
Bundle,Best Service,Ethno World 5 Professional & Voices,,Bilibili Stream
Bundle,Heavyocity,AEON Collection,,Bilibili Stream
Bundle,Native Instruments,Komplete 11 Ultimate,"Physical version, has almost everything downloaded",Weibo Post
Bundle,Singomakers,30 EDM Packs Collection,,Bilibili Stream
Bundle,Waves,GTR3,,Bilibili Stream
Bundle,Waves,OneKnob Series,,Bilibili Stream
Bundle,Waves,Tony Maserati Signature Series,,Bilibili Stream
DAW,Ableton,Live 10 Suite,,Weibo Post
DAW,Apple,Logic Pro X,,Weibo Post
DAW,Presonus,Studio One,,Weibo Post
DAW,Steinberg,Cubase Pro 10,,"Behind the Scenes of Sān-Z Music Production Episode 1 (0:26), Bilibili Stream"
DAW,Steinberg,Nuendo,,
DAW,Image-Line,FL Studio 9,Probably not used past 2014,Weibo Post
Effect,iZotope,Ozone 8 Advanced,,Bilibili Stream
Effect,iZotope,Ozone 9,,Bilibili Stream
Effect,Waves,C1 Compressor,,Bilibili Stream
Effect,Waves,CLA Guitars,,Bilibili Stream
Effect,Waves,Eddie Kramer Guitar Channel,,Bilibili Stream
Effect,Waves,JJP Guitars,,Bilibili Stream
Effect,Waves,L3-16 Multimaximizer,,Bilibili Stream
Effect,Waves,Q10 Equalizer,,Bilibili Stream
Effect,Waves,RVerb Stereo,,Weibo Post
Effect,Xfer Records,Dimension Expander,,Bilibili Stream
Hardware,Akai,MPD226,,Weibo Post
Hardware,Akai,MPK Mini mkII,,Weibo Post
Hardware,Epiphone,Les Paul Standard Plustop Pro,,Weibo Post
Hardware,Native Instruments,Komplete Kontrol S61 MK2,,Twitter Post
Hardware,Nektar,Panorama P4,,Behind the Scenes of Sān-Z Music Production Episode 1 (12:14)
Hardware,Novation,Launchpad S,,Weibo Post
Hardware,Pioneer DJ,CDJ-2000NXS2,,Bilibili Stream
Hardware,Pioneer DJ,DDJ-SX2,,Bilibili Post
Hardware,Pioneer DJ,DJM-900NXS2,,Bilibili Stream
Hardware,SPL Audio,Crimson,,Weibo Post
Preset Pack,Aiyn Zahev Sounds,Serum: Halcyon Vol.1,,
Preset Pack,ADSR Sounds,EDM Essentials for Serum,,Bilibili Stream
Preset Pack,Detail Red Press,Harder Better Faster,For Serum,Bilibili Stream
Preset Pack,Disciple Samples,Virtual Riot Serum Presets,,Bilibili Stream
Preset Pack,Disciple Samples,Virtual Riot Serum Presets 2,,
Preset Pack,Evolution Of Sound,Serum Revolution,,Bilibili Stream
Preset Pack,Freaky Loops,Complextro & Dubstep Vol. 1,For Massive..,Bilibili Stream
Preset Pack,Freaky Loops,Complextro & Dubstep Vol. 2,..,Bilibili Stream
Preset Pack,Freaky Loops,Complextro & Dubstep Vol. 3,..,Bilibili Stream
Preset Pack,Freaky Loops,Complextro & Dubstep Vol. 4,..,Bilibili Stream
Preset Pack,Freaky Loops,Complextro & Dubstep Vol. 5,..,Bilibili Stream
Preset Pack,Freaky Loops,Monster Dubstep,..,Bilibili Stream
Preset Pack,Loopmasters,Top 100 DJs Signature Sounds Vol. 1,..,Bilibili Stream
Preset Pack,Production Master,Myrne: Future Bass NI Massive Presets,BASS_Sine2,Bilibili Stream
Preset Pack,Synthferatu,Dubstep for Serum Vol. 1,,Bilibili Stream
Preset Pack,Synthferatu,Dubstep for Serum Vol. 2,,Bilibili Stream
Preset Pack,Trance Euphoria,Epic & Uplifting Trance For Xfer Serum,ACID - Sphere,Bilibili Stream
Preset Pack,Vandalism,Shocking Electro House For Serum,,Bilibili Stream
Preset Pack,Vandalism,Shocking Future House For Serum,,Bilibili Stream
Preset Pack,Vandalism,Shocking Glitch Hop For Serum,,Bilibili Stream
Preset Pack,Vandalism,Shocking Melbourne Bounce For Serum,,Bilibili Stream
Preset Pack,Vandalism,Shocking Z3TA+2: Progressive,,Bilibili Stream
Preset Pack,Vintage Synth Pads,Concentrated,For Serum,Bilibili Stream
Preset Pack,WMS,Serum Essentials: Dubstep,LD Accorditar,Bilibili Stream
Preset Pack,WMS,Serum Essentials: Trap,,Bilibili Stream
Sample Library,8Dio,Dubstep,,Bilibili Stream
Sample Library,Best Service,Chris Hein Guitars,,Bilibili Stream
Sample Library,Best Service,Drums Overkill,,Bilibili Stream
Sample Library,Best Service,Galaxy II K4,,Bilibili Stream
Sample Library,Best Service,Nitron,,Bilibili Stream
Sample Library,Best Service,Shevannai,,Bilibili Stream
Sample Library,Big EDM,EDM Festival Essentials,,Bilibili Stream
Sample Library,Big EDM,Sounds of Future Bass,,Bilibili Stream
Sample Library,Big Fish Audio,Chill Downtempo Loops and Beats,,
Sample Library,Big Fish Audio,SWAGG,,Bilibili Stream
Sample Library,Bingoshakerz,Future House & Deep House Sounds,,Bilibili Stream
Sample Library,Boom Library,Cinematic Trailers - Designed,,Bilibili Stream
Sample Library,Cinesamples,Drums Of War 1,,Bilibili Stream
Sample Library,Crypton Future Media,Hatsune Miku V3,,Weibo Post
Sample Library,Crypton Future Media,Hatsune Miku V4,,Twitter Post
Sample Library,Disciple Samples,Barely Alive - Essential Samples Vol. 1,,
Sample Library,Disciple Samples,Skybreak - Colorful Dubstep Vol 1,,
Sample Library,Disciple Samples,Virtual Riot - Heavy Bass Design Vol. 2,,
Sample Library,EastWest,Colossus,,Bilibili Stream
Sample Library,EastWest,Ra,,Bilibili Stream
Sample Library,EastWest,Symphonic Orchestra,,Bilibili Stream
Sample Library,Echo Sound Works,Smores,,Bilibili Stream
Sample Library,Echo Sound Works,Snake Lazers V.1,,Bilibili Stream
Sample Library,Echo Sound Works,X Keys,,Bilibili Stream
Sample Library,Embertone,Honkytonk Harmonica,,
Sample Library,Function Loops,Future EDM 2017,,Bilibili Stream
Sample Library,Future Loops,Scratch Anthology,,
Sample Library,Heavyocity,Evolve Mutations,,Bilibili Stream
Sample Library,Heavyocity,Evolve Mutations 2,,Bilibili Stream
