Instrument,Source,Path/Bank,Preset,Notes,Demo,
Drum Loop,Spectrasonics - Stylus RMX,RMX Grooves -> 90-Beat Bastard,90-Beat Bastard Bash Drms,,,
Percussion Loop,,,,,,
"9. ""Dungeon - arrange -"" from FINAL FANTASY I",,,,,,
,,,,,,
"10. ""Main Theme - arrange -"" from FINAL FANTASY II",,,,,,
,,,,,,
"11.  ""Battle Scene 1 - arrange -"" from FINAL FANTASY II",,,,,,
Piano,,,,,,
Solo Violin,EastWest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,,,
Solo Viola,EastWest - Symphonic Orchestra,Strings -> Solo Viola -> 5 Keysw,SVA KS Master,,,
Solo Cello,EastWest - Symphonic Orchestra,Strings -> Solo Cello -> 5 Keysw,SVC KS Master,,,
Solo Contrabass,EastWest - Symphonic Orchestra,Strings -> Solo Contrabass -> 5 Keysw,SCB KS Master,,,
"12. ""Battle Scene 2 - arrange -"" from FINAL FANTASY II",,,,,,
,,,,,,
"13. ""Warriors of Light"" from DISSIDIA FINAL FANTASY",,,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,,
Snare,EastWest - Symphonic Orchestra,Perc -> Drums,3 Snares,,,
Percussion Loop,,,,,,
Synth Strings,,,,,,
"14. ""Eternal Wind - arrange -"" from FINAL FANTASY III",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"15. ""Battle 2 - arrange -"" from FINAL FANTASY III",,,,,,
French Horn,Native Instrument - Kontakt Factory Library,Orchestral -> 3 - VSL Brass -> 04 French Horn Ensemble ,Frn Horn ens 4 (sustain+flt),,,
"16. ""This is the Last Battle - arrange -"" from FINAL FANTASY III",,,,,,
,,,,,,
"17. ""Battle Preparations"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"18. ""Main Theme of Final Fantasy IV - arrange -"" from FINAL FANTASY IV",,,,,,
,,,,,,
"19. ""The Dreadful Fight - arrange -"" from FINAL FANTASY IV",,,,,,
,,,,,,
"20. ""Fight 2 - arrange -"" from FINAL FANTASY IV",,,,,,
,,,,,,
"21. ""Victory Fanfare - Chaos -"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"22. ""Four Hearts - arrange -"" from FINAL FANTASY V",,,,,,
,,,,,,
"23. ""Clash on the Big Bridge - arrange -"" from FINAL FANTASY V",,,,,,
,,,,,,
"24. ""Battle 1 - arrange -"" from FINAL FANTASY V",,,,,,
909 Crash,,,,,,
909 Hi Hat,,,,,,
,,,,,,
"25. ""Presentiment's Edge"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"26. ""Tina - arrange -"" from FINAL FANTASY VI",,,,,,
,,,,,,
"27. ""The Decisive Battle - arrange -"" from FINAL FANTASY VI",,,,,,
,,,,,,
"28. ""The Fierce Battle - arrange -"" from FINAL FANTASY VI",,,,,,
,,,,,,
"29. ""The Quickening"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"30. ""Advance"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"31. ""F.F.VII Main Theme - arrange -"" from FINAL FANTASY VII",,,,,,
,,,,,,
"32. ""One-Winged Angel - orchestra version -"" from FINAL FANTASY VII",,,,,,
,,,,,,
"33. ""Those Who Fight Further - arrange -"" from FINAL FANTASY VII",,,,,,
,,,,,,
"34. ""A Brief Respite"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"35.  Blue Fields - arrange -"" from FINAL FANTASY VIII",,,,,,
,,,,,,
"36. ""Don't be Afraid - arrange -"" from FINAL FANTASY VIII",,,,,,
,,,,,,
"38. ""Defeat Fanfare"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"39. ""Over That Hill - arrange -"" from FINAL FANTASY IX",,,,,,
,,,,,,
"40. ""Battle 1 - arrange -"" from FINAL FANTASY IX",,,,,,
,,,,,,
,,,,,,
French Horn Ensemble,Native Instruments - Kontakt Factory Library,Orchestral -> 3 - VSL Brass,French Horn Ensemble ,,,
Trumpet,,,,,,
Violin Ensemble,,,,,,
Viola Ensemble,,,,,,
Cello Ensemble,,,,,,
Bass Ensemble,,,,,,
Synth pad,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"43. ""Sprouting - arrange -"" from FINAL FANTASY X",,,,,,
,,,,,,
"51. ""Answer"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"52. ""Chaos - Last Battle 1 -"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"53. ""FINAL FANTASY"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"54. ""DISSIDIA - ending -"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
55. THE MESSENGER,,,,,,
,,,,,,
,,,,,,
,,,,,,
Section 2 - Dissidia 012 Final Fantasy,,,,,,
,,,,,,
1. Lux Concordae,,,,,,
Orchestra,Live Recording (FILMharmonic Orchestra Prague),,,,,
Choir,Live Recording (FILMharmonic Choir Prague),,,,,
2. Matoya's Cave -arrange- (from FINAL FANTASY I),,,,,,
,,,,,,
3. Chaos Shrine -arrange- (from FINAL FANTASY I),,,,,,
,,,,,,
5. Reform (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
,,,,,,
6. Dungeon -arrange- (from FINAL FANTASY II),,,,,,
,,,,,,
7. Pandaemonium -arrange- (from FINAL FANTASY II),,,,,,
,,,,,,
9. Gentle Breath (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
,,,,,,
10. Crystal Cave -arrange- (from FINAL FANTASY III),,,,,,
,,,,,,
11. Battle 1 -arrange- (from FINAL FANTASY III),,,,,,
,,,,,,
13. Heroes from (DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
,,,,,,
14. Into the Darkness -arrange- (from FINAL FANTASY IV),,,,,,
,,,,,,
15.  Suspicion -arrange- (from FINAL FANTASY IV),,,,,,
,,,,,,
16. Battle 1 -arrange- (from FINAL FANTASY IV),,,,,,
,,,,,,
18.  Peace of Mind (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
,,,,,,
19.  Dungeon -arrange- (from FINAL FANTASY V),,,,,,
,,,,,,
20.  The Final Battle -arrange- (from FINAL FANTASY V),,,,,,
,,,,,,
22. Tension (from DISSIDIA 012[duodecim] FINAL FANTASY) ,,,,,,
,,,,,,
23. Phantom Forest -arrange- (from FINAL FANTASY VI),,,,,,
,,,,,,
,,,,,,
24. Battle -arrange- (from FINAL FANTASY VI),,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
26.  The Threat (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
,,,,,,
27. Tifa's Theme -arrange- (from FINAL FANTASY VII),,,,,,
,,,,,,
28. Forested Temple -arrange- (from FINAL FANTASY VII),,,,,,
,,,,,,
29. J-E-N-O-V-A -arrange- (from FINAL FANTASY VII),,,,,,
,,,,,,
31. Counterattack (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
,,,,,,
32. Find Your Way -arrange- (from FINAL FANTASY VIII),,,,,,
,,,,,,
33. Julia -arrange- (from FINAL FANTASY VIII),,,,,,
,,,,,,
34. Force Your Way -arrange- (from FINAL FANTASY VIII),,,,,,
,,,,,,
36. Troops (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
,,,,,,
37. A Place to Call Home -arrange- (from FINAL FANTASY IX),,,,,,
,,,,,,
40. Final Resolve (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
,,,,,,
41. Yuna's Theme -arrange- (from FINAL FANTASY X),,,,,,
,,,,,,
42. A Contest of Aeons -arrange- (from FINAL FANTASY X),,,,,,
Sample,Sample: Junya Nakano - Final Fantasy X,Disc 4,Track 17,,,
Choir,,,,,,
Violin Ensemble,,,,,,
Viola Ensemble,,,,,,
Cello Ensemble,,,,,,
Bass Ensemble,,,,,,
Bass Drum,,,,,,
Electric Piano,,,,,,
Synth Pad,,,,,,
Synth Pluck,,,,,,
Percussion Loop,Spectrasonics - Stylus RMX,RMX Grooves -> 160-Find The Exit,160-Find The Exit Combo,Custom Loop,,
Percussion Loop Layer,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"45. DISSIDIA -opening-/Edit"" from DISSIDIA 012[duodecim] FINAL FANTASY",,,,,,
Piano,UNKNOWN,,,,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Gongs,,,
Crotales,EastWest - Symphonic Orchestra,Perc -> Metals,Crotales,,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch Chimes,,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,,
Snare,EastWest - Symphonic Orchestra,Perc -> Drums,3 Snares,,,
Metal Clashes,EastWest - Symphonic Orchestra,Perc -> Metals,Steel Plates,,,
Wind Chime,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,,
Clarinet,EastWest - Symphonic Orchestra,Woodwinds -> Solo Clarinet -> 5 Keysw,SCL KS Master,,,
Percussion Loop,Spectrasonics - Stylus RMX,,,,,
Sine,UNKNOWN,,,,,
Tom,UNKNOWN,,,,,
"46. ""A Realm of Emptiness -arrange-"" from FINAL FANTASY XI",,,,,,
,,,,,,
"49.  ""Canto Mortis ~An Undocumented Battle~"" from DISSIDIA 012[duodecim] FINAL FANTASY",,,,,,
,,,,,,
51. Battle with an Esper -arrange- (from Final Fantasy XII) ,,,,,,
Original Song,Sample: Hitoshi Sakimoto - Final Fantasy XII,Disc 3,Track 2,,,
Drums,UNKNOWN,,,,,
Bass,UNKNOWN,,,,,
Percussion,UNKNOWN,,,,,
55. Gate to the Rift (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
,,,,,,
56. Blinded by Light -arrange- (From Final Fantasy XIII),,,,,,
Intro Riser,UNKNOWN,,,,,
Synth Bass,UNKNOWN,,,,,
Metallic Hit,UNKNOWN,,,,,
Airy Synth Pad,UNKNOWN,,,,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
Flute ,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,,
Drum Loop,Spectrasonics - Stylus RMX,RMX Grooves -> 90-Beat Bastard,90-Beat Bastard Bash Drms,,,
Percussion Loop,Spectrasonics - Stylus RMX,RMX Grooves -> 90-Beat Bastard,90-Beat Bastard Darkman,,,
Percussion Loop Layer,Spectrasonics - Stylus RMX,,,,,
Hi Hat Loops,Spectrasonics - Stylus RMX,,,,,
Triangle Loop,UNKNOWN,,,,,
Laser SFX,UNKNOWN,,,,,
Solo Violin,Stems: Hijiri Kuwano - Final Fantasy XIII,Disc 2 -> Track 1,Timestamp: 1:51,,,
String Ensemble,Sample: Masashi Hamauzu - Final Fantasy XIII,Disc 1,Track 20,,,
Bass Drop,UNKNOWN,,,,,
Synth Bass #2,UNKNOWN,,,,,
57. Saber's Edge -arrange- (From Final Fantasy XIII),,,,,,
Original Song,Sample: Masashi Hamauzu - Final Fantasy XIII,Disc 1,Track 5,,,
Drums,UNKNOWN,,,,,
Transition FX,Spectrasonics - Distorted Reality (?),,,,,
Synth Arp,UNKNOWN,,,,,
Drum Loop,UNKNOWN,,,,,
Synth Fall,UNKNOWN,,,,,
White Noise,UNKNOWN,,,,,
61. Cantata Mortis & God in Fire (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
Cantata Mortis,,,,,,
Orchestra,Live Recording (FILMharmonic Orchestra Prague),,,,,
Choir,Live Recording (FILMharmonic Choir Prague),,,,,
God in Fire,,,,,,
Vocals,Live Recording (Free Dominguez),,,,,
Guitar,Live Recording (Bruce Somers),,,,,
Brass Ensemble,Live Recording (FILMharmonic Orchestra Prague),,,,,
Synth Arp,UNKNOWN,,,,,
Mono Synth Lead,UNKNOWN,,,,,
String Ensemble,EastWest - Symphonic Orchestra,,,,,
Drums,UNKNOWN,,,,,
(Separate version only) ,,,,,,
Intro Synth,UNKNOWN,,,Possibly from Big Fish Audio - Soundscapes for Cinema,,
(Cantata Mortis & God in Fire only) ,,,,,,
Woodwinds,Live Recording (FILMharmonic Orchestra Prague),,,,,
Choir,Live Recording (FILMharmonic Choir Prague),,,,,
62.  Carmen Lucis (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
Orchestra,Live Recording (FILMharmonic Orchestra Prague),,,,,
63.  FINAL FANTASY (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
Orchestra,Live Recording (FILMharmonic Orchestra Prague),,,,,
64. DISSIDIA 012[duodecim] -ending- (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
Orchestra,Live Recording (FILMharmonic Orchestra Prague),,,,,
67. Overture (from DISSIDIA 012[duodecim] FINAL FANTASY),,,,,,
,,,,,,
68. DISSIDIA FINAL FANTASY [JF2008],,,,,,
,,,,,,
69. DISSIDIA FINAL FANTASY [FINAL TRAILER],,,,,,
,,,,,,
70. DISSIDIA 012[duodecim] FINAL FANTASY [TGS2010],,,,,,
,,,,,,
71. DISSIDIA 012[duodecim] FINAL FANTASY [FINAL TRAILER],,,,,,
Piano,UNKNOWN,,,,,
Choirs,EastWest - Symphonic Choirs,CHECK,CHECK,,,
Choirs Riser,EastWest - Symphonic Choirs,CHECK,CHECK,,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
Muted Trumpet,EastWest - Symphonic Orchestra,FILL IN,FILL IN,,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,,
Crotales,EastWest - Symphonic Orchestra,Perc -> Metals,Crotales,,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,,
Tubular Bells,EastWest - Symphonic Orchestra,CHECK,CHECK,,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,,
Snare,EastWest - Symphonic Orchestra,Perc -> Drums,3 Snares,,,
Metal Clashes,EastWest - Symphonic Orchestra,Perc -> Metals,Steel Plates,,,
Wind Chime,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,,
Percussion Loop,Spectrasonics - Stylus RMX,CHECK,CHECK,,,
,,,,,,
Section 3 - Dissidia Final Fantasy NT ,,,,,,
,,,,,,
Dissidia Final Fantasy NT Original Soundtrack Vol. 1,,,,,,
32. Fight With Seymour -arrange- from FINAL FANTASY X,,,,,,
,,,,,,
Synth Arp,Steinberg - HALion Sonic,HS Factory Set,Arp Syncer,,,
String Ensemble,Steinberg - HALion Sonic,CHECK,CHECK,,,
Brass Ensemble,Steinberg - HALion Sonic,CHECK,CHECK,,,
,,,,,,
,,,,,,
,,,,,,
Section 5 - Dissidia Duellum Final Fantasy,,,,,,
,,,,,,
1. DISSIDIA DUELLUM -opening-,,,,,,
,,,,,,
,,,,,,
2. Warrior of Light's Battle,,,,,,
,,,,,,
3. Kain's Battle,,,,,,
Male Choir,Performance Samples - Oceania,,,,,
Female Choir,Performance Samples - Oceania,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
4. Krile's Battle,,,,,,
Cymabal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,,
Dirty Synth Lead,Xfer Records - Serum,,,,,
5. Terra's Battle,,,,,,
,,,,,,
6. Cloud's Battle,,,,,,
,,,,,,
7. Rinoa's Battle,,,,,,
,,,,,,
8. Zidane's Battle,,,,,,
,,,,,,
9. Lightning's Battle,,,,,,
Violin,Stems: Hijiri Kuwano - Final Fantasy XIII,Disc 2 -> Track 1,Timestamp: 1:51,,,
10. Gaia's Battle,,,,,,
Male Vocals,Stems: Jason Charles Miller - Final Fantasy XIV,Disc 1 -> Track 39,Timestamp: 2:02,,,
Female Vocals,Stems: Reven - Final Fantasy XIV,Disc 1 -> Track 31,Timestamp: 1:47,,,
11. Prompto's Battle,,,,,,
,,,,,,
12. Let's Start The Day,,,,,,
,,,,,,
13. Prelude / DUELLUM,,,,,,
,,,,,,
14. Opening Theme / DUELLUM,,,,,,
,,,,,,
15. Victory Theme / DUELLUM,,,,,,
,,,,,,
16. Time's Up,,,,,,
,,,,,,
17. The Crystal's Heartbeat,,,,,,
,,,,,,
18. A Warm Strength,,,,,,
,,,,,,
19. Where Feelings Gather,,,,,,
,,,,,,
20. Let's Fight Together,,,,,,
,,,,,,
21. The Warrior's Daily Lives,,,,,,
,,,,,,
22. A Chaotic War,,,,,,
,,,,,,
23. The War Begins,,,,,,
,,,,,,
24. Fierce Battle,,,,,,
,,,,,,
25. Let's Head out into the City!,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
,,,,,,
