Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,
String Staccato,SWAV 16,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,,
String Staccato,SWAV 17,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,,
String Staccato,SWAV 18,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,,
String Staccato,SWAV 19,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,,
String Staccato,SWAV 20,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,,
String Staccato,SWAV 21,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,,
String Staccato,SWAV 22,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,,
Sustain Strings,SWAV 23,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 24,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 25,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Trombone Ensemble,SWAV 26,,,,,,
Trombone Ensemble,SWAV 27,,,,,,
Trombone Ensemble,SWAV 28,,,,,,
Trombone Ensemble,SWAV 29,,,,,,
Trombone Ensemble,SWAV 30,,,,,,
Trombone Ensemble,SWAV 31,,,,,,
Timpani,SWAV 32,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,,
Timpani,SWAV 33,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,,
,,,,,,,
Section 3 - Final Fantasy Crystal Chronicles: Echoes of Time,,,,,,,
,,,,,,,
10. Forest,,,,,,,
Celesta,SWAV 0,Roland - SR-JV80-02 Orchestral,XP-X,199 Celesta ,,,
Celesta,SWAV 1,Roland - SR-JV80-02 Orchestral,XP-X,199 Celesta ,,,
Celesta,SWAV 2,Roland - SR-JV80-02 Orchestral,XP-X,199 Celesta ,,,
Celesta,SWAV 3,Roland - SR-JV80-02 Orchestral,XP-X,199 Celesta ,,,
Celesta,SWAV 4,Roland - SR-JV80-02 Orchestral,XP-X,199 Celesta ,,,
Bongos,SWAV 5,UNKNOWN,,,,,
Bongos,SWAV 6,UNKNOWN,,,,,
Bongos,SWAV 7,UNKNOWN,,,,,
Flute,SWAV 8,UNKNOWN,,,,,
Flute,SWAV 9,UNKNOWN,,,,,
Flute,SWAV 10,UNKNOWN,,,,,
Flute,SWAV 11,UNKNOWN,,,,,
Flute,SWAV 12,UNKNOWN,,,,,
Flute,SWAV 13,UNKNOWN,,,,,
Flute,SWAV 14,UNKNOWN,,,,,
Flute,SWAV 15,UNKNOWN,,,,,
Flute,SWAV 16,UNKNOWN,,,,,
Harp,SWAV 17,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,SWAV 18,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,SWAV 19,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,SWAV 20,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,SWAV 21,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Sleigh Bell,SWAV 22,UNKNOWN,,,,,
Whistle,SWAV 23,EastWest - Ra,,,,,
Whistle,SWAV 24,EastWest - Ra,,,,,
Whistle,SWAV 25,EastWest - Ra,,,,,
Pan Flute,SWAV 26,EastWest - Ra,Americas -> Wind -> Pan Flute,Pan Flute KS C0-D#0,,,
Pan Flute,SWAV 27,EastWest - Ra,Americas -> Wind -> Pan Flute,Pan Flute KS C0-D#0,,,
Bass Pizzicato,SWAV 28,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Bass Pizzicato,SWAV 29,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Bass Pizzicato,SWAV 30,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Shaker,SWAV 31,UNKNOWN,,,,,
Shaker,SWAV 32,UNKNOWN,,,,,
Woodblock,SWAV 33,UNKNOWN,,,,,
Pan Flute (GM),SWAV 34,Roland - SR-JV80-05 World,XP-X,035 Zampona 1,,,
Pan Flute (GM),SWAV 35,Roland - SR-JV80-05 World,XP-X,035 Zampona 1,,,
Pan Flute (GM),SWAV 36,Roland - SR-JV80-05 World,XP-X,035 Zampona 1,,,
Pan Flute (GM),SWAV 37,Roland - SR-JV80-05 World,XP-X,035 Zampona 1,,,
Pan Flute (GM),SWAV 38,Roland - SR-JV80-05 World,XP-X,035 Zampona 1,,,
Pan Flute (GM),SWAV 39,Roland - SR-JV80-05 World,XP-X,035 Zampona 1,,,
Pan Flute (GM),SWAV 40,Roland - SR-JV80-05 World,XP-X,035 Zampona 1,,,
Pan Flute (GM),SWAV 41,Roland - SR-JV80-05 World,XP-X,035 Zampona 1,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Section 4 - Final Fantasy Crystal Chronicles: The Crystal Bearers,,,,,,,
,,,,,,,
4. Zu Ambush ~ Sky Dive!,,,,,,,
French Horn Ensemble,,Live Recording (Yuko Taguchi),-,-,,,
Trumpet Ensemble,,"Live Recording (Chris Jaudes, Tomonori Satou, Manabu Ohno)",-,-,,,
Trombone Ensemble,,"Live Recording (Eijiro Nakagawa, Kouichi Nonoshita, Kanade Shishiuchi)",-,-,,,
1st Violin Ensemble,,Live Recording (See Note),,,,,
2nd Violin Ensemble,,Live Recording (See Note),,,,,
Viola Ensemble,,Live Recording (See Note),,,,,
Violoncello Ensemble,,Live Recording (See Note),,,,,
Contrabasses,,Live Recording (See Note),,,,,
Harp,,Live Recording (Yuko Taguchi),,,,,
Flute,,Live Recording (Hideyo Takakuwa),,,,,
Piccolo,,Live Recording (Jyunko Wakamatu),,,,,
Clarinet,,Live Recording (Syoji Tokame),,,,,
Oboe,,Live Recording (Satoshi Syoji),,,,,
Bassoon,,Live Recording (Tositugu Inoue),,,,,
French Horn Layer,,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
Snare,,EastWest - Symphonic Orchestra,Perc -> Drums,3 Snares,,,
Cymbal,,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,,
Piano,,UNKNOWN,,,,,
,,,,,,,
,,,,,,,
Section 5 - Final Fantasy Crystal Chronicles: My Life as a King/My Life as a Dark Lord,,,,,,,
,,,,,,,
1.  My Life As a Darklord (Main Theme),,,,,,,
,,,,,,,
2. All Units: Charge! (Battle Medley 1),,,,,,,
,,,,,,,
3. Hard Times On the Front Lines (Battle Medley 2),,,,,,,
,,,,,,,
4. Today's Boss Is Tomorrow's Rival (Boss Battle Medley),,,,,,,
,,,,,,,
5.  My Life As a King (Main Theme),,,,,,,
,,,,,,,
6. Alive With Memories (Town Medley),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
[Notes],,,,,,,
Kumi is very underrated :3,,,,,,,
