Instrument,Source,Path/Bank,Preset,Notes
Glockenspiel,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Glockenspiel,
Bassoon,EastWest - Symphonic Orchestra,Woodwinds -> Solo Bassoon -> 5 Keysw,BSN KS Master,
Clarinet,EastWest - Symphonic Orchestra,Woodwinds -> Solo Clarinet -> 5 Keysw,SCL KS Master,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,
Piccolo,EastWest - Symphonic Orchestra,Woodwinds -> Solo Piccolo -> 5 Keysw,PFL KS Master,
Violin Ensemble,Cinematic Studio Series - Cinematic Studio Strings,-,1st Violin,
String Ensemble,Cinematic Studio Series - Cinematic Studio Strings,-,,
French Horn Ensemble,UNKNOWN,,,
16. Shining Beacon of Civilization,,,,
Steel Guitar,Spectrasonics - Omnisphere,Guitars,Glorious Steel,
,,,,
,,,,
,,,,
17. Tifa's Theme - Seventh Heaven,,,,
,,,,
18. Noises in the Night,,,,(Arranged by Yoshinori Nakamura)
,,,,
19. Mako Poisoning,,,,(Arranged by Yoshinori Nakamura)
,,,,
20. Main Theme of FFVII - Sector 7 Undercity,,,,
,,,,
21. Avalanche's Theme,,,,(Arranged by Masashi Hamauzu)
"Castanets, Ratchet, Slapsticks, Tamb., etc.",EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,
Snare ff,EastWest - Symphonic Orchestra,Perc -> Drums,,
Snare,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Snare,Possibly VSL SE Vol. 1 too
Triangle,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Triangle 1,Possibly VSL SE Vol. 1 too
Xylophone,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Xylophone,Possibly VSL SE Vol. 1 too
Trombone Ensemble,UNKNOWN,,,
Trumpet Ensemble,UNKNOWN,,,
French Horn Ensemble,UNKNOWN,,,
Bass Ensemble,UNKNOWN,,,
Cello Ensemble,UNKNOWN,,,
Viola Ensemble,UNKNOWN,,,
Violin Ensemble,UNKNOWN,,,
Finger Cymbal,UNKNOWN,,,
22. Scrap Boulevard Cleanup Crew,,,,(Arranged by Masashi Hamauzu)
"Castanets, Tambourine",EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,
French Horn Ensemble,Native Instruments - Kontakt Factory Library,Orchestral -> 3 - VSL Brass,French Horn Ensemble ,Possibly VSL SE Vol. 1 too
Glockenspiel,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Glockenspiel,Possibly VSL SE Vol. 1 too
Snare,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Snare,Possibly VSL SE Vol. 1 too
Triangle,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Triangle 1,Possibly VSL SE Vol. 1 too
Xylophone,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Xylophone,Possibly VSL SE Vol. 1 too
Tuba,UNKNOWN,,,
Trombone Ensemble,UNKNOWN,,,
Trumpet Ensemble,UNKNOWN,,,
Horn Ensemble,UNKNOWN,,,
Bass Ensemble,UNKNOWN,,,
Cello Ensemble,UNKNOWN,,,
Viola Ensemble,UNKNOWN,,,
Violin Ensemble,UNKNOWN,,,
Percussion Loop(?),Spectrasonics - Stylus RMX,,,
23. Johnny's Theme,,,,(Arranged by Yoshinori Nakamura)
,,,,
,,,,
24. Let the Battles Begin! - A Merc's Job,,,,
,,,,
25. On Our Way,,,,
,,,,
26. The Star of Seventh Heaven,,,,(Arranged by Yoshinori Nakamura)
,,,,
27. Lurking in the Darkness - Suspicious Man,,,,
,,,,
28. Just Another Job,,,,
,,,,
29. Lay Down Some Rubber - Let's Ride,,,,(Arranged by Mitsuto Suzuki)
,,,,
30. Midnight Spiral,,,,(Arranged by Mitsuto Suzuki)
,,,,
31. Speed Demon,,,,(Arranged by Mitsuto Suzuki)
,,,,
32. The Red Zone,,,,(Arranged by Mitsuto Suzuki)
,,,,
33. RUN RUN RUN,,,,(Arranged by Mitsuto Suzuki)
,,,,
34. Jessie's Theme,,,,(Arranged by Masashi Hamauzu)
,,,,
35. Moonlight Thievery,,,,(Arranged by Masashi Hamauzu)
Synth Plucks,,,,
Synth Pad,,,,
Synth Lead,,,,
Pizzicato Strings,,,,
Violin Ensemble,,,,
Strings,,,,
Flute,,,,
Oboe,,,,
Clarinet,,,,
Acoustic Guitar,,,,
Shaker,,,,
Bongos,,,,
Upright Bass,,,,
"36. A Tower, a Promise",,,,(Arranged by Yoshinori Nakamura)
,,,,
37. S7-6 Annex Diversion,,,,(Arranged by Yoshinori Nakamura)
Harsh Synth Lead,Xfer Records - Serum,Leads,LD Booty,
38. Ignition Flame,,,,
,,,,
39. Under Cover of Smoke,,,,
String Ensemble,Spitfire Audio - Albion ONE,,,
,,,,
,,,,
,,,,
,,,,
,,,,
40. Main Theme of FFVII - Nightfall in the Undercity,,,,
,,,,
41. Whispers' Theme,,,,(Arranged by Masashi Hamauzu)
,,,,
,,,,
Timpani,,,,
French Horn Ensemble,,,,
Glockenspiel,,,,
Snare,,,,
Tubular Bells,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
42. A New Operation,,,,
,,,,
43. Target: Mako Reactor 5,,,,(Arranged by Masashi Hamauzu)
,,,,
44. Hurry!,,,,(Arranged by Yoshinori Nakamura)
,,,,
45. Dogged Pursuit,,,,(Arranged by Masashi Hamauzu)
,,,,
46. Born Survivors - Section C,,,,(Arranged by Masashi Hamauzu)
,,,,
47. Born Survivors - Section E,,,,(Arranged by Masashi Hamauzu)
,,,,
48. Crab Warden,,,,(Arranged by Yoshitaka Suzuki)
,,,,
49. Undercity Suns,,,,
,,,,
50. Tightrope,,,,
,,,,
51. Maze of Scrap Metal,,,,
,,,,
52. Critical Shot,,,,
,,,,
53. Game Over,,,,
,,,,
54. The Rendezvous Point,,,,
,,,,
55. A Trap Is Sprung,,,,
,,,,
56. The Airbuster,,,,
,,,,
57. Who Am I?,,,,(Arranged by Yoshitaka Suzuki)
Choir,Orchestral Tools - Metropolis Ark 1,District II - Choir,01 Viktoria Female Choir,
58. The Turks' Theme,,,,(Arranged by Yoshitaka Suzuki)
,,,,
59. The Turks: Reno,,,,(Arranged by Yoshitaka Suzuki)
,,,,
60. Flowers Blooming in the Church,,,,
Piano Pad,Fracture Sounds - Woodchester Piano,-,Woodchester Piano,Set Dream Pad to solo
61. Under The Rotting Pizza,,,,
,,,,
Percussion Loop,,,,
62. Anxiety,,,,(Arranged by Yoshinori Nakamura)
,,,,
63. Aerith's Theme - Home Again,,,,(Arranged by Yoshinori Nakamura)
Piano Pad Layer,Fracture Sounds - Midnight Grand,-,Midnight Grand (Alt),See Note:
Piano,Spectrasonics - Keyscape,Keyscape Library -> Keyboards,LA Custom C7 - Classical,
Flute,,,,
English Horn,,,,
Clarinet,,,,
Oboe,Cinematic Studio Series - Cinematic Studio Woodwinds,-,Solo Oboe,
Bassoon,Cinematic Studio Series - Cinematic Studio Woodwinds,-,Solo Bassoon,
Violin Ensemble,Cinematic Studio Series - Cinematic Studio Strings,-,1st Violin,Sustained
Secondary Violin Ensemble,,,,
Reverse Piano,,,,
,,,,
,,,,
,,,,
,,,,
64. Hollow Skies,,,,(Arranged by Yasunori Nishiki)
,,,,
65. Let the Battles Begin! - The Hideout,,,,(Arranged by Shotaro Shima)
String Ensemble,Cinematic Studio Series - Cinematic Studio Strings,-,CSS Full Ensemble,
,,,,
66. Whack-a-Box,,,,
,,,,
67. Midnight Rendezvous,,,,(Arranged by Mitsuto Suzuki)
,,,,
68. Collapsed Expressway,,,,(Arranged by Mitsuto Suzuki)
,,,,
69. High Five,,,,
,,,,
"""Funky Bopin"" sample",UNKNOWN,,,
,,,,
70. Due Recompense,,,,
,,,,
71. The Oppressed - Beck's Badasses,,,,
,,,,
72. Wall Market - The Town that Never Sleeps,,,,(Arranged by Mitsuto Suzuki)
,,,,
73. Wall Market - Chocobo Sam,,,,(Arranged by Mitsuto Suzuki)
,,,,
74. Wall Market - Madam M,,,,(Arranged by Mitsuto Suzuki)
Sitar,Spectrasonics - Omnisphere,Ethnic World,Electric Sitar a,
Steel Guitar,,,,
Reed Instrument,,,,
Tablas,,,,
Udu Pot,,,,
75. The Most Muscular,,,,(Arranged by Yoshinori Nakamura)
,,,,
76. An Unforgettable Night,,,,(Arranged by Mitsuto Suzuki & Kengo Tokusashi)
,,,,
77. The Sweetest Honey,,,,(Arranged by Kengo Tokusashi)
Recorder,,,,
Pizzicato Strings,,,,
String Ensemble,,,,
Cymbals,,,,
Tambourine,,,,
Glockenspiel,,,,
Timpani,,,,
French Horn Ensemble,,,,
Trombone Ensemble,,,,
Trumpet Ensemble,,,,
Calliope,Sonokinetic - Carnival,,,
Snare,Sonokinetic - Carnival,,,
78. Luxury Massage,,,,(Arranged by Ayumu Murai & Mitsuto Suzuki)
Finger Cymbal,,,,
Solo Trumpet,,,,
Choir,,,,
Piano,,,,
Upright Bass,,,,
Vibraphone,,,,
Drumkit,,,,
,,,,
79. Tonight's Corneo Cup,,,,(Arranged by Mitsuto Suzuki)
,,,,
80. Corneo Colosseum,,,,(Arranged by Mitsuto Suzuki)
,,,,
81. Colosseum Death Match,,,,
,,,,
82. Just Desserts,,,,(Arranged by Mitsuto Suzuki)
Orchestra Hit,Roland - Integra-7,PCMS -> GM2,0117 OrchestraHit,
,,,,
83. Electric Executioners,,,,
Electric Guitar,Live Recording (Tsuyoshi Sekito),,,
Drums,,,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,
Violin Ensemble,AudioBro - LA Scoring Strings,CHECK,CHECK,
Viola Ensemble,AudioBro - LA Scoring Strings,CHECK,CHECK,
Cello Ensemble,AudioBro - LA Scoring Strings,CHECK,CHECK,
Bass Ensemble,AudioBro - LA Scoring Strings,CHECK,CHECK,
Tubular Bells,EastWest - Symphonic Orchestra,,,Might also be from DS Soundware or Logic
Timpani,,,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (c),Sam H Key - Basic A (c),
Trombone Ensemble,ProjectSam - SAM Trombones,CHECK,CHECK,
Trumpet Ensemble,UNKNOWN,,,
84. Hell House,,,,(Arranged by Mitsuto Suzuki & Kengo Tokusashi)
French Horn Rips,Cinesamples - Cinebrass Pro,-,13 French Horn Ensemble Rips,
French Horns Ensemble,Cinesamples - Cinebrass Core,Instruments,,
Trombone Ensemble,Cinesamples - Cinebrass Core,Instruments,,
Trumpet Ensemble,Cinesamples - Cinebrass Core,Instruments,01 Trumpet Ensemble Articulations,
Distorted Gamleon/Bell,Spectrasonics - Omnisphere 2,Bells and Vibes,Church Bells,
Snares,,,,
Timpani,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
85. Victory Fanfare,,,,
,,,,
86. A Certain Gaudiness,,,,(Arranged by Tsuyoshi Sekito & Ayumu Murai & Mitsuto Suzuki)
Tubular Bell,,,,
Grand Piano,Apple - EXS24,Keyboards -> CHECK,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
87. Let the Battles Begin! -REMAKE-,,,,
,,,,
88. Stand Up,,,,(Arranged by Mitsuto Suzuki)
,,,,
89. Funk with Me,,,,(Arranged by Mitsuto Suzuki)
,,,,
90. Sync or Swim,,,,(Arranged by Mitsuto Suzuki)
,,,,
91. Vibe Valentino,,,,(Arranged by Mitsuto Suzuki)
,,,,
92. Stand Up - Reprise,,,,(Arranged by Mitsuto Suzuki)
,,,,
93. Don of the Slums,,,,
,,,,
94. The Audition,,,,
,,,,
"95. Smash 'Em, Rip 'Em",,,,
,,,,
96. Abzu,,,,(Arranged by Yoshitaka Suzuki)
,,,,
97. Rough Waters,,,,(Arranged by Yoshitaka Suzuki)
,,,,
98. Darkness Ahead,,,,(Arranged by Yoshitaka Suzuki)
,,,,
99. Any Last Words?,,,,(Arranged by Yoshitaka Suzuki)
,,,,
100. Ascension,,,,
,,,,
101. Train Graveyard,,,,
,,,,
102. Haunted,,,,(Arranged by Masashi Hamauzu)
Solo Violin,Eastwest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,
"103. Come On, This Way",,,,(Arranged by Masashi Hamauzu)
Solo Violin,Eastwest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,
104. Ghoul,,,,(Arranged by Masashi Hamauzu)
,,,,
105. Alone,,,,
,,,,
106. Black Wind,,,,(Arranged by Masashi Hamauzu)
,,,,
107. Waiting to Be Found,,,,(Arranged by Masashi Hamauzu)
,,,,
108. Eligor,,,,(Arranged by Masashi Hamauzu)
Solo Violin,Eastwest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,
109. Fight for Survival,,,,(Arranged by Masashi Hamauzu)
,,,,
110. Come Back to Us,,,,(Arranged by Masashi Hamauzu)
,,,,
111. Cheap Play,,,,(Arranged by Masashi Hamauzu)
,,,,
112. Those in Need,,,,(Arranged by Masashi Hamauzu)
,,,,
,,,,
Crotales,EastWest - Symphonic Orchestra,Perc -> Metals,Crotales,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch Chimes,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,
Other Percussion,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Full Percussion,
113. Slums on Fire,,,,(Arranged by Masashi Hamauzu)
,,,,
114. Get to Safety!,,,,(Arranged by Masashi Hamauzu)
,,,,
115. Aerith and Marlene - A Familiar Flower,,,,(Arranged by Masashi Hamauzu)
,,,,
116. Limited Options,,,,(Arranged by Masashi Hamauzu)
,,,,
117. The Look on Her Face,,,,(Arranged by Masashi Hamauzu)
,,,,
118. Rematch atop the Pillar,,,,(Arranged by Masashi Hamauzu)
,,,,
119. Return to the Planet,,,,(Arranged by Masashi Hamauzu)
,,,,
120. A Broken World,,,,(Arranged by Masashi Hamauzu)
,,,,
121. Daughter's Farewell,,,,
,,,,
122. Infinity's End,,,,(Arranged by Masashi Hamauzu)
Drum Machine,Steinberg - Groove Agent 4,-,Elementic,
123. Wild de Chocobo,,,,
,,,,
124. Leslie's Theme,,,,
,,,,
125. The Day Midgar Stood Still,,,,
,,,,
126. Fires of Resistance,,,,
,,,,
127. A Solemn Sunset,,,,(Arranged by Masashi Hamauzu)
,,,,
128. The Valkyrie,,,,
,,,,
129. The Shinra Building,,,,(Arranged by Yoshitaka Suzuki)
,,,,
130. Operation: Save Aerith,,,,
,,,,
131. All Quiet at the Gates,,,,
,,,,
132. Hand over Hand,,,,
,,,,
133. Scarlet's Theme,,,,(Arranged by Tsuyoshi Sekito & Mitsuto Suzuki & Ayumu Murai)
,,,,
134. Stewards of the Planet,,,,
,,,,
135. Corporate Archives,,,,
,,,,
136. Cultivating Madness,,,,
,,,,
137. Another Day at Shinra HQ,,,,
,,,,
138. The Turks' Theme - Office,,,,
,,,,
139. Home Away from Home,,,,
,,,,
140. Infiltrating Shinra HQ,,,,
,,,,
141. The Drum,,,,
,,,,
142. Catastrophe,,,,
,,,,
143. Final Experiment,,,,
,,,,
144. Trail of Blood,,,,
,,,,
145. J-E-N-O-V-A - Quickening,,,,
,,,,
146. Rufus Shinra,,,,
,,,,
147. The Arsenal,,,,(Arranged by Yoshitaka Suzuki)
,,,,
148. Midgar Expressway,,,,
,,,,
149. Arbiter of Fate - Advent,,,,
,,,,
150. Arbiter of Fate - Rebirth,,,,
,,,,
151. Arbiter of Fate - Singularity,,,,
Wind SFX,,,,
Gong,EastWest - Symphonic Orchestra,Percussion -> CymGong,All Gongs,
Tamtam,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Tamtam,Possibly VSL SE Vol. 1 too
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch Chimes,
Solo Violin,EastWest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,
French Horn Ensemble,Native Instruments - Kontakt Factory Library,Orchestral -> 3 - VSL Brass,French Horn Ensemble ,Possibly VSL SE Vol. 1 too
French Horn Ensemble Layer,,,,
Trombone Ensemble,,,,
Trumpet Ensemble,,,,
Triangle,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Triangle 1,Possibly VSL SE Vol. 1 too
Tambourine,Native Instruments - Kontakt Factory Library,Orchestral -> 5 - Orchestral Percussion,Tambourine,Possibly VSL SE Vol. 1 too
Snare,,,,
Cymbal,,,,
Guitar FX,,,,
Violin Ensemble,,,,
Viola Ensemble,,,,
Cello Ensemble,,,,
Bass Ensemble,,,,
Piano,,,,
Glockenspiel,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Glockenspiel,Possibly VSL SE Vol. 1 too
Synth Sweep,,,,
Bass Drum,,,,
"152. I'm Waiting, Cloud",,,,
,,,,
153. One-Winged Angel - Rebirth,,,,(Arranged by Yasunori Nishiki)
Choir & Vocals,Live Recording (The Philharmonic Chorus of Tokyo),,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,
Gong,,,,
Glockenspiel,,,,
Snare,,,,
Tambourine,,,,
Tubular Bells,,,,
Xylophone,,,,
Toms,,,,
Timpani,,,,
Flute Ensemble,,,,
Oboe,,,,
Piano,,,,
French Horn Ensemble,,,,
Trombone Ensemble,,,,
Trumpet Ensemble,,,,
Solo Trumpet,,,,
,,,,
Bass Ensemble,,,,
Cello Ensemble,,,,
Viola Ensemble,,,,
Violin Ensemble,,,,
,,,,
,,,,
154. Seven Seconds till the End,,,,
,,,,
155. Hollow, ,,,
Vocals,Live Recording (Yosh Morita),,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
156. Credits,,,,
,,,,
Bonus Tracks,,,,
,,,,
157. The Prelude,,,,
,,,,
158. Hip Hop de Chocobo (Jukebox Ver.),,,,
,,,,
159. Barrett's Theme (Jukebox Ver.),,,,
,,,,
160. Stamp (Jukebox Ver.),,,,
Vocals (JP),Live Recording (Nozomi Toki),,,"Credited as ""non"""
Vocals (EN),Live Recording (Kaori),,,
Glockenspiel,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Glockenspiel,
,,,,
161. Electric de Chocobo (Jukebox Ver.),,,,
,,,,
162. Costa del Sol (Jukebox Ver.),,,,
,,,,
163. Gold Saucer (Jukebox Ver.),,,,
,,,,
164. Descendant of Shinobi (Jukebox Ver.),,,,
,,,,
165. Tango of Tears (Jukebox Ver.),,,,
,,,,
,,,,
166. Under the Rotting Pizza (Jukebox Ver.),,,,
,,,,
167. Honeybee Inn (Jukebox Ver.),,,,
,,,,
168. Don of the Slums (Jukebox Ver.),,,,
,,,,
169. Farm Boy (Jukebox Ver.),,,,
,,,,
170. Let the Battles Begin! -REMAKE- (Jukebox Ver.),,,,
,,,,
171. The Midgar Blues (Jukebox Ver.),,,,
,,,,
172. The Oppressed (Jukebox Ver.),,,,
,,,,
173. Let the Battles Begin! (Jukebox Ver.),,,,
,,,,
174. Turks' Theme (Jukebox Ver.),,,,
,,,,
175. Fight On! (Jukebox Ver.),,,,
,,,,
"176. Good Night, Until Tomorrow (Jukebox Ver.)",,,,
,,,,
177. Wutai (Jukebox Ver.),,,,
,,,,
178. Lurking in the Darkness (Jukebox Ver.),,,,
,,,,
179. Stamp (Jukebox Ver.),,,,
,,,,
180. The Midgar Blues,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Original Soundtrack PLUS,,,,
1. Bombing Mission - Infiltration,,,,
,,,,
2. Anxiety - False Memories,,,,
,,,,
3. Black Feather,,,,
,,,,
4. First Contact,,,,
,,,,
5. The Whispers Attack,,,,
,,,,
6. An Omen,,,,
,,,,
7. RUN RUN RUN - Instrumental Ver.,,,,
,,,,
8. RUN RUN RUN - Mellow Ver.,,,,
,,,,
9. Disquiet,,,,
,,,,
10. Flying Over the Undercity,,,,
,,,,
11. Hurry! - Time's Up,,,,
,,,,
12. Hurry! - Success,,,,
,,,,
13. Heidegger's Frustration,,,,
,,,,
14. I'm Sick of All of This,,,,
,,,,
15. Trapped Like Rats,,,,
,,,,
16. Let the Battles Begin! - A Merc's Job,,,,
,,,,
17. Mako Reactor 5,,,,
,,,,
18. Eyes of a SOLDIER,,,,
,,,,
19. The Airbuster,,,,
,,,,
20. Fall to the Slums,,,,
,,,,
21. Fleeing the Church,,,,
,,,,
22. Respite in the Rafters,,,,
,,,,
23. Under the Rotting Pizza - Battle Edit,,,,
,,,,
24. Rude Arrives,,,,
,,,,
25. Anxiety - Sector 5 Undercity,,,,
,,,,
26. Aerith's House,,,,
,,,,
27. Those Days are Gone,,,,
,,,,
28. Man in The Black Robe,,,,
,,,,
29. Elmyra's Request,,,,
,,,,
30. Whack-a-Box - Results,,,,
,,,,
31. The Turks: Rude,,,,
,,,,
32. Bitter Memory,,,,
,,,,
33. The First Guy I Ever Loved,,,,(Arranged by Shotaro Shima)
Piano Pad,Fracture Sounds - Woodchester Piano,-,Woodchester Piano,Set Dream Pad to solo
34. Girl in the Chocobo Carriage,,,,
,,,,
35. Standard Course,,,,
,,,,
36. Poor Man's Course,,,,
,,,,
37. Muscular Mettle - Fanfare,,,,
,,,,
38. Muscular Mettle - Game Over,,,,
,,,,
39. Colosseum - Game Over,,,,
,,,,
"40. Rock That Dress, Aerith",,,,
,,,,
"41. Cheer Up, Aerith",,,,
,,,,
42. Corneo's Mansion - Light-Headed,,,,
,,,,
43. Corneo's Mansion - Reunited,,,,
,,,,
44. Thinking the Worst,,,,
,,,,
45. Our Pack Chocobo,,,,
,,,,
46. Escaping the Sewers,,,,
,,,,
47. The Target: Sector 7,,,,
,,,,
48. Ghoulish Symphony,,,,
,,,,
49. The Turks: Plate Separation,,,,
,,,,
50. Strength Through Suffering,,,,
,,,,
51. Aerith's Theme - Memories,,,,
,,,,
52. Elmyra's Reservations,,,,
,,,,
53. Tifa's Tears,,,,
,,,,
54. Every Moment Matters,,,,
,,,,
55. They'll All Be Fine,,,,
,,,,
56. Hole in the Sky,,,,
,,,,
57. Underground Facility - Rescuing Wedge,,,,
,,,,
58. Infinity's End,,,,
,,,,
59. The Shinra I Know,,,,
,,,,
60. A Weighty Decision,,,,
,,,,
61. Hurry! - Thieving Shoat,,,,
,,,,
62. Leslie's Theme - One Day...,,,,
,,,,
63. Leslie and Corneo,,,,
,,,,
64. Sector 7 in Ruins,,,,
,,,,
65. Fallen Plate,,,,
,,,,
"66. Run, Dammit, Run",,,,
,,,,
67. The Valkyrie,,,,
,,,,
68. Emergency Stairwell,,,,
,,,,
69. Memorial Museum,,,,
,,,,
70. Reeve's Plight,,,,
,,,,
71. The Great Destroyer,,,,
,,,,
72. Encounter with the Dead,,,,
,,,,
73. Mayor Domino,,,,
,,,,
74. Shinra Combat Simulator,,,,
,,,,
75. Shinra Combat Simulator - Fanfare,,,,
,,,,
76. Shinra Combat Simulator - Game Over,,,,
,,,,
77. Words Left Unheard,,,,
,,,,
78. Meeting of the Board,,,,
,,,,
79. The Pursuit - Man in the Lab Coat,,,,
,,,,
80. Hojo's Laboratory,,,,
,,,,
81. Specimen H0512,,,,
,,,,
82. Running the Gauntlet - Saving Aerith,,,,
,,,,
83. Red XIII's Theme - Nothing More,,,,
,,,,
84. Jenova Calls,,,,
,,,,
85. Aerith's Theme - The Cetra,,,,
,,,,
86. Avalanche's Theme - Wedge's Struggle,,,,
,,,,
87. Cultivating Darkness,,,,
,,,,
88. Confronting Jenova,,,,
,,,,
89. Hojo Observes,,,,
,,,,
90. Decision and Action,,,,
,,,,
91. J-E-N-O-V-A - Quickening,,,,
,,,,
92. A Death Not Ordained by Fate,,,,
,,,,
93. The Black Tattoo,,,,
,,,,
94. The Vice President Arrives,,,,
,,,,
95. Rufus Shinra,,,,
,,,,
"96. Goodbye, Wedge",,,,
,,,,
97. You Asked for It,,,,
,,,,
99. The Arsenal,,,,
,,,,
100. Escape from the Shinra Building,,,,
,,,,
101. Whorl of Whispers,,,,
,,,,
102. Midgar Expressway - Long Ver.,,,,
,,,,
103. Before the Storm,,,,
,,,,
104. Those Chosen by the Planet - Destiny Comes,,,,
,,,,
105. Changing Fate,,,,
,,,,
106. Rufus's Ascension,,,,
,,,,
107. Ending - Out of Destiny's Reach,,,,
,,,,
,,,,
Unreleased tracks,,,,
,,,,
Tracks introduced in Intergrade,,,,
,,,,
,,,,
Section 2 - Final Fantasy VII Rebirth,,,,
,,,,
1. The Unknown Journey Continues,,,,(Arranged by Shotaro Shima & Yasunori Nishiki)
Reverse Glass Break,,,,
Clarinet Glissando,,,,
"""One-Winged Angel"" section",Stems: Square Enix - Final Fantasy VII Remake,CD 7 -> Track 10 -> TS: 9:36 ,One-Winged Angel - Rebirth,
Synth Keys,,,,
Droning Synth Pad,,,,
Piano,,,,
String Ensemble,,,,
Trumpet Ensemble,,,,
Trombone Ensemble,,,,
French Horn Ensemble,,,,
Flute ,,,,
Oboe,,,,
Kick,,,,
Percussion Loop,,,,
Glockenspiel,,,,
,,,,
2. Another Buster Sword,,,,
Piano,,,,
Strings,Live Recording,,,
Flute Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Flutes -> 5 Keysw,3FL KS Master,
Piccolo,EastWest - Symphonic Orchestra,Woodwinds -> Solo Piccolo -> 5 Keysw,PFL KS Master,
Brass,,,,
Harp,,,,
