Instrument,Source,Path/Bank,Preset,Notes,Demo
Cello Ensemble (Shorts),EastWest - Hollywood Strings,Celli -> 03 Short Tight -> MOD COMBOS,Celli Shorts MOD SPEED,,
Viola Ensemble (Shorts),EastWest - Hollywood Strings,Violas -> 03 Short Tight -> MOD COMBOS,Violas Shorts MOD SPEED,,
11. On the Wind Borne - The Rosarian Ducal Anthem,,,,,(arranged by Masayoshi Soken)
,,,,,
12. Duty,,,,,(arranged by Justin Frieden)
,,,,,
13. Enterprising Traders,,,,,(arranged by Saya Yasaki & Takafumi Imamura)
Violin Ensemble (Clusters),EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 3 Effects,18V Clstr & Air,,
47. On the Shoulders of Giants,,,,,(arranged by Daiki Ishikawa)
Trombone Ensemble,EastWest - Hollywood Brass,2 Trombones and 1 Bass Trombone -> 07 Keyswitch,3TB KS Sus_Short C#4-G#4,,
Trumpet Ensemble,EastWest - Hollywood Brass,3 Trumpets -> 07 Keyswitch,3TP KS Sus_Short C0-A#0,,
French Horn Ensemble (Effects),EastWest - Hollywood Brass,6 French Horns -> 07 Keyswitch,6FH KS Effects C0-A0,Rips and trills,
French Horn Ensemble,EastWest - Hollywood Brass,6 French Horns -> 07 Keyswitch,6FH KS Sus_Short C0-G#0,,
Violin Ensemble (Shorts),EastWest - Hollywood Strings,1st Violins -> 03 Short Tight -> MOD COMBOS,1st Violins Shorts MOD SPEED,,
Violin Ensemble,EastWest - Hollywood Strings,1st Violins -> 06 Keyswitch,1st Violins Sus KS C0-F#0 Ni,,
Bass Ensemble (Shorts),EastWest - Hollywood Strings,Basses -> 03 Short Tight -> MOD COMBOS,Basses Shorts MOD SPEED,,
Bass Ensemble,EastWest - Hollywood Strings,Basses -> 06 Keyswitch,Basses Sus KS C4-F4 Ni,,
Cello Ensemble (Shorts),EastWest - Hollywood Strings,Celli -> 03 Short Tight -> MOD COMBOS,Celli Shorts MOD SPEED,,
Cello Ensemble,EastWest - Hollywood Strings,Celli -> 06 Keyswitch,Celli Sus KS C0-F#0 Ni,,
Viola Ensemble (Shorts),EastWest - Hollywood Strings,Violas -> 03 Short Tight -> MOD COMBOS,Violas Shorts MOD SPEED,,
Viola Ensemble,EastWest - Hollywood Strings,Violas -> 06 Keyswitch,Violas Sus KS C0-G0 Ni,,
Cymbals,EastWest - Hollywood Orchestral Percussion,Cymbals -> Cymbal Pairs,19in Zildjian A Crash,,
Cymbals,EastWest - Hollywood Orchestral Percussion,Cymbals -> Sus Cymbal,14in Paiste Sus Cymbal Cres,,
Timpani,EastWest - Hollywood Orchestral Percussion,Drums -> Timpani,Timpani Hrd KS,,
Snare,EastWest - Hollywood Orchestral Percussion,Drums,5in x 14in Mahogany Ludwig Snare,,
Bass Drum,EastWest - Hollywood Orchestral Percussion,Drums,40in Ludwig Bass Drum,,
Intro Swell,EastWest - Stormdrum 2,Sound Design Percussion,Rumpfs,Note D2,
Toms,EastWest - Stormdrum 3,Big Drums,Lord of Toms Ensemble,,
Choirs,UNKNOWN,,,Probably Hollywood Choirs but I'm not 100% sure,
Low Drum Loop,UNKNOWN,,,Most audible in the intro,
Flute Runs,UNKNOWN,,,,
68. Histoire - The Holy Empire of Sanbreque,,,,,(arranged by Masayoshi Soken)
Vocals,Best Service - Era II Vocal Codex,Female Voices -> Celtia,CELTIA Female Solo Voice,,
Piano,Native Instruments - Noire,NOIRE Pure,Basic Pure,,
84. Color and Crackle,,,,,(arranged by Daiki Ishikawa)
Intro Swell,Native Instruments - Rise & Hit,01 - Orchestral,Cluster Swell,,
Trombone Ensemble,EastWest - Hollywood Brass,2 Trombones and 1 Bass Trombone -> 07 Keyswitch,3TB KS Sus_Short C#4-G#4,,
Trumpet Ensemble,EastWest - Hollywood Brass,3 Trumpets -> 07 Keyswitch,3TP KS Sus_Short C0-A#0,,
French Horn Ensemble,EastWest - Hollywood Brass,6 French Horns -> 07 Keyswitch,6FH KS Sus_Short C0-G#0,,
Violin Ensemble (Shorts),EastWest - Hollywood Strings,1st Violins -> 03 Short Tight -> MOD COMBOS,1st Violins Shorts MOD SPEED,,
Violin Ensemble,EastWest - Hollywood Strings,1st Violins -> 06 Keyswitch,1st Violins Sus KS C0-F#0 Ni,,
Bass Ensemble (Shorts),EastWest - Hollywood Strings,Basses -> 03 Short Tight -> MOD COMBOS,Basses Shorts MOD SPEED,,
Bass Ensemble,EastWest - Hollywood Strings,Basses -> 06 Keyswitch,Basses Sus KS C4-F4 Ni,,
Cello Ensemble (Shorts),EastWest - Hollywood Strings,Celli -> 03 Short Tight -> MOD COMBOS,Celli Shorts MOD SPEED,,
Cello Ensemble,EastWest - Hollywood Strings,Celli -> 06 Keyswitch,Celli Sus KS C0-F#0 Ni,,
Viola Ensemble (Shorts),EastWest - Hollywood Strings,Violas -> 03 Short Tight -> MOD COMBOS,Violas Shorts MOD SPEED,,
Viola Ensemble,EastWest - Hollywood Strings,Violas -> 06 Keyswitch,Violas Sus KS C0-G0 Ni,,
Cymbals,,,,,
Cymbals,,,,,
Snare,,,,,
107. Sand and Stone - The Republic of Dhalmekia,,,,,(arranged by Takafumi Imamura)
Santur,Native Instruments - Spotlight Collection: India,3 - Melodic,Santur,,
Kanjira (?),UNKNOWN,,,Definitely needs some research ,
Tanpura,Native Instruments - Spotlight Collection: India,3 - Melodic,Tanpura,,
Kanun,Native Instruments - Spotlight Collection: Middle East,3 - Melodic,Kanun,,
Ney Flute,Native Instruments - Spotlight Collection: Middle East,3 - Melodic,Ney,,
112. Titanomachy - Drake's Fang,,,,,(arranged by Takafumi Imamura)
Percussion Hits,EastWest - Stormdrum 3,Big Drums,Dragon Ens Hits 1 fullmix,,
141. Under Siege - The Free Cities of Kanver,,,,,(arranged by Daiki Ishikawa)
Trombone Ensemble,EastWest - Hollywood Brass,2 Trombones and 1 Bass Trombone -> 07 Keyswitch,3TB KS Sus_Short C#4-G#4,,
Trumpet Ensemble,EastWest - Hollywood Brass,3 Trumpets -> 07 Keyswitch,3TP KS Sus_Short C0-A#0,,
French Horn Ensemble,EastWest - Hollywood Brass,6 French Horns -> 07 Keyswitch,6FH KS Sus_Short C0-G#0,,
Violin Ensemble (Shorts),EastWest - Hollywood Strings,1st Violins -> 03 Short Tight -> MOD COMBOS,1st Violins Shorts MOD SPEED,,
Violin Ensemble,EastWest - Hollywood Strings,1st Violins -> 06 Keyswitch,1st Violins Sus KS C0-F#0 Ni,,
Bass Ensemble (Shorts),EastWest - Hollywood Strings,Basses -> 03 Short Tight -> MOD COMBOS,Basses Shorts MOD SPEED,,
Bass Ensemble,EastWest - Hollywood Strings,Basses -> 06 Keyswitch,Basses Sus KS C4-F4 Ni,,
Cello Ensemble (Shorts),EastWest - Hollywood Strings,Celli -> 03 Short Tight -> MOD COMBOS,Celli Shorts MOD SPEED,,
Cello Ensemble,EastWest - Hollywood Strings,Celli -> 06 Keyswitch,Celli Sus KS C0-F#0 Ni,,
Viola Ensemble (Shorts),EastWest - Hollywood Strings,Violas -> 03 Short Tight -> MOD COMBOS,Violas Shorts MOD SPEED,,
Viola Ensemble,EastWest - Hollywood Strings,Violas -> 06 Keyswitch,Violas Sus KS C0-G0 Ni,,
Cymbals,EastWest - Hollywood Orchestral Percussion,Cymbals -> Cymbal Pairs,19in Zildjian A Crash,,
Cymbals,EastWest - Hollywood Orchestral Percussion,Cymbals -> Sus Cymbal,14in Paiste Sus Cymbal Cres,,
Timpani,EastWest - Hollywood Orchestral Percussion,Drums -> Timpani,Timpani Hrd KS,,
Snare,EastWest - Hollywood Orchestral Percussion,Drums,5in x 14in Mahogany Ludwig Snare,,
Orchestral Chimes,EastWest - Hollywood Orchestral Percussion,Metals,Orchestral Chimes,,
Oboe,EastWest - Hollywood Orchestral Woodwinds,Oboe -> 04 Keyswitch,OB KS Sus_Short C0-A#0,"No legato heard in the track, so the regular KS is most likely",
Tambourine,EastWest - Stormdrum 2,Woods and Shakers,Tambourines,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Choirs,UNKNOWN,,,,
Flute Runs,UNKNOWN,,,,
,,,,,
Section 2 - Echoes of the Fallen,,,,,
,,,,,
,,,,,
,,,,,
Section 3 - The Rising Tide,,,,,
,,,,,
17. Cascade,,,,,
Vocals,Best Service - Era II Vocal Codex,Female Voices -> Celtia,CELTIA Female Solo Voice,,
,,,,,
,,,,,
,,,,,
,,,,,
[Notes],,,,,
FUCKING DOG!!!,,,,,
