Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
Chord Clang,Sample 6,UNKNOWN,,,,
Train SFX,Sample 7,UNKNOWN,,,Same as final,
Wave 6,Sample 8,UNKNOWN,,,Same as final,
Wave 7,Sample 9,UNKNOWN,,,Same as final,
Wave 1 (Sine),Sample 10,UNKNOWN,,,Same as final,
Wave 1 (Sine),Sample 11,UNKNOWN,,,Same as final,
Wave 1 (Sine),Sample 12,UNKNOWN,,,Same as final,
,Sample 13,,,,Same as final,
,Sample 14,,,,Same as final,
,Sample 15,,,,Same as final,
,Sample 16,,,,Same as final,
,Sample 17,,,,Same as final,
,Sample 18,,,,Same as final,
,Sample 19,,,,Same as final,
,Sample 20,,,,Same as final,
,Sample 21,,,,Same as final,
,Sample 22,,,,Same as final,
,Sample 23,,,,Same as final,
,Sample 24,,,,Same as final,
,Sample 25,,,,Same as final,
,Sample 26,,,,Same as final,
,Sample 27,,,,Same as final,
,Sample 28,,,,Same as final,
,Sample 29,,,,Same as final,
,Sample 30,,,,Same as final,
,Sample 31,,,,Same as final,
,Sample 32,,,,Same as final,
,Sample 33,,,,Same as final,
,Sample 34,,,,Same as final,
,Sample 35,,,,Same as final,
,Sample 36,,,,Same as final,
,Sample 37,,,,Same as final,
,Sample 38,,,,Same as final,
,Sample 39,,,,Same as final,
,Sample 40,,,,Same as final,
,Sample 41,,,,Same as final,
,Sample 42,,,,Same as final,
,Sample 43,,,,Same as final,
,Sample 44,,,,Same as final,
,Sample 45,,,,Same as final,
,Sample 46,,,,Same as final,
,Sample 47,,,,Same as final,
,Sample 48,,,,Same as final,
,Sample 49,,,,Same as final,
,Sample 50,,,,Same as final,
,Sample 51,,,,Same as final,
,Sample 52,,,,Same as final,
,Sample 53,,,,Same as final,
,Sample 54,,,,Same as final,
,Sample 55,,,,Same as final,
,Sample 56,,,,Same as final,
,Sample 57,,,,Same as final,
,Sample 58,,,,Same as final,
,Sample 59,,,,Same as final,
,Sample 60,,,,Same as final,
,Sample 61,,,,Same as final,
,Sample 62,,,,Same as final,
,Sample 63,,,,Same as final,
,Sample 64,,,,Same as final,
,Sample 65,,,,Same as final,
,Sample 66,,,,Same as final,
,Sample 67,,,,Same as final,
,Sample 68,,,,Same as final,
,Sample 69,,,,Same as final,
,Sample 70,,,,Same as final,
,Sample 71,,,,Same as final,
,Sample 72,,,,Same as final,
,Sample 73,,,,Same as final,
,Sample 74,,,,Same as final,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
Try to list files in order of their in-game index.,,,,,,
