Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Big Fish Audio,Hardcore Breakbeat Action,CD2 -> Trancefunk Mutator 134 F#min,Drums01,,Fortress (Stage 3),
Big Fish Audio,Hardcore Breakbeat Action,CD2 -> Trancefunk Mutator 134 F#min,Drums02,,Fortress (Stage 3),
Big Fish Audio,Hardcore Breakbeat Action,CD2 -> Trancefunk Mutator 134 F#min,Drums03,,Fortress (Stage 3),
Big Fish Audio,Hardcore Breakbeat Action,CD2 -> Trancefunk Mutator 134 F#min,Drums04,,Fortress (Stage 3),
Best Service,Future Trance Anthems,CD2-> Drum Construction Kits -> Drumloop 003,Open Hat Lp,,Impregnable Fortress (Stage 7-2),
Best Service,Future Trance Anthems,CD2-> Drum Construction Kits -> Drumloop 008,Drums 8,,Impregnable Fortress (Stage 7-2),
Best Service,Future Trance Anthems,CD2-> Trance Construction Kits -> Trance Construct 001,Kik Loop,,Impregnable Fortress (Stage 7-2),
Best Service,Future Trance Anthems,CD2-> Trance Construction Kits -> Trance Construct 007,01 Fat Bass Filt,,Impregnable Fortress (Stage 7-2),
Miroslav Vitous,Brass & Woodwind Ensembles 2.0,Tps,Tps X,,"Battleship -Stage 2 & 8-, Last Enemy",
Miroslav Vitous,Brass & Woodwind Ensembles 2.0,Tps,Tps Port 1,,"Battleship -Stage 2 & 8-, Last Enemy",
Miroslav Vitous,Brass & Woodwind Ensembles 2.0,Tps,Tps Stacc 1,,"Battleship -Stage 2 & 8-, Last Enemy",
PrimeSounds,Methods Of Mayhem II - Damage Control,Drumbs -> Drumsbs - 130,Drumbs_130_006,,Something Green (Stage 6),
PrimeSounds,Methods Of Mayhem II - Damage Control,Drumbs -> Drumsbs - 150,Drumbs_150_004,,Speed (Stage 7),
PrimeSounds,Methods Of Mayhem II - Damage Control,Drumbs -> Drumsbs - 150,Drumbs_150_006,,Meteor (Stage 5),
PrimeSounds,Methods Of Mayhem II - Damage Control,Drumbs -> Drumsbs - 150,Drumbs_150_007,,Speed (Stage 7),
PrimeSounds,Methods Of Mayhem II - Damage Control,Grind Zone -> Guitar - 130,Guit_130_027_Eb,,Something Green (Stage 6),
PrimeSounds,Methods Of Mayhem II - Damage Control,Grind Zone -> Guitar - 150,Guit_150_022_E,,Speed (Stage 7),
PrimeSounds,Methods Of Mayhem II - Damage Control,Grind Zone -> Guitar - 150,Guit_150_023_E,,Speed (Stage 7),
PrimeSounds,Methods Of Mayhem II - Damage Control,Grind Zone -> Guitar - 150,Guit_150_024_F#,,Speed (Stage 7),
Roland,SR-JV80-02 Orchestral,XP-X,128 Fr .Horn sfz,,Intermezzo,
Roland,SR-JV80-04 Vintage Synth,XP-X,151 Wagnerian Ld,,Impregnable Fortress (Stage 7-2),
Sonic Implants,Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,"Battleship -Stage 2 & 8-, Last Enemy",
Zero-G,Total Trance,Instruments -> (Track 24) Acid Line 3 ,Space Days E,,Fortress (Stage 3),
Zero-G,Total Trance,Instruments -> (Track 24) Acid Line 3 ,Acid Space Journey E,,Fortress (Stage 3),
Zero-G,Total Trance,Instruments -> (Track 84) Acid Shots,Old School Acid C,,Cell (Stage 4),
Stuff to Find,,,,,,
Best Service,Advanced Orchestra,,,French horns,,
East West,Smyphonic Orchestra,,,strings,,
Roland,XV-5080,,,Orch Hit,,
Sonic Foundry,Vir Unis,,,,,
Spectrasonics,Metamorphosis,,,,,
Spectrasonics,Stylus,,,,,
Steinberg,Hypersonic,,,,,
ProjectSAM,SAM Horns,,,,,
,,,,,,
Section 2 - Parodius,,,,,,
,,,,,,
Parodius! From Myth to Laughter (Arcade),,"(Released: February, 1990)",,,Jump to top,
Sample: Yūko Nagashima,"""Ah""",,,,SFX (Popping the bubbles containing bunny girls),
Sample: Yūko Nagashima,"""Oh""",,,,SFX (Honey Miyako hit sfx),
Sample: Yūko Nagashima,"""Wow""",,,,SFX (Honey Miyako death sound),
AKAI,S612,SL201 ORCHESTRA ENSEMBLE,ORCHESTRA HIT #1,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-19,SNARE9,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-28,TOM1 H,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-42,CLAPS,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-47,CONGA4,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-63,AGOGO L,,-Used throughout the soundtrack-,
KORG,M1R,PROG,09 Drums #1,C3 (Kick),-Used throughout the soundtrack-,
Yamaha,RX5,Internal,Crash,,-Used throughout the soundtrack-,
Parodius Non-Sense Fantasy (SNES),,"(Released: July 3, 1992)",,,,
Sample: Yūko Nagashima,"""Ah""",,,From Parodius! From Myth to Laughter,SFX (Popping the bubbles containing bunny girls),
Sample: Yūko Nagashima,"""Oh""",,,From Parodius! From Myth to Laughter,SFX (Honey Miyako hit sfx),
Sample: Yūko Nagashima,"""Wow""",,,From Parodius! From Myth to Laughter,SFX (Honey Miyako death sound),
AKAI,S612,SL201 ORCHESTRA ENSEMBLE,ORCHESTRA HIT #1,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-19,SNARE9,From Parodius! From Myth to Laughter,-Used throughout the soundtrack-,
AKAI,XR10,PRST-28,TOM1 H,From Parodius! From Myth to Laughter,-Used throughout the soundtrack-,
AKAI,XR10,PRST-42,CLAPS,From Parodius! From Myth to Laughter,-Used throughout the soundtrack-,
AKAI,XR10,PRST-47,CONGA4,From Parodius! From Myth to Laughter,-Used throughout the soundtrack-,
AKAI,XR10,PRST-63,AGOGO L,From Parodius! From Myth to Laughter,-Used throughout the soundtrack-,
KORG,M1,PROG,06 Fretless,Part of the SNES SDK,-Used throughout the soundtrack-,
KORG,M1,PROG,09 Drums #1,Part of the SNES SDK,-Used throughout the soundtrack-,
KORG,M1,Waveform,91 Saw Wave + 93 25% Pulse,Part of the SNES SDK,-Used throughout the soundtrack-,
Roland ,U-220,Patch,P-17: Strings [017],,"From Myth to Comedy, Island of Pirates, Let's Get Fever with Gunkan March, Theme of Neon Core, Beautiful Gals",Link
Roland ,U-220,Timbre,T-030: Slap 1 [030],,-Used throughout the soundtrack-,Link
Yamaha,RX5,Internal,Crash,From Parodius! From Myth to Laughter,-Used throughout the soundtrack-,
Yamaha,TG77,Waveform,09 Clarinet,From Super Castlevania IV,"From Myth to Comedy, Night of the Living Dead, But Wait! There's More!",
Stuff to Find,,,,,,
E-MU Systems,Proteus/1,Instruments,112 Organ Cyc 2,,-Used throughout the soundtrack-,
Yamaha,TG77,Internal ROM 1 -> BANK B,B03 BR 1980,,,
?,?,,,Organ Wave,"Let's Get Fever with Gunkan March, Mottomo Kita no Kunikara '90, Ending Da!",
?,?,,,Trumpet,-Used throughout the soundtrack-,
?,?,,,Distorted Lead,"Theme of Yoshiwara Dayuu, But Wait! There's More!",
Gokujō Parodius! / Fantastic Journey,,,,,,
Base Game - Arcade (Konami GX),,"(Released: April 25, 1994)",,,,
AKAI,S1000,SL1005 PERCUSSION #1,SLAY BELLS,SLAY BELLS 1,Loving Farewell,
AKAI,S1000,SL1045 BAROQUE STRINGS,STRING SECT1,,-Used throughout the soundtrack-,
AKAI,S1000,SAMPLE WAVE MIXING SWM3010 SYNTH & LEAD,VOXY SYNTH,AN-SYN 41 SA,"In the Crane Game, TwinBee & WinBee's Theme, Hikaru & Akane's Theme, The Kaguya Princess's Realization",
AKAI,S1000,SAMPLE WAVE MIXING SWM3014 100 WAVE SAMPLES,SYNTH STEEL,STEEL WAVE,"Cooking Mambo, Hikaru & Akane's Theme, Michael & Gabriel's Theme, Habanera (Unused)",
E-MU Systems,Proteus/1,Bank 0,007 Thunder Bass,,Capsule Monster Capuchin,
E-MU Systems,Proteus/1,Bank 0,010 Phantazia,,-Used throughout the soundtrack-,
E-MU Systems,Proteus/1,Bank 0,045 Wide Marimba,,"I'm Eliza, TwinBee & WinBee's Theme, Koitsu & Aitsu's Theme, Shooting Memories, Pentarou X's Theme, Premium Game Over!",
E-MU Systems,Proteus/1,Bank 0,046 Latin Perc.,Güiro,"Let's Go Together!, Pentaro & Hanako's Theme",
E-MU Systems,Proteus/1,Bank 2,151 OrchestraHit,,-Used throughout the soundtrack-,
E-MU Systems,Proteus/1,Bank 2,170 French Horn,,-Used throughout the soundtrack-,
E-MU Systems,Proteus/2,Bank 0,024 Flute,,"Vic Viper & Lord British's Theme, Dancing Panda",
E-MU Systems,Proteus/2,Bank 0,028 Clarinet,,"TwinBee & WinBee's Theme, Shooting Memories",
E-MU Systems,Proteus/2,Bank 0,050 Timpani,,-Used throughout the soundtrack-,
E-MU Systems,Proteus/2,Bank 0,055 Glockenspiel,,-Used throughout the soundtrack-,
E-MU Systems,Proteus/2,Bank 1,125 Whistl'n Joe,,"Battleship Cat Forever, Michael & Gabriel's Theme, Shooting Memories, Play Again!",
E-MU Systems,Proteus/3,Bank 1,125 Bass,,-Used throughout the soundtrack-,
E-MU Systems,Proteus/3,Instruments,013 Sitar,,Run! Run! Run!,
KORG,01/W,PROG -> Bank A,A53 Tenor Sax,,-Used throughout the soundtrack-,
KORG,01/W,PROG -> Bank B,B12 Trumpet,,"Run! Run! Run!, The Brothers' Ships Move Again",
KORG,M1R,PROG,06 Fretless,,"Cooking Mambo, Space Hit Parade",
Roland,SR-JV80-02 Orchestral,XP-X,216 TubulaBells,,-Used throughout the soundtrack-,
Stuff to Find,,,,,,
KORG,M1R,PROG,43 Angels,,"Cooking Mambo, Shooting Memories, Je Te Veux (Unused)",
?,?,,,Mambo No. 5 Voice 1,Cooking Mambo,
?,?,,,Mambo No. 5 Voice 2,Cooking Mambo,
?,?,,,Synth Voice,Atheletics Cry for the Candies,
Extra Tracks,,,,,,
AKAI,XR10,PRST-53,HITS,,Hooked on Goku-Paro,
SFC,,"(Released: November 25, 1994)",,,,
AKAI,S612,SL201 ORCHESTRA ENSEMBLE,ORCHESTRA HIT #1,,-Used throughout the soundtrack-,
AKAI,S1000,SL1003 BRASS SEC. #1,BRASS SEC.A,BRASS 2,-Used throughout the soundtrack-,
AKAI,S1000,SL1005 PERCUSSION #1,SLAY BELLS,SLAY BELLS 1,Loving Farewell,
AKAI,S1000,SL1009 HORNS #1,FRENCH HORNS,F HORNS 2,"Run! Run! Run!, The Brothers' Ships Moves Again, Hey, The Ancient Hero!",
AKAI,S1000,SL1009 HORNS #1,FRENCH HORNS,F HORNS 3,Battleship Cat Forever,
AKAI,S1000,SL1021 ELECTRIC BASS #2,BASS+ROCK G,H METAL 1,"Space Hit Parade, Shooting Memories",
AKAI,S1000,SL1050 DIGITAL PIANO #2,DIG-PIANO 3,D3PF-C4 S,Loving Farewell,
AKAI,S1000,SL1098 SOFT PIANO,SOFT PEDAL,PNO D4,-Used throughout the soundtrack-,
AKAI,S1000,SL1101 ORGAN PEDALS,ORGAN 1,ORGAN 1,"Baro-Baro Dancing, Rika on the Beat, Taste My Life",
AKAI,S1000,SL1125 MALE CHORUS AH,M.CHORUS AH,MALE C2,What Do You See When You're Jumping?,
AKAI,S1000,SL1125 MALE CHORUS AH,M.CHORUS AH,MALE G2,"In the Crane Game, Dancing Panda",
AKAI,S1000,SL3030 PICK BASS,EL-BASS PICK,EBASSPH A1SA,-Used throughout the soundtrack-,
AKAI,S1000,SL3034 ANALOG BRASS,OBX-ANA BRAS,EX BR G4 SA,-Used throughout the soundtrack-,
AKAI,S1000,SL3049 MUSIC BOX,MUSIC BOX,DREAM BOX A4,-Used throughout the soundtrack-,
AKAI,S1000,SAMPLE WAVE MIXING SWM #5,SPIKEY WAVE,REPEAT,SFX,
AKAI,S1000,SAMPLE WAVE MIXING SWM3010 SYNTH & LEAD,VOXY SYNTH,AN-SYN 41 SA,-Used throughout the soundtrack-,
AKAI,S1000,SAMPLE WAVE MIXING SWM3014 100 WAVE SAMPLES,SYNTH STEEL,STEEL WAVE,"Athletics Cry for the Candies, Cooking Mambo",
AKAI,S1000,WORK STATION WS3003 DANCE,DANCE KIT,CLAP   1,-Used throughout the soundtrack-,
AKAI,XR10,PRST-19,SNARE9,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-23,HAT CL,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-28,TOM1 H,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-38,CRASH1,,-Used throughout the soundtrack-,
E-MU Systems,Proteus/1,Instruments,097 Fund Gone 2,,"I am Eliza, Premium Continue!, Premium Game Over!",
E-MU Systems,Proteus/1,Instruments,112 Organ Cyc 2,,SFX,
KORG,01/W,PROG -> Bank A,A53 Tenor Sax,,In the Crane Game,
KORG,01/W,PROG -> Bank B,B12 Trumpet,,"In the Crane Game, Run! Run! Run!",
KORG,01/W,PROG -> Bank B,B39 Timpani,could also be T3,"Good Ol' Days..., Run! Run! Run!, The Brothers' Ships Moves Again, Yoshiko & Yoshio's Love, Hey, The Ancient Hero!, Premium Ranking!",
KORG,M1,PROG,09 Drums #1,Part of the SNES SDK,-Used throughout the soundtrack-,
KORG,M1R,PROG,07 Symphonic,,-Used throughout the soundtrack-,
KORG,M1R,PROG,18 Flute,,-Used throughout the soundtrack-,
KORG,M1R,PROG,23 Choir,,-Used throughout the soundtrack-,
KORG,T3,PROG,55 Spec.Junk,,What Do You See When You're Jumping?,
Stuff to Find,,,,,,
AKAI,?,,,Tsuzumi,"What Do You See When You're Jumping?, Oh, Kaguya Princess!, The Kaguya Princess's Realization",
E-MU Systems,Proteus/2,Bank 1,120 Glitter God,Bells - Part of the SNES SDK,Konami Logo,
?,?,,,Mambo No. 5 Voice 2,Cooking Mambo,
?,?,,,Synth Voice,"Athletics Cry for the Candies, Cooking Mambo",
Jikkyō Oshaberi Parodius,,,,,,
Base Game - Super Famicom ★,,"(Released: December 15, 1995)",,,,
AKAI,S612,SL206 SOUNDS OF JAPAN,CHANCHIKI RHYTHM #1,,"It's the Final Festival, Swish Mr. Goldfish Swish Swish Swish, If You're Both Fools, You Might as Well Dance, Summer Tension",
AKAI,S1000,SL1006 PERCUSSION #2,BLOCK,BLOCK   1,"It's Menu!, I Wonder, Who Should I Use?, Candy Waltz, Kiss Me Macchan, Summer Tension, Please, Do You Want to Continue?",
AKAI,S1000,SL1006 PERCUSSION #2,NOISE MAKER,NOISEMAKER 3,-Used throughout the soundtrack-,
AKAI,S1000,SL1029 CHOP BASS SYNTH BASS,K-CHOP BASS1,CHOP A2,Hyper Patrolman,
AKAI,S1000,SL1044 STRINGS #2,STRINGS SEC2,STR C4-2,-Used throughout the soundtrack-,
AKAI,S1000,SL1071 ORGAN #3,SHIMMER HAM1,HAMMOND2 C5,"Ganbare Goemon, A Fast Paced Journey, It's Goemon Compact!, Let's Play with the Master",
AKAI,S1000,S1129 SYNTH PADS,PROPHET 2,PRO 2  C4,-Used throughout the soundtrack-,
AKAI,S1000,SL1147 BRAZIL PERCUSSION,CUICA,CUICA LO,"It's Menu!, I Wonder, Who Should I Use?, The Megami Ramei, Candy Waltz, Kiss Me, Macchan, Please",
AKAI,S1000,SL3017 C-BASS SECTION #1,C-BASS PAD,C#2-CB S.H.,Prologue 'Star Date 94...' (Both parts),
AKAI,S1000,SL3025 JAPANESE DRUM,JAPANESE DR.,SHIME 202,"Swish Mr. Goldfish Swish Swish Swish, If You're Both Fools, You Might as Well Dance, Summer Tension",
AKAI,S1000,SL3058 STRINGS #2,PIZZ -S-,PIZZ C4,"The Tokimeki Dances, Season of Darkening Skies",
AKAI,S1000,SL3094 CRYSTAL SYNTH,CRYSTAL LFO,C5 MULTI,"It's Menu!, Season of Darkening Skies, Candy Waltz, Kiss Me, Macchan, Please",
AKAI,S1000,SL3098 ORCHESTRAL PERCUSSION & TUBULAR,TIMPANI,ORCH TIMY1,-Used throughout the soundtrack-,
AKAI,S1000,SL3115 ANGELIC STRINGS,ANGELIC PAD,ANG.V A2LO-L,"Welcome, Jiggly Boingbee",
AKAI,S1000,ELECTRIC POP WORK STATION WS3007,RAVER KIT,RV BASS02 SA,"Mirror Ball Forever, Soitsu & Doitsu's Theme, Famous Music! Buttobe Gun Rascal!, Thanks For Your Hard Work!",
AKAI,S1000,WORK STATION WS3003 DANCE,DANCE KIT,CLAP   1,-Used throughout the soundtrack-,
AKAI,XR10,PRST-19,SNARE9,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-23,HAT CL,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-28,TOM1 H,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-38,CRASH1,,-Used throughout the soundtrack-,
AKAI,XR10,PRST-47,CONGA4,,It's the Final Festival,
AKAI,XR10,PRST-58,WHISTLE,,"The Megami Ramei, If You're Both Fools, You Might as Well Dance",
AKAI,XR10,PRST-59,SQUEAK L,,-Used throughout the soundtrack-,
E-MU Systems,Proteus/1,Bank 0,017 Verb Flute,,-Used throughout the soundtrack-,
E-MU Systems,Proteus/1,Bank 2,151 OrchestraHit,,-Used throughout the soundtrack-,
E-MU Systems,Proteus/1,Instruments,097 Fund Gone 2,,"Hyper Patrolman, Thanks For Your Hard Work!",
E-MU Systems,Proteus/1,Instruments,105 Duck Cyc 2,,"Vic Viper & Lord British's Theme, Let's Go All Out for the Last Dog Fight, Thanks For Your Hard Work!",
E-MU Systems,Proteus/1,Instruments,109 Wind Cyc 3,,"Select Fanfare, It's the Final Festival",
E-MU Systems,Proteus/1,Instruments,112 Organ Cyc 2,,Break Time! (Pause SFX),
E-MU Systems,Proteus/2,Bank 0,057 TubularBells,,"The Tokimeki Dances, Gigantic! Hikaru-chan and Akane-chan",
KORG,M1,PROG,09 Drums #1,Part of the SNES SDK,-Used throughout the soundtrack-,
Roland,JV-80,Preset A,A87 Rubber Bs 2,,-Used throughout the soundtrack-,
Roland,JV-80,Preset B,B71 Steel Drum,,-Used throughout the soundtrack-,
Roland,SOUND Canvas SC-55,Capital,062 Brass 1,Octaved (Notes C6 & C7),-Used throughout the soundtrack-,
Roland,SOUND Canvas SC-55,Capital,108 Koto,,-Used throughout the soundtrack-,
Stuff to Find,,,,,,
AKAI,?,,,Tsuzumi,"Ganbare Goemon, A Fast Paced Journey, Let's Play with the Master",
?,?,,,High pitched waveform,"Prologue 'Star Date 94...' (Part 1), Season of Darkening Skies",
PlayStation & Saturn (Jikkyō Oshaberi Parodius ~Forever with Me~),,,"(Released: December 13, 1996)",,,
Roland,JV-1080,PR-D (GM),004 Honky-tonk,,Thanks For Your Hard Work!,
Roland,JV-1080,PR-D (GM),009 Celesta,,,
Roland,JV-1080,PR-D (GM),011 Music Box,,,
Roland,JV-1080,PR-D (GM),013 Marimba,,,
Roland,JV-1080,PR-D (GM),015 Tubular-bell,,The Tokimeki Dances,
Roland,JV-1080,PR-D (GM),020 Church Org.1,,Prologue 'Star Date 94...',
Roland,JV-1080,PR-D (GM),023 Harmonica,,,
Roland,JV-1080,PR-D (GM),025 Nylon-str.Gt,,,
Roland,JV-1080,PR-D (GM),035 Picked Bs.,,,
Roland,JV-1080,PR-D (GM),037 Slap Bass 1,,,
Roland,JV-1080,PR-D (GM),039 Synth Bass 1,,,
Roland,JV-1080,PR-D (GM),040 Synth Bass 2,,,
Roland,JV-1080,PR-D (GM),045 Tremolo Str,,,
Roland,JV-1080,PR-D (GM),046 PizzicatoStr,,,
Roland,JV-1080,PR-D (GM),048 Timpani,,,
Roland,JV-1080,PR-D (GM),049 Strings,,,
Roland,JV-1080,PR-D (GM),056 OrchestraHit,,-Used throughout the soundtrack-,
Roland,JV-1080,PR-D (GM),062 Brass 1,,,
Roland,JV-1080,PR-D (GM),067 Tenor Sax,,Season of Darkening Skies,
Roland,JV-1080,PR-D (GM),069 Oboe,,Candy Waltz,
Roland,JV-1080,PR-D (GM),074 Flute,,,
Roland,JV-1080,PR-D (GM),084 Chiffer Lead,,,
Roland,JV-1080,PR-D (GM),108 Koto,,,
Roland,JV-1080,PR-D (GM),115 Steel Drums,,,
Sexy Parodius,,"(Released: March, 1996)",,,,
AKAI,S1000,SL1045 BAROQUE STRINGS,STRING SECT1,,-Used throughout the soundtrack-,
