Instrument,Source,Path/Bank,Preset,Notes,Demo
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long ,Harp Pluck,,
Vibraphone,EastWest - Symphonic Orchestra,Perc -> Metals,Vibes,,
Oboe,Roland - SR-JV80-02 Orchestral,XP-X,092 Oboe 1,,
52. Moonfire Faire,,,,,(Arranged by Tsutomu Narita)
Acoustic Bass,EastWest - Goliath,Electric Bass and Upright,Upright Bass Vibrato,,
Percussion (GM),EastWest - Goliath,Ethnic Percussion,GM Percussion,,
Marimba,EastWest - Goliath,Keyboard Mallet Instr,Marimba,"Could also be EWSO close mics marimba, but the natural panning feels closer to Goliath",
Alto Saxophone,EastWest - Goliath,Pop Brass -> Alto Sax,A Sax leg sus,,
Trombone (Falls),EastWest - Goliath,Pop Brass -> Bone,TB falls MOD,,
Trombone,EastWest - Goliath,Pop Brass -> Bone,TB fastJAZZ,,
Trumpet (Falls),EastWest - Goliath,Pop Brass -> Trumpet,TP falls1 MOD,,
Trumpet,EastWest - Goliath,Pop Brass -> Trumpet,TP susmf,,
Piano,UNKNOWN,,,,
53. All Saint's Wake,,,,,(Arranged by Tsutomu Narita)
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,Close and Stage mics,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,Close and Stage mics,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,Close and Stage mics,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Orchestral Chimes,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,Close and Stage mics,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,Close and Stage mics,
Percussion,EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,,
66. Primal Judgment,,,,,(Arranged by Tsutomu Narita)
Choir (Men),EastWest - Goliath,Choir Bank - Mens Choir,Mens Choir ah MOD,,
Choir (Women),EastWest - Goliath,Choir Bank - Womens Choir,Womens Choir ah MOD,,
82. Birds of a Feather,,,,,(Arranged by Masayoshi Soken)
Percussion Loop,EastWest - Stormdrum,Loops -> Thunderous Instruments,Edoras 130 bpm,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
91. The Rider's Boon,,,,,(Arranged by Tsuyoshi Sekito)
Glockenspiel,Apple - EXS24,GarageBand,Glockenspiel,,
Flute,Apple - EXS24,CHECK,CHECK,,
Oboe,Apple - EXS24,CHECK,CHECK,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Choir,EastWest - Voices of the Apocalypse,Women Choir V.2,WC oh MOD C1-C#1,,
Trombone Crescendo,ProjectSAM - SAM Trombones,Main (Close) -> Keyswitches Only,SAM Tbn. KEY All Special (c),C0,
Trombone Ensemble,ProjectSAM - SAM Trombones,CHECK,CHECK,,
French Horn Ensemble,ProjectSAM - SAM Horns,SAM Trombone - 05 Main (Close) -> Keyswitches Only,SAM Tbn. KEY All Special (c),,
Acoustic Guitar,UNKNOWN,,,,
Picked Bass,UNKNOWN,,,,
Wind Chime,UNKNOWN,,,,
Violin Ensemble,UNKNOWN,,,,
Viola Ensemble,UNKNOWN,,,,
Cello Ensemble,UNKNOWN,,,,
Bass Ensemble,UNKNOWN,,,,
Marimba,UNKNOWN,,,,
Woodblock,UNKNOWN,,,,
Sleigh Bells,UNKNOWN,,,,
Percussion Loop,UNKNOWN,,,,
92. Breaking Boundaries,,,,,(Arranged by Tsuyoshi Sekito)
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Snare,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Orchestral Chimes,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trumpet Ensemble,ProjectSAM - SAM Trumpets,CHECK,CHECK,,
Violin Ensemble,UNKNOWN,,,,
Viola Ensemble,UNKNOWN,,,,
Cello Ensemble,UNKNOWN,,,,
Bass Ensemble,UNKNOWN,,,,
Toms,UNKNOWN,,,,
Gong,UNKNOWN,,,,
Glockenspiel,UNKNOWN,,,,
Sleigh Bells,UNKNOWN,,,,
93. Relics,,,,,(Arranged by Masayoshi Soken)
Trumpet,EastWest - Symphonic Orchestra,Brass -> Solo Trumpet 1 -> 5 Keysw,STP KS Master,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Triangle 2,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Solo Violin,EastWest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,,
Suzu,Kaeru Café - Treasure in Japan Vol. 2,CD 2,Track 21,,
101. Fallen Angel,,,,,(Arranged by Masayoshi Soken)
Vocals,Live Recording (Fukiko Sekine),-,-,Discernable lyrics largely hidden under other layers,
Pipe Organ,Garritan - Personal Orchestra 5,Instruments -> 6. Pipe Organ,Full Organ,,
Solo Violin,Garritan - Personal Orchestra 5,CHECK,CHECK,,
103. Rise of the White Raven,,,,,(Arranged by Masayoshi Soken)
Vocals,Live Recording (Music Creation),-,-,,
Vocal Samples,Stems: Susan Calloway - FINAL FANTASY XIV,-,Track 104 - Answers,also heard in Tempest,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,Close and Stage mics,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,Close and Stage mics,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,Close and Stage mics,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Orchestral Chimes,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,Close and Stage mics,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,Close and Stage mics,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Choirs,UNKNOWN,,,Possibly Voices of the Apocalypse,
Riser,UNKNOWN,,,Heard at 2:20,
"(Before Meteor and ""Bite of the Black Wolf"" Versions only)",,,,,
Solo Violin,EastWest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,,
(Before the Fall Version only),,,,,
Solo Violin,Live Recording (Yuki Nakajima),,,This recording has also since been patched in for Bite of the Black Wolf in-game,
104. Answers,,,,,(Arranged by Tsutomu Narita)
Vocals,Live Recording (Susan Calloway),-,-,,
Choir,Live Recording (Tomoko Kanda et. al),-,-,,
Baroque Harp,Live Recording (Marie Nishiyama),-,-,,
Drums,Live Recording (Toru Hasebe),-,-,,
Hammond Organ,Live Recording (Daisuke Kawai),-,-,,
Bass,Live Recording (Michio Nagaoka),-,-,,
Electric Guitar,Live Recording (Go Tsukada),-,-,,
Church Organ,EastWest - Goliath,Keyboard Mallet Instr,Church Organ,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Synth Pad,UNKNOWN,,,,
Dalamud Answers,,,,,
Vocal Samples,Stems: Susan Calloway - FINAL FANTASY XIV,-,Track 104 - Answers,Heavily filtered with EQ and various effects,
Wind SFX,UNKNOWN,,,,
Thunder SFX,UNKNOWN,,,,
,,,,,
Section 2 - A Realm Reborn (2.0),,,,,
,,,,,
14. Tenacity,,,,,(Arranged by FILM SCORE)
Trombone Ensemble,Cinesamples - CineBrass Core,Instruments,09 Trombone Ensemble Articulations,,
43. One Blood,,,,,(Arranged by FILM SCORE)
Bass Drum Roll,Best Service - Complete Classical Collection,Advanced Orchestra -> 03 AO Percussion,15 Gran Casa,Appears as GC CSFS in Advanced Orchestra,
Trombone Ensemble,Cinesamples - CineBrass Core,Instruments,09 Trombone Ensemble Articulations,,
Tablas,UNKNOWN,,,"same as in ""Ultima""",
Harominic Synth,UNKNOWN,,,"same as in ""Ultima""",
Udu,UNKNOWN,,,"Not sure honestly: same as in ""Ultima""",
Shaker,UNKNOWN,,,"Could either be KFL or Stylus; same as in ""Ultima""",
48. Battle Theme 1.x,,,,,(Arranged by Masayoshi Soken)
8-Bit Sample,Sample: Nobuo Uematsu - FINAL FANTASY II,Disc 1,Track 23 - Battle Theme 1 -> 0:00,,
Solo Violin,EastWest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,,
Pizzicato Strings,EastWest - Symphonic Orchestra,CHECK,CHECK,,
Solo Trumpet Legato,EastWest - Goliath,Pop Brass -> Trumpet,TP susmf,,
Solo Trumpet Marcato,EastWest - Goliath,Pop Brass -> Trumpet,TP legpf,,
Solo Trumpet Shakes,EastWest - Goliath,Pop Brass -> Trumpet,3 TP shakedoit MOD,,
Piano,UNKNOWN,,,,
Drum Kit,UNKNOWN,,,,
Conga Loop(?),UNKNOWN,,,,
Acoustic Bass,UNKNOWN,,,,
Guitar Scrapes,UNKNOWN,,,,
Choir,UNKNOWN,,,,
Organ,UNKNOWN,,,,
8-bit synths,UNKNOWN,,,,
52. Flibbertigibbet,,,,,
Oboe,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,Close mics,
57. The Maiden's Lament,,,,,(Arranged by Masayoshi Soken)
Pipe Organ,Garritan - Personal Orchestra 5,Instruments -> 6. Pipe Organ,Full Organ,,
Chorus,UNKNOWN,,,,
Vocals,UNKNOWN,,,,
59. Lipflaps on Longstops,,,,,(Arranged by Masayoshi Soken)
Percussion Loop,EastWest - Stormdrum,Loops -> Film Tech Instruments,Magic Descent 080 bpm,Note E2,
Harpsichord,Native Instruments - Kontakt Factory Library,Orchestral -> 6 - Keyboard Instruments,Harpsichord,,
61. Abomination,,,,,(Arranged by Masayoshi Soken)
Percussion Loop,EastWest - Stormdrum,Loops -> Big Beat Instruments,Skywalker 089 bpm,,
69. Fealty,,,,,(Arranged by Masayoshi Soken)
Vocals,Live Recording (Akane Ikeya),-,-,,
Big Hits,EastWest - Stormdrum,MultiSamples -> Large Percussion,Big Hits,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,Close mics,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,Close mics,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,Close mics,
Orchestral Chimes,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Harpsichord,Garritan - Personal Orchestra 5,Instruments -> 5. Keyboards,Harpsichord KS,8' & 4' stop keyswitch,
Pipe Organ,Garritan - Personal Orchestra 5,Instruments -> 6. Pipe Organ,Full Organ,,
Choir,UNKNOWN,,,,
Percussion Loop,UNKNOWN,,,,
Piano,UNKNOWN,,,,
Synth Bass,UNKNOWN,,,,
Synth Pad,UNKNOWN,,,,
70. Undying Faith,,,,,(Arranged by Masayoshi Soken)
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,Close mics,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,Close mics,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,Close and Stage mics (and a ton of external reverb),
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,Close and Stage mics,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Harpsichord,Garritan - Personal Orchestra 5,Instruments -> 5. Keyboards,Harpsichord KS,8' & 4' stop keyswitch,
72. The Dragon's Dirge / His Holiness,,,,,(Arranged by Masayoshi Soken)
Pipe Organ,Garritan - Personal Orchestra 5,Instruments -> 6. Pipe Organ,Full Organ,,
88. Through the Gloom / A Light in the Storm,,,,,(Arranged by Masayoshi Soken)
Big Hits,EastWest - Stormdrum,MultiSamples -> Large Percussion,Big Hits,,
Taikos,EastWest - Stormdrum,MultiSamples -> Large Percussion,Taikos Ambient,,
Choir,EastWest - Symphonic Choirs,Multis -> Sopranos WB,SOPR WB DYN MOD,,
Choir,EastWest - Symphonic Choirs,Multis -> Altos WB,ALTO WB DYN MOD,Comes in separate from the sopranos at 0:15,
Choir,EastWest - Symphonic Choirs,Multis -> Men and Womens WB,MENS WB HARD MOD,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,Close mics,
Snare,EastWest - Symphonic Orchestra,Perc -> Drums,3 Snares,Close mics,
Sticks,EastWest - Symphonic Orchestra,Perc -> Wood,All Sticks,Close and Stage mics,
Piano,EastWest - Symphonic Orchestra,Perc -> Wood,Steinway B,"I think this is it, but could be mistaken",
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,Close and Stage mics,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,Close and Stage mics,
Solo Violin,EastWest - Symphonic Orchestra,Strings -> Solo Violin -> 5 Keysw,SVL KS Master,,
Solo Vocals,UNKNOWN,,,,
91. A Tonberry's Tears,,,,,(Arranged by Masayoshi Soken)
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,Close mics,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,Close mics,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,Close mics,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,Close mics,
108. Bite of the Black Wolf ,,,,,(Arranged by Masayoshi Soken)
Entire Song,Stems: Masayoshi Soken - Final Fantasy XIV,-,Track 103 - Rise of the White Raven,Without Vocals,
110. Ultima,,,,,(Arranged by Yoshitaka Suzuki)
Trombone Ensemble,Cinesamples - CineBrass Core,Instruments,09 Trombone Ensemble Articulations,,
Choir Riser,EastWest - Symphonic Choirs,FILL IN,FILL IN,,
Choir,EastWest - Symphonic Choirs,FILL IN,FILL IN,Word builder likely used,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Children's Choir Layer,Spectrasonics - Omnisphere,Human Voices,Japanese Children's Choir,,
String Ensemble (GM),Steinberg - HALion Sonic SE,Basic Set,[GM 049] String Ensemble 1,,
French Horn Ensemble,UNKNOWN,,,,
Tablas,UNKNOWN,,,,
Harominic Synth,UNKNOWN,,,,
Udu,UNKNOWN,,,Not sure honestly ,
Shaker,UNKNOWN,,,Could either be KFL or Stylus,
Percussion Hits,UNKNOWN,,,,
1. Wreck to the Seaman,,,,,(Arranged by Masayoshi Soken)
Taikos,EastWest - Stormdrum,MultiSamples -> Large Percussion,Taikos Ambient,,
Suzu,Kaeru Café - Treasure in Japan Vol. 2,CD 2,Track 21,,
Reeds,Kaeru Café - Treasure in Japan Vol. 2,CD 2,Track 34,,
Shakuhachi Phrase,UNKNOWN,,,"72 Uniending on Treasure in Japan Vol. 3 sounds very similar, but has other elements in the background",
2. Through the Maelstorm,,,,,(Arranged by Masayoshi Soken)
Vocals,Live Recording (Masayoshi Soken),,,,
Electric Guitar,Live Recording (Masayoshi Soken),,,,
Secondary Electric Guitar,Live Recording (GUNN),,,,
Reverse Cymbal,UNKNOWN,,,,
Drum Loop,UNKNOWN,,,,
Drum Kit,UNKNOWN,,,,
Electric Piano,UNKNOWN,,,,
Slap Bass,UNKNOWN,,,,
3. Scars of Battle,,,,,(Arranged by Masayoshi Soken)
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,Close mics,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,Close mics,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,Close mics,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,Close mics,
Suzu,Kaeru Café - Treasure in Japan Vol. 2,CD 2,Track 21,,
Piano,UNKNOWN,,,,
Reverse Piano,UNKNOWN,,,,
Piano,UNKNOWN,,,,
Kick,UNKNOWN,,,,
Synth Pad,UNKNOWN,,,,
21. Dark Vows,,,,,(Arranged by Masayoshi Soken)
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Bells & Vocals,Kaeru Café - Treasure in Japan Vol. 2,CD 1,Track 21,,
Choir,UNKNOWN,,,,
Vocal Phrase,UNKNOWN,,,,
Mandolin,UNKNOWN,,,,
Tubular Bell,UNKNOWN,,,,
23. Thunder Rolls,,,,,(Arranged by Masayoshi Soken)
Vocals,Live Recording (Akane Ikeya),-,-,,
Vocal Phrase,Big Fish Audio - The Legend of China,-,Female_vocal_01_01,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,Close and Stage mics,
Bass,UNKNOWN,,,Potentially Scarbee Rickenbacker or Hypersonic,
Organ,UNKNOWN,,,,
Drum Kit,UNKNOWN,,,,
45. From the Ashes,,,,,(Arranged by Masayoshi Soken)
